Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-05,30.0,30.0,30.0,30.0,,,
1995-01-10,27.5,27.5,27.5,27.5,,,
1995-01-11,26.9,26.9,26.9,26.9,,,
1995-01-13,26.25,26.25,26.25,26.25,,,
1995-01-16,26.75,26.75,26.75,26.75,,,
1995-01-19,26.8,27.5,26.75,27.5,,,
1995-01-20,27.5,27.5,27.5,27.5,,,
1995-02-07,26.25,26.9,26.25,26.55,,,
1995-02-14,25.6,25.6,25.6,25.6,,,
1995-02-15,25.25,25.25,24.5,24.5,,,
1995-02-16,25.25,25.25,25.25,25.25,,,
1995-02-21,23.75,23.75,22.5,22.5,,,
1995-02-22,24.0,24.0,24.0,24.0,,,
1995-02-23,23.7,23.75,23.7,23.75,,,
1995-02-28,23.15,23.15,23.15,23.15,,,
1995-03-01,23.5,23.5,23.5,23.5,,,
1995-03-02,22.25,22.25,22.25,22.25,,,
1995-03-03,21.9,21.9,21.9,21.9,,,
1995-03-09,20.5,20.5,20.5,20.5,,,
1995-03-10,21.25,21.25,21.25,21.25,,19.816004694960462,29.89399530503954
1995-03-13,21.25,22.5,21.25,22.0,,19.8876213898538,29.022378610146205
1995-03-14,21.75,22.5,21.75,22.1,,19.73870053332342,28.631299466676577
1995-03-15,22.5,22.5,22.5,22.5,,19.65087387637701,28.27912612362299
1995-03-16,22.5,22.5,22.5,22.5,,19.55656533174414,27.99843466825586
1995-03-20,20.0,21.25,20.0,21.25,,19.381504335945266,27.623495664054737
1995-03-21,20.75,20.75,20.5,20.5,,19.279452104608048,27.025547895391952
1995-03-22,20.5,20.5,20.0,20.0,,19.23891940439687,26.31608059560313
1995-03-23,21.25,21.25,21.25,21.25,,19.39466083599047,25.630339164009527
1995-03-24,21.25,21.75,21.25,21.5,,19.523093231470725,25.09190676852927
1995-03-27,22.0,22.0,21.75,21.75,,19.57640464950576,24.763595350494235
1995-03-28,21.75,22.5,21.75,22.5,,19.8708059761771,24.1941940238229
