Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-01-08,755.0,807.0,755.0,807.0,,,
2010-01-11,825.0,825.0,790.0,804.8,,,
2010-01-12,800.0,805.0,790.0,790.0,,,
2010-01-13,787.0,787.0,720.0,767.0,,,
2010-01-14,769.0,798.0,769.0,785.1,,,
2010-01-15,768.5,805.0,768.5,797.05,,,
2010-01-18,808.0,808.0,791.0,799.55,,,
2010-01-19,804.0,805.0,791.5,792.4,,,
2010-01-20,800.9,800.9,783.25,786.45,,,
2010-01-21,751.0,800.0,751.0,780.0,,,
2010-01-22,775.0,780.0,736.1,780.0,,,
2010-01-25,765.0,787.95,745.0,753.7,,,
2010-01-27,765.0,765.0,751.0,752.35,,,
2010-01-28,752.35,765.0,741.0,752.45,,,
2010-01-29,750.0,750.0,730.0,730.0,,,
2010-02-01,697.1,782.0,697.1,753.35,,,
2010-02-02,800.0,800.0,765.0,770.35,,,
2010-02-03,764.0,783.0,764.0,779.25,,,
2010-02-04,778.15,794.9,770.2,775.15,,,
2010-02-05,772.25,772.25,740.1,755.2,,733.830854783153,817.284145216847
2010-02-06,775.0,775.0,741.65,751.95,,732.5755410374309,813.0344589625693
2010-02-08,765.05,770.0,756.0,760.25,,732.9584752078051,808.1965247921951
2010-02-09,766.0,789.0,760.1,786.5,,733.1329629122278,807.6720370877723
2010-02-10,785.0,795.0,780.0,785.05,,733.5118803254239,809.0981196745762
2010-02-11,795.0,814.0,792.05,801.25,,732.4351715272205,811.7898284727794
2010-02-15,810.0,810.0,775.0,785.45,,733.0694996654339,809.9955003345661
2010-02-16,799.95,799.95,784.15,788.7,,733.9096661571834,808.0703338428166
2010-02-17,804.0,810.0,789.35,803.65,,732.8009910310784,810.3040089689216
2010-02-18,809.85,914.45,808.0,871.1,,716.914105573923,834.6558944260771
2010-02-19,860.0,884.95,845.0,865.95,,708.6976182524951,851.4673817475049
2010-02-22,880.0,890.0,874.5,880.2,,700.8290517526946,869.3559482473054
2010-02-23,893.0,928.0,872.0,914.15,,692.475256359627,893.754743640373
2010-02-24,920.0,940.0,910.0,923.4,,687.4569913351942,915.8780086648059
2010-02-25,939.0,939.6,910.0,916.2,,687.3256741869094,932.3843258130906
2010-02-26,862.05,919.95,862.05,907.3,,694.8688482513236,942.5711517486765
2010-03-02,949.4,949.4,892.0,898.2,,701.2687535860886,950.6562464139114
2010-03-03,900.0,900.0,863.0,869.95,,707.6528014718673,954.2321985281329
2010-03-04,883.9,900.0,865.0,889.75,,713.0278864871148,959.9071135128854
2010-03-05,895.0,895.0,881.25,885.7,,720.2270632471233,963.762936752877
2010-03-08,889.85,899.9,885.0,892.2,,732.3352177136142,965.3547822863859
2010-03-09,888.0,895.0,873.2,875.1,,747.3760481789958,962.6289518210041
2010-03-10,890.0,890.0,867.25,870.0,,762.4394888496645,958.5405111503355
2010-03-11,853.3,884.0,853.3,868.45,,772.9140642850152,956.2609357149847
2010-03-12,860.05,889.9,860.05,880.3,,785.5129023202236,953.1870976797765
2010-03-15,865.55,880.0,862.0,864.8,,794.9764405888646,950.0785594111352
2010-03-16,865.0,930.0,864.95,895.85,,811.684332703041,944.410667296959
2010-03-17,908.9,915.0,893.3,904.85,,831.5800397065271,936.1299602934727
2010-03-18,905.0,905.0,880.1,882.05,,851.5207007994051,924.0292992005949
2010-03-19,880.05,899.9,880.05,891.35,,853.3726670237345,924.2023329762656
2010-03-22,896.0,925.05,895.0,905.6,826.528,856.311781211078,925.2282187889217
2010-03-23,873.15,925.0,873.15,905.9,828.5060000000001,857.3406180266823,926.7693819733179
2010-03-25,910.0,920.0,890.1,891.7,830.2439999999999,857.811012698664,924.0539873013363
2010-03-26,910.7,915.95,900.0,909.05,832.625,859.5222424109368,920.9077575890631
2010-03-29,925.0,934.0,910.25,913.3,835.5509999999999,859.8706901438226,920.2693098561775
2010-03-30,915.05,920.0,870.0,887.3,837.595,859.9683921587257,918.1716078412742
2010-03-31,885.0,897.85,883.0,883.5,839.3240000000001,859.46266576443,917.2073342355701
2010-04-01,888.25,915.0,885.65,898.45,841.302,861.9132464331932,917.6067535668068
2010-04-05,905.0,914.0,888.0,906.1,843.5759999999999,861.7879647118922,919.3670352881078
2010-04-06,895.05,905.05,890.6,893.15,845.71,862.2334909026745,919.6665090973256
2010-04-07,915.95,916.0,900.05,905.05,848.211,862.1913851804643,920.9936148195357
2010-04-08,895.0,910.95,895.0,902.2,850.655,864.2574416632109,921.6375583367891
2010-04-09,872.05,907.5,872.05,890.2,853.385,867.3200654190842,920.594934580916
2010-04-12,888.05,903.0,883.5,894.3,856.2239999999999,871.4683175310794,919.0316824689206
2010-04-13,899.75,902.0,867.0,875.05,858.676,870.4084786713623,919.5665213286376
2010-04-15,864.0,906.95,864.0,900.0,862.076,876.634674162793,916.8603258372071
2010-04-16,900.15,905.0,880.0,890.0,864.8090000000001,876.1183103144008,916.7916896855991
2010-04-19,872.05,904.9,872.05,900.3,867.4079999999999,876.1865819886718,916.2684180113281
2010-04-20,893.05,912.0,893.05,907.2,869.967,878.0425044919929,916.9274955080072
2010-04-21,906.0,945.0,900.0,914.05,872.745,878.0668749975009,919.1731250024989
2010-04-22,907.5,950.0,907.5,935.8,876.357,873.7938051743488,926.4661948256514
2010-04-23,952.55,952.55,935.25,947.25,880.263,868.4926280266967,935.9023719733033
2010-04-26,944.75,950.0,917.25,938.35,883.825,867.5831477019116,941.4768522980884
2010-04-27,922.2,947.25,922.2,935.55,886.806,866.4094225679571,945.3005774320427
2010-04-28,923.05,933.95,923.05,927.0,889.645,866.0870956087931,946.9929043912068
2010-04-29,880.0,940.0,880.0,937.0,892.36,867.4577874654236,950.5922125345763
2010-04-30,940.0,940.0,935.0,935.0,895.3510000000001,870.3108527066685,952.8891472933316
2010-05-03,940.0,940.0,930.0,937.65,898.33,871.1916453743587,955.9283546256414
2010-05-04,930.0,945.0,911.05,924.1,900.739,871.9942664455718,956.9257335544282
2010-05-05,928.8,963.75,911.1,930.1,901.919,874.5359751358827,958.0790248641175
2010-05-06,980.0,980.0,929.05,942.45,903.449,875.1968498249088,961.1581501750912
2010-05-07,924.15,960.0,915.55,947.85,904.8020000000001,876.2218216802216,964.6981783197784
2010-05-10,952.1,953.95,923.0,933.05,905.18,880.432761848224,964.7722381517759
2010-05-11,925.55,934.95,925.55,933.3,905.378,884.3314859192477,964.7735140807523
2010-05-12,935.05,943.75,907.15,935.95,905.773,894.580176397161,960.6148236028391
2010-05-13,930.05,948.0,930.05,942.45,906.4760000000001,898.7801364273437,960.6598635726564
2010-05-14,942.5,969.0,942.5,946.8,907.448,907.0141979965426,958.1058020034575
2010-05-17,930.0,985.0,928.0,971.5,909.4789999999999,909.6746760675055,962.5653239324947
2010-05-18,899.0,1165.8,899.0,1130.4,914.2919999999999,858.1445300679926,1036.4154699320077
2010-05-19,1129.95,1129.95,1056.0,1069.9,917.9760000000001,852.0075257310834,1058.1374742689165
2010-05-20,1100.0,1108.95,1051.5,1060.3,921.3379999999999,848.5493107275761,1074.0456892724237
2010-05-21,1020.0,1218.0,1010.0,1095.8,925.752,841.261512968162,1096.1884870318381
2010-05-24,1109.4,1109.4,1045.0,1065.0,929.6519999999999,841.5090137329883,1108.605986267012
2010-05-25,1064.0,1119.0,1025.0,1029.85,932.88,845.4406701903838,1114.1043298096163
2010-05-26,1043.0,1089.0,1025.0,1037.5,936.0239999999999,851.015034651766,1119.579965348234
2010-05-27,1020.0,1050.0,1020.0,1028.0,939.288,856.2906819116133,1123.4043180883868
2010-05-28,1060.0,1060.0,1010.05,1025.35,941.8779999999999,862.5183702005495,1126.2116297994505
2010-05-31,1028.0,1035.5,1005.0,1016.55,944.112,868.9096762389162,1127.710323761084
2010-06-01,1005.25,1088.4,1005.25,1044.65,947.364,878.3051195533376,1130.3698804466624
2010-06-02,1035.0,1055.0,1020.0,1028.45,950.1059999999999,887.828102346787,1130.6818976532127
2010-06-03,1067.5,1067.5,1025.0,1030.5,952.6039999999999,896.1060453088751,1131.208954691125
2010-06-04,1030.0,1078.4,1022.05,1056.45,955.615,904.3355850979653,1133.8394149020346
2010-06-07,1049.0,1090.0,1036.2,1081.2,959.405,916.083235275976,1136.9067647240242
2010-06-08,1085.0,1211.85,1070.25,1142.95,964.0829999999999,924.0407199437525,1149.9142800562474
2010-06-09,1145.1,1188.0,1132.0,1161.65,969.05,932.7548749384141,1163.770125061586
2010-06-10,1140.05,1180.0,1140.05,1147.05,974.245,946.2482349958793,1170.7367650041203
2010-06-11,1159.0,1167.95,1140.0,1146.7,979.5089999999999,962.7056695285331,1174.2693304714667
2010-06-14,1085.0,1164.95,1085.0,1130.15,984.143,977.7032579655604,1175.1367420344397
2010-06-15,1131.2,1184.0,1118.0,1151.7,989.055,975.8983447429478,1179.071655257052
2010-06-16,1158.0,1165.0,1115.0,1136.05,993.913,975.9891087581665,1185.5958912418337
2010-06-17,1144.95,1149.8,1118.05,1126.15,998.335,977.864409766877,1190.3055902331232
2010-06-18,1140.0,1140.85,1116.15,1120.05,1002.6920000000001,977.9660386046452,1192.6289613953545
2010-06-21,1121.1,1143.55,1097.9,1109.45,1007.077,980.1173958955351,1194.9226041044649
2010-06-22,1125.0,1130.0,1105.0,1120.2,1011.595,987.2803729971364,1196.7946270028635
2010-06-23,1118.0,1139.9,1096.0,1125.1,1016.596,993.9614849188193,1198.8735150811806
2010-06-24,1119.2,1139.0,1110.0,1117.25,1020.941,1003.3131516613549,1198.446848338645
2010-06-25,1105.0,1128.9,1082.55,1092.75,1024.996,1013.2314304660895,1195.2685695339105
2010-06-28,1090.0,1181.0,1090.0,1107.65,1029.143,1027.6863545997082,1189.9236454002914
2010-06-29,1049.85,1175.0,1049.85,1156.75,1034.134,1036.529317982068,1192.290682017932
2010-06-30,1165.0,1165.0,1123.0,1130.9,1038.471,1052.7750421079427,1186.2899578920574
2010-07-01,1155.0,1156.0,1111.0,1118.15,1042.118,1071.883328470973,1175.9466715290268
2010-07-02,1129.95,1178.0,1120.0,1157.85,1046.33,1085.588151945655,1172.3818480543453
2010-07-05,1141.6,1198.0,1141.6,1187.5,1051.313,1089.5287098571873,1179.0712901428126
2010-07-06,1170.25,1266.2,1170.25,1241.45,1057.431,1073.6226693289564,1204.827330671044
2010-07-07,1201.0,1268.7,1192.35,1224.95,1063.39,1066.8735842175302,1217.9064157824696
2010-07-08,1249.95,1261.9,1221.0,1226.45,1069.1789999999999,1061.9835091359828,1230.7364908640175
2010-07-09,1236.0,1243.8,1222.05,1227.3,1075.025,1058.57386450715,1242.2061354928499
2010-07-12,1239.9,1254.0,1214.0,1243.7,1081.146,1055.8615212152497,1256.27347878475
2010-07-13,1244.2,1255.0,1234.0,1237.9,1087.422,1053.752883137608,1267.002116862392
2010-07-14,1243.0,1249.9,1225.35,1237.15,1093.563,1054.1784319490114,1276.6865680509884
2010-07-15,1225.0,1246.5,1215.15,1220.8,1099.13,1057.8988824137311,1282.4311175862692
2010-07-16,1230.4,1230.4,1210.1,1216.9,1104.511,1063.4905563971306,1286.5244436028693
2010-07-19,1200.25,1233.0,1200.25,1219.9,1110.248,1071.777526827884,1289.2824731721164
2010-07-20,1222.3,1230.9,1206.0,1222.15,1116.025,1079.2502642327886,1292.0047357672115
2010-07-21,1229.95,1229.95,1205.65,1209.85,1121.503,1086.9439004293033,1292.7860995706972
2010-07-22,1218.0,1219.0,1200.0,1204.5,1126.744,1097.0286345366235,1291.426365463377
2010-07-23,1192.0,1224.4,1181.1,1203.9,1131.886,1115.113062810825,1284.4569371891755
2010-07-26,1215.0,1215.0,1190.3,1192.9,1136.314,1131.138735997171,1276.9562640028294
2010-07-27,1185.55,1200.95,1185.0,1189.2,1137.49,1135.8126084233463,1275.5273915766538
2010-07-28,1194.7,1194.7,1166.05,1170.1,1139.494,1144.754848854431,1270.5051511455688
2010-07-29,1199.85,1224.0,1150.0,1154.05,1141.3690000000001,1155.9601911116024,1262.8898088883975
2010-07-30,1159.95,1159.95,1138.0,1141.5,1142.2830000000001,1151.4497931935894,1265.7652068064108
2010-08-02,1130.0,1150.1,1122.0,1137.35,1143.73,1141.17150491746,1271.0284950825398
2010-08-03,1139.95,1150.0,1127.0,1136.25,1145.858,1131.1026461190634,1270.5773538809365
2010-08-04,1131.7,1186.0,1131.55,1180.2,1148.7120000000002,1129.2517403183626,1267.9532596816377
2010-08-05,1180.0,1185.0,1150.15,1156.55,1151.2830000000001,1124.6296029422458,1265.5853970577543
2010-08-06,1155.95,1174.95,1155.05,1159.7,1153.9700000000003,1121.266264109923,1262.1887358900774
2010-08-09,1140.0,1194.4,1134.4,1185.5,1157.3490000000002,1122.7218573774837,1254.9131426225165
2010-08-10,1185.5,1240.0,1150.0,1163.65,1159.729,1122.3612949267817,1247.8487050732183
2010-08-11,1152.0,1186.8,1135.0,1158.05,1162.3210000000001,1122.3727756247172,1239.927224375283
2010-08-12,1159.0,1170.0,1155.0,1161.1,1164.933,1121.8542167006294,1234.4757832993705
2010-08-13,1168.8,1168.8,1144.0,1149.4,1166.792,1120.1890399159097,1229.3909600840907
2010-08-16,1157.95,1157.95,1135.6,1139.0,1167.948,1118.2698840928117,1223.2201159071885
2010-08-17,1149.95,1149.95,1125.55,1128.8,1167.6650000000002,1116.3181266434024,1215.8368733565974
2010-08-18,1126.05,1172.0,1126.05,1152.3,1167.478,1117.6179975498271,1208.782002450173
2010-08-19,1180.0,1189.95,1145.55,1159.0,1167.7169999999999,1119.6873000794662,1202.1626999205337
2010-08-20,1166.0,1170.0,1151.2,1160.3,1167.989,1122.803250342809,1194.6867496571908
2010-08-23,1160.0,1180.0,1147.85,1171.45,1168.815,1124.8798744650903,1190.46512553491
2010-08-24,1171.0,1180.0,1155.0,1162.35,1169.028,1126.9511963269044,1185.7088036730954
2010-08-25,1168.8,1168.8,1125.0,1152.6,1169.3590000000002,1126.7687498552436,1184.1412501447567
2010-08-26,1148.0,1175.0,1140.0,1168.8,1170.212,1126.9061950453995,1185.4788049546007
2010-08-27,1170.0,1185.0,1145.0,1160.6,1171.0230000000001,1128.6432717818052,1185.6517282181944
2010-08-30,1159.0,1173.9,1136.6,1143.9,1171.712,1129.7897673792995,1185.1602326207003
2010-08-31,1127.0,1144.95,1122.05,1129.35,1171.895,1128.1876725920563,1186.0723274079435
2010-09-01,1141.95,1145.0,1130.0,1138.1,1172.155,1127.0393927969137,1183.0106072030865
2010-09-02,1147.95,1148.0,1128.1,1131.6,1172.442,1123.9165860118173,1183.6384139881825
2010-09-03,1139.95,1149.5,1120.0,1130.05,1173.188,1120.7741981801298,1183.8158018198699
2010-09-06,1133.0,1148.0,1133.0,1136.0,1173.755,1121.685522181772,1177.9544778182278
2010-09-07,1135.55,1145.95,1130.25,1135.25,1173.325,1120.3378696836144,1176.4621303163858
2010-09-08,1125.8,1164.95,1125.0,1141.6,1173.539,1119.7429044303603,1175.4120955696394
2010-09-09,1155.0,1155.0,1136.2,1142.5,1174.026,1119.4803473297327,1173.814652670267
2010-09-13,1150.0,1154.95,1112.05,1115.75,1173.184,1114.5426380722627,1175.3873619277367
2010-09-14,1120.0,1124.9,1105.0,1112.6,1171.6860000000001,1110.0114187236516,1177.2785812763484
2010-09-15,1117.95,1118.95,1096.7,1110.25,1169.062,1106.4409848334267,1178.9940151665733
2010-09-16,1111.0,1135.0,1100.0,1121.65,1166.996,1104.0338846948023,1178.3361153051976
2010-09-17,1144.95,1145.0,1115.0,1119.95,1164.866,1101.9193687570057,1176.545631242994
2010-09-20,1121.95,1130.55,1107.5,1112.1,1162.562,1099.0156435486124,1174.6293564513876
2010-09-21,1114.95,1120.05,1102.0,1114.1,1159.97,1098.5855231204105,1169.3244768795894
2010-09-22,1105.05,1120.0,1105.05,1110.15,1157.415,1097.1123301624095,1165.5776698375905
2010-09-23,1099.0,1129.85,1099.0,1126.95,1155.211,1097.2919921582002,1162.8330078417998
2010-09-24,1132.3,1140.0,1118.0,1121.0,1153.215,1100.2639059770531,1155.0810940229467
2010-09-27,1143.8,1143.8,1105.35,1109.9,1151.075,1101.4222400893334,1148.8527599106667
2010-09-28,1124.9,1125.0,1101.4,1104.65,1148.77,1099.5011525596185,1146.8488474403814
2010-09-29,1114.95,1160.0,1105.0,1127.0,1146.867,1099.4896075904005,1146.6253924095997
2010-09-30,1125.0,1143.0,1120.0,1126.4,1145.198,1099.9176901500523,1145.0273098499474
2010-10-01,1137.0,1150.0,1125.0,1138.95,1143.887,1099.4354885141001,1146.2445114858997
2010-10-04,1145.0,1145.0,1129.0,1139.65,1142.6019999999999,1098.9202717875592,1147.7197282124412
2010-10-05,1140.0,1148.0,1131.0,1143.65,1141.617,1098.2487343805594,1149.1562656194403
2010-10-06,1125.0,1152.95,1125.0,1139.35,1140.62,1098.0001493869333,1149.8148506130667
2010-10-07,1140.0,1154.45,1130.0,1140.2,1140.0220000000002,1098.1245936564833,1149.550406343517
2010-10-08,1125.1,1144.95,1125.1,1139.65,1139.734,1098.3892091087737,1149.0007908912262
2010-10-11,935.0,1160.0,935.0,1138.15,1139.667,1099.0118769740243,1150.6181230259758
2010-10-12,1130.0,1143.4,1130.0,1139.65,1139.713,1100.22488569764,1152.11011430236
2010-10-13,1154.45,1154.45,1136.0,1139.5,1139.778,1102.1722868683444,1153.0877131316554
2010-10-14,1103.3,1155.0,1103.3,1147.8,1139.13,1102.12301304751,1155.75198695249
2010-10-15,1131.0,1153.75,1131.0,1142.2,1138.843,1102.9606935062054,1157.1393064937945
2010-10-18,1146.0,1149.4,1115.0,1127.9,1138.2069999999999,1105.0651326002896,1156.6148673997102
2010-10-19,1130.0,1137.95,1126.0,1128.4,1137.065,1106.9694479740638,1156.1405520259364
2010-10-20,1090.0,1165.0,1090.0,1136.75,1136.527,1110.385547375102,1155.384452624898
2010-10-21,1148.2,1149.95,1101.0,1133.75,1136.0410000000002,1110.898322541973,1155.551677458027
2010-10-22,1148.0,1157.95,1136.75,1152.65,1135.872,1111.6577523601559,1157.957247639844
2010-10-25,1157.9,1166.8,1145.25,1157.35,1136.031,1115.0760256015,1159.2839743985
2010-10-26,1160.0,1160.0,1150.0,1159.9,1136.4489999999998,1121.4398607857208,1158.445139214279
2010-10-27,1174.5,1174.5,1131.5,1154.25,1136.9579999999999,1122.8019732206037,1159.808026779396
2010-10-28,1155.0,1198.0,1155.0,1180.05,1137.513,1119.8767058460135,1168.098294153987
2010-10-29,1161.35,1218.0,1161.35,1195.7,1138.247,1113.5823593423472,1180.0676406576529
2010-11-01,1190.0,1239.0,1176.0,1212.5,1139.291,1106.349318105419,1194.585681894581
2010-11-02,1230.0,1230.0,1205.1,1222.9,1140.32,1099.8860978370906,1208.9739021629096
2010-11-03,1223.0,1249.0,1220.0,1243.2,1141.9370000000001,1092.7449333498007,1226.5000666501992
2010-11-04,1258.0,1278.9,1227.0,1267.7,1144.239,1084.2590308309207,1247.7359691690792
2010-11-05,1295.9,1319.0,1268.0,1307.45,1147.012,1072.1572445392105,1276.6177554607896
2010-11-08,1283.0,1347.9,1283.0,1334.15,1150.483,1061.127848760622,1307.247151239378
2010-11-09,1346.0,1375.0,1340.0,1364.3,1154.891,1050.4219876724273,1340.4180123275723
2010-11-10,1341.0,1533.5,1341.0,1446.8,1161.24,1030.021004108877,1391.5489958911232
2010-11-11,1446.8,1509.95,1430.0,1443.35,1167.345,1019.874394581806,1431.250605418194
2010-11-12,1458.0,1460.0,1393.0,1408.85,1172.89,1021.7116069642382,1456.0783930357618
2010-11-15,1393.0,1490.0,1392.25,1470.0,1179.689,1022.3610590315859,1489.638940968414
2010-11-16,1470.0,1500.0,1435.1,1444.3,1185.855,1031.8500613600122,1511.7399386399875
2010-11-18,1504.95,1504.95,1405.15,1453.5,1192.22,1043.4421077690708,1531.822892230929
2010-11-19,1439.0,1449.0,1410.1,1424.95,1197.887,1061.9409207292163,1542.4440792707835
2010-11-22,1411.0,1440.0,1387.0,1410.65,1203.2500000000002,1081.0228876036688,1549.1621123963316
2010-11-23,1397.0,1445.0,1380.0,1429.5,1209.525,1101.706436446455,1555.6935635535451
2010-11-24,1500.0,1699.0,1421.5,1474.15,1216.7559999999999,1123.1845968512796,1565.6404031487202
2010-11-25,1490.0,1510.0,1334.75,1400.6,1222.563,1153.3717100158838,1560.0882899841163
2010-11-26,1385.0,1385.0,1292.05,1320.9,1226.5479999999998,1177.1062611925306,1550.438738807469
2010-11-29,1348.0,1398.8,1320.0,1366.4,1231.4769999999999,1203.2158298294871,1541.3991701705131
2010-11-30,1365.0,1435.0,1355.0,1410.4,1237.443,1230.1870247663012,1534.217975233699
2010-12-01,1410.0,1459.0,1391.3,1438.5,1243.931,1259.0270467800226,1526.9379532199775
2010-12-02,1450.0,1477.0,1410.0,1423.35,1250.195,1287.6507190948973,1516.3292809051027
