Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-09-01,250.0,255.0,237.5,237.5,,,
2017-09-04,225.65,225.65,225.65,225.65,,,
2017-09-05,214.4,214.4,214.4,214.4,,,
2017-09-06,203.7,203.7,203.7,203.7,,,
2017-09-07,193.55,213.85,193.55,206.95,,,
2017-09-08,201.0,205.1,198.4,201.25,,,
2017-09-11,202.9,204.7,192.4,193.85,,,
2017-09-12,195.0,198.0,184.45,187.05,,,
2017-09-13,194.7,196.4,192.7,196.4,,,
2017-09-14,205.9,206.2,201.4,206.2,,,
2017-09-15,209.5,211.55,202.25,203.25,,,
2017-09-18,206.45,206.45,199.05,199.95,,,
2017-09-19,200.0,203.9,197.7,198.65,,,
2017-09-20,199.0,200.2,195.0,195.4,,,
2017-09-21,196.2,197.5,190.6,195.45,,,
2017-09-22,193.25,198.75,189.05,190.25,,,
2017-09-25,190.0,191.5,183.6,188.25,,,
2017-09-26,190.25,193.3,188.5,189.55,,,
2017-09-27,191.0,191.0,180.0,180.45,,,
2017-09-28,181.9,182.5,173.5,175.9,,170.67761172249706,228.32738827750293
2017-09-29,177.65,190.9,177.45,183.75,,173.38973024364725,220.24026975635275
2017-10-03,186.7,187.0,182.65,184.35,,175.04071818980498,214.45928181019502
2017-10-04,184.8,189.0,184.0,185.15,,175.4672018454856,211.1077981545144
2017-10-05,185.0,186.0,180.25,181.15,,174.26029109322255,210.05970890677744
2017-10-06,182.3,182.95,180.25,180.6,,173.66190277369176,208.0230972263083
2017-10-09,181.5,182.9,179.5,179.9,,172.66420008637206,206.88579991362795
2017-10-10,180.0,184.4,179.3,180.25,,171.58966547471584,206.6003345252841
2017-10-11,182.0,183.1,178.1,178.7,,170.57857665313242,206.7764233468676
2017-10-12,180.05,180.8,178.0,178.1,,169.45826192301502,206.06673807698496
2017-10-13,180.0,187.75,179.2,183.25,,170.4217557946304,202.80824420536962
2017-10-16,184.85,188.0,180.05,180.8,,171.14756599600588,199.83743400399413
2017-10-17,181.7,184.7,181.15,182.05,,171.9130513780809,197.2819486219191
2017-10-18,182.35,182.9,179.5,179.95,,172.6994580191589,194.6255419808411
2017-10-19,181.0,184.45,180.9,183.5,,173.5965318952018,192.53846810479826
2017-10-23,184.85,185.25,179.6,179.85,,174.73516505258834,189.83983494741165
2017-10-24,180.75,182.65,179.85,180.3,,175.1960953186015,188.3839046813985
2017-10-25,181.8,182.6,173.7,175.9,,174.8170237041297,187.52797629587027
