Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2013-07-17,174.0,174.0,165.3,166.0,,,
2013-07-18,157.7,165.0,157.7,164.85,,,
2013-07-19,160.0,161.8,156.65,156.65,,,
2013-07-22,150.0,155.0,148.85,149.6,,,
2013-07-23,142.5,147.0,142.15,144.55,,,
2013-07-24,137.5,144.95,137.5,142.0,,,
2013-07-25,135.15,139.0,134.9,135.65,,,
2013-07-26,128.9,142.4,128.9,142.4,,,
2013-07-29,135.5,149.5,135.5,141.4,,,
2013-07-30,136.0,148.45,135.0,146.0,,,
2013-07-31,140.0,164.9,131.0,154.2,,,
2013-08-01,158.8,164.95,155.0,161.35,,,
2013-08-02,163.0,172.0,155.0,155.35,,,
2013-08-05,155.0,164.0,152.15,158.75,,,
2013-08-06,153.0,160.0,130.25,147.5,,,
2013-08-07,145.0,152.0,144.0,147.35,,,
2013-08-08,141.1,154.4,141.0,144.05,,,
2013-08-12,145.0,153.7,143.25,144.4,,,
2013-08-13,137.25,153.8,137.25,148.25,,,
2013-08-14,147.25,153.9,147.25,152.4,,133.53829455648057,166.73170544351942
2013-08-16,152.4,152.4,142.5,143.55,,133.96972327563998,164.05527672436
2013-08-19,142.0,147.0,137.0,139.6,,134.133098737231,161.366901262769
2013-08-20,138.0,145.0,136.05,139.55,,133.48522744413614,160.30477255586388
2013-08-21,140.1,143.75,138.25,139.0,,132.57293134099396,160.15706865900606
2013-08-22,127.0,140.3,127.0,136.5,,131.4941361453142,160.4308638546858
2013-08-23,135.1,137.0,128.0,130.8,,129.49313582599694,161.31186417400306
2013-08-26,132.0,139.7,130.0,135.9,,129.53753831767546,161.29246168232453
2013-08-27,132.0,133.0,130.1,132.15,,127.98746542312604,161.81753457687395
2013-08-28,131.9,135.25,121.5,133.05,,126.81081126703634,162.15918873296368
2013-08-29,133.05,133.05,127.0,130.15,,124.91722860943226,162.4677713905678
2013-08-30,130.0,131.0,126.0,127.0,,122.83531329335737,161.82968670664263
2013-09-02,125.4,129.95,125.1,126.2,,121.97968366836204,159.17031633163793
2013-09-03,125.0,127.9,121.0,124.55,,120.4903142808769,157.57968571912315
2013-09-04,124.5,133.85,116.0,125.9,,120.45023658941403,154.33476341058594
2013-09-05,125.0,129.0,122.05,125.35,,119.22923696718401,153.34076303281606
2013-09-06,125.0,125.0,121.1,123.3,,117.92056921057404,152.24443078942596
2013-09-10,128.95,130.8,121.0,129.25,,117.536007676778,151.148992323222
2013-09-11,122.5,128.5,122.5,125.45,,116.84113576675753,149.9488642332425
2013-09-12,124.15,135.0,119.0,124.75,,116.80915624428206,147.63084375571793
2013-09-13,124.0,127.65,123.1,124.05,,118.25845234468002,143.34654765532
2013-09-16,123.7,126.7,120.05,121.6,,118.0473889781468,141.36261102185318
2013-09-17,118.05,123.0,117.6,119.0,,117.05838304523756,140.29161695476247
2013-09-18,124.0,124.0,116.1,118.6,,116.36706741038549,138.88793258961454
2013-09-19,120.0,122.0,119.5,120.55,,116.38359148738897,137.02640851261103
2013-09-20,120.0,121.75,116.0,118.15,,115.87807466215601,135.69692533784396
2013-09-23,111.0,118.9,111.0,115.75,,114.46457950346003,135.60542049653998
2013-09-24,111.5,126.0,107.05,118.1,,114.46659756549678,133.82340243450324
2013-09-25,113.0,118.75,113.0,114.2,,113.36767073448246,133.12732926551752
2013-09-26,109.0,121.0,109.0,119.85,,113.75699813669226,131.41800186330775
2013-09-27,116.6,120.0,115.0,116.9,136.029,113.5048174791637,130.3451825208363
2013-09-30,113.0,117.0,110.0,111.75,134.944,111.95244399697084,130.37255600302916
2013-10-01,111.25,116.0,105.0,107.95,133.80599999999998,109.63263587077202,130.86736412922798
2013-10-03,110.0,117.9,108.05,116.55,133.004,109.31224831729742,130.38775168270257
2013-10-04,119.0,121.85,110.25,111.55,132.243,108.37731642722008,129.88768357277993
2013-10-07,113.7,116.0,111.0,111.6,131.584,107.60570015856115,129.2842998414388
2013-10-08,112.0,114.8,111.0,111.15,130.967,106.78409495187665,128.89090504812336
2013-10-09,110.05,113.55,110.0,110.2,130.458,106.72537402263333,127.04462597736665
2013-10-10,112.8,112.8,110.0,110.05,129.811,106.36242409195968,125.86757590804028
2013-10-11,112.8,113.9,110.0,111.15,129.206,106.34335548429314,124.52664451570683
2013-10-14,112.0,112.0,110.0,110.0,128.486,106.2960331041844,123.1689668958156
2013-10-15,109.3,109.3,101.15,105.15,127.505,105.093651549537,122.72634845046302
2013-10-17,103.6,106.7,101.65,103.4,126.346,103.48807400764319,122.77192599235686
2013-10-18,103.1,110.0,102.15,108.1,125.40100000000001,103.0743348108671,122.13566518913288
2013-10-21,110.0,111.0,102.1,104.4,124.314,102.36499879685411,121.23000120314592
2013-10-22,104.0,106.8,103.0,105.2,123.46799999999999,101.77584740672069,120.52415259327933
2013-10-23,104.5,106.8,102.6,104.25,122.60599999999998,100.98067602008568,120.16932397991432
2013-10-24,104.2,106.0,101.3,102.1,121.76700000000001,100.15438069615821,119.3956193038418
2013-10-25,101.1,105.0,100.5,103.55,120.95,99.47530059533413,119.00969940466591
2013-10-28,101.55,104.0,101.0,102.65,120.038,99.5651561464601,117.19984385353992
2013-10-29,101.65,103.5,101.4,101.75,119.025,99.29929471930268,115.95070528069732
2013-10-30,101.65,103.0,101.65,102.1,118.196,98.7055964148426,115.5794035851574
2013-10-31,100.05,103.5,100.05,101.25,117.429,97.98245937090137,115.63254062909864
2013-11-01,101.0,101.75,97.5,98.2,116.602,97.5262561895827,114.25374381041733
2013-11-03,99.5,101.0,98.0,99.05,115.80300000000001,96.81439429140828,113.71560570859175
2013-11-05,98.1,101.0,95.05,97.9,115.031,96.07072332841022,113.08927667158977
2013-11-06,98.0,99.7,97.15,98.2,114.37899999999999,95.55846274190415,112.30653725809586
2013-11-07,98.0,98.0,94.8,95.25,113.56599999999999,94.50325266193016,111.86674733806981
2013-11-08,96.0,96.0,90.05,92.15,112.766,92.92440787833196,111.65559212166805
2013-11-11,94.9,94.9,88.15,89.05,111.88600000000001,91.03848906221934,111.33151093778066
2013-11-12,88.7,92.6,80.7,84.5,110.97300000000001,88.14749937077121,111.67250062922878
2013-11-13,84.0,84.0,81.0,81.6,110.065,84.68550088237699,112.77949911762302
2013-11-14,81.55,84.95,81.55,83.8,109.21700000000001,82.40222227235726,113.10277772764273
2013-11-18,83.0,84.0,82.05,82.7,108.38,80.54514649190212,112.41985350809789
2013-11-19,81.75,82.9,80.25,80.5,107.472,78.30026407974208,112.27473592025791
2013-11-20,80.3,83.9,77.35,82.75,106.62,76.97001603129027,111.35998396870971
2013-11-21,82.2,82.85,81.0,81.3,105.78,75.59466939427571,110.44033060572428
2013-11-22,81.3,82.0,77.05,79.9,104.79299999999999,74.09667316260831,109.71832683739169
2013-11-25,78.5,81.5,77.05,78.35,103.851,72.73938731328808,108.55561268671194
2013-11-26,77.05,79.95,76.05,77.15,102.899,71.43144226553096,107.31355773446904
2013-11-27,76.7,77.8,75.0,76.5,101.948,70.28300686569665,105.93699313430335
2013-11-28,75.05,88.0,75.05,81.6,101.148,70.31908532954989,103.85091467045012
2013-11-29,85.0,96.15,82.5,87.1,100.51,70.99092091985857,101.76407908014146
2013-12-02,86.5,89.95,85.0,86.25,99.86300000000001,71.43352051253747,100.12647948746253
2013-12-03,87.75,89.0,85.0,86.2,99.176,72.21278377589447,98.06221622410554
2013-12-04,85.0,87.9,85.0,86.55,98.54400000000001,73.08864669630871,96.0513533036913
2013-12-05,86.0,86.8,85.0,85.15,97.932,74.37869973338951,93.45630026661047
2013-12-06,83.05,86.0,83.05,84.25,97.255,75.44908209582016,91.28591790417983
2013-12-09,86.8,92.0,84.9,87.3,96.71700000000001,76.09143386100965,90.15856613899032
2013-12-10,85.1,90.0,85.0,85.0,96.02,76.39196645204044,89.45303354795954
2013-12-11,85.0,91.9,85.0,90.3,95.48800000000001,75.91672797274637,90.50827202725364
2013-12-12,90.0,98.95,87.0,97.3,95.199,74.41278217476142,93.58221782523859
2013-12-13,96.5,99.8,91.0,98.5,95.01,73.16260826598561,96.30239173401439
2013-12-16,97.0,98.0,94.05,94.35,94.566,73.0252909974079,97.6047090025921
2013-12-17,93.0,97.2,87.15,88.55,94.10600000000001,73.56525199483981,97.86974800516019
2013-12-18,86.0,91.95,85.0,85.45,93.583,73.77932508071918,97.92567491928081
2013-12-19,83.2,88.45,82.25,82.8,93.016,73.95518654462903,97.89981345537096
2013-12-20,86.0,99.3,81.15,81.7,92.446,74.21004138489823,97.82495861510176
2013-12-23,83.2,85.6,82.0,83.35,91.912,74.9416899325398,97.59331006746022
2013-12-24,84.85,85.8,81.6,85.0,91.38900000000001,76.14987455631106,97.17012544368893
2013-12-26,84.0,89.0,84.0,85.3,90.895,77.70291198520164,96.49708801479835
2013-12-27,85.5,85.95,85.0,85.45,90.501,78.2175909820438,96.3674090179562
2013-12-30,84.55,85.1,83.55,83.85,90.11,77.92511571301331,96.33488428698668
2013-12-31,83.1,90.25,83.1,89.65,89.741,78.0381370522378,96.5618629477622
2014-01-01,89.9,91.0,87.0,88.8,89.429,78.1601620975977,96.69983790240231
2014-01-02,88.9,91.0,85.3,85.85,89.042,78.10590622515484,96.68409377484515
2014-01-03,85.7,86.95,84.0,84.8,88.653,78.06929903186817,96.68570096813183
2014-01-06,85.95,87.9,83.55,86.55,88.34200000000001,78.29076818359582,96.69423181640417
2014-01-07,85.5,87.65,84.55,85.1,87.973,78.11868954152783,96.64631045847219
2014-01-08,88.4,89.75,85.05,86.9,87.65800000000002,78.27781608094612,96.67718391905389
2014-01-09,86.3,88.7,86.0,86.3,87.34899999999999,78.16264948010817,96.39235051989183
2014-01-10,86.3,86.3,85.1,85.25,87.01199999999999,78.84748442991186,94.50251557008814
2014-01-13,85.5,86.9,85.0,85.05,86.68799999999999,80.4812992343414,91.52370076565859
2014-01-14,84.75,85.9,84.75,85.05,86.425,81.6523223640186,89.42267763598139
2014-01-15,85.0,87.0,84.8,86.25,86.169,81.78447349623764,89.06052650376236
2014-01-16,85.1,88.0,85.1,87.3,85.95700000000001,81.78121399987775,89.24878600012225
2014-01-17,86.0,88.1,85.55,86.25,85.71800000000002,82.16929546389542,89.20570453610458
2014-01-20,84.6,86.5,84.6,85.95,85.53200000000001,82.92430901435021,88.8756909856498
2014-01-21,85.95,88.5,85.7,87.8,85.445,83.28747934659457,88.95752065340541
2014-01-22,86.1,89.25,86.1,86.85,85.40099999999998,83.41366573144462,89.01633426855538
2014-01-23,86.05,87.2,86.05,86.15,85.434,83.48901666070171,89.02598333929828
2014-01-24,86.0,86.8,86.0,86.0,85.522,83.53945815912921,89.03054184087078
2014-01-27,84.0,85.0,84.0,84.55,85.537,83.68973085228035,88.95026914771964
2014-01-28,84.55,86.95,84.5,84.6,85.575,83.84529744161372,88.28970255838627
2014-01-29,84.5,86.5,84.5,84.55,85.656,83.9416397703534,87.76836022964658
2014-01-30,84.0,86.7,84.0,84.9,85.699,83.84702878919552,87.76797121080449
2014-01-31,83.6,85.5,83.15,84.05,85.75399999999999,83.70260906862538,87.83739093137464
2014-02-03,84.05,86.2,84.0,84.8,85.852,83.60599610618597,87.75900389381401
2014-02-04,83.1,85.9,83.0,83.1,85.947,83.21556216034001,87.94943783965998
2014-02-05,83.05,85.7,83.05,84.25,86.08900000000001,83.0969504668972,87.80304953310281
2014-02-06,82.5,84.75,82.5,84.0,86.23900000000002,82.93256702268336,87.73743297731663
2014-02-07,85.8,85.8,83.35,84.95,86.306,82.91159366953917,87.72840633046081
2014-02-10,83.1,85.2,83.1,85.0,86.264,82.90781013133845,87.72718986866154
2014-02-11,85.0,85.9,85.0,85.05,86.24,82.90781013133845,87.72718986866154
2014-02-12,85.05,87.0,85.0,86.3,86.24199999999999,82.906136532014,87.73386346798601
2014-02-13,86.3,87.95,85.05,85.65,86.22399999999999,83.00240315764415,87.47259684235584
2014-02-14,85.1,99.0,85.05,89.55,86.31200000000001,82.47325094948003,88.33174905051997
2014-02-17,92.5,92.5,86.3,86.95,86.366,82.45066284323056,88.45433715676944
2014-02-18,86.1,87.9,85.35,85.4,86.32799999999999,82.54129671298456,88.12370328701546
2014-02-19,85.15,86.45,85.0,85.2,86.332,82.55165742879983,87.94834257120017
2014-02-20,85.1,85.6,85.0,85.45,86.235,82.54783118763427,87.88216881236573
2014-02-21,84.2,86.4,84.2,85.1,85.991,82.52834979805314,87.81165020194686
2014-02-24,85.9,86.0,85.0,85.5,85.73100000000001,82.58865694849504,87.84634305150496
2014-02-25,85.5,88.35,85.1,86.05,85.565,82.6528963256167,87.92710367438329
2014-02-26,85.25,86.0,85.05,85.15,85.49699999999999,82.70478138179142,87.9352186182086
2014-02-28,85.05,85.95,85.0,85.1,85.49,82.72001915716375,87.93998084283625
2014-03-03,85.0,89.25,85.0,87.2,85.57799999999999,82.82313970352246,88.15186029647754
2014-03-04,87.0,89.5,86.15,89.0,85.72399999999999,82.62976038983722,88.7652396101628
2014-03-05,87.4,92.0,86.0,88.4,85.825,82.92399707915686,89.00100292084315
2014-03-06,88.4,92.5,88.4,90.45,85.934,82.7440479762107,89.80095202378932
2014-03-07,91.0,92.5,88.0,88.65,86.001,82.99427957611131,90.01572042388871
2014-03-10,85.1,90.0,85.1,86.0,86.01199999999999,83.1139285675336,90.0010714324664
2014-03-11,86.9,87.0,83.45,84.05,86.016,82.95167395950024,90.06832604049977
2014-03-12,83.25,84.5,81.0,81.95,85.862,82.29428966546185,90.41571033453816
2014-03-13,82.0,84.35,81.55,83.15,85.74900000000001,81.89089858015092,90.50410141984906
2014-03-14,82.0,83.8,82.0,83.1,85.694,81.54947371485254,90.59052628514748
2014-03-18,81.1,83.9,81.1,83.3,85.664,81.38831664863248,90.12668335136753
2014-03-19,83.9,84.5,82.2,83.65,85.60599999999998,81.16408992532918,90.02091007467082
2014-03-20,83.65,84.0,82.65,82.7,85.558,80.84364500718661,90.07135499281341
2014-03-21,81.9,85.5,81.9,83.95,85.499,80.73284553982832,90.05715446017167
2014-03-22,84.3,85.9,82.7,85.45,85.48200000000001,80.73284553982833,90.05715446017169
2014-03-24,85.0,85.0,81.0,83.55,85.44800000000001,80.58371604566831,90.05128395433168
2014-03-25,83.15,83.95,82.55,82.8,85.403,80.31842384495498,90.04657615504503
2014-03-26,83.0,84.5,81.35,81.95,85.34100000000001,79.92540559325053,90.02959440674945
2014-03-27,81.1,82.9,81.0,81.8,85.25200000000001,79.56358769202843,90.05641230797154
2014-03-28,82.0,82.7,80.15,82.2,85.15,79.29352563609602,90.03647436390396
2014-03-31,80.1,84.0,80.1,82.6,85.07699999999998,79.12700206243113,89.74299793756887
2014-04-01,81.8,84.0,81.55,82.05,84.999,79.14010568316128,89.03489431683873
2014-04-02,83.0,84.4,81.5,83.9,84.921,79.35077550766792,88.37422449233208
2014-04-03,83.05,86.5,82.15,86.0,84.90400000000001,80.17975966761455,87.10024033238548
2014-04-04,84.5,86.0,84.1,85.1,84.883,80.81577908934099,86.10922091065902
2014-04-07,86.8,90.0,86.0,88.45,84.93199999999999,80.29512718211372,86.8748728178863
2014-04-09,86.05,92.5,86.05,91.1,85.06299999999999,79.231750437248,88.643249562752
2014-04-10,89.5,93.0,88.5,90.2,85.175,78.97853543445369,89.7214645655463
2014-04-11,88.5,91.95,85.65,90.3,85.29,78.75229219506386,90.66270780493613
2014-04-15,88.25,97.5,86.65,96.9,85.53,77.3842560284651,93.41074397153491
2014-04-16,97.9,101.5,96.75,99.15,85.83200000000001,76.16709990492963,96.21290009507037
2014-04-17,95.5,104.95,95.5,101.55,86.167,75.0269343438347,99.14306565616529
2014-04-21,98.05,106.6,98.05,104.3,86.59099999999998,74.06434305375238,102.26565694624763
2014-04-22,104.5,110.0,102.7,108.55,87.07699999999998,72.77567390054665,106.01432609945337
2014-04-23,108.0,119.0,107.0,117.3,87.743,70.34332470321999,111.63167529678
2014-04-25,113.0,137.0,113.0,132.5,88.694,66.0103453219462,120.8596546780538
2014-04-28,135.0,144.9,130.6,131.85,89.631,64.04960673790755,127.72539326209245
2014-04-29,132.0,137.9,125.0,127.65,90.48299999999999,64.06733022673646,132.27766977326354
2014-04-30,133.0,133.0,120.2,122.65,91.21,65.35384532515987,135.07615467484015
2014-05-02,124.85,134.9,124.5,134.9,92.195,65.8227838361824,139.8772161638176
2014-05-05,136.0,139.3,130.8,134.75,93.09899999999999,67.1131149036,143.8018850964
2014-05-06,130.0,130.0,121.3,126.2,93.884,69.91578460208922,145.4142153979108
2014-05-07,124.35,132.95,120.6,128.5,94.74600000000001,72.79306502421552,146.99693497578443
2014-05-08,125.0,129.9,123.6,125.1,95.54400000000001,75.94835071960341,147.75164928039658
2014-05-09,125.0,134.0,125.0,130.4,96.443,79.63130286032222,148.5986971396778
2014-05-12,126.4,132.4,126.0,127.75,97.296,83.31820581996912,148.8417941800309
2014-05-13,127.75,128.75,122.55,125.65,98.09899999999999,87.00681178144208,148.60818821855787
2014-05-14,120.4,128.75,120.4,125.2,98.882,91.50692021426727,147.60807978573274
2014-05-15,122.15,127.95,122.15,125.15,99.682,96.79644494106448,145.8035550589355
2014-05-16,124.5,132.5,116.0,130.6,100.59200000000001,101.04555942756181,144.92444057243821
2014-05-19,137.6,137.6,126.0,135.35,101.555,105.2980393731695,144.2919606268305
2014-05-20,136.2,137.7,130.0,133.75,102.45,109.90208478703585,142.90791521296416
2014-05-21,132.55,134.75,128.2,129.45,103.27099999999999,114.82620790544208,140.4987920945579
2014-05-22,129.45,135.0,127.5,132.15,104.105,119.55570830426527,138.12929169573474
2014-05-23,134.0,136.05,132.0,132.35,104.979,121.95287987532465,137.23712012467527
2014-05-26,134.75,135.0,121.6,124.85,105.756,121.41831357002344,137.00668642997655
2014-05-27,132.0,132.0,120.3,122.35,106.522,120.4761839967696,136.99881600323042
2014-05-28,122.2,129.0,121.0,127.7,107.43700000000001,120.48003950563995,136.99996049436007
