Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2015-07-31,26.3,27.6,26.0,27.6,,,
2015-08-03,28.45,28.95,27.7,28.95,,,
2015-08-04,30.35,30.35,30.35,30.35,,,
2015-08-05,31.85,31.85,31.85,31.85,,,
2015-08-06,33.4,33.4,33.4,33.4,,,
2015-08-07,35.05,35.05,35.05,35.05,,,
2015-08-10,36.8,36.8,34.95,36.05,,,
2015-08-11,35.8,37.85,34.25,37.45,,,
2015-08-12,37.0,37.45,35.6,35.6,,,
2015-08-13,35.5,36.7,33.9,35.25,,,
2015-08-14,36.2,40.8,34.45,39.95,,,
2015-08-17,40.65,42.8,40.4,41.0,,,
2015-08-18,41.0,41.7,40.5,40.9,,,
2015-08-19,41.25,41.25,38.1,40.2,,,
2015-08-20,38.6,39.9,37.75,38.05,,,
2015-08-21,36.8,37.25,35.15,36.8,,,
2015-08-24,35.0,35.0,32.2,32.95,,,
2015-08-25,34.0,34.5,28.5,32.85,,,
2015-08-26,32.8,33.5,31.2,32.55,,,
2015-08-27,33.4,35.0,32.5,33.3,,27.250754982625732,42.759245017374276
2015-08-28,34.3,34.5,31.55,32.35,,28.18340545540905,42.30159454459095
2015-08-31,32.35,32.35,30.8,31.15,,28.646534470397985,42.05846552960203
2015-09-01,30.55,30.55,28.9,29.1,,28.367907222446917,42.212092777553096
2015-09-02,29.9,30.45,29.1,29.3,,27.888619185382318,42.436380814617685
2015-09-03,29.75,30.6,28.5,29.15,,27.22498935446143,42.67501064553858
2015-09-04,29.25,29.65,27.3,28.45,,26.367128091576713,42.87287190842328
2015-09-07,28.5,28.8,26.25,27.0,,25.276980211750093,43.058019788249915
2015-09-08,27.0,27.0,25.35,26.7,,24.286755888540856,42.97324411145914
2015-09-09,27.2,28.0,26.4,27.05,,23.464701967266116,42.940298032733885
2015-09-10,25.6,27.0,25.3,26.6,,22.654071965459618,42.885928034540385
2015-09-11,26.7,28.1,26.5,27.7,,22.3947741619221,41.9202258380779
2015-09-14,28.15,28.9,26.9,27.75,,22.489919562590757,40.50008043740924
2015-09-15,28.0,28.0,26.35,27.15,,22.779176782527333,38.835823217472665
2015-09-16,27.25,28.1,27.0,27.85,,23.39901526402756,36.980984735972434
2015-09-18,28.0,28.7,26.1,26.6,,23.748556313100277,35.48644368689972
2015-09-21,26.35,26.35,25.0,26.05,,24.075328498082474,34.08467150191751
2015-09-22,26.4,26.75,25.15,26.4,,23.961447484056727,33.54355251594328
2015-09-23,26.05,26.75,25.7,26.55,,23.96279036519803,32.91220963480197
2015-09-24,26.4,28.7,26.4,28.35,,24.192850729388958,32.26214927061105
2015-09-28,28.35,28.6,27.1,27.3,,24.661974331024638,31.19302566897536
2015-09-29,27.2,27.65,26.25,27.1,,25.135157067492525,30.194842932507473
2015-09-30,27.0,27.45,26.7,26.85,,25.503613334244275,29.396386665755724
2015-10-01,27.1,27.45,26.55,26.65,,25.51454225380904,29.140457746190954
2015-10-05,27.0,27.75,26.65,27.45,,25.67460194012449,28.795398059875517
2015-10-06,27.65,28.75,27.3,28.2,,25.82759481754673,28.54740518245327
2015-10-07,27.6,29.0,27.6,28.55,,25.812463768591527,28.572536231408478
2015-10-08,28.9,29.2,27.9,28.05,,25.81675116424265,28.673248835757345
2015-10-09,28.6,28.9,27.9,28.0,,25.8679254709383,28.752074529061705
2015-10-12,28.15,29.9,28.0,28.8,,25.816203063937664,28.97879693606233
2015-10-13,28.8,29.15,28.5,28.8,30.741999999999997,25.855300509050174,29.159699490949826
2015-10-14,28.95,29.0,28.1,28.25,30.755,25.85130106454174,29.218698935458267
2015-10-15,28.6,31.25,28.6,29.85,30.773000000000003,25.66340004846171,29.616599951538298
2015-10-16,30.25,30.25,27.9,28.7,30.74,25.70065645258811,29.734343547411893
2015-10-19,29.1,29.8,28.2,29.05,30.684,25.674500888455245,29.88049911154476
2015-10-20,29.4,34.85,29.4,34.85,30.712999999999997,24.455720671232086,31.92427932876791
2015-10-21,36.0,38.4,35.5,36.25,30.737,23.64410193307281,33.75589806692719
2015-10-23,36.95,41.15,35.1,38.6,30.788,22.713382046756617,35.90661795324337
2015-10-26,38.9,40.1,37.4,38.2,30.802999999999997,22.33463375976636,37.45036624023364
2015-10-27,38.0,38.75,37.1,38.4,30.859,21.9810454256665,38.8089545743335
2015-10-28,38.5,40.3,38.1,38.6,30.926,21.926343632370042,39.99365636762996
2015-10-29,38.8,39.4,38.2,38.35,30.894000000000002,22.107871125630837,40.937128874369165
2015-10-30,38.65,39.4,35.65,36.35,30.801,22.616922360957425,41.37807763904258
2015-11-02,36.5,37.05,35.1,36.55,30.713999999999995,23.256342505502722,41.72865749449728
2015-11-03,36.95,37.0,35.5,35.65,30.623,23.883369746681993,41.921630253318
2015-11-04,36.05,36.5,35.05,35.15,30.565,24.461131442198255,42.03886855780175
2015-11-05,35.4,35.4,34.0,34.2,30.512999999999998,25.020881006251678,42.04411899374832
2015-11-06,34.2,35.4,34.0,34.35,30.541,25.733154353975415,41.96184564602459
2015-11-09,33.0,35.7,31.6,35.15,30.587,26.558886436131147,41.85111356386885
2015-11-10,35.35,35.35,33.65,33.8,30.612000000000002,27.238068154460773,41.67193184553922
2015-11-11,34.25,34.95,34.15,34.75,30.641000000000005,28.044494178202925,41.46050582179707
2015-11-13,34.75,34.75,33.75,33.85,30.671,29.037741324377798,41.0272586756222
2015-11-16,34.0,35.2,33.5,34.4,30.736000000000004,29.76918470247093,40.750815297529066
2015-11-17,34.9,36.1,34.25,34.9,30.851999999999997,31.018956163691655,40.12104383630836
2015-11-18,35.0,35.6,34.05,34.25,30.951,32.38839694634206,39.271603053657934
2015-11-19,34.75,35.3,34.15,34.55,31.058999999999997,32.35285889186593,39.27714110813408
2015-11-20,34.8,37.45,34.3,36.15,31.213,32.350216009176556,39.269783990823434
2015-11-23,36.55,39.4,36.3,39.0,31.453000000000003,32.2984281120158,39.3615718879842
2015-11-24,39.1,40.5,37.7,38.65,31.692000000000004,32.252284363183335,39.45271563681666
2015-11-26,40.2,40.5,37.85,38.55,31.922000000000004,32.23688706104525,39.48311293895475
2015-11-27,38.75,39.9,38.25,39.3,32.176,32.14899862309292,39.64100137690707
2015-11-30,39.15,39.65,38.4,38.7,32.396,32.11528841918521,39.70971158081479
2015-12-01,38.8,38.9,37.75,37.9,32.599,32.09322670594459,39.8867732940554
2015-12-02,38.3,39.5,37.5,38.5,32.826,32.037175126740124,40.13782487325987
2015-12-03,38.05,38.75,37.45,37.55,33.02,32.086510305317205,40.27848969468279
2015-12-04,36.8,38.75,36.8,37.4,33.236,32.19482028635198,40.39517971364803
2015-12-07,37.9,38.0,36.5,36.65,33.448,32.4361916987661,40.398808301233906
2015-12-08,36.6,36.9,34.5,34.65,33.613,32.481847155882065,40.38315284411793
2015-12-09,34.5,35.9,32.85,33.55,33.753,32.231376622237924,40.473623377762074
2015-12-10,34.1,35.65,33.8,35.25,33.891000000000005,32.444322988022705,40.40567701197729
2015-12-11,35.6,36.85,34.55,35.25,34.05,32.50751881491654,40.39248118508347
2015-12-14,35.0,38.25,34.75,37.75,34.263000000000005,32.86139269868996,40.42860730131003
2015-12-15,38.25,39.4,37.6,38.2,34.49,33.14559839397679,40.52440160602321
2015-12-16,38.4,38.5,37.25,37.4,34.705,33.378821129116346,40.54117887088364
2015-12-17,37.6,38.8,37.6,38.05,34.917,33.777042528393885,40.52295747160611
2015-12-18,38.0,38.35,35.8,36.1,35.075,34.03994607888739,40.41505392111261
2015-12-21,36.2,37.4,36.15,36.55,35.235,34.08347940654777,40.41152059345224
2015-12-22,36.9,37.35,36.5,36.95,35.413000000000004,34.089048085250106,40.200951914749886
2015-12-23,37.1,37.2,36.0,36.15,35.576,34.01922816946244,40.020771830537555
2015-12-24,36.3,37.4,35.6,36.8,35.736,34.018780185416745,39.84621981458325
