Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-09-20,61.5,62.5,61.25,62.0,,,
2006-09-21,63.4,64.5,62.6,63.6,,,
2006-09-22,63.25,64.0,61.9,62.15,,,
2006-09-25,62.05,63.0,61.75,62.15,,,
2006-09-26,62.4,63.0,62.0,62.8,,,
2006-09-27,62.0,64.5,62.0,63.6,,,
2006-09-28,63.8,64.5,63.25,64.1,,,
2006-09-29,64.5,67.3,63.5,67.3,,,
2006-10-03,69.7,70.7,66.25,66.8,,,
2006-10-04,67.15,70.15,66.0,69.9,,,
2006-10-05,71.5,73.4,70.25,73.4,,,
2006-10-06,76.2,76.9,70.6,71.1,,,
2006-10-09,71.5,74.4,67.8,73.65,,,
2006-10-10,74.5,75.9,68.65,70.4,,,
2006-10-11,72.0,73.0,69.55,70.2,,,
2006-10-12,70.75,72.2,70.1,71.6,,,
2006-10-13,72.25,73.25,70.5,70.95,,,
2006-10-16,71.75,72.5,70.0,70.25,,,
2006-10-17,70.5,70.95,68.6,68.9,,,
2006-10-18,68.9,69.5,67.6,68.45,,59.747790231002085,75.5822097689979
2006-10-19,69.0,72.5,68.0,69.65,,60.55487380030065,75.54012619969936
2006-10-20,69.95,72.5,69.35,70.2,,61.132358252085865,75.62264174791416
2006-10-21,70.7,71.35,69.8,70.2,,62.120823505947044,75.43917649405296
2006-10-23,70.65,70.65,68.3,68.5,,63.20830605998088,74.98669394001911
2006-10-26,67.75,69.45,67.5,67.8,,64.20700289112854,74.48799710887145
2006-10-27,67.5,72.25,67.5,70.7,,65.30651199656828,74.09848800343175
2006-10-30,70.5,71.45,67.05,68.45,,66.33561867630071,73.50438132369926
2006-10-31,69.2,71.2,67.0,67.6,,66.3945421051419,73.47545789485811
2006-11-01,68.2,69.1,66.6,67.05,,66.45216852712606,73.44283147287395
2006-11-02,67.45,69.5,67.45,68.85,,66.36529149854225,73.42470850145774
2006-11-03,68.95,69.5,67.8,68.3,,66.45655598612547,72.82344401387454
2006-11-06,68.9,74.7,67.65,73.0,,66.2673904790946,73.20260952090537
2006-11-07,73.95,76.95,73.2,73.8,,66.23877641681477,73.24622358318524
2006-11-08,73.9,74.5,68.5,70.55,,66.23971436159992,73.26028563840008
2006-11-09,71.3,76.0,71.1,74.35,,65.88897188130258,74.02602811869741
2006-11-10,74.75,77.2,73.75,75.9,,65.35329772925894,74.99170227074106
2006-11-13,76.5,78.0,73.25,74.35,,65.18015913970274,75.50484086029726
2006-11-14,75.5,76.2,72.1,73.2,,65.17254116884271,75.80745883115728
2006-11-15,74.4,75.0,72.4,73.15,,65.31338084533681,76.09161915466322
2006-11-16,73.9,80.5,73.5,80.3,,64.52090848973285,78.06909151026716
2006-11-17,82.2,86.0,75.8,77.95,,64.36714812322826,79.05285187677175
2006-11-20,77.7,77.7,72.8,75.3,,64.48991154778616,79.44008845221384
2006-11-21,76.0,82.2,76.0,80.2,,64.19182839407691,80.7381716059231
2006-11-22,81.2,86.2,79.2,83.55,,63.80366499647016,82.63133500352984
2006-11-23,84.05,91.9,84.05,91.9,,62.182854537298425,86.66214546270155
2006-11-24,96.5,101.1,95.5,101.1,,59.001634583716495,92.88336541628352
2006-11-27,106.2,106.2,96.1,101.4,,57.58537948109832,97.59462051890168
2006-11-28,99.5,105.0,96.85,103.25,,56.91333295822115,101.83166704177883
2006-11-29,104.5,108.4,104.5,108.4,,56.30362250275094,106.57637749724906
2006-11-30,113.85,113.85,105.45,106.95,74.184,56.50865582980702,110.18134417019297
2006-12-01,108.45,111.7,106.25,107.45,75.093,57.39678515424433,113.20821484575569
2006-12-04,109.4,111.0,107.5,108.3,75.987,57.99701804574565,116.13798195425437
2006-12-05,111.0,113.7,104.75,105.4,76.852,59.18095384838494,118.11404615161504
2006-12-06,109.0,110.7,100.25,110.7,77.82300000000001,60.91044012587747,120.39955987412253
2006-12-07,115.0,116.2,111.95,116.2,78.891,61.96256733891782,123.53243266108218
2006-12-08,119.5,122.05,113.35,117.7,79.973,63.20454125524512,126.4704587447549
2006-12-11,119.0,123.6,112.5,121.95,81.13,64.9191494636581,129.5158505363419
2006-12-12,122.5,125.5,115.9,115.9,82.102,68.11098788955047,130.5940121104495
2006-12-13,112.5,120.95,110.1,117.3,83.11200000000001,71.91567685480342,131.20432314519658
2006-12-14,118.5,121.7,118.0,118.8,84.09,74.66486632121298,132.305133678787
2006-12-15,120.0,121.2,115.0,116.35,84.94900000000001,78.7094671586386,132.1005328413614
2006-12-18,116.75,119.7,114.65,118.55,85.898,84.36111986549037,130.77388013450962
2006-12-19,117.0,118.5,112.6,112.95,86.68400000000001,89.82291657497237,128.58708342502766
2006-12-20,112.6,115.45,107.8,110.2,87.48,95.37723771230942,125.69776228769057
2006-12-21,110.55,115.4,108.5,111.05,88.29700000000001,99.12968773672031,123.8603122632797
2006-12-22,112.4,113.45,110.5,111.1,89.08699999999999,100.63135066029477,123.35864933970524
2006-12-26,111.5,115.0,111.0,113.0,89.928,102.36244322955963,122.78755677044037
2006-12-27,114.0,118.65,112.5,118.65,90.896,103.79183023119695,122.89816976880304
2006-12-28,119.55,121.35,114.7,115.55,91.829,104.39656103609133,123.00843896390865
