Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2018-06-18,30.0,31.5,28.5,31.5,,,
2018-06-19,32.7,33.05,31.0,32.6,,,
2018-06-20,31.5,32.2,31.0,31.0,,,
2018-06-21,29.45,30.0,29.45,29.65,,,
2018-06-22,28.2,29.8,28.2,29.45,,,
2018-06-25,30.0,30.0,28.5,28.95,,,
2018-06-26,28.8,29.4,27.55,28.8,,,
2018-06-27,28.3,28.3,27.4,27.4,,,
2018-06-28,26.05,26.05,26.05,26.05,,,
2018-06-29,24.75,27.35,24.75,26.8,,,
2018-07-02,27.2,27.25,22.8,25.2,,,
2018-07-03,26.95,26.95,24.5,26.35,,,
2018-07-04,26.0,29.95,25.8,29.6,,,
2018-07-05,29.8,31.95,28.6,29.8,,,
2018-07-06,29.0,30.9,28.85,30.35,,,
2018-07-09,30.45,31.4,29.55,30.95,,,
2018-07-10,30.55,31.85,30.25,31.1,,,
2018-07-11,31.05,33.4,30.6,31.95,,,
2018-07-12,31.8,32.9,30.95,31.1,,,
2018-07-13,32.5,32.7,31.2,31.45,,25.23407554027003,33.77092445972996
2018-07-16,32.4,32.4,30.85,31.1,,25.249885404293288,33.71511459570671
2018-07-17,31.65,31.85,30.95,31.45,,25.34210886748128,33.50789113251872
2018-07-18,31.5,31.75,29.55,29.75,,25.343351752973156,33.381648247026845
2018-07-19,29.8,30.4,28.1,29.7,,25.345036658978355,33.384963341021646
2018-07-20,29.95,35.6,29.5,35.4,,24.819613192363576,34.50538680763643
2018-07-23,37.9,42.45,37.1,42.45,,22.863976558437848,37.81102344156215
2018-07-24,45.85,46.65,45.0,46.65,,20.836611413220925,41.62338858677907
2018-07-25,50.7,51.3,47.1,51.3,,18.870567825285065,45.97943217471493
2018-07-26,55.8,56.4,48.0,52.9,,17.7726233531681,49.762376646831896
2018-07-27,54.5,54.8,51.15,52.35,,17.397310424069076,52.69268957593093
2018-07-30,52.8,57.55,52.8,57.55,,16.99917921711782,56.32582078288218
2018-07-31,60.4,60.4,58.6,60.4,,16.669885342547737,60.06011465745225
2018-08-01,62.7,63.4,62.3,63.4,,16.087809707303702,64.0221902926963
2018-08-02,66.55,66.55,66.55,66.55,,15.703645902362048,68.08135409763796
2018-08-03,69.85,69.85,69.85,69.85,,15.478486650688826,72.25651334931118
2018-08-06,73.3,73.3,73.3,73.3,,15.418659723566247,76.55134027643375
2018-08-07,71.3,73.0,69.65,69.65,,16.44959159560806,79.37540840439195
2018-08-08,66.2,66.2,66.2,66.2,,18.091984720271707,81.15801527972829
2018-08-09,62.9,62.9,62.9,62.9,,20.416638799579317,82.01336120042068
2018-08-10,61.55,66.0,60.1,66.0,,22.946653357681804,82.93834664231821
2018-08-13,62.7,62.7,62.7,62.7,,26.08234168006168,82.9626583199383
2018-08-14,59.6,59.6,59.6,59.6,,29.588829502888586,82.27117049711143
2018-08-16,56.65,56.65,56.65,56.65,,33.99289709262774,80.55710290737225
2018-08-17,53.85,59.45,53.85,54.7,,39.11383934704741,77.9361606529526
2018-08-20,54.7,57.4,54.7,57.4,,43.51963966317595,75.73036033682405
2018-08-21,59.0,60.25,56.0,57.1,,46.34448818954334,74.37051181045665
2018-08-23,58.7,59.95,56.55,57.2,,48.325746753677564,73.44425324632245
2018-08-24,58.5,58.5,54.9,55.55,,49.08936788704826,73.10563211295174
2018-08-27,55.2,57.4,53.25,55.5,,49.54104923088516,72.91395076911485
2018-08-28,56.1,58.25,55.35,58.25,44.471000000000004,50.50063297886531,72.54436702113469
2018-08-29,60.0,61.15,58.0,60.9,45.059,50.82157155601129,72.5584284439887
2018-08-30,62.6,62.8,58.7,59.05,45.588,50.70368596183645,72.54131403816355
2018-08-31,59.0,59.4,56.9,57.4,46.11600000000001,50.280309380190545,72.36469061980947
2018-09-03,57.8,58.6,55.7,55.9,46.641000000000005,49.782127219217486,71.79787278078251
2018-09-04,56.8,56.8,53.25,53.5,47.12200000000001,49.376896393339756,70.56810360666026
2018-09-05,53.5,54.5,51.0,52.25,47.588,49.82255096483817,68.01744903516182
2018-09-06,53.25,54.85,52.45,54.85,48.10900000000001,50.45298655093032,65.9070134490697
2018-09-07,56.0,57.45,55.0,55.7,48.675,50.85059740044426,64.45940259955573
2018-09-10,56.0,56.0,53.75,54.05,49.235,50.69944630599045,63.72555369400955
2018-09-11,54.35,55.4,52.0,52.5,49.749,51.159780369798774,61.91521963020123
2018-09-12,54.0,54.0,51.2,52.65,50.298,51.234660099753995,60.83533990024601
2018-09-14,54.4,55.25,53.35,55.25,50.876000000000005,51.312149379845614,60.32285062015438
2018-09-17,55.5,56.2,52.9,53.75,51.35900000000001,51.09389127084045,60.25110872915955
2018-09-18,53.4,54.75,53.15,53.3,51.82899999999999,50.91966741142385,60.285332588576146
2018-09-19,54.0,54.2,51.4,51.8,52.258,50.42733858660849,60.21766141339152
2018-09-21,52.5,52.8,49.25,49.25,52.624,49.4152923921572,60.444707607842815
2018-09-24,48.8,48.8,46.8,46.8,52.937999999999995,47.92125671075796,60.89874328924205
2018-09-25,44.55,46.65,44.5,44.55,53.19,46.048227507557336,61.67177249244266
2018-09-26,46.45,46.75,44.6,45.2,53.472,44.67728009098977,62.012719909010244
2018-09-27,45.95,45.95,42.95,42.95,53.702,43.07479920752523,62.08520079247478
2018-09-28,42.95,43.3,40.85,40.85,53.897,41.5519812445545,61.603018755445504
2018-10-01,38.85,40.75,38.85,39.2,54.052,39.77476605735393,61.39523394264607
2018-10-03,40.0,40.0,37.25,37.25,54.202,37.73495959863783,61.42004040136217
2018-10-04,35.4,35.4,35.4,35.4,54.315999999999995,35.52473713513488,61.58026286486513
2018-10-05,33.65,33.65,33.65,33.65,54.281000000000006,33.16637568043987,61.953624319560134
2018-10-08,32.75,33.1,32.0,32.0,54.071999999999996,30.761414354723605,62.33358564527639
2018-10-09,30.4,32.1,30.4,30.4,53.747,28.493810280659815,62.15618971934019
2018-10-10,29.1,31.9,29.1,31.9,53.35900000000001,27.02919612190671,61.24080387809329
2018-10-11,32.9,33.45,32.05,33.45,52.97,26.032186893530902,60.1778131064691
2018-10-12,35.1,35.1,35.1,35.1,52.625,25.406387147886544,59.06361285211345
2018-10-15,35.9,36.85,35.25,36.85,52.21099999999999,25.20175363015197,57.688246369848045
2018-10-16,37.6,38.65,37.3,38.65,51.775999999999996,25.699727008161894,55.53027299183811
2018-10-17,40.55,40.55,39.1,39.35,51.295,26.319367805745213,53.47063219425479
2018-10-19,39.5,39.5,37.4,37.4,50.711999999999996,27.053554793829576,51.146445206170426
2018-10-22,37.45,38.85,35.55,35.75,50.03,27.77076836347711,48.82423163652289
2018-10-23,35.75,35.75,34.0,35.25,49.269,28.353584504701804,46.84141549529821
2018-10-24,35.55,37.0,35.55,37.0,48.61599999999999,28.941377748185328,45.27362225181467
2018-10-25,36.9,37.95,35.5,36.2,48.016000000000005,29.310041363687176,44.06995863631282
2018-10-26,36.7,37.3,35.5,36.2,47.482,30.04198673597282,42.43801326402717
2018-10-29,38.0,38.0,37.9,38.0,46.922,30.576706818066448,41.40829318193355
2018-10-30,39.9,39.9,38.45,39.3,46.45400000000001,30.753492672218595,41.07650732778141
2018-10-31,39.3,40.5,37.35,39.65,46.055,30.712169489173654,41.162830510826346
2018-11-01,38.3,41.4,38.0,41.05,45.743,30.44488801717268,41.810111982827316
2018-11-02,41.95,42.8,41.1,41.3,45.475,30.303119656413095,42.541880343586904
2018-11-05,41.85,43.35,41.85,43.35,45.194,30.203669594532762,43.611330405467235
2018-11-06,45.0,45.5,42.5,43.1,44.913999999999994,30.6326217549572,44.2923782450428
2018-11-07,44.15,45.25,44.0,45.05,44.67100000000001,31.41213459090496,44.977865409095045
2018-11-09,45.9,46.35,43.6,45.25,44.465,32.06049758584957,45.66450241415043
2018-11-12,45.25,45.9,43.0,43.1,44.217,32.79519887806927,45.894801121930726
2018-11-13,42.5,42.7,41.45,42.1,43.894,33.35557449058068,46.03442550941932
2018-11-14,42.35,43.8,42.3,42.7,43.53,33.66095816587371,46.314041834126286
2018-11-15,42.9,44.2,41.25,43.35,43.216,33.75749501363791,46.687504986362086
2018-11-16,44.4,44.4,41.7,42.35,42.915,33.85374366074871,46.89125633925128
2018-11-19,42.4,42.75,40.7,41.25,42.622,34.190040763804035,46.93995923619596
2018-11-20,41.25,42.85,41.0,41.45,42.38099999999999,34.88492621477654,46.81507378522346
2018-11-21,43.0,43.5,41.2,43.5,42.205999999999996,35.808879763477066,46.71612023652294
2018-11-22,44.5,45.65,43.8,45.65,42.022,36.29296334703273,47.09703665296727
2018-11-26,46.6,47.9,46.2,47.9,41.86600000000001,36.8495400989563,47.710459901043706
2018-11-27,48.9,50.25,48.6,49.45,41.773999999999994,37.40333086222822,48.48166913777178
2018-11-28,50.0,50.0,47.0,48.4,41.692,37.924319128231545,49.00068087176845
2018-11-29,48.6,49.7,46.9,47.45,41.588,38.42279888383027,49.31720111616974
2018-11-30,48.0,48.55,46.4,46.75,41.418,39.01554503305459,49.43445496694541
2018-12-03,47.0,47.5,45.3,46.05,41.264,39.42978340144685,49.520216598553155
2018-12-04,46.9,46.9,45.0,45.1,41.1,39.84190861310755,49.488091386892464
2018-12-05,44.4,47.35,44.4,46.8,41.0,39.96589862057657,49.70910137942343
2018-12-06,46.9,47.75,44.85,45.2,40.919,40.13852412469353,49.74647587530647
2018-12-07,45.6,46.4,43.5,44.45,40.872,40.103859202873466,49.72114079712654
2018-12-10,43.0,43.0,40.4,41.3,40.806999999999995,39.647238114678615,49.78276188532139
2018-12-11,40.95,45.0,39.8,43.35,40.77,39.6753014165795,49.77969858342051
2018-12-12,45.4,45.75,44.15,44.8,40.806999999999995,39.96396369874253,49.76103630125746
2018-12-13,45.55,45.8,44.0,44.3,40.876,40.141373487453805,49.743626512546186
2018-12-14,44.0,45.6,43.8,44.15,40.975,40.22409745956247,49.74090254043753
2018-12-17,44.3,45.9,44.15,44.65,41.123000000000005,40.49847550389329,49.69652449610672
2018-12-18,44.9,46.8,43.9,44.25,41.3,40.99414528686009,49.500854713139915
2018-12-19,44.65,44.75,44.0,44.15,41.51,41.479697363297426,49.285302636702575
2018-12-20,43.95,44.65,43.6,43.95,41.748999999999995,41.54291711501084,49.267082884989165
2018-12-21,43.95,44.25,42.35,42.5,41.99099999999999,41.17623031572394,49.31876968427606
2018-12-24,42.5,43.2,42.0,42.15,42.196,40.865382223351936,49.054617776648065
2018-12-26,42.2,42.4,40.15,41.55,42.358000000000004,40.78178221059032,48.348217789409674
2018-12-27,41.75,42.7,41.25,41.45,42.485,40.646671554180394,47.78832844581961
2018-12-28,42.0,42.55,41.55,41.7,42.58200000000001,40.53334529898964,47.32665470101035
2018-12-31,41.75,42.3,41.7,41.85,42.646,40.441366559745376,46.928633440254615
2019-01-01,41.85,41.85,41.15,41.4,42.687000000000005,40.2563715854793,46.6486284145207
2019-01-02,41.1,42.5,40.55,41.15,42.762,39.99989874035725,46.51010125964275
2019-01-03,41.5,42.15,40.75,40.95,42.86600000000001,40.01151889642006,45.91348110357994
2019-01-04,40.95,41.3,40.4,40.55,42.972,39.788571775480186,45.67142822451982
2019-01-07,41.0,42.25,41.0,41.1,43.054,39.652105742026684,45.472894257973316
2019-01-08,41.1,41.5,40.5,40.75,43.145,39.56460218861233,45.50539781138767
2019-01-09,41.2,41.2,40.5,40.65,43.233999999999995,39.34144857128292,45.45855142871708
2019-01-10,40.95,40.95,40.5,40.65,43.287,39.258977777213694,45.12602222278631
2019-01-11,40.65,41.35,39.5,39.75,43.29599999999999,39.01397876730922,44.91602123269079
2019-01-14,40.5,40.95,39.5,39.6,43.295,38.79419805901739,44.680801940982604
2019-01-15,40.1,40.1,38.5,38.75,43.248999999999995,38.54599121218364,44.33900878781637
2019-01-16,39.3,39.35,38.55,39.15,43.205999999999996,38.43740430788447,43.93759569211553
2019-01-17,39.75,40.25,39.15,39.65,43.132,38.513037115803606,43.41196288419639
2019-01-18,39.65,40.15,38.35,38.75,43.045,38.49641392065564,42.90858607934436
2019-01-21,39.0,39.1,37.5,37.95,42.90299999999999,38.116253678215955,42.83374632178405
2019-01-22,38.0,38.9,36.55,37.75,42.75299999999999,37.73854886481118,42.771451135188826
2019-01-23,37.75,38.35,37.55,37.95,42.65,37.43651957608699,42.71348042391302
2019-01-24,37.7,38.2,37.0,37.35,42.555,37.050444230584176,42.68955576941582
2019-01-25,38.05,38.05,34.7,35.1,42.403,36.13758599629091,42.942414003709104
2019-01-28,35.45,36.0,31.6,32.5,42.18599999999999,34.604075692766166,43.540924307233844
2019-01-29,33.0,35.75,32.25,34.9,42.037,34.05209631240524,43.442903687594765
2019-01-30,35.95,38.2,34.2,37.3,41.958,33.959704923281826,43.15029507671816
2019-01-31,38.0,39.85,35.0,35.6,41.841,33.65649749400506,42.918502505994944
2019-02-01,36.4,37.0,35.5,35.75,41.68600000000001,33.41268041002843,42.68231958997157
2019-02-04,35.95,36.3,33.0,33.85,41.45,32.92307867170743,42.446921328292575
2019-02-05,34.3,34.35,32.6,32.95,41.150999999999996,32.31727065081979,42.27272934918021
2019-02-06,33.4,34.0,33.0,33.1,40.824,31.866468317993075,41.96853168200692
2019-02-07,33.5,37.8,33.5,34.4,40.544000000000004,31.757005297900456,41.45299470209955
2019-02-08,34.75,34.75,33.0,33.9,40.272999999999996,31.55845739894581,41.066542601054195
2019-02-11,33.0,35.2,32.6,32.85,39.995,31.2453065638451,40.7046934361549
2019-02-12,33.0,33.4,31.85,32.1,39.716,30.800547914321438,40.484452085678555
2019-02-13,32.7,34.5,31.05,32.4,39.462,30.55228332535161,40.05771667464839
2019-02-14,32.55,33.75,31.65,31.95,39.165,30.407864317082204,39.4321356829178
2019-02-15,32.05,32.5,30.8,31.0,38.881,30.074476482316605,38.99052351768339
2019-02-18,31.45,31.45,30.15,30.25,38.597,29.60304415277512,38.69195584722487
2019-02-19,30.25,31.5,30.2,30.8,38.387,29.35359400011676,38.24640599988324
2019-02-20,31.15,31.65,30.55,30.95,38.139,29.285993831845417,37.61400616815459
2019-02-21,31.0,31.8,30.35,30.85,37.86,29.237164720837146,37.01283527916286
2019-02-22,31.1,32.95,30.75,32.7,37.628,29.227239594122047,36.78276040587796
2019-02-25,33.4,33.5,32.3,32.95,37.404,29.257050494477763,36.797949505522226
2019-02-26,32.75,33.25,30.55,32.9,37.169000000000004,29.261514816119718,36.59348518388028
2019-02-27,33.25,34.5,32.55,32.9,36.942,29.67256741599051,35.74243258400949
2019-02-28,33.0,33.5,32.65,33.05,36.72,29.85866132013392,35.30133867986608
2019-03-01,33.1,35.3,33.1,34.2,36.525,30.09058331294961,34.9144166870504
2019-03-05,34.25,37.4,34.1,36.25,36.4,29.736148268869787,35.508851731130214
2019-03-06,36.75,37.45,35.0,35.4,36.265,29.603444904022613,35.88655509597738
2019-03-07,36.0,36.45,34.95,35.6,36.146,29.47985949677779,36.2601405032222
2019-03-08,35.6,35.95,34.7,35.0,36.017,29.442894426347788,36.357105573652206
2019-03-11,35.4,36.25,35.15,36.15,35.906,29.282694727813567,36.74230527218644
2019-03-12,36.5,40.7,36.4,39.1,35.851,28.710206853012572,37.939793146987434
2019-03-13,39.3,41.6,38.4,39.75,35.818000000000005,28.3172285489692,39.09777145103081
2019-03-14,40.2,40.3,38.25,38.55,35.766,28.25012450492708,39.77987549507292
2019-03-15,38.9,39.6,37.3,37.8,35.702999999999996,28.39210750067585,40.22289249932416
2019-03-18,38.25,38.45,36.45,37.4,35.64,28.773353920869663,40.48164607913034
2019-03-19,37.4,38.0,37.0,37.1,35.56,29.39955165746513,40.54044834253489
2019-03-20,37.0,37.25,36.2,36.45,35.474000000000004,30.009010302238245,40.49598969776175
2019-03-22,36.6,37.0,35.35,36.0,35.381,30.6628712815206,40.347128718479404
2019-03-25,35.55,35.7,34.7,35.15,35.271,31.39377641281419,40.04622358718581
2019-03-26,35.05,36.25,34.9,35.95,35.195,31.7964164292228,39.968583570777206
2019-03-27,36.1,36.7,35.15,35.55,35.114000000000004,32.16051828172802,39.86448171827199
2019-03-28,35.6,36.4,35.25,35.85,35.056,32.594581297193464,39.72541870280653
2019-03-29,35.95,38.25,35.45,37.15,35.016000000000005,33.13351461630402,39.61148538369597
2019-04-01,37.55,39.2,37.55,38.7,34.997,33.6597581593105,39.6502418406895
2019-04-02,38.95,39.4,37.6,37.75,34.977,34.03564556387921,39.629354436120785
2019-04-03,37.75,38.45,36.85,37.25,34.962999999999994,34.09374910059113,39.67125089940887
2019-04-04,37.3,37.7,36.45,36.95,34.946999999999996,34.25998050689181,39.660019493108194
2019-04-05,37.0,37.25,36.35,36.65,34.921,34.38393725483498,39.64106274516502
2019-04-08,36.95,37.4,36.1,36.25,34.899,34.59253518072186,39.557464819278145
2019-04-09,36.5,37.25,36.0,37.0,34.937000000000005,34.672897998165205,39.562102001834795
2019-04-10,36.9,38.1,36.35,36.95,35.026,34.75037730210364,39.26962269789636
2019-04-11,37.0,37.3,35.7,36.0,35.048,34.927221934022654,38.71777806597734
2019-04-12,36.35,37.45,36.2,37.0,35.042,35.028853766503765,38.46114623349623
2019-04-15,37.3,37.75,37.15,37.45,35.07899999999999,35.049946957460726,38.40505304253927
2019-04-16,37.6,44.9,37.6,44.5,35.254,33.221592689125494,40.9434073108745
2019-04-18,44.9,48.05,41.3,45.0,35.477,32.23852912878114,42.71647087121886
2019-04-22,44.4,46.95,43.65,44.75,35.713,31.75784649028844,44.02715350971155
2019-04-23,44.6,46.15,43.85,44.2,35.935,31.62808104243836,44.976918957561644
2019-04-24,44.4,45.45,44.3,44.7,36.141,31.701017022198364,45.85898297780164
2019-04-25,44.75,45.1,43.5,43.8,36.339,31.886718966839382,46.45828103316062
2019-04-26,43.55,44.0,42.5,43.0,36.542,32.27727031757186,46.81272968242814
2019-04-30,42.95,43.0,39.65,40.05,36.701,32.69712645711379,46.812873542886216
2019-05-02,40.0,44.0,39.3,41.8,36.889,32.98480315107819,46.990196848921805
2019-05-03,41.9,43.65,41.5,41.9,37.087999999999994,33.12247143665636,47.17252856334364
2019-05-06,41.4,41.55,39.95,40.2,37.272,33.336147117981355,47.20385288201864
2019-05-07,40.5,41.65,39.1,39.45,37.455999999999996,33.57934987627892,47.18065012372109
2019-05-08,39.85,40.0,37.8,38.05,37.601,33.73408882865022,47.13591117134977
2019-05-09,38.25,39.5,37.45,39.15,37.765,34.066310755818044,47.053689244181946
2019-05-10,39.7,40.0,38.7,39.1,37.93,34.48796059631092,46.91703940368908
2019-05-13,39.35,40.0,37.65,37.8,38.032,34.6186660615863,46.866333938413696
2019-05-14,37.6,37.95,37.15,37.7,38.126999999999995,34.74541546365286,46.81458453634714
2019-05-15,38.1,39.85,37.1,37.5,38.219,35.03715992331356,46.67284007668645
2019-05-16,37.5,37.5,35.6,36.6,38.293,34.95890211825963,46.71109788174037
2019-05-17,37.0,37.85,36.6,37.4,38.38,34.95029892610866,46.714701073891334
2019-05-20,41.0,43.9,41.0,43.1,38.558,35.03271861352055,46.492281386479455
2019-05-21,44.1,45.2,43.1,43.35,38.7,35.163574765445894,46.196425234554106
2019-05-22,44.2,44.25,42.45,43.95,38.871,35.23740802947286,46.04259197052714
2019-05-23,46.0,47.4,43.05,43.4,39.027,35.29746833057383,45.902531669426175
2019-05-24,44.0,44.3,41.5,42.3,39.173,35.46744733588457,45.492552664115436
2019-05-27,42.55,44.0,42.3,43.15,39.313,35.5178395013872,45.377160498612795
2019-05-28,43.5,46.6,43.05,45.0,39.431,35.32724844324588,45.76775155675412
2019-05-29,45.2,46.0,44.2,44.7,39.53,35.2481401243149,46.3118598756851
2019-05-30,44.9,45.2,44.25,44.6,39.650999999999996,35.1431496470824,46.6968503529176
2019-05-31,44.8,45.0,41.95,43.3,39.761,35.12982216903527,46.85017783096472
2019-06-03,43.55,45.1,42.05,44.1,39.895,35.177802562539206,47.1921974374608
2019-06-04,43.9,46.15,43.6,45.2,40.057,35.26779253414426,47.67720746585573
2019-06-06,45.65,45.9,44.15,44.35,40.215,35.675400266038004,47.899599733962
