Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-11-27,154.0,210.0,154.0,192.6,,,
2007-11-28,196.8,198.0,174.8,178.8,,,
2007-11-29,181.8,182.95,168.2,176.85,,,
2007-11-30,178.0,191.6,178.0,184.3,,,
2007-12-03,187.95,199.0,184.4,193.85,,,
2007-12-04,197.0,211.2,195.2,208.3,,,
2007-12-05,212.2,219.9,210.0,216.5,,,
2007-12-06,217.8,221.95,210.2,216.25,,,
2007-12-07,220.0,226.8,215.6,220.5,,,
2007-12-10,222.0,222.0,212.2,215.1,,,
2007-12-11,216.2,217.8,208.2,209.55,,,
2007-12-12,206.4,213.0,203.2,207.35,,,
2007-12-13,208.0,230.0,206.05,226.0,,,
2007-12-14,228.0,228.0,220.2,222.1,,,
2007-12-17,228.0,233.6,204.3,208.85,,,
2007-12-18,209.0,222.0,206.3,215.0,,,
2007-12-19,218.2,223.2,209.25,213.4,,,
2007-12-20,216.7,216.7,210.2,212.05,,,
2007-12-24,219.0,238.4,217.05,231.35,,,
2007-12-26,235.0,242.8,229.6,240.0,,175.97471560821776,242.89528439178224
2007-12-27,243.0,248.0,240.8,242.35,,176.39850551443396,247.446494485566
2007-12-28,237.9,254.8,235.0,249.8,,179.69589083761716,251.24910916238284
2007-12-31,252.65,259.0,252.2,253.75,,184.50181576974177,254.13318423025828
2008-01-01,255.8,263.8,252.75,259.35,,187.96901185976307,258.17098814023694
2008-01-02,262.05,264.8,254.0,261.5,,190.1885339063402,262.7164660936598
2008-01-03,261.0,262.95,252.25,255.15,,191.43221384219737,266.1577861578026
2008-01-04,255.75,258.95,246.6,248.05,,192.53430605456128,268.2106939454387
2008-01-07,248.0,255.8,243.0,245.45,,194.03535063658896,269.629649363411
2008-01-08,248.0,251.0,237.0,240.95,,195.24268538727878,270.4673146127211
2008-01-09,240.0,242.0,230.2,236.05,,197.21668637875624,270.58831362124374
2008-01-10,237.0,239.95,222.0,224.3,,199.4530765916176,269.8269234083824
2008-01-11,225.6,226.0,212.6,217.15,,201.29628277808308,268.96371722191685
2008-01-14,216.5,216.5,206.2,207.05,,198.27444086940483,270.0905591305951
2008-01-15,209.1,215.75,207.2,209.9,,196.4076966874146,270.7373033125855
2008-01-16,209.2,212.8,200.0,206.1,,195.86691303919324,271.00308696080674
2008-01-17,210.0,210.7,202.2,204.2,,193.92680919343513,271.86319080656483
2008-01-18,202.0,214.4,195.0,198.9,,191.1871743287508,273.1528256712492
2008-01-21,199.0,201.0,159.15,165.0,,179.60873294210776,280.02626705789226
2008-01-22,140.0,162.0,132.0,147.1,,163.26585203966084,287.9441479603391
2008-01-23,152.0,176.4,152.0,171.4,,155.75532552101197,288.59467447898805
2008-01-24,175.0,187.0,162.4,162.85,,147.4872601368935,288.9127398631065
2008-01-25,164.0,176.6,164.0,173.15,,142.56577538356242,286.1692246164376
2008-01-28,167.0,167.0,156.65,164.15,,137.25580563510312,282.51919436489686
2008-01-29,168.0,172.0,164.0,168.15,,134.33812737060015,276.3168726293999
2008-01-30,169.95,172.8,164.45,166.1,,132.70941679393704,268.40558320606294
2008-01-31,166.2,170.0,162.5,167.55,,131.95512748403837,260.39987251596165
2008-02-01,166.35,170.45,164.0,165.05,,131.28619804525187,252.76880195474814
2008-02-04,169.6,174.5,168.0,171.2,,132.44047798391193,244.18952201608806
2008-02-05,171.2,171.4,166.0,166.85,,133.8368554201504,235.38314457984956
2008-02-06,160.6,165.0,156.0,161.5,205.975,135.33276691394866,226.43223308605133
2008-02-07,165.0,166.0,158.4,159.25,205.308,136.01394287626098,219.246057123739
2008-02-08,162.0,166.0,153.05,156.8,204.868,136.45366471213637,212.77133528786365
2008-02-11,157.0,157.0,139.0,142.25,204.176,133.81090882525157,208.93409117474843
2008-02-12,145.0,147.0,131.1,136.25,203.215,131.62090548755958,203.7590945124404
2008-02-13,163.2,163.2,132.8,134.2,202.02200000000002,129.85920924790778,198.3307907520922
2008-02-14,136.0,142.8,136.0,141.95,200.695,131.05043173657546,190.91456826342457
2008-02-15,140.0,152.75,136.25,145.75,199.28,133.579101881641,183.07089811835897
2008-02-18,147.0,155.0,147.0,154.3,198.041,133.18949508434318,182.3905049156568
2008-02-19,155.8,157.4,152.05,152.8,196.68699999999998,133.86700871395448,182.2829912860455
2008-02-20,150.0,152.0,144.0,146.4,195.31300000000002,132.93433897501959,180.7156610249804
2008-02-21,152.4,152.4,146.0,147.5,194.072,131.99616882538024,180.11883117461977
2008-02-22,144.6,147.4,143.0,144.8,192.821,131.4956338559355,177.78436614406448
2008-02-25,145.0,151.8,140.45,141.55,191.13199999999998,130.11516026308834,176.9048397369117
2008-02-26,145.0,148.8,142.6,147.15,189.63300000000004,129.9639980160218,174.9560019839782
2008-02-27,149.95,156.7,148.2,149.3,188.442,130.03220130185636,173.20779869814365
2008-02-28,148.0,151.0,145.0,147.55,187.093,130.3250330325344,170.9149669674656
2008-02-29,147.6,152.2,145.1,147.15,185.76800000000003,130.56224830219907,168.88775169780092
2008-03-03,145.0,145.0,138.45,139.85,184.32399999999998,131.41517182762286,164.89982817237714
2008-03-04,141.0,141.8,128.4,133.85,182.37399999999997,131.06799922405128,161.9470007759487
2008-03-05,133.6,134.4,127.2,128.2,180.138,129.03283356988285,160.6521664301172
2008-03-07,126.0,126.0,115.4,121.95,177.73,125.6013677006589,160.35363229934114
2008-03-10,120.0,122.0,101.65,120.25,175.13899999999998,122.27171952522671,160.02828047477328
2008-03-11,118.6,127.15,115.0,124.75,172.55899999999997,120.03804838849706,160.51195161150295
2008-03-12,128.0,130.0,118.2,120.6,169.784,117.46884585030769,161.5161541496923
2008-03-13,117.0,120.0,112.4,113.25,166.819,113.55509716455504,163.33490283544495
2008-03-14,113.8,115.4,110.8,112.2,163.96,109.52367003924192,164.39132996075804
2008-03-17,109.8,109.8,101.4,102.3,161.04500000000002,103.65078967387198,165.919210326128
2008-03-18,101.0,105.0,98.0,100.5,158.14600000000002,98.83600200895376,165.35399799104624
2008-03-19,106.0,106.0,99.0,99.55,155.31799999999998,94.66116766096565,164.20383233903436
2008-03-24,100.4,101.2,93.0,93.85,152.474,89.57708319723378,164.0329168027662
2008-03-25,95.0,101.0,93.0,99.45,149.977,86.60057196507174,162.20442803492824
2008-03-26,100.4,104.4,98.05,100.8,147.65,84.27763695684447,160.12736304315555
2008-03-27,99.2,104.2,97.2,103.2,145.57299999999998,82.60173413415724,157.96826586584274
