Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2020-10-05,275.0,296.7,257.0,275.8,,,
2020-10-06,274.0,274.15,261.55,266.25,,,
2020-10-07,262.9,270.0,262.5,265.55,,,
2020-10-08,267.05,273.35,264.55,270.85,,,
2020-10-09,270.85,276.0,270.0,274.85,,,
2020-10-12,275.0,276.9,265.0,269.45,,,
2020-10-13,266.35,272.0,263.0,269.8,,,
2020-10-14,267.15,269.0,260.6,261.8,,,
2020-10-15,263.0,266.15,255.0,257.25,,,
2020-10-16,257.1,260.5,243.0,245.1,,,
2020-10-19,247.0,248.3,234.3,235.85,,,
2020-10-20,235.85,236.85,223.8,224.65,,,
2020-10-21,222.2,243.8,222.2,238.95,,,
2020-10-22,238.5,244.6,233.05,238.95,,,
2020-10-23,241.45,242.95,235.6,240.05,,,
2020-10-26,241.0,251.2,240.2,248.75,,,
2020-10-27,267.0,298.5,267.0,298.5,,,
2020-10-28,305.9,335.9,278.85,315.85,,,
2020-10-29,300.0,329.95,296.95,325.75,,,
2020-10-30,327.95,379.0,327.0,353.35,,203.35634968351212,334.3786503164879
2020-11-02,353.65,354.0,314.3,315.9,,202.0948684235699,339.6501315764301
2020-11-03,312.5,328.9,296.5,298.9,,202.64786081768852,342.36213918231147
2020-11-04,299.05,322.8,290.65,309.7,,203.01469943915185,346.4103005608481
2020-11-05,315.2,320.0,304.8,311.2,,203.24138004318024,350.2186199568198
2020-11-06,311.9,317.45,309.05,311.55,,203.45904606963927,353.6709539303607
2020-11-09,312.05,342.7,309.15,334.5,,202.83933996092406,360.7956600390759
2020-11-10,339.9,345.9,323.0,327.85,,203.3702780388409,366.0697219611591
2020-11-11,327.7,338.8,323.35,332.05,,205.0048586212268,371.46014137877313
2020-11-12,333.0,343.5,326.6,338.05,,207.54640587123833,376.9985941287616
2020-11-13,335.25,364.1,335.25,352.2,,211.92241524634278,383.3325847536572
2020-11-17,348.05,356.5,345.0,349.5,,219.8090412913532,386.8109587086468
2020-11-18,350.45,354.95,348.65,351.2,,232.28082863118306,386.9941713688169
2020-11-19,346.85,369.35,346.85,358.85,,242.89561820208277,388.3693817979173
2020-11-20,357.5,364.0,353.65,359.8,,256.0269231050903,387.3230768949097
2020-11-23,360.0,363.9,355.75,356.3,,272.55887765580184,382.4161223441983
2020-11-24,356.3,360.0,353.5,354.85,,290.94633718779903,374.638662812201
2020-11-25,354.85,363.75,351.75,352.5,,296.06410687765106,374.92089312234896
2020-11-26,355.95,358.4,351.5,351.9,,298.35445287330595,376.2355471266941
2020-11-27,352.3,360.3,351.5,357.8,,299.3246561082075,378.4703438917925
2020-12-01,353.1,356.9,350.25,350.55,,299.3806129107179,378.1343870892821
2020-12-02,351.45,353.95,348.75,350.25,,302.3183216164834,378.63167838351666
