Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2011-12-14,16.0,16.0,14.1,14.55,,,
2011-12-15,14.0,14.5,14.0,14.2,,,
2011-12-16,14.45,14.7,13.8,14.05,,,
2011-12-19,13.2,14.35,13.2,13.7,,,
2011-12-20,13.7,14.0,13.6,13.6,,,
2011-12-21,13.85,13.85,13.3,13.35,,,
2011-12-22,13.2,13.45,13.15,13.2,,,
2011-12-23,13.45,13.95,13.3,13.3,,,
2011-12-26,13.7,13.7,13.4,13.7,,,
2011-12-27,13.9,13.9,13.25,13.75,,,
2011-12-28,14.0,14.0,13.4,13.5,,,
2011-12-29,13.7,14.0,13.25,13.65,,,
2011-12-30,13.6,14.4,13.6,14.05,,,
2012-01-02,14.0,14.0,13.95,13.95,,,
2012-01-03,13.95,14.0,13.55,13.75,,,
2012-01-04,14.0,14.8,13.5,13.8,,,
2012-01-05,14.0,14.0,13.6,13.9,,,
2012-01-06,13.3,13.95,13.3,13.9,,,
2012-01-09,13.5,13.8,13.5,13.55,,,
2012-01-10,13.9,14.5,13.65,14.0,,13.128928550566204,14.416071449433794
2012-01-11,13.55,14.0,13.55,14.0,,13.202200240468578,14.28779975953142
2012-01-12,11.6,13.9,11.6,13.2,,13.144497836898937,14.24550216310106
2012-01-13,13.5,13.8,13.5,13.5,,13.13708308354356,14.197916916456437
2012-01-16,13.85,13.85,13.4,13.4,,13.109142988353641,14.195857011646359
2012-01-18,13.5,13.5,13.5,13.5,,13.100282156338947,14.194717843661051
2012-01-19,13.2,13.55,13.2,13.55,,13.12609174183863,14.188908258161375
2012-01-20,13.25,13.85,13.25,13.85,,13.198386116422336,14.181613883577667
2012-01-23,13.8,13.8,13.3,13.3,,13.198386116422336,14.181613883577667
2012-01-24,13.8,13.8,13.5,13.65,,13.19559179290184,14.17940820709816
2012-01-25,12.7,15.85,12.65,15.0,,12.983600351609795,14.516399648390205
2012-01-27,15.3,16.4,15.3,15.95,,12.63557894988786,15.109421050112145
2012-01-30,15.5,15.7,14.6,15.7,,12.49905248987927,15.450947510120729
2012-01-31,15.5,16.0,15.5,15.9,,12.358306592201115,15.776693407798883
2012-02-01,15.5,15.7,14.8,15.6,,12.310377613118446,15.989622386881555
2012-02-02,15.3,15.4,15.1,15.2,,12.33557127850573,16.109428721494268
2012-02-03,15.05,15.3,15.0,15.3,,12.362646544376851,16.232353455623148
2012-02-06,15.7,16.0,15.1,15.4,,12.386900528012283,16.358099471987714
2012-02-07,15.4,16.0,14.8,15.6,,12.412409601792112,16.502590398207893
2012-02-08,15.7,16.0,15.6,15.6,,12.500976214958062,16.619023785041936
2012-02-09,15.3,15.3,15.15,15.15,,12.560093610238468,16.674906389761535
2012-02-10,15.35,15.6,14.3,15.0,,12.624727116727955,16.710272883272047
2012-02-13,14.9,14.9,14.6,14.7,,12.819981093105085,16.665018906894918
2012-02-14,14.7,14.7,14.65,14.7,,12.97048213063185,16.63451786936815
2012-02-15,14.55,14.9,14.55,14.6,,13.149123831513684,16.575876168486317
2012-02-16,14.35,16.8,14.3,16.5,,13.276238135200249,16.74876186479975
2012-02-17,16.5,16.6,15.7,16.45,,13.45138869370322,16.863611306296775
2012-02-21,16.0,17.5,16.0,16.35,,13.613817885275925,16.95118211472408
2012-02-22,17.0,17.15,16.55,16.9,,13.922549556504796,17.002450443495203
2012-02-23,16.6,17.3,15.7,16.9,,14.209484471817301,17.0405155281827
2012-02-24,17.5,18.0,16.8,17.7,14.552,14.101338523164879,17.418661476835126
2012-02-27,17.5,17.5,16.6,17.0,14.601,14.064455980320611,17.560544019679387
2012-02-28,16.7,18.45,16.6,18.2,14.681,13.891226107749674,17.983773892250326
2012-02-29,18.0,19.0,18.0,18.5,14.77,13.722679279662016,18.412320720337988
2012-03-01,18.5,18.5,17.8,18.15,14.859000000000002,13.685670041205162,18.704329958794837
2012-03-02,17.9,17.9,17.3,17.55,14.937999999999999,13.77937731716053,18.84562268283947
2012-03-03,18.3,18.3,18.3,18.3,15.036999999999999,13.828536606576545,19.096463393423452
2012-03-05,18.0,18.3,17.4,18.0,15.133,13.922929760587307,19.262070239412697
2012-03-06,17.7,18.1,16.9,17.2,15.210999999999999,14.032429227423895,19.3125707725761
2012-03-07,17.5,17.9,17.0,17.75,15.292,14.14873054451497,19.41126945548503
2012-03-09,17.4,18.3,17.15,18.25,15.382,14.343089507718277,19.526910492281722
2012-03-12,19.0,19.0,17.8,18.2,15.476,14.613298546306737,19.57670145369326
2012-03-13,18.05,19.2,18.0,18.9,15.581000000000001,14.970160886868085,19.639839113131913
2012-03-14,20.0,20.1,19.0,19.75,15.695,15.318544651487729,19.796455348512264
2012-03-15,20.35,20.35,19.0,19.7,15.81,15.84677393887944,19.77822606112056
2012-03-16,19.7,20.0,19.3,19.8,15.931000000000001,15.923626893685434,20.031373106314565
2012-03-19,19.4,20.0,19.4,19.5,16.045,16.10089597164293,20.159104028357067
2012-03-20,19.0,19.5,18.95,19.5,16.157,16.353353921589235,20.22164607841076
2012-03-21,19.5,19.7,19.1,19.2,16.262999999999998,16.543673261945745,20.261326738054255
2012-03-22,19.0,19.9,18.9,19.4,16.38,16.760112692492953,20.294887307507047
2012-03-23,19.6,19.6,19.2,19.3,16.486,16.853024519827514,20.36197548017249
