Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-05-23,15.0,15.0,15.0,15.0,,,
1995-05-24,15.25,15.25,15.05,15.05,,,
1995-05-29,16.5,17.5,16.5,17.5,,,
1995-05-30,17.5,17.65,17.5,17.65,,,
1995-05-31,17.75,18.0,17.75,18.0,,,
1995-06-01,18.0,18.0,18.0,18.0,,,
1995-06-02,18.25,18.25,18.25,18.25,,,
1995-06-05,18.5,18.5,18.5,18.5,,,
1995-06-08,18.5,18.6,18.5,18.6,,,
1995-06-09,18.5,18.6,18.5,18.55,,,
1995-06-12,18.1,18.5,18.1,18.5,,,
1995-06-13,18.25,19.0,18.25,18.8,,,
1995-06-14,19.0,19.25,19.0,19.0,,,
1995-06-15,18.75,18.75,18.75,18.75,,,
1995-06-16,18.75,19.0,18.75,19.0,,,
1995-06-19,19.25,19.25,19.25,19.25,,,
1995-06-20,19.0,19.0,19.0,19.0,,,
1995-06-21,19.0,19.0,18.9,18.9,,,
1995-06-22,18.4,18.75,18.4,18.75,,,
1995-06-23,18.5,18.5,18.5,18.5,,15.835329391804532,20.519670608195472
1995-06-26,18.3,18.3,18.25,18.25,,16.53719516775723,20.14280483224277
1995-06-27,17.5,17.95,17.1,17.55,,17.446693872933565,19.483306127066434
1995-06-28,16.5,18.0,16.5,18.0,,17.549899221527713,19.43010077847229
1995-06-29,18.25,18.25,18.25,18.25,,17.657689761531035,19.38231023846897
1995-06-30,18.0,18.0,18.0,18.0,,17.657689761531035,19.38231023846897
1995-07-03,18.3,18.3,18.1,18.1,,17.674303690776604,19.375696309223393
1995-07-05,19.0,19.25,18.5,19.25,,17.67617035160043,19.47382964839957
1995-07-10,19.0,19.0,19.0,19.0,,17.68233706451776,19.517662935482242
1995-07-11,18.25,18.25,18.25,18.25,,17.65158364330737,19.51341635669263
1995-07-14,18.25,18.5,18.0,18.25,,17.62478555420224,19.510214445797757
1995-07-17,18.5,18.5,18.5,18.5,,17.62478555420224,19.510214445797757
1995-07-20,18.0,18.0,18.0,18.0,,17.558792233518233,19.496207766481767
1995-07-21,18.95,18.95,18.95,18.95,,17.561180842470414,19.488819157529583
1995-07-24,18.5,18.75,18.0,18.75,,17.561180842470414,19.488819157529583
1995-07-25,19.6,19.6,18.8,18.85,,17.567001515823915,19.46799848417609
1995-07-26,18.75,18.75,18.75,18.75,,17.598499529024032,19.386500470975967
1995-07-27,19.0,19.0,19.0,19.0,,17.598499529024032,19.386500470975967
1995-07-28,19.0,19.0,18.35,18.5,,17.599227268742528,19.345772731257473
1995-07-31,18.75,18.75,18.5,18.5,,17.5963480233091,19.3236519766909
1995-08-01,18.5,18.6,18.5,18.6,,17.599217725193906,19.330782274806094
1995-08-11,18.4,18.4,18.4,18.4,,17.61197690327337,19.33302309672663
1995-08-14,17.5,18.5,17.5,18.5,,17.777032975159738,19.26296702484026
1995-08-17,18.25,18.25,18.25,18.25,,17.818522999043577,19.24647700095642
1995-08-18,17.5,17.5,17.5,17.5,,17.651511005281918,19.338488994718077
1995-08-21,17.5,17.5,17.5,17.5,,17.539578476965247,19.40042152303475
1995-08-22,17.5,17.9,17.5,17.9,,17.508768111729243,19.41123188827076
1995-08-23,18.0,18.0,18.0,18.0,,17.5022052822791,19.292794717720902
1995-08-24,18.0,18.0,17.9,17.9,,17.468143093468118,19.216856906531884
1995-08-25,17.5,17.5,17.5,17.5,,17.35304909458744,19.25695090541256
1995-08-28,16.4,16.4,16.4,16.4,18.214000000000002,16.93439490589429,19.490605094105707
1995-08-30,16.4,16.4,16.4,16.4,18.242,16.603724050842956,19.611275949157047
1995-09-05,15.5,15.5,15.5,15.5,18.251,16.078688034495,19.886311965505005
1995-09-11,17.5,17.5,17.5,17.5,18.251,16.0514210295299,19.768578970470106
1995-09-14,17.0,17.0,17.0,17.0,18.238,15.965656328321458,19.679343671678545
1995-09-15,16.5,17.0,16.5,17.0,18.218,15.904623326543252,19.55537667345675
1995-09-18,17.1,17.1,17.1,17.1,18.2,15.8676493261926,19.427350673807403
1995-09-19,16.0,17.0,16.0,17.0,18.175,15.86556033026401,19.22943966973599
1995-09-20,17.5,17.5,16.5,16.6,18.136999999999997,15.78249369682878,19.12250630317122
1995-09-21,17.5,17.5,17.5,17.5,18.115,15.806295620525784,18.998704379474216
1995-09-22,16.5,16.5,16.5,16.5,18.073999999999998,15.757686272372691,18.837313727627308
1995-09-26,16.0,16.25,16.0,16.25,18.029,15.674258041680392,18.70574195831961
1995-09-27,17.0,17.6,16.75,16.75,17.988,15.70797121710743,18.497028782892567
1995-09-28,17.05,17.05,17.05,17.05,17.949,15.756840226719518,18.328159773280483
1995-09-29,18.0,18.0,18.0,18.0,17.934,15.726143655807563,18.40885634419244
1995-10-10,17.35,17.4,16.5,16.5,17.884,15.669489770458917,18.365510229541087
1995-10-11,16.5,17.25,16.5,17.25,17.844,15.696549277947376,18.27345072205263
1995-10-12,17.25,17.25,17.25,17.25,17.809,15.742477615407722,18.15252238459228
1995-10-13,17.1,17.1,17.0,17.1,17.773000000000003,15.785342773001345,18.02965722699865
1995-10-17,17.4,17.4,16.25,16.25,17.723000000000003,15.722549672884293,17.967450327115703
1995-10-18,16.75,16.75,16.75,16.75,17.688000000000002,15.758500095347046,17.966499904652956
1995-10-19,16.75,16.75,16.75,16.75,17.658,15.795953001601458,17.96404699839854
1995-10-20,16.5,16.5,16.5,16.5,17.637,16.03887415975187,17.82112584024813
1995-10-23,16.0,16.5,16.0,16.2,17.601,15.959403366195554,17.770596633804445
1995-10-24,17.0,17.0,17.0,17.0,17.576,15.959403366195554,17.770596633804445
1995-10-25,16.25,18.0,16.25,18.0,17.576,15.877239252803857,17.95276074719614
1995-10-26,18.0,18.25,17.0,18.25,17.578999999999997,15.776244878468848,18.168755121531152
1995-10-27,16.7,17.0,16.7,17.0,17.534,15.776244878468848,18.168755121531152
1995-10-30,17.0,17.0,16.5,16.5,17.483999999999998,15.763876086015307,18.17112391398469
1995-10-31,16.5,16.95,16.0,16.0,17.439,15.642542105972304,18.142457894027693
1995-11-01,16.6,16.6,16.6,16.6,17.406,15.653366397426435,18.141633602573567
1995-11-10,16.5,18.0,16.5,18.0,17.396,15.687593680493741,18.282406319506258
1995-11-13,18.0,16.0,15.05,15.6,17.348,15.491689207597679,18.363310792402327
1995-11-14,15.6,15.0,15.0,15.0,17.269000000000002,15.152781177754019,18.49721882224598
1995-11-15,16.5,16.5,16.5,16.5,17.224,15.16753024473899,18.33246975526101
1995-11-16,16.6,16.6,16.25,16.5,17.177,15.16753024473899,18.33246975526101
1995-11-17,15.5,16.0,15.5,16.0,17.122,15.089516072803296,18.285483927196704
1995-11-20,16.0,15.9,15.5,15.9,17.06,15.008070786456877,18.23192921354312
1995-11-21,15.5,16.0,15.4,15.9,17.008,14.934026607325851,18.185973392674146
1995-11-22,15.5,15.5,15.4,15.4,16.945999999999998,14.814785449024024,18.22021455097598
1995-11-23,15.1,15.1,14.0,14.0,16.854,14.344680291504666,18.41531970849534
1995-11-24,14.0,15.0,14.0,15.0,16.785999999999998,14.175333323320485,18.409666676679514
1995-11-27,15.0,16.5,15.0,16.0,16.736,14.148842281935126,18.38615771806488
1995-11-28,15.75,15.9,15.5,15.9,16.689,14.1275913332321,18.377408666767902
1995-11-29,15.75,15.75,15.6,15.6,16.651,14.069065529012557,18.295934470987447
1995-11-30,15.5,16.5,15.5,16.25,16.625999999999998,14.161119254751682,18.028880745248323
1995-12-01,16.4,16.5,16.4,16.45,16.597,14.345291718720588,17.664708281279417
1995-12-08,16.0,16.75,15.0,16.0,16.557000000000002,14.362616814166135,17.54738318583387
1995-12-11,16.0,17.5,16.0,17.1,16.541,14.328084666902766,17.64191533309724
1995-12-12,16.55,17.5,16.5,17.5,16.541,14.26979272002842,17.850207279971585
1995-12-13,17.25,18.5,17.25,18.0,16.573,14.151324206764302,18.108675793235705
1995-12-14,18.5,19.75,17.75,19.75,16.64,13.78736571737712,18.64763428262288
1995-12-15,19.7,19.7,18.0,18.1,16.692,13.791901515020635,18.89309848497936
1995-12-18,18.1,18.0,17.6,18.0,16.702,13.921554034427249,19.06344596557275
1995-12-19,18.0,19.0,17.75,18.9,16.74,13.825146038755895,19.399853961244105
1995-12-20,18.9,18.05,18.0,18.0,16.76,13.832979116614444,19.542020883385554
1995-12-21,18.0,18.05,17.9,17.95,16.776999999999997,13.896347063167035,19.673652936832966
1995-12-22,17.95,18.1,18.0,18.05,16.798,13.982575964095135,19.80242403590487
1995-12-26,18.0,18.5,18.0,18.0,16.826,14.086816412358013,19.908183587641993
1995-12-27,18.4,18.4,18.0,18.1,16.838,14.283996237634478,19.98100376236552
1995-12-28,18.1,18.2,18.0,18.0,16.868000000000002,14.875228299408812,19.78977170059119
1995-12-29,18.0,18.25,18.0,18.0,16.903000000000002,15.270743136994344,19.694256863005652
1996-01-01,18.0,18.4,18.0,18.25,16.933000000000003,15.47370446734971,19.71629553265029
1996-01-02,18.25,18.25,17.5,17.5,16.942,15.707768442709412,19.64223155729059
1996-01-09,17.0,17.0,16.6,17.0,16.922,16.00177250329651,19.488227496703484
1996-01-10,17.1,17.1,17.0,17.05,16.933,16.153049278349776,19.416950721650224
1996-01-11,17.05,17.5,17.0,17.4,16.936,16.3127095019725,19.3522904980275
1996-01-12,17.4,18.25,17.5,18.25,16.956,16.685551499141106,19.204448500858895
1996-01-15,17.9,17.9,17.25,17.25,16.959,16.712603994174067,19.192396005825927
1996-01-16,17.75,18.9,17.75,18.9,17.011999999999997,16.73307948552157,19.31192051447843
1996-01-17,17.5,17.5,17.5,17.5,17.026999999999997,16.687025999776,19.307974000223997
1996-01-18,16.25,17.75,16.25,17.75,17.046999999999997,16.876935140924946,18.918064859075056
1996-01-19,17.75,17.1,17.1,17.1,17.058999999999997,16.772190986886027,18.92280901311398
1996-01-22,16.5,17.0,16.5,16.9,17.073,16.64025961937763,18.94474038062237
1996-01-23,16.9,16.5,15.25,16.25,17.058,16.436717100327346,18.883282899672654
1996-01-24,16.25,16.25,15.5,16.0,17.018,16.142218189156786,18.97778181084321
1996-01-25,16.1,16.1,15.5,15.5,16.963,15.761704823469113,19.113295176530887
1996-01-29,15.5,15.9,15.5,15.5,16.933,15.452270769262423,19.167729230737574
1996-01-30,15.5,16.4,16.0,16.0,16.923,15.294248120669621,19.12575187933038
1996-01-31,16.0,16.5,15.5,16.5,16.933,15.237243725201404,19.022756274798603
1996-02-02,16.9,17.5,16.6,17.5,16.951,15.247752461018557,18.962247538981444
1996-02-12,18.25,20.0,18.0,19.5,16.980999999999998,15.067032518246586,19.29296748175341
1996-02-13,19.5,21.5,19.5,21.5,17.099,14.506773972108178,20.178226027891824
1996-02-14,22.0,23.25,20.25,20.25,17.203999999999997,14.359709865042074,20.600290134957927
1996-02-15,20.05,21.1,20.05,20.95,17.293,14.20498005954724,21.150019940452765
1996-02-16,20.95,21.25,20.0,20.9,17.381,14.127583105728831,21.612416894271163
1996-02-19,21.25,21.25,20.0,20.1,17.463,14.141145911003818,21.868854088996187
1996-02-20,20.1,20.05,18.25,18.4,17.512999999999998,14.146062090856356,21.87893790914364
1996-02-22,18.4,20.0,18.5,19.55,17.586000000000002,14.21995332047953,22.035046679520473
1996-02-23,19.55,19.75,18.5,18.9,17.656000000000002,14.21995332047953,22.035046679520473
1996-02-26,18.9,20.0,19.05,19.5,17.766000000000002,14.285355913338543,22.169644086661457
1996-02-27,19.5,19.5,19.1,19.35,17.853,14.341290753190954,22.27370924680904
1996-02-28,19.2,19.2,18.75,19.0,17.913,14.467170815614839,22.337829184385154
1996-02-29,19.0,19.0,18.0,18.0,17.955,14.580268893574766,22.33473110642523
1996-03-01,18.0,18.6,18.25,18.6,18.015,14.839607397510044,22.310392602489955
1996-03-11,18.1,18.0,17.55,17.55,18.041,15.081347303888112,22.223652696111888
1996-03-12,17.55,17.75,17.25,17.5,18.062,15.451228315203076,22.053771684796928
1996-03-13,17.5,17.75,17.25,17.75,18.097,15.89353925697003,21.836460743029974
1996-03-14,17.75,19.5,17.75,19.0,18.135,16.367240271673587,21.662759728326414
1996-03-15,19.0,20.0,17.9,19.3,18.171,16.785700747611607,21.524299252388396
1996-03-18,19.3,20.25,18.0,19.9,18.209,17.0181974178638,21.531802582136198
1996-03-19,19.9,19.5,17.9,17.95,18.173,16.86794729841253,21.527052701587465
1996-03-21,17.95,18.7,18.0,18.7,18.185,16.98861395343194,21.126386046568054
1996-03-22,18.7,18.0,17.65,17.95,18.183999999999997,16.89715226222511,20.98784773777489
1996-03-25,17.95,19.5,17.6,18.65,18.179,17.01164149635414,20.64335850364586
1996-03-26,18.65,18.2,16.9,17.8,18.175,17.08688207296772,20.258117927032284
1996-03-27,17.8,17.75,17.0,17.0,18.156000000000002,16.91346725325465,20.121532746745352
1996-03-28,17.0,17.25,16.75,17.25,18.14,16.758731123698098,20.161268876301904
1996-03-29,17.25,17.2,16.75,16.8,18.116,16.549166831552604,20.095833168447392
1996-04-01,16.8,17.2,16.6,17.2,18.098,16.418340274944764,20.056659725055237
1996-04-02,17.2,17.25,16.7,17.0,18.078,16.315170109066784,19.909829890933217
1996-04-03,17.0,17.5,17.1,17.1,18.06,16.24770826749956,19.75229173250044
1996-04-04,17.1,17.25,16.8,17.0,18.035,16.159764081329342,19.640235918670655
1996-04-08,17.0,17.5,16.75,16.9,18.023,16.049420633010662,19.640579366989343
1996-04-09,16.9,17.25,16.4,16.5,18.012999999999998,15.88567362209631,19.594326377903695
1996-04-10,16.5,18.0,16.7,17.9,18.03,15.904117601305812,19.610882398694187
1996-04-11,17.9,17.75,16.9,17.5,18.032,15.904117601305812,19.610882398694187
1996-04-12,17.5,17.6,17.5,17.5,18.017,15.888035867477875,19.60196413252212
1996-04-15,17.5,17.7,17.55,17.6,18.024,15.914168856536937,19.435831143463062
1996-04-16,17.6,17.5,17.0,17.25,17.991,15.979265950388305,19.1657340496117
1996-04-17,17.25,17.7,17.5,17.65,17.994,16.299872965213677,18.620127034786325
1996-04-18,17.65,18.5,17.75,18.2,18.003,16.28507687229424,18.65992312770576
1996-04-19,18.2,18.25,17.75,17.75,18.016000000000002,16.376442093058024,18.473557906941977
1996-04-22,17.75,18.25,17.3,18.25,18.043000000000003,16.351979102367874,18.52802089763213
1996-04-23,18.25,18.5,17.5,18.1,18.08,16.430624780143408,18.394375219856595
1996-04-24,18.1,20.0,18.0,18.5,18.13,16.362931203802994,18.532068796197002
1996-04-25,18.5,19.0,18.25,18.5,18.19,16.363337416607646,18.681662583392356
1996-04-26,18.5,18.2,17.5,17.5,18.23,16.38283955795622,18.68716044204378
1996-04-29,17.5,17.55,16.9,17.45,18.259,16.46712924908299,18.667870750917015
1996-04-30,17.45,18.5,17.25,18.1,18.291,16.50184585420171,18.72315414579829
1996-05-01,18.1,17.75,17.5,17.6,18.293000000000003,16.569739174152197,18.7152608258478
1996-05-02,17.6,17.95,17.5,17.75,18.258000000000003,16.632482803372948,18.717517196627053
1996-05-03,17.75,17.75,17.55,17.7,18.182000000000002,16.71707767834434,18.702922321655663
1996-05-06,17.7,17.95,17.25,17.85,18.134,16.83967935475276,18.67532064524724
1996-05-07,17.85,18.0,17.6,17.8,18.070999999999998,17.12101660934248,18.523983390657516
1996-05-08,17.8,17.9,17.6,17.9,18.011000000000003,17.12101660934248,18.523983390657516
1996-05-09,17.9,18.0,17.4,18.0,17.969,17.15888965261459,18.53611034738541
1996-05-10,18.0,17.75,17.3,17.55,17.952,17.166356510268276,18.533643489731727
1996-05-13,17.55,17.5,17.25,17.5,17.910999999999998,17.152255648278494,18.537744351721503
1996-05-14,17.5,17.6,16.8,16.8,17.869,17.02680434276206,18.618195657237937
1996-05-15,16.8,17.1,17.0,17.0,17.819,16.91544748284445,18.66455251715555
1996-05-16,17.0,17.75,16.25,17.4,17.78,16.881244083700594,18.618755916299406
1996-05-17,17.4,17.25,16.95,17.25,17.745,16.82792874190217,18.622071258097833
1996-05-20,17.25,17.5,16.5,17.4,17.733,16.809950800663295,18.555049199336707
1996-05-21,17.4,17.25,17.0,17.25,17.706000000000003,16.770275300666036,18.509724699333965
1996-05-22,17.25,17.1,17.0,17.1,17.697,16.769079476970084,18.370920523029916
1996-05-23,17.1,17.5,16.1,17.5,17.697,16.849258069864348,18.19074193013565
1996-05-24,17.5,17.25,16.5,17.0,17.682000000000002,16.784996293560454,18.20500370643954
1996-05-27,17.0,17.25,17.0,17.1,17.644,16.745901174067875,18.209098825932124
1996-05-28,17.1,17.4,16.75,17.4,17.606,16.77185616166646,18.11314383833354
1996-05-29,17.4,18.5,17.5,17.5,17.558000000000003,16.7703181814922,18.1046818185078
1996-05-30,17.75,17.85,17.5,17.5,17.549,16.77328162362469,18.07671837637531
1996-05-31,17.5,18.25,17.5,17.75,17.53,16.770974055509242,18.08402594449076
1996-06-03,17.75,18.5,18.1,18.25,17.536,16.716620933035895,18.1783790669641
1996-06-04,18.25,18.4,18.0,18.05,17.524,16.695938828571816,18.224061171428186
1996-06-05,18.1,18.4,18.1,18.3,17.534,16.6494009771002,18.3105990228998
1996-06-06,17.75,18.5,17.75,17.8,17.55,16.66123225635669,18.278767743643314
1996-06-07,18.25,18.25,18.0,18.1,17.567,16.641268968707998,18.353731031292
1996-06-10,17.8,18.0,17.75,17.75,17.586000000000002,16.6463480233091,18.373651976690898
1996-06-11,17.75,18.0,17.5,17.75,17.597,16.75600468694939,18.358995313050606
1996-06-12,18.0,18.35,18.0,18.2,17.621,16.812074319806126,18.422925680193874
1996-06-13,18.0,18.1,18.0,18.1,17.641,16.826300712202034,18.478699287797966
1996-06-14,18.25,18.25,18.0,18.0,17.660999999999998,16.87268733033192,18.50731266966808
1996-06-17,18.2,19.3,17.6,19.2,17.707,16.73299927110066,18.827000728899336
