Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,15.1,15.1,15.1,15.1,,,
1995-01-03,14.5,14.7,14.5,14.7,,,
1995-01-04,15.0,15.0,14.4,14.4,,,
1995-01-05,14.4,15.0,14.4,14.5,,,
1995-01-06,14.5,14.5,14.1,14.1,,,
1995-01-09,14.0,14.0,14.0,14.0,,,
1995-01-10,14.3,14.3,14.0,14.0,,,
1995-01-11,13.65,13.65,13.65,13.65,,,
1995-01-12,13.8,14.0,13.5,13.5,,,
1995-01-13,13.6,13.65,13.6,13.6,,,
1995-01-16,13.5,13.8,13.5,13.8,,,
1995-01-17,14.0,14.0,13.6,13.8,,,
1995-01-18,14.2,14.2,14.0,14.1,,,
1995-01-19,14.5,14.5,14.2,14.2,,,
1995-01-20,14.3,14.3,14.2,14.2,,,
1995-01-23,13.9,14.0,13.9,13.9,,,
1995-01-24,13.5,13.5,13.5,13.5,,,
1995-01-25,13.8,13.8,13.0,13.15,,,
1995-01-27,13.3,13.7,13.25,13.7,,,
1995-01-30,13.7,13.7,13.4,13.5,,13.037882998082775,14.902117001917222
1995-01-31,13.7,13.9,13.7,13.9,,13.144562388667698,14.675437611332303
1995-02-01,14.05,14.3,13.9,14.15,,13.20173031176392,14.563269688236076
1995-02-02,14.25,14.25,14.0,14.0,,13.223524668954893,14.501475331045109
1995-02-03,14.0,14.0,13.95,13.95,,13.268292055167006,14.401707944832992
1995-02-06,14.0,14.0,14.0,14.0,,13.271430398249246,14.388569601750751
1995-02-07,14.0,14.0,13.6,13.6,,13.248423272337051,14.371576727662946
1995-02-08,14.0,14.0,13.9,13.9,,13.248791027533152,14.361208972466844
1995-02-09,13.9,13.9,13.8,13.8,,13.261066461512891,14.363933538487109
1995-02-10,13.5,13.5,13.2,13.2,,13.196207532411272,14.398792467588727
1995-02-13,13.7,13.8,13.1,13.1,,13.099349512406503,14.445650487593495
1995-02-14,13.4,13.4,13.2,13.3,,13.042275138510309,14.452724861489688
1995-02-15,13.2,13.2,13.0,13.2,,12.971792988253153,14.46320701174685
1995-02-16,13.2,13.2,13.1,13.1,,12.896120511168812,14.438879488831189
1995-02-17,13.1,13.1,13.1,13.1,,12.844128516378897,14.380871483621105
1995-02-20,12.9,12.9,12.9,12.9,,12.76851618150717,14.326483818492836
1995-02-21,12.8,12.8,12.25,12.25,,12.512938524762415,14.417061475237585
1995-02-22,12.2,12.5,12.2,12.3,,12.320224980880711,14.489775019119284
1995-02-23,13.5,13.5,13.5,13.5,,12.343770240172809,14.50122975982719
1995-02-24,14.5,14.5,13.8,14.0,,12.334453978151512,14.540546021848488
1995-02-28,13.8,14.0,13.55,13.55,,12.3361312053557,14.543868794644302
1995-03-01,13.5,13.5,13.0,13.15,,12.313572473534293,14.491427526465706
1995-03-02,13.5,13.5,13.5,13.5,,12.337680180115532,14.40231981988447
1995-03-03,13.75,13.75,13.5,13.6,,12.354219428102553,14.345780571897446
1995-03-06,13.5,13.65,13.5,13.6,,12.369350014412694,14.295649985587305
1995-03-07,13.8,13.8,13.0,13.1,,12.372781176363045,14.202218823636954
1995-03-08,13.3,13.3,12.8,12.9,,12.334564673760795,14.170435326239208
1995-03-09,12.9,13.4,12.9,12.95,,12.330868852426661,14.079131147573335
1995-03-10,13.1,13.3,13.1,13.25,,12.348756499588886,14.006243500411115
1995-03-13,13.0,13.0,12.7,12.7,,12.296883878501344,14.008116121498656
1995-03-14,12.8,13.0,12.7,12.75,13.594000000000001,12.260748440393918,14.009251559606081
1995-03-15,13.5,13.5,12.7,12.7,13.546,12.213578899202318,13.99642110079768
1995-03-16,13.0,13.0,13.0,13.0,13.512,12.203578899202318,13.98642110079768
1995-03-20,12.75,12.8,12.7,12.8,13.48,12.178889573914507,13.981110426085497
1995-03-21,13.5,13.5,12.5,12.6,13.441999999999998,12.128830753218296,13.981169246781707
1995-03-22,12.85,12.85,12.6,12.6,13.412,12.093760907036382,13.98623909296362
1995-03-23,12.7,12.7,12.6,12.65,13.385,12.168756043794032,13.951243956205966
1995-03-24,12.9,12.9,12.6,12.6,13.357000000000001,12.22864558873149,13.921354411268508
1995-03-27,12.6,12.6,12.35,12.5,13.333999999999998,12.166298409776358,13.883701590223643
1995-03-28,13.0,13.0,12.5,12.55,13.315,12.202429827844172,13.702570172155829
1995-03-29,12.75,12.75,12.4,12.5,13.293000000000001,12.179619983327528,13.620380016672472
1995-03-30,12.6,12.7,12.5,12.6,13.268999999999998,12.150313991011368,13.59468600898863
1995-03-31,12.5,12.5,12.3,12.3,13.239,12.110716557619105,13.514283442380895
1995-04-03,12.0,12.55,12.0,12.4,13.205,12.133949061792102,13.371050938207901
1995-04-04,12.5,12.65,12.5,12.55,13.171999999999999,12.222065849063327,13.177934150936672
1995-04-05,12.7,12.8,12.65,12.7,13.142000000000001,12.24062244984646,13.119377550153539
1995-04-06,12.9,13.0,12.7,12.9,13.122,12.24062244984646,13.119377550153539
1995-04-07,12.95,13.0,12.8,13.0,13.112,12.236140456464476,13.128859543535526
1995-04-10,12.9,13.0,12.5,12.55,13.1,12.286981367734612,13.008018632265387
1995-04-11,12.6,12.6,12.45,12.45,13.075,12.264935994156374,13.005064005843629
1995-04-12,12.5,12.5,12.5,12.5,13.055,12.251903042021207,12.993096957978794
1995-04-17,12.5,12.75,12.5,12.55,13.028000000000002,12.244935994156373,12.985064005843624
1995-04-18,12.45,12.5,12.2,12.2,12.988999999999999,12.207218600395949,12.94278139960405
1995-04-19,12.5,12.5,12.0,12.2,12.953,12.157158469692124,12.932841530307876
1995-04-20,12.0,12.1,12.0,12.05,12.915,12.072321147709946,12.962678852290058
