Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-04,93.75,94.5,93.75,94.5,,,
1995-01-05,94.0,94.0,92.5,92.5,,,
1995-01-06,92.5,92.5,92.5,92.5,,,
1995-01-09,90.0,90.0,90.0,90.0,,,
1995-01-12,88.5,88.5,88.5,88.5,,,
1995-01-13,90.0,90.0,90.0,90.0,,,
1995-01-16,87.5,87.5,87.5,87.5,,,
1995-01-18,92.0,92.0,91.0,91.5,,,
1995-01-19,92.0,92.0,90.0,90.5,,,
1995-02-02,94.95,95.0,94.95,95.0,,,
1995-02-03,95.0,95.0,92.5,92.5,,,
1995-02-07,90.0,91.0,90.0,90.8,,,
1995-02-08,92.5,93.0,92.5,93.0,,,
1995-02-09,93.0,94.0,92.5,94.0,,,
1995-02-13,90.0,90.0,90.0,90.0,,,
1995-02-14,90.0,90.0,90.0,90.0,,,
1995-02-15,91.0,91.0,91.0,91.0,,,
1995-02-16,87.5,87.5,87.5,87.5,,,
1995-02-17,86.25,86.25,85.0,85.0,,,
1995-02-20,84.0,84.0,84.0,84.0,,84.64652041568014,96.38347958431986
1995-02-21,80.0,80.0,78.75,78.75,,82.13640584129561,97.31859415870437
1995-02-22,80.0,80.0,77.5,77.75,,79.82929444225012,98.15070555774987
1995-02-23,78.75,78.8,77.5,77.5,,77.90800574607408,98.57199425392591
1995-02-24,78.75,78.75,75.0,75.0,,75.63106599270094,99.34893400729905
1995-02-28,78.75,78.75,76.5,76.5,,74.07082850201554,99.70917149798446
1995-03-01,78.0,81.0,77.5,81.0,,73.44977695584704,99.43022304415295
1995-03-02,82.0,82.5,80.0,80.5,,72.84531486933243,99.33468513066758
1995-03-03,80.0,81.0,80.0,81.0,,72.39101846541128,98.73898153458872
1995-03-06,80.5,80.9,80.5,80.7,,71.94494207733142,98.20505792266859
1995-03-07,81.0,81.0,80.0,80.0,,71.88658327895723,96.76341672104277
1995-03-08,77.5,77.5,77.5,77.5,,71.40607927633071,95.74392072366929
1995-03-09,80.0,80.0,80.0,80.0,,71.26402320379304,94.80597679620695
1995-03-10,80.5,82.5,80.0,82.5,,71.71416259555757,93.30583740444244
1995-03-13,79.0,79.0,77.5,77.5,,72.13644816711646,91.23355183288355
1995-03-14,73.0,73.0,73.0,73.0,,71.37683171177306,90.29316828822695
1995-03-15,79.0,79.0,78.5,78.5,,71.80251499371239,88.71748500628762
1995-03-21,71.5,72.5,71.5,72.0,,71.70677353805767,86.91322646194233
1995-03-24,77.0,77.0,75.5,75.5,,71.98482342239247,85.43517657760755
1995-03-27,75.5,77.5,75.0,77.5,,72.28398007727093,84.38601992272909
1995-03-28,80.0,80.0,77.5,77.5,,72.57303103016501,83.446968969835
1995-03-29,76.5,77.0,75.5,77.0,,72.47935124022374,83.36564875977626
1995-03-31,78.0,78.5,77.5,77.65,,72.47350040604809,83.36149959395192
1995-04-03,77.0,77.0,74.9,74.95,,72.18768844700303,83.39231155299696
1995-04-04,76.25,78.0,76.25,78.0,,72.49374585512872,83.38625414487127
1995-04-05,77.5,78.5,77.5,78.5,,72.6317606717546,83.44823932824538
1995-04-06,80.0,80.0,78.75,79.0,,72.69057897929373,83.18942102070626
1995-04-07,79.0,79.9,79.0,79.25,,72.72759197833786,83.02740802166214
1995-04-10,78.5,79.25,78.0,79.25,,72.80670157848277,82.77329842151721
1995-04-11,79.0,79.45,78.5,78.75,,72.87539506030839,82.5096049396916
1995-04-12,80.5,80.5,80.5,80.5,83.06700000000001,72.84509920843067,82.58990079156933
1995-04-17,77.5,77.5,76.0,77.5,82.727,72.84509920843067,82.58990079156933
1995-04-18,74.0,74.0,74.0,74.0,82.35700000000001,72.40013279356475,82.43486720643523
1995-04-19,75.0,77.1,75.0,77.1,82.04899999999999,72.73728756926474,81.55771243073528
1995-04-20,76.5,76.75,76.5,76.65,81.782,72.69270855569636,81.51729144430362
1995-04-21,75.0,76.5,75.0,76.5,81.542,73.2964284736854,81.2635715263146
1995-04-24,76.5,76.5,76.25,76.25,81.267,73.201954308474,81.13304569152598
1995-04-25,76.0,76.0,73.5,74.0,80.997,73.77837780606471,80.75662219393529
1995-04-26,72.5,73.25,72.5,73.25,80.632,73.30001006895966,81.00998993104034
1995-04-27,73.0,73.5,72.0,72.0,80.262,72.39535954618417,81.36464045381582
1995-04-28,71.5,72.0,71.5,72.0,79.80199999999999,71.6324543213443,81.57754567865568
1995-05-02,70.0,70.7,70.0,70.7,79.366,70.66715187359348,81.9128481264065
1995-05-03,68.5,72.5,68.5,72.5,79.0,70.20396086733095,81.86103913266905
1995-05-04,70.0,72.5,70.0,72.5,78.59,69.88596043907572,81.93403956092428
1995-05-05,70.0,70.6,70.0,70.6,78.122,69.15806826802567,81.92193173197434
1995-05-08,70.0,71.25,70.0,70.6,77.734,68.55977730864485,81.73022269135517
1995-05-09,75.0,75.0,75.0,75.0,77.434,68.61471356763444,81.27528643236558
1995-05-10,72.5,72.5,71.1,71.1,77.036,68.32589159739035,80.74910840260964
1995-05-12,71.0,71.0,70.0,70.0,76.68599999999999,67.96413822943524,80.18586177056477
1995-05-15,70.75,70.75,70.0,70.75,76.401,67.81025250689363,79.53974749310636
1995-05-16,70.0,71.0,70.0,70.7,76.135,68.14107713235624,78.22892286764376
1995-05-17,72.5,72.5,71.5,72.0,76.0,68.27334966643026,77.54665033356973
1995-05-18,72.5,72.5,71.5,71.5,75.875,68.13729541658037,77.43270458341962
1995-05-19,71.5,71.5,70.0,70.0,75.725,68.09599735263447,76.76400264736552
1995-05-22,68.5,68.5,68.0,68.5,75.595,67.82883623313974,76.21616376686028
1995-05-23,68.75,70.0,68.75,70.0,75.465,67.98500686692071,75.4099931330793
1995-05-24,70.0,70.0,68.5,68.5,75.215,68.00249656880428,74.61750343119573
1995-05-25,68.0,68.0,68.0,68.0,74.965,67.64194574365447,74.37805425634554
1995-05-26,68.0,68.0,67.5,67.5,74.695,67.18228368189874,74.26271631810125
