Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-03-20,4.65,5.1,4.5,4.7,,,
2007-03-21,4.7,4.85,4.45,4.45,,,
2007-03-22,4.6,4.65,4.35,4.45,,,
2007-03-23,4.5,4.5,4.05,4.2,,,
2007-03-26,4.1,4.1,3.9,3.9,,,
2007-03-28,4.0,4.0,3.5,3.6,,,
2007-03-29,3.6,3.7,3.45,3.5,,,
2007-03-30,3.7,3.8,3.45,3.75,,,
2007-04-02,3.5,3.8,3.5,3.6,,,
2007-04-03,3.6,3.75,3.5,3.6,,,
2007-04-04,3.7,3.7,3.45,3.5,,,
2007-04-05,3.5,3.75,3.45,3.5,,,
2007-04-09,3.55,3.7,3.5,3.5,,,
2007-04-10,3.5,3.65,3.45,3.55,,,
2007-04-11,3.55,3.7,3.5,3.55,,,
2007-04-12,3.5,3.6,3.5,3.5,,,
2007-04-13,3.45,3.55,3.45,3.5,,,
2007-04-16,3.5,3.8,3.5,3.75,,,
2007-04-17,3.75,4.0,3.7,3.8,,,
2007-04-18,3.8,4.4,3.8,4.2,,3.040732204552687,4.569267795447312
2007-04-19,4.2,4.25,4.0,4.1,,3.1192561475697995,4.430743852430201
2007-04-20,4.1,4.2,3.95,4.0,,3.167175078987837,4.337824921012163
2007-04-23,4.05,4.1,3.9,4.0,,3.2290535273893504,4.2309464726106505
2007-04-24,3.9,4.45,3.9,4.2,,3.2290535273893504,4.2309464726106505
2007-04-25,4.15,4.75,4.1,4.45,,3.1652029550354945,4.349797044964504
2007-04-26,4.6,4.7,4.3,4.35,,3.151898960218209,4.438101039781792
2007-04-27,4.35,4.5,4.3,4.45,,3.152515255698779,4.532484744301222
2007-04-30,4.35,4.65,4.35,4.6,,3.1185316808826826,4.651468319117318
2007-05-03,4.65,4.7,4.45,4.55,,3.123813605771355,4.741186394228644
2007-05-04,4.6,4.9,4.6,4.65,,3.1320793212669034,4.837920678733097
