Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2018-11-05,72.0,75.6,72.0,75.6,,,
2018-11-06,77.0,79.35,75.7,78.1,,,
2018-11-07,79.4,82.0,78.5,81.3,,,
2018-11-09,84.0,84.0,77.25,79.95,,,
2018-11-12,79.8,79.8,76.0,76.0,,,
2018-11-13,72.5,78.0,72.5,76.95,,,
2018-11-14,77.05,78.65,75.5,78.3,,,
2018-11-15,79.0,80.0,75.5,79.4,,,
2018-11-16,79.4,79.75,77.5,78.85,,,
2018-11-19,78.45,78.95,77.2,77.8,,,
2018-11-20,81.0,88.5,80.1,80.9,,,
2018-11-21,81.9,97.05,81.7,97.05,,,
2018-11-22,106.55,115.4,105.0,111.55,,,
2018-11-26,114.1,114.7,102.0,104.1,,,
2018-11-27,100.5,105.25,98.25,101.05,,,
2018-11-28,101.45,102.6,94.1,99.0,,,
2018-11-29,99.9,101.7,98.1,99.45,,,
2018-11-30,99.1,101.4,97.65,98.75,,,
2018-12-03,99.0,99.75,96.3,97.5,,,
2018-12-04,97.5,97.85,95.2,96.2,,64.89568713832847,111.88431286167153
2018-12-05,95.15,105.8,94.2,105.35,,66.02831431380234,113.72668568619768
2018-12-06,103.95,110.7,103.15,104.3,,67.18443276178846,115.19056723821154
2018-12-07,105.0,108.5,99.25,100.15,,68.28180907225216,115.97819092774783
2018-12-10,95.1,98.0,94.0,94.85,,69.70767954980326,116.04232045019674
2018-12-11,91.0,98.7,91.0,96.15,,72.09355362321242,115.67144637678757
2018-12-12,97.7,101.95,97.5,98.05,,74.6060394161245,115.2689605838755
2018-12-13,99.6,101.9,98.5,98.95,,77.15526892928958,114.78473107071042
2018-12-14,99.75,100.8,98.1,98.85,,79.79738330993959,114.08761669006043
2018-12-17,99.55,100.8,98.75,99.7,,83.08310679636206,112.88689320363791
2018-12-18,99.1,108.4,98.4,106.25,,87.48475415765935,111.33024584234064
2018-12-19,108.45,108.45,102.55,103.0,,92.28956192858573,108.73543807141428
2018-12-20,102.05,104.75,101.55,102.8,,92.68542571729901,108.91457428270098
2018-12-21,103.65,103.9,99.4,99.65,,93.8563656669536,106.5536343330464
2018-12-24,100.7,101.15,98.05,98.3,,93.78954835177555,106.04045164822446
2018-12-26,97.85,103.2,96.5,100.5,,93.77858718432876,105.99641281567125
2018-12-27,101.25,102.3,99.65,100.1,,93.8474394459207,106.03756055407929
2018-12-28,100.65,102.75,100.35,101.2,,93.91449769675039,106.14550230324961
2018-12-31,101.5,102.4,100.1,100.8,,94.0386484826271,106.22635151737292
2019-01-01,101.25,103.5,100.55,101.85,,94.34184764367274,106.35815235632725
2019-01-02,101.25,102.55,99.4,100.45,,94.88059196243313,106.24440803756687
2019-01-03,102.3,103.2,100.75,100.85,,95.11609919985182,105.5589008001482
2019-01-04,101.0,101.75,99.85,100.85,,95.27751867684292,105.05248132315707
2019-01-07,101.5,103.0,100.5,101.65,,95.3076577572112,105.17234224278879
2019-01-08,101.65,101.9,100.25,101.1,,96.31501377893888,104.78998622106111
2019-01-09,101.5,102.75,99.9,101.25,,97.10554105911498,104.50945894088503
2019-01-10,101.45,101.7,99.75,100.4,,97.44929484625233,104.40070515374764
2019-01-11,100.5,101.6,98.35,99.0,,97.45770931922117,104.39729068077882
2019-01-14,99.05,100.2,97.5,98.05,,97.3004069091946,104.4745930908054
2019-01-15,98.7,99.2,97.75,98.4,,97.10023767150892,104.54476232849109
2019-01-16,98.5,100.4,98.2,99.05,95.59299999999999,97.67514603875611,103.24985396124387
2019-01-17,99.5,101.0,97.8,98.5,96.05099999999999,97.58958622337887,102.88541377662112
2019-01-18,99.1,99.5,97.0,98.6,96.461,97.57640464872303,102.47859535127698
2019-01-21,98.8,98.8,97.0,97.75,96.79,97.2807329625226,102.5842670374774
2019-01-22,97.75,98.4,95.3,96.9,97.12899999999999,96.96660908172883,102.75839091827113
2019-01-23,96.9,97.45,95.8,96.8,97.545,96.49457268135313,102.86042731864688
2019-01-24,97.25,100.0,95.95,99.45,97.995,96.46696684459693,102.82303315540307
2019-01-25,98.7,99.5,93.45,98.1,98.391,96.32895420369856,102.65104579630143
2019-01-28,97.95,97.95,88.3,88.55,98.574,93.11140353696263,104.64359646303737
2019-01-29,89.9,96.4,88.9,93.65,98.87,92.43153105933844,104.50346894066156
2019-01-30,95.7,96.7,94.05,94.7,99.208,91.99569048231527,104.36430951768472
2019-01-31,95.3,96.0,91.0,92.45,99.43900000000002,91.20909809343223,104.31090190656778
2019-02-01,92.05,93.3,92.0,92.45,99.34700000000001,90.55048796420462,104.12951203579539
2019-02-04,92.9,97.2,84.0,96.0,99.036,90.55913785817414,103.55586214182587
2019-02-05,95.15,98.0,94.05,96.35,98.88099999999999,90.60258811672286,103.03741188327713
2019-02-06,97.4,97.9,92.9,96.4,98.78800000000001,90.71966898412678,102.43533101587322
2019-02-07,97.2,103.4,97.1,97.9,98.766,90.83640705205124,102.06859294794879
2019-02-08,98.0,98.7,94.8,95.45,98.68599999999998,90.77471292615223,101.77528707384778
2019-02-11,94.05,96.75,94.0,94.8,98.60699999999999,90.6410549873625,101.5839450126375
2019-02-12,94.8,95.75,93.55,94.0,98.53699999999999,90.4545945402229,101.33040545977713
2019-02-13,94.05,99.05,94.05,97.7,98.567,90.52023550798063,101.12976449201938
2019-02-14,98.0,98.0,94.25,96.2,98.38400000000001,90.55170570827914,100.86829429172087
