Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2005-03-10,85.6,89.0,85.2,86.85,,,
2005-03-11,89.45,89.8,85.5,85.95,,,
2005-03-14,86.9,88.75,84.0,84.65,,,
2005-03-15,85.0,85.95,82.0,82.4,,,
2005-03-16,83.7,85.65,83.05,84.05,,,
2005-03-17,84.0,84.75,82.3,83.3,,,
2005-03-18,85.0,85.0,79.6,81.0,,,
2005-03-21,82.0,82.0,76.35,76.95,,,
2005-03-22,77.1,78.05,70.65,71.9,,,
2005-03-23,73.85,76.5,70.1,75.4,,,
2005-03-24,76.8,81.7,75.0,79.55,,,
2005-03-28,83.4,83.4,78.15,78.75,,,
2005-03-29,80.7,84.35,71.1,74.05,,,
2005-03-30,75.6,77.8,74.0,75.7,,,
2005-03-31,76.5,80.4,75.75,76.4,,,
2005-04-01,76.05,80.75,75.3,78.2,,,
2005-04-04,81.9,81.9,76.95,77.45,,,
2005-04-05,78.0,78.4,75.7,76.6,,,
2005-04-06,77.0,82.0,76.15,80.7,,,
2005-04-07,80.7,83.0,78.5,79.15,,71.25301724316871,87.64698275683129
2005-04-08,80.95,80.95,78.1,78.9,,71.63222372481995,86.47277627518007
2005-04-11,79.15,79.75,77.1,77.45,,71.9323741216975,85.32262587830252
2005-04-12,78.0,79.4,77.5,78.25,,72.24221699796811,84.3727830020319
2005-04-13,78.0,83.6,77.9,81.0,,72.3411251101117,84.13387488988832
2005-04-15,83.0,83.0,77.1,77.55,,72.68666589382485,83.13833410617514
2005-04-18,76.7,77.0,75.15,75.9,,72.9083845163516,82.17661548364838
2005-04-19,77.25,79.2,75.1,75.8,,72.88785313675467,81.67714686324533
2005-04-20,78.0,78.0,72.55,75.05,,72.6818456576617,81.6931543423383
2005-04-21,74.5,77.4,74.5,76.95,,73.67721827422986,81.20278172577017
2005-04-22,78.0,79.6,77.2,77.85,,73.92181252877177,81.20318747122823
2005-04-25,79.0,79.4,77.1,78.5,,73.96085629304308,81.05914370695693
