Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-07-10,265.0,273.5,261.85,270.8,,,
2017-07-11,268.5,287.3,266.2,283.6,,,
2017-07-12,288.2,321.35,287.5,314.75,,,
2017-07-13,326.0,349.5,315.05,345.55,,,
2017-07-14,348.9,362.75,280.55,299.4,,,
2017-07-17,295.0,306.85,281.2,298.05,,,
2017-07-18,295.0,301.5,290.55,294.45,,,
2017-07-19,296.0,300.75,292.05,293.5,,,
2017-07-20,294.0,299.5,288.55,291.3,,,
2017-07-21,292.0,297.5,290.1,291.7,,,
2017-07-24,293.25,295.5,288.0,293.2,,,
2017-07-25,295.0,306.0,294.5,301.0,,,
2017-07-26,301.15,303.5,296.0,297.5,,,
2017-07-27,298.95,299.2,290.0,290.9,,,
2017-07-28,289.0,299.4,285.0,294.25,,,
2017-07-31,295.0,297.5,289.05,295.3,,,
2017-08-01,296.0,296.25,291.5,292.95,,,
2017-08-02,291.1,294.95,290.0,291.0,,,
2017-08-03,291.0,292.75,274.05,279.25,,,
2017-08-04,280.2,280.2,270.9,277.15,,264.46366082369724,325.0963391763028
2017-08-07,275.0,290.7,248.1,275.7,,265.4546111838745,324.5953888161255
2017-08-08,276.7,289.15,274.25,284.2,,265.5322362583147,324.5777637416853
2017-08-09,282.5,282.5,270.5,274.95,,263.7673065395028,322.3626934604972
2017-08-10,257.5,275.35,251.0,271.4,,271.48678667520954,307.2282133247904
2017-08-11,266.0,273.9,262.55,270.75,,268.8886497306089,306.9613502693911
2017-08-14,272.6,277.5,268.5,270.2,,266.56306875595794,306.5019312440421
2017-08-16,272.55,275.9,270.15,272.05,,264.8101783372666,306.0148216627334
2017-08-17,273.2,276.25,271.05,271.75,,263.2298895662875,305.42011043371247
2017-08-18,270.7,274.5,267.5,268.9,,261.3059036475788,305.10409635242127
2017-08-21,270.4,273.25,268.7,270.1,,259.8624163319047,304.3875836680953
2017-08-22,271.4,272.1,263.85,264.75,,257.79319426032987,303.6118057396701
2017-08-23,265.9,266.5,261.0,262.6,,256.6111273957183,300.9538726042816
2017-08-24,263.4,267.5,262.0,266.4,,256.25344397080556,298.20155602919436
2017-08-28,266.6,270.6,264.0,269.0,,255.8900153646959,296.3749846353041
2017-08-29,265.5,279.4,265.5,272.4,,256.63995423346665,293.4400457665334
2017-08-30,275.0,278.9,274.2,275.4,,258.29678706880327,289.79321293119665
2017-08-31,274.9,278.2,273.0,274.7,,260.11909496802195,286.14590503197803
2017-09-01,275.5,285.0,273.75,276.15,,262.30365696649824,282.47634303350173
2017-09-04,277.9,282.15,271.0,278.5,,262.36848778045646,282.3365122195436
2017-09-05,280.05,288.25,276.55,286.55,,261.146006519507,284.49899348049297
2017-09-06,284.0,289.0,281.8,283.9,,260.59432578975833,285.8706742102416
2017-09-07,285.6,288.0,277.5,279.35,,261.0723174276736,284.9076825723264
2017-09-08,280.5,282.75,275.0,277.2,,261.065037642842,285.139962357158
2017-09-11,279.4,282.45,275.5,279.3,,261.18005516073174,285.81494483926826
2017-09-12,280.0,280.2,275.5,277.8,,261.4603183847885,286.23968161521157
2017-09-13,278.45,280.0,275.5,278.75,,261.82821445719424,286.7267855428057
2017-09-14,279.5,282.15,276.35,277.05,,262.0657490458965,286.98925095410357
2017-09-15,275.9,286.0,275.2,283.6,,262.0999587679529,288.1400412320471
2017-09-18,284.5,288.0,279.5,281.35,,262.7842563324591,288.7007436675409
2017-09-19,281.4,281.4,275.5,276.5,282.937,263.377744333619,288.747255666381
2017-09-20,278.4,279.0,273.2,274.95,283.02,265.03444055356493,288.11055944643505
2017-09-21,275.6,280.4,273.0,276.85,282.885,267.8032113612742,286.76678863872576
2017-09-22,275.95,275.95,270.5,273.0,282.05,269.34653740504274,285.88346259495717
2017-09-25,274.8,278.75,264.25,276.75,280.674,270.7728479737231,285.23215202627676
2017-09-26,278.05,281.8,272.3,280.05,280.28700000000003,271.6080964996816,285.1619035003184
2017-09-27,280.45,281.7,275.8,279.3,279.91200000000003,271.9417218465855,285.2182781534146
2017-09-28,278.0,279.9,275.05,278.55,279.594,272.3895890158507,285.1554109841494
2017-09-29,279.5,288.95,275.05,284.3,279.41,272.4698035168782,285.8901964831218
2017-10-03,284.6,286.7,278.75,281.25,279.209,272.5534872545177,286.0815127454823
2017-10-04,283.95,286.4,280.05,281.65,279.008,273.10323882734525,285.04176117265473
2017-10-05,281.0,295.0,281.0,292.9,279.002,271.1483873211611,287.89661267883884
2017-10-06,295.2,311.5,293.1,307.5,279.132,265.877901003165,295.9820989968349
2017-10-09,305.45,305.75,293.55,295.7,279.096,265.5466908488828,298.16330915111723
2017-10-10,297.4,297.5,288.0,290.4,279.086,265.71683720170086,299.1031627982991
2017-10-11,291.05,293.65,288.8,290.8,279.017,266.1121977826035,300.0078022173966
2017-10-12,292.95,293.05,285.05,290.7,278.925,266.5080861692934,300.80691383070666
2017-10-13,291.15,298.0,288.75,292.85,278.923,267.1248809261147,301.7701190738854
2017-10-16,294.5,307.2,292.0,303.6,279.175,266.1359415576145,304.7590584423855
2017-10-17,302.8,304.9,299.2,302.2,279.63399999999996,265.9009482337927,307.07905176620733
2017-10-18,300.0,304.5,294.1,295.85,280.008,267.0270976029534,307.88790239704656
2017-10-19,296.0,301.75,296.0,300.45,280.50300000000004,268.4061552849838,309.0588447150161
2017-10-23,300.0,303.0,297.65,299.25,280.80400000000003,269.81649359573976,309.8885064042603
2017-10-24,299.0,301.0,295.75,296.7,281.239,272.44692867727736,309.6280713227227
2017-10-25,295.0,299.0,282.0,285.1,281.513,273.86744758358986,309.0425524164102
2017-10-26,287.4,294.9,286.0,290.7,281.91200000000003,275.2285000612405,308.74649993875954
2017-10-27,293.9,302.0,293.0,295.9,282.42600000000004,277.0918161808804,308.5431838191196
2017-10-30,296.5,299.5,285.5,294.0,282.865,279.36945888956205,307.8105411104379
2017-10-31,294.0,297.7,290.05,290.9,283.248,280.3141421284425,307.52585787155743
2017-11-01,295.5,296.0,290.0,294.65,283.763,282.361104108023,306.8188958919769
2017-11-02,298.5,309.75,298.5,305.1,284.46299999999997,284.28378399808594,307.24121600191404
2017-11-03,310.0,310.0,305.5,307.45,285.317,283.9774126534426,309.0025873465574
2017-11-06,309.0,311.0,303.95,307.6,286.217,283.9638220405025,309.0261779594975
2017-11-07,309.15,310.1,299.0,305.7,287.003,283.8161133766338,310.17388662336623
2017-11-08,305.5,311.9,304.5,305.9,287.741,284.402427295879,311.13757270412094
2017-11-09,306.5,314.0,306.5,311.9,288.531,284.4788837091171,313.1711162908829
2017-11-10,309.0,311.5,300.0,302.5,289.073,285.5120998860345,313.31790011396555
2017-11-13,302.5,309.0,297.55,307.35,289.726,286.1664686300376,314.11353136996235
2017-11-14,310.0,312.45,308.0,311.8,290.439,285.6955836799126,315.4044163200874
2017-11-15,304.0,314.95,304.0,313.0,291.129,285.23172638320256,316.9482736167975
2017-11-16,313.25,326.25,313.0,322.8,291.85400000000004,284.0721758379032,320.8028241620968
2017-11-17,324.0,339.5,320.05,335.2,292.88,280.728947700711,327.62105229928903
2017-11-20,336.0,337.5,329.0,331.6,293.925,279.4877820921709,332.09721790782913
2017-11-21,334.6,337.0,324.6,325.75,294.89599999999996,279.86794660429075,334.62205339570926
2017-11-22,326.05,327.8,320.75,326.35,295.837,282.75205105969803,335.862948940302
2017-11-23,329.2,336.9,325.1,332.75,296.936,284.4029326988202,338.4170673011797
2017-11-24,332.75,336.5,329.0,331.6,297.993,285.7880684910411,340.6019315089589
2017-11-27,332.45,335.0,327.5,334.25,299.137,287.82415363958137,342.5908463604186
2017-11-28,334.5,342.2,331.1,339.8,300.26099999999997,290.67823399857383,344.62676600142623
2017-11-29,342.5,349.2,340.6,344.75,301.529,292.87414716159026,347.4408528384098
2017-11-30,344.0,356.5,337.5,349.0,302.979,293.17207261955963,351.5329273804404
2017-12-01,349.85,356.5,345.5,351.05,304.50100000000003,293.5791348228604,355.48586517713966
2017-12-04,353.9,354.9,335.15,343.8,305.84,295.32457182255826,357.3604281774417
2017-12-05,343.8,345.0,340.0,342.3,307.226,297.9746179724928,358.3703820275072
2017-12-06,342.3,345.0,335.05,336.4,308.41900000000004,301.2030042249639,358.1919957750362
2017-12-07,338.0,341.9,335.0,338.8,309.594,303.56381400138656,358.52118599861336
2017-12-08,339.0,347.0,338.5,344.9,310.906,308.5642999160858,357.76070008391423
2017-12-11,347.45,366.0,344.0,356.4,312.463,312.09573354169635,359.13426645830367
2017-12-12,357.5,366.25,357.5,362.1,314.019,314.575865264083,361.684134735917
2017-12-13,364.8,368.5,347.55,349.65,315.387,319.09036105329983,360.8346389467001
2017-12-14,351.6,352.95,325.45,337.9,316.512,321.42680753473843,360.00819246526163
2017-12-15,342.55,346.9,330.05,335.2,317.358,321.42680753473843,360.00819246526163
2017-12-18,335.15,339.95,325.0,334.2,317.892,321.7817833171316,359.9132166828683
2017-12-19,336.5,341.5,331.5,335.35,318.685,323.4135984589934,359.24140154100655
