Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-10-19,13.6,13.6,13.6,13.6,,,
1995-12-08,13.4,13.4,13.4,13.4,,,
1996-01-15,10.3,10.3,10.3,10.3,,,
1996-01-17,10.2,10.2,10.2,10.2,,,
1996-01-30,10.2,10.2,9.5,9.5,,,
1996-02-12,9.5,9.5,9.5,9.5,,,
1996-02-14,9.5,10.0,9.0,10.0,,,
1996-02-15,10.5,10.5,10.5,10.5,,,
1996-02-16,10.5,10.5,10.35,10.35,,,
1996-02-19,10.5,10.5,10.4,10.4,,,
1996-02-20,10.4,11.2,10.4,10.55,,,
1996-02-22,10.5,10.5,10.5,10.5,,,
1996-02-23,10.2,10.6,10.2,10.6,,,
1996-02-27,10.6,10.6,10.2,10.2,,,
1996-02-29,10.0,10.0,10.0,10.0,,,
1996-03-14,9.05,9.05,9.05,9.05,,,
1996-03-22,9.0,9.0,9.0,9.0,,,
1996-03-27,9.0,8.4,8.4,8.4,,,
1996-03-28,8.5,8.5,8.5,8.5,,,
1996-03-29,8.3,8.5,8.3,8.4,,7.4147599060553455,12.880240093944654
1996-04-02,8.5,8.5,8.5,8.5,,7.599886001227327,12.185113998772673
1996-04-10,9.3,9.3,9.3,9.3,,8.086554555648608,11.288445444351392
1996-04-15,9.5,9.5,9.1,9.1,,8.033275225515878,11.221724774484121
1996-04-16,9.1,9.1,8.75,8.75,,7.938668871861499,11.1713311281385
1996-04-17,8.9,8.9,8.75,8.85,,7.87566092244311,11.169339077556888
1996-04-18,9.1,9.1,9.0,9.0,,7.834125180702289,11.160874819297709
1996-04-19,8.9,9.0,8.9,9.0,,7.787609388512223,11.107390611487777
1996-04-22,9.0,9.0,8.8,8.8,,7.756303118838593,10.968696881161408
1996-04-23,8.8,8.8,7.9,8.0,,7.59962370325365,10.890376296746352
1996-04-24,8.8,8.8,8.8,8.8,,7.602579475705456,10.727420524294546
1996-04-25,9.0,9.0,8.6,8.6,,7.630663196462451,10.504336803537546
1996-04-26,8.5,8.5,8.2,8.2,,7.635216111802295,10.269783888197702
1996-04-29,8.0,8.0,8.0,8.0,,7.689513727030711,9.955486272969289
1996-04-30,8.2,8.2,7.8,8.0,,7.724746035322136,9.700253964677865
1996-05-03,8.65,8.65,8.6,8.6,,7.862300970062263,9.422699029937737
1996-05-10,8.5,8.55,8.2,8.55,,7.860584514208107,9.374415485791893
1996-05-14,8.1,8.1,8.05,8.05,,7.795131590118958,9.344868409881043
1996-05-17,8.45,8.45,8.45,8.45,,7.799620898676155,9.345379101323845
1996-05-21,8.2,8.2,8.2,8.2,,7.767246875994788,9.34775312400521
1996-05-22,7.6,7.6,7.6,7.6,,7.619974161052207,9.415025838947797
1996-05-23,7.6,7.4,7.1,7.3,,7.407550126509793,9.507449873490206
1996-05-24,7.3,6.9,6.85,6.9,,7.153005881910145,9.521994118089856
1996-05-27,6.9,6.95,6.95,6.95,,6.95044415600775,9.509555843992251
1996-05-28,7.0,7.3,7.0,7.3,,6.838299684019068,9.476700315980933
1996-05-29,7.5,7.5,7.5,7.5,,6.781887659741404,9.398112340258596
1996-05-30,7.5,7.5,7.5,7.5,,6.755467923143061,9.274532076856941
1996-05-31,7.5,7.5,7.5,7.5,,6.7507499045727775,9.129250095427224
1996-06-03,8.2,8.2,8.2,8.2,,6.783477638225089,9.03652236177491
1996-06-11,7.5,7.55,7.5,7.5,,6.744778414886883,9.025221585113115
1996-06-13,7.4,8.25,7.4,8.05,8.96,6.787472691513649,8.90752730848635
1996-06-14,8.0,8.35,8.0,8.0,8.847999999999999,6.814727527512387,8.820272472487613
1996-06-17,8.0,8.1,7.85,7.85,8.737,6.813245617934084,8.786754382065915
1996-06-18,7.65,7.65,7.65,7.65,8.684,6.798269068604446,8.766730931395555
1996-06-21,7.5,7.7,7.5,7.7,8.634,6.78809362769827,8.74690637230173
1996-06-24,7.5,7.6,7.3,7.6,8.596,6.818216659602904,8.616783340397097
1996-06-25,7.0,7.7,7.0,7.5,8.556000000000001,6.851883836873961,8.47811616312604
1996-06-26,7.6,7.7,7.6,7.7,8.51,6.85445457089045,8.440545429109548
1996-07-01,7.7,7.7,7.7,7.7,8.454,6.911430032137102,8.308569967862896
1996-07-02,7.7,7.7,7.5,7.5,8.396999999999998,6.933045746834042,8.216954253165959
