Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-08-16,117.6,119.0,110.2,111.55,,,
2007-08-17,109.2,116.2,106.8,115.05,,,
2007-08-20,117.0,121.8,115.4,120.95,,,
2007-08-21,122.8,122.8,117.4,118.2,,,
2007-08-22,118.4,119.95,112.25,116.5,,,
2007-08-23,120.4,122.8,113.15,116.5,,,
2007-08-24,115.4,119.4,113.0,114.2,,,
2007-08-27,117.2,117.2,115.05,115.5,,,
2007-08-28,116.75,121.5,115.45,120.0,,,
2007-08-29,118.8,124.8,116.4,122.5,,,
2007-08-30,124.0,126.95,122.4,125.95,,,
2007-08-31,126.6,128.6,126.25,127.0,,,
2007-09-03,127.0,128.2,125.0,127.45,,,
2007-09-04,128.0,134.2,128.0,131.75,,,
2007-09-05,132.0,135.1,132.0,133.35,,,
2007-09-06,130.45,133.95,130.45,131.95,,,
2007-09-07,132.25,133.0,130.0,130.25,,,
2007-09-10,124.2,131.4,122.55,129.9,,,
2007-09-11,130.95,131.8,129.0,129.4,,,
2007-09-12,131.7,131.7,129.0,129.3,,109.32889840653118,137.3961015934688
2007-09-13,129.6,133.3,129.6,131.9,,111.01766487473091,137.74233512526908
2007-09-14,132.0,134.4,128.45,130.0,,112.30086344698434,137.9541365530157
2007-09-17,129.2,132.3,128.2,131.75,,112.67311761051296,138.661882389487
2007-09-18,131.2,133.9,130.6,132.05,,113.56659709480166,139.1534029051983
2007-09-19,136.0,139.4,134.0,136.85,,114.64914479141986,140.10585520858015
2007-09-20,138.4,142.4,136.3,141.25,,115.53186099149791,141.69813900850212
2007-09-21,141.4,142.8,140.6,141.95,,117.48239091185914,142.52260908814085
2007-09-24,142.4,148.6,142.0,146.4,,118.93679130920036,144.15820869079968
2007-09-25,146.0,148.15,145.6,147.9,,119.56119823813452,146.32380176186552
2007-09-26,148.0,152.0,148.0,151.15,,119.63545419538598,149.114545804614
2007-09-27,154.0,155.2,151.95,153.75,,119.23607479534586,152.29392520465416
2007-09-28,154.2,155.0,150.55,152.9,,119.40262939047538,154.71737060952464
2007-10-01,153.4,154.5,148.8,150.3,,120.20947576690817,156.19552423309185
2007-10-03,150.6,153.2,146.0,151.5,,120.53246025131708,157.84753974868292
2007-10-04,151.95,153.0,145.0,150.95,,120.91854272413003,159.22145727586994
2007-10-05,150.7,152.4,146.2,147.8,,121.81433735894724,159.9106626410528
2007-10-08,148.0,149.55,137.8,143.15,,123.10989503573764,159.90510496426236
2007-10-09,141.0,146.95,139.8,145.9,,124.65887473670517,159.95612526329484
2007-10-10,148.0,153.2,147.25,152.45,,126.35842728069485,160.56157271930516
2007-10-11,153.6,154.0,149.6,151.95,,128.46715953031824,160.71784046968176
2007-10-12,152.0,153.55,148.0,148.8,,130.37657548095336,160.49842451904664
2007-10-15,150.6,166.2,150.4,164.0,,131.74167435249345,162.53332564750653
2007-10-16,166.95,180.6,164.6,177.35,,130.5107962320657,168.32420376793428
2007-10-17,160.2,176.0,141.9,174.45,,131.36425364694483,171.71074635305516
2007-10-18,179.75,179.75,169.0,171.4,,132.47952683394377,174.0504731660562
2007-10-19,173.8,173.8,163.0,165.95,,133.78532175637665,175.21467824362335
2007-10-22,162.4,169.9,158.0,163.8,,135.36572579507936,175.81927420492065
2007-10-23,164.2,179.6,164.2,173.75,,135.679304522643,178.24069547735695
2007-10-24,173.95,178.8,169.7,173.3,,136.20715540148078,180.2528445985192
