Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-05-26,449.0,449.0,275.7,302.4,,,
2008-05-27,312.35,319.5,290.15,296.55,,,
2008-05-28,280.8,310.95,280.8,304.05,,,
2008-05-29,309.7,309.7,288.0,299.7,,,
2008-05-30,302.7,303.5,269.0,285.85,,,
2008-06-02,302.75,307.5,285.35,290.4,,,
2008-06-03,298.0,301.0,277.55,289.85,,,
2008-06-04,298.9,298.9,273.75,276.05,,,
2008-06-05,276.5,294.4,266.2,281.2,,,
2008-06-06,283.5,287.35,272.2,284.4,,,
2008-06-09,287.5,287.5,262.0,274.4,,,
2008-06-10,287.75,287.75,273.5,275.2,,,
2008-06-11,280.0,280.0,264.0,265.25,,,
2008-06-12,255.5,263.5,255.35,259.7,,,
2008-06-13,257.1,262.5,250.6,252.95,,,
2008-06-16,255.0,259.0,244.7,247.3,,,
2008-06-17,245.2,255.0,241.3,253.35,,,
2008-06-18,255.05,265.5,250.0,258.2,,,
2008-06-19,250.1,263.5,250.1,256.25,,,
2008-06-20,253.5,259.5,246.8,256.05,,238.711237192373,312.1987628076271
2008-06-23,250.0,257.45,249.5,251.15,,236.9206795231177,308.86432047688237
2008-06-24,247.5,253.0,235.55,239.5,,232.93697699931352,307.1430230006865
2008-06-25,225.0,251.0,225.0,248.65,,232.67031335706244,301.8696866429375
2008-06-26,259.95,259.95,234.5,244.5,,232.06304571912398,296.956954280876
2008-06-27,232.95,238.4,217.5,227.0,,226.68646496284617,296.4485350371538
2008-06-30,227.0,230.0,222.7,225.2,,222.5952247257592,294.0197752742408
2008-07-01,225.0,228.5,216.5,223.55,,219.29977222823302,290.68522777176696
2008-07-02,215.05,229.0,215.05,226.75,,216.15499049943884,288.9000095005611
2008-07-03,222.5,224.0,195.05,204.3,,208.9673129936751,288.3976870063249
2008-07-04,201.75,216.5,200.5,210.5,,205.51396622835705,284.461033771643
2008-07-07,212.5,220.5,212.5,217.75,,203.44532624646325,280.8646737535367
2008-07-08,209.05,219.95,207.0,217.25,,202.3280897406248,276.1869102593752
2008-07-09,223.0,228.45,220.0,225.9,,202.0364731141022,272.54352688589785
2008-07-10,225.0,266.0,220.5,249.2,,202.62140076938235,270.9085992306177
2008-07-11,254.0,254.05,241.0,250.0,,202.7438761203968,270.4911238796032
2008-07-14,257.5,257.5,240.5,250.8,,202.65139535595296,270.9336046440471
2008-07-15,240.2,248.9,238.5,239.9,,202.83294862151848,269.40705137848147
2008-07-16,250.0,250.0,222.05,227.5,,202.78700105600845,266.3829989439915
2008-07-17,237.5,242.5,230.5,233.8,,203.34403434047164,263.5809656595284
2008-07-18,230.5,236.5,227.5,232.05,,204.0832639900362,260.4417360099638
2008-07-21,237.0,252.5,235.0,249.45,,204.22883512274637,260.12616487725364
2008-07-22,245.05,252.0,242.5,247.5,,203.96643340717748,261.18856659282255
2008-07-23,257.05,264.5,249.0,259.5,,202.86171883686475,263.3782811631353
2008-07-24,253.1,267.0,253.1,260.3,,201.64239199575266,266.1776080042474
2008-07-25,251.6,262.5,251.6,255.0,,201.8954333686957,268.72456663130436
2008-07-28,250.1,262.35,250.1,257.75,,202.44295619041236,271.43204380958764
2008-07-29,253.0,257.5,250.7,254.7,,203.73366485514958,273.2563351448505
2008-07-30,242.0,262.5,242.0,259.9,,204.59691749361426,275.7080825063858
2008-07-31,250.55,269.5,247.3,266.85,,210.0767122743928,276.4832877256073
2008-08-01,258.0,266.45,253.5,258.8,254.482,215.6551159859274,275.73488401407263
2008-08-04,255.0,262.0,255.0,259.5,253.62400000000002,220.2186931626198,275.34630683738027
2008-08-05,252.85,265.0,250.5,263.3,252.95899999999997,225.75652199365413,274.4134780063458
2008-08-06,262.55,285.7,262.55,281.1,252.5,227.5631383929944,278.12686160700554
2008-08-07,283.0,287.2,272.5,280.0,252.106,226.4273421657153,282.3426578342847
2008-08-08,275.6,284.5,274.0,275.95,251.90800000000002,226.21388556290606,285.1511144370939
2008-08-11,277.0,288.5,276.0,284.7,251.79399999999998,225.30648545907522,289.4485145409247
2008-08-12,284.9,287.45,274.25,276.7,251.53100000000003,227.1458815418319,291.28911845816816
2008-08-13,271.5,287.5,271.1,285.45,251.71899999999997,231.67945810361982,292.5505418963802
2008-08-14,281.0,285.5,277.55,282.9,251.75300000000004,235.88012648851054,293.25987351148945
2008-08-18,277.4,280.0,266.5,275.7,251.57899999999998,242.12548285045028,291.3795171495496
2008-08-19,277.4,277.4,266.1,273.7,251.565,244.5676744668271,291.36232553317296
2008-08-20,268.55,286.5,268.55,272.1,251.50300000000004,247.82931427929836,290.5606857207016
2008-08-21,267.5,277.5,256.0,260.05,251.399,247.90800098123208,290.53699901876786
2008-08-22,253.05,271.5,253.05,265.9,251.523,248.53725369494586,290.467746305054
2008-08-25,285.0,285.0,263.55,270.95,251.88299999999998,250.47510868152162,290.1248913184784
2008-08-26,270.5,275.0,265.05,274.5,252.42700000000002,252.14728437527125,290.1277156247287
2008-08-27,277.45,292.5,274.4,289.4,253.148,253.86498140450985,291.8800185954902
2008-08-28,288.0,295.0,282.0,291.85,253.82100000000003,254.69799959538713,294.24200040461295
2008-08-29,289.0,295.1,284.35,294.1,254.57800000000003,254.57185498824634,297.0931450117536
2008-09-01,292.15,295.0,286.3,292.9,255.315,256.5606989042527,298.5143010957473
2008-09-02,297.15,304.0,293.5,301.5,256.322,257.86946754775187,301.4055324522481
2008-09-04,296.8,309.0,295.0,305.15,257.635,258.57297537519753,304.8870246248025
