Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-03-14,755.5,1060.0,721.1,778.35,,,
2008-03-17,721.0,825.0,650.05,660.5,,,
2008-03-18,708.8,708.8,618.0,633.45,,,
2008-03-19,639.5,668.0,633.45,644.3,,,
2008-03-24,650.0,664.0,585.0,593.4,,,
2008-03-25,650.0,653.8,598.0,640.4,,,
2008-03-26,644.85,665.0,603.0,650.3,,,
2008-03-27,637.5,673.0,605.0,617.85,,,
2008-03-28,614.7,708.8,610.0,687.5,,,
2008-03-31,685.0,758.0,661.35,691.5,,,
2008-04-01,695.0,695.0,633.1,656.85,,,
2008-04-02,679.5,690.0,644.05,650.1,,,
2008-04-03,653.0,698.0,640.0,687.3,,,
2008-04-04,658.7,695.0,658.7,674.6,,,
2008-04-07,666.6,680.0,662.0,676.7,,,
2008-04-08,670.0,680.0,658.0,674.2,,,
2008-04-09,665.0,673.95,638.05,650.95,,,
2008-04-10,652.0,669.4,635.0,659.95,,,
2008-04-11,678.75,678.9,651.0,660.45,,,
2008-04-15,651.0,700.0,642.7,698.0,,590.2132413690612,738.4517586309388
2008-04-16,700.0,710.0,693.0,698.1,,606.1989718851303,714.4410281148696
2008-04-17,710.0,717.0,700.0,708.75,,604.4370882910516,721.0279117089483
2008-04-21,710.0,716.0,654.9,687.5,,607.8483047164174,723.0216952835827
2008-04-22,680.0,697.7,677.25,682.55,,610.1770947465641,724.5179052534361
2008-04-23,680.0,780.0,680.0,694.15,,625.8915924310938,718.8784075689061
2008-04-24,700.0,715.0,673.0,683.9,,630.3530274611275,718.7669725388727
2008-04-25,690.0,704.0,690.0,696.45,,633.1775604739549,720.557439526045
2008-04-28,700.0,703.0,688.0,691.6,,646.4379275643565,714.6720724356436
2008-04-29,692.1,703.0,685.9,699.0,,646.1435304348727,716.1164695651273
2008-04-30,700.0,724.0,680.6,712.25,,644.7406833405089,719.5943166594911
2008-05-02,714.1,746.0,714.1,735.7,,643.6401270868023,728.5798729131977
2008-05-05,745.0,752.0,737.1,741.45,,644.9872790607915,736.3677209392085
2008-05-06,744.9,785.0,733.0,768.4,,637.3939828179907,752.0710171820094
2008-05-07,766.0,776.0,726.2,744.65,,637.6107205143196,758.8592794856804
2008-05-08,730.0,739.0,715.75,720.9,,639.9036622302796,760.9863377697203
2008-05-09,686.0,729.9,686.0,702.15,,642.5750395480702,761.1099604519297
2008-05-12,681.05,698.6,668.95,682.6,,648.3362820796738,758.5137179203261
2008-05-13,690.0,697.95,672.0,676.2,,651.4159247131015,757.0590752868984
2008-05-14,677.0,691.85,659.0,667.7,,652.9573411748938,756.2426588251062
2008-05-15,683.5,683.5,665.1,668.9,,649.1339494737664,757.1560505262338
2008-05-16,669.1,675.0,662.0,669.55,,645.6741213592213,757.7608786407786
2008-05-20,675.0,678.0,661.5,665.85,,641.4182814807994,757.7267185192006
2008-05-21,666.0,669.9,645.0,651.9,,636.0159222975117,759.5690777024884
2008-05-22,641.4,699.0,635.0,671.65,,634.7170065966759,759.777993403324
2008-05-23,675.0,684.0,665.0,673.75,,632.8248147256364,759.6301852743635
2008-05-26,667.0,668.0,579.0,594.5,,613.7677214862001,769.7472785137998
2008-05-27,595.0,597.0,555.6,569.1,,590.1303901794793,780.6496098205209
2008-05-28,570.0,610.8,570.0,599.55,,578.179765219224,783.395234780776
2008-05-29,609.0,645.0,605.0,613.4,,570.0302611424077,782.9847388575924
2008-05-30,620.0,664.9,612.0,633.65,673.8489999999999,565.8530615467674,779.3019384532328
2008-06-02,641.0,665.0,641.0,650.6,671.2940000000001,565.4792750357245,771.1657249642755
2008-06-03,640.0,650.6,612.0,633.15,670.747,564.9897134591853,760.8252865408148
2008-06-04,620.05,639.0,608.1,612.55,670.329,568.3785686328075,741.8514313671925
2008-06-05,612.55,615.0,556.05,577.85,669.0,564.31608838177,729.23391161823
2008-06-06,580.05,600.0,552.0,575.2,668.6360000000001,558.8810896919421,720.098910308058
2008-06-09,556.0,564.95,516.6,553.4,666.896,548.3947795899242,715.7102204100759
2008-06-10,553.5,553.5,512.5,535.2,664.5939999999999,534.0909512190779,715.2740487809222
2008-06-11,530.0,558.95,524.05,527.45,662.7860000000001,520.2629457729156,714.2270542270844
2008-06-12,503.6,524.0,493.6,501.8,659.072,502.2463622185761,715.653637781424
2008-06-13,510.0,524.0,501.0,507.8,655.398,489.047759721598,712.7422402784019
2008-06-16,512.0,514.0,493.95,500.55,652.2719999999999,476.96054262699806,707.9294573730018
2008-06-17,500.0,509.4,500.0,505.75,649.385,468.18686150246884,700.6931384975311
2008-06-18,506.0,510.0,487.15,499.1,645.621,459.1386348791367,694.4613651208632
2008-06-19,498.0,498.0,490.0,491.7,641.963,453.1989982853361,682.406001714664
2008-06-20,495.0,499.95,479.0,485.05,638.13,449.56633768519544,667.1686623148047
2008-06-23,480.0,496.15,444.0,457.65,633.799,435.3299711182017,667.7200288817983
2008-06-24,451.0,451.0,415.05,421.05,629.201,414.548292547892,673.6967074521081
2008-06-25,407.0,446.0,401.0,431.0,624.622,399.54180106972444,671.8481989302757
2008-06-26,437.0,443.0,417.05,430.8,620.029,387.8856648415134,665.2443351584865
2008-06-27,410.25,443.25,390.0,430.1,614.6709999999999,380.9595472179518,651.8154527820483
2008-06-30,421.1,443.9,415.0,433.85,609.386,381.09845796138444,630.0015420386158
2008-07-01,429.95,439.85,419.0,428.6,603.783,381.89142435909594,608.7535756409039
2008-07-02,422.0,489.8,420.5,430.8,598.649,383.75459827927114,588.7154017207289
2008-07-03,417.85,445.0,395.0,434.35,593.685,383.7436425370763,574.3763574629238
2008-07-04,420.05,453.4,414.0,443.35,588.669,387.4686500077802,557.4663499922196
2008-07-07,435.0,459.0,435.0,451.35,584.018,391.0098871184269,543.7201128815731
