Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2018-03-27,499.0,499.0,455.0,476.85,,,
2018-03-28,463.85,478.9,463.0,469.05,,,
2018-04-02,474.9,485.0,472.0,475.7,,,
2018-04-03,474.0,485.9,469.15,483.45,,,
2018-04-04,484.6,488.8,478.0,486.05,,,
2018-04-05,490.0,514.9,487.3,509.2,,,
2018-04-06,512.5,517.7,505.2,508.25,,,
2018-04-09,508.8,519.9,496.05,514.45,,,
2018-04-10,515.0,520.8,510.2,518.65,,,
2018-04-11,519.9,535.0,513.0,533.5,,,
2018-04-12,530.0,540.8,526.1,534.75,,,
2018-04-13,533.0,536.95,526.4,528.65,,,
2018-04-16,523.9,532.35,516.1,518.8,,,
2018-04-17,520.0,521.4,500.0,505.1,,,
2018-04-18,508.0,513.5,501.0,504.15,,,
2018-04-19,505.2,508.9,502.0,505.1,,,
2018-04-20,505.1,510.5,493.1,495.05,,,
2018-04-23,496.0,504.3,481.75,498.35,,,
2018-04-24,500.0,502.3,486.0,489.85,,,
2018-04-25,490.05,497.1,485.25,494.3,,464.41288038782017,540.5121196121798
2018-04-26,497.1,501.4,491.1,495.0,,467.0667683039244,539.6732316960756
2018-04-27,498.8,522.95,498.5,506.45,,472.7249735142593,537.7550264857408
2018-04-30,509.5,515.9,502.7,513.45,,477.58585277015453,536.6691472298453
2018-05-02,513.0,520.9,511.0,515.85,,481.1857516214191,536.3092483785811
2018-05-03,511.95,515.0,496.4,502.05,,483.89714912520685,535.1978508747931
2018-05-04,503.0,506.0,500.5,504.6,,483.5717129148946,535.0632870851053
2018-05-07,507.0,508.0,492.65,494.5,,482.0435689535155,535.2164310464844
2018-05-08,496.95,497.0,490.0,494.35,,480.4517643288087,534.7982356711914
2018-05-09,492.0,495.25,485.3,488.6,,478.2031523413564,534.0418476586437
2018-05-10,490.0,493.9,484.05,486.45,,477.69572552354174,529.8442744764584
2018-05-11,486.55,492.2,480.25,484.35,,478.2180313705629,524.2819686294371
2018-05-14,484.0,489.4,478.4,479.95,,477.76825753421554,519.8617424657846
2018-05-15,483.9,489.8,473.5,483.85,,477.2389646080584,516.8960353919416
2018-05-16,479.9,484.9,475.0,482.5,,475.47076511526296,516.4042348847371
2018-05-17,483.0,487.0,477.65,483.85,,474.1593120539206,515.6856879460795
2018-05-18,481.05,485.05,478.0,479.55,,472.38042852536154,514.9095714746385
2018-05-21,474.0,481.2,463.2,468.8,,468.36448897214063,516.3005110278593
2018-05-22,468.8,477.4,468.0,470.35,,465.2357610096758,516.6292389903242
2018-05-23,471.8,500.0,469.3,495.95,,465.4502147813622,517.0247852186378
2018-05-24,489.8,495.1,474.6,477.2,,463.8982390333924,516.8667609666076
2018-05-25,483.75,487.0,476.85,483.1,,463.2055141132342,516.3694858867658
2018-05-28,486.7,488.4,481.0,484.55,,463.21941255048705,514.1655874495129
2018-05-29,485.1,488.5,478.25,479.75,,464.1007261225268,509.9142738774733
2018-05-30,477.0,478.95,468.2,469.9,,464.9875682080155,504.4324317919846
2018-05-31,472.2,474.0,463.1,470.5,,464.21936685757316,502.04563314242694
2018-06-01,470.0,478.75,470.0,475.1,,465.37537305372103,497.93962694627913
2018-06-04,479.0,479.0,470.4,473.95,,465.1882793432171,496.0717206567829
