Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1997-02-26,15.55,15.9,15.1,15.75,,,
1997-02-27,15.7,17.3,15.7,17.0,,,
1997-02-28,18.05,19.0,18.05,18.3,,,
1997-03-01,19.0,20.1,18.6,20.1,,,
1997-03-03,20.4,22.1,20.1,22.1,,,
1997-03-04,22.1,22.1,22.1,22.1,,,
1997-03-05,24.2,24.35,24.2,24.35,,,
1997-03-06,24.2,26.75,24.2,26.75,,,
1997-03-10,27.0,27.0,24.1,24.1,,,
1997-03-11,23.0,25.0,21.7,21.85,,,
1997-03-12,22.8,23.95,22.4,22.8,,,
1997-03-13,22.85,23.0,21.9,22.2,,,
1997-03-14,21.65,22.4,21.65,21.8,,,
1997-03-17,21.8,22.0,21.5,21.6,,,
1997-03-18,21.7,21.7,20.75,20.95,,,
1997-03-19,21.35,22.4,20.75,20.8,,,
1997-03-20,20.6,21.15,18.8,19.95,,,
1997-03-21,20.1,20.4,19.8,19.95,,,
1997-03-25,20.0,20.6,19.6,20.2,,,
1997-03-26,20.3,20.6,20.3,20.35,,16.18189117841025,26.118108821589747
1997-03-27,20.5,20.5,20.15,20.4,,17.089019630391853,25.675980369608148
1997-03-31,18.4,18.4,18.35,18.35,,17.41176171814334,25.48823828185666
1997-04-01,16.65,18.65,16.65,18.4,,17.432968567737785,25.47703143226222
1997-04-02,19.0,19.3,18.8,19.2,,17.304855602257607,25.5151443977424
1997-04-03,19.3,21.0,19.3,20.55,,17.223680858586974,25.441319141413032
1997-04-04,19.85,20.4,19.8,20.0,,17.094007147956496,25.360992852043502
1997-04-07,19.9,20.1,19.75,19.95,,17.11225661188783,24.90274338811217
1997-04-09,21.2,21.2,20.3,20.5,,17.88901016620366,23.50098983379634
1997-04-10,20.2,20.4,19.45,19.5,,18.11752655415501,22.81247344584499
1997-04-11,18.8,20.0,18.75,19.85,,18.096891583395166,22.63310841660483
1997-04-12,19.6,20.1,19.4,19.65,,18.232851463651002,22.182148536349004
1997-04-15,20.2,20.2,19.55,19.8,,18.344581999090398,21.8304180009096
1997-04-17,20.7,21.6,20.25,20.55,,18.460088702698762,21.589911297301235
1997-04-21,20.8,21.35,20.8,21.25,,18.510388746531127,21.504611253468873
1997-04-22,21.0,21.6,21.0,21.3,,18.474278605904576,21.57572139409542
1997-04-23,21.4,21.45,21.05,21.25,,18.437506538097622,21.657493461902376
1997-04-24,21.45,21.6,21.1,21.2,,18.42083951091238,21.79916048908762
1997-04-25,21.05,21.55,21.05,21.4,,18.40034429766409,21.96465570233591
1997-04-28,21.55,22.95,21.4,22.4,,18.25282123272212,22.332178767277874
1997-04-29,22.4,23.4,22.4,23.05,,18.043457656681237,22.811542343318767
1997-04-30,24.4,24.75,23.6,23.75,,17.786198045241953,23.403801954758045
1997-05-02,23.7,23.7,23.05,23.2,,18.00742189060741,23.667578109392586
1997-05-05,22.6,23.0,21.8,21.95,,18.39080087405099,23.639199125949006
1997-05-06,22.0,22.0,21.2,21.35,,18.638980638075758,23.60601936192424
1997-05-07,22.0,22.8,21.4,22.2,,18.69210693045897,23.717893069541027
1997-05-08,22.15,24.0,22.0,23.15,,18.77388626816755,23.95111373183245
1997-05-09,23.0,23.45,22.5,23.1,,18.910019157158438,24.12998084284156
1997-05-12,23.0,23.1,22.7,23.0,,19.001457719370915,24.288542280629084
1997-05-13,23.0,23.7,22.85,23.3,,19.29643430467644,24.373565695323563
1997-05-14,23.55,23.55,22.85,23.35,21.198,19.56683552915919,24.453164470840814
1997-05-15,23.15,23.2,22.55,23.0,21.343000000000004,19.96736187619061,24.387638123809396
1997-05-16,22.8,23.0,22.8,22.9,21.461,20.408065701713625,24.256934298286374
1997-05-19,22.8,23.1,22.7,22.7,21.549,20.703821498383995,24.176178501616008
1997-05-20,22.45,22.6,20.8,21.35,21.573999999999998,20.722730994787486,24.167269005212514
1997-05-21,21.75,22.2,21.5,21.7,21.566,20.79007659248175,24.13992340751825
1997-05-22,21.2,21.7,21.2,21.4,21.552000000000003,20.819281448523128,24.125718551476872
1997-05-23,21.3,21.4,20.8,21.15,21.487999999999996,20.808548510298454,24.13145148970155
1997-05-26,20.8,21.8,20.8,21.25,21.377999999999997,20.77949673202934,24.145503267970657
1997-05-27,21.2,21.35,20.6,20.75,21.311,20.530561963019174,24.22943803698083
1997-05-28,21.0,21.15,20.7,21.0,21.293999999999997,20.358488467163934,24.196511532836066
1997-05-29,21.1,21.1,20.95,21.05,21.259,20.280617817057742,24.004382182942262
1997-05-30,20.8,21.4,20.8,21.35,21.241999999999997,20.2258924316114,23.874107568388602
1997-06-02,21.1,21.1,20.6,21.05,21.226999999999997,20.126899055456636,23.88310094454337
