Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,105.0,105.0,105.0,105.0,,,
1995-01-03,104.0,104.0,104.0,104.0,,,
1995-01-04,102.5,102.5,102.5,102.5,,,
1995-01-05,102.0,102.0,102.0,102.0,,,
1995-01-09,101.5,101.5,101.5,101.5,,,
1995-01-13,105.0,105.0,105.0,105.0,,,
1995-01-19,105.0,105.0,104.0,104.5,,,
1995-01-23,100.0,100.0,97.5,98.8,,,
1995-01-24,95.0,95.0,95.0,95.0,,,
1995-01-25,97.5,100.0,97.5,100.0,,,
1995-02-03,97.5,97.5,97.0,97.5,,,
1995-02-06,98.0,98.0,97.5,97.5,,,
1995-02-07,94.5,95.0,94.5,94.75,,,
1995-02-10,91.25,91.25,91.25,91.25,,,
1995-02-14,95.0,95.0,95.0,95.0,,,
1995-02-16,87.5,87.5,87.5,87.5,,,
1995-02-17,87.5,87.5,87.5,87.5,,,
1995-02-22,86.0,86.0,82.5,83.0,,,
1995-02-23,87.5,87.5,85.0,85.0,,,
1995-02-24,92.5,92.5,90.0,90.0,,82.37966557613409,110.3503344238659
1995-03-02,85.05,85.05,85.05,85.05,,81.13176753035276,109.60323246964722
1995-03-03,83.75,83.75,82.5,82.5,,79.56296379405971,109.02203620594027
1995-03-06,82.5,82.5,82.5,82.5,,78.1980159952908,108.38698400470918
1995-03-07,83.0,85.0,80.75,82.4,,77.05420199875695,107.57079800124305
1995-03-08,82.5,82.5,82.5,82.5,,76.14686140364994,106.57813859635006
1995-03-09,80.5,82.5,80.0,80.0,,75.51924723319743,104.70575276680256
1995-03-10,82.0,83.0,78.25,78.25,,74.95240853167289,102.64759146832711
1995-03-15,75.0,80.0,75.0,80.0,,74.32168789188091,101.39831210811909
1995-03-16,78.0,78.0,77.5,78.0,,73.22673020231443,100.79326979768558
1995-03-20,78.0,78.0,74.0,74.0,,72.18327790903066,99.23672209096935
1995-03-21,76.0,76.0,75.0,75.0,,71.45002859979463,97.71997140020538
1995-03-22,76.25,76.25,73.25,73.3,,70.8028712600994,95.9471287399006
1995-03-23,74.0,74.0,69.0,69.0,,69.15142742428314,95.02357257571687
1995-03-24,69.1,73.4,69.0,71.0,,67.98943141230914,94.16056858769086
1995-03-27,70.25,72.0,70.0,71.5,,67.90425514039057,91.89574485960944
1995-03-28,70.0,70.0,63.75,64.5,,65.47981180476906,92.02018819523094
1995-03-29,67.5,67.5,63.5,65.5,,63.79917824972469,91.50082175027532
1995-03-30,67.5,67.5,65.0,65.0,,62.049731473988395,91.45026852601161
1995-03-31,67.5,69.0,67.0,68.0,,61.24239913362694,90.55760086637308
1995-04-03,67.5,67.95,65.0,67.95,,61.33724759758018,88.25775240241981
1995-04-04,67.5,70.0,67.5,68.75,,61.178130885472754,86.78686911452725
1995-04-05,70.0,70.0,68.5,69.5,,61.03901541840551,85.62598458159451
1995-04-06,70.5,71.0,70.0,71.0,,61.2167130615845,84.29828693841552
1995-04-07,73.0,73.0,72.0,72.25,,61.63937969966401,82.860620300336
1995-04-10,70.0,70.0,69.5,70.0,,62.144077326712875,81.10592267328713
1995-04-12,71.0,71.0,71.0,71.0,,62.5522943555061,79.79770564449389
1995-04-17,69.0,69.0,69.0,69.0,,62.71823396278981,78.7067660372102
1995-04-18,70.95,71.0,66.5,68.75,,63.42487037886547,76.87512962113453
1995-04-19,67.5,67.5,59.0,60.0,,62.14136921911425,76.35863078088575
1995-04-20,58.0,61.5,56.0,58.25,82.035,60.17726424119648,76.74773575880353
1995-04-21,58.0,60.5,55.0,55.6,81.047,57.978506151600776,77.0064938483992
1995-04-24,55.0,55.0,52.5,53.55,80.038,55.53984466234257,77.47015533765745
1995-04-25,54.0,55.0,52.5,53.8,79.064,53.47818983684194,78.01181016315806
1995-04-26,54.5,54.5,53.5,54.25,78.109,51.88730212778661,77.92769787221339
1995-04-27,55.0,55.0,53.5,53.5,77.149,50.429527319762556,77.58547268023746
1995-04-28,54.5,54.5,51.5,52.25,76.094,48.84049626585022,77.94950373414979
1995-05-02,52.55,56.0,52.0,53.0,75.064,47.538301750003086,78.00169824999692
1995-05-03,47.5,49.9,47.5,49.75,74.083,45.75332563737739,78.26167436262263
1995-05-04,50.0,51.5,50.0,51.5,73.213,44.53869998475766,77.82630001524234
1995-05-05,52.5,52.5,50.0,50.0,72.213,43.24655739758465,77.32344260241535
1995-05-08,51.25,52.5,49.0,51.5,71.29299999999999,42.44197012791251,76.40302987208749
1995-05-09,52.9,52.9,49.25,51.0,70.363,41.815474532922444,75.17952546707755
1995-05-10,50.5,52.5,46.5,46.5,69.398,40.86010176605845,73.68489823394155
1995-05-12,48.5,50.0,47.5,48.0,68.53299999999999,40.7612694025043,71.35873059749571
1995-05-15,47.5,48.4,46.25,47.4,67.58099999999999,40.66279800971493,69.19720199028505
1995-05-16,48.25,48.4,47.75,48.4,66.79899999999999,41.43932381341987,66.16067618658013
1995-05-17,49.0,49.0,48.5,48.5,66.01899999999999,42.49704710122246,63.052952898777534
1995-05-18,50.45,50.45,49.5,50.0,65.359,44.77843527888727,58.896564721112725
1995-05-19,49.95,51.0,49.2,49.2,64.64299999999999,45.29412594868382,57.30087405131618
1995-05-22,48.75,48.75,47.4,47.4,63.791,45.480243832024506,56.0297561679755
1995-05-23,47.5,48.0,47.0,47.5,63.04,45.40823385502757,55.291766144972435
1995-05-24,50.0,50.0,48.0,48.3,62.356,45.306300524860994,54.868699475139
1995-05-25,48.0,48.0,47.5,47.9,61.66400000000001,45.25386178549972,54.33113821450027
1995-05-26,49.0,49.0,48.95,48.95,60.995,45.493894456044615,53.56110554395538
1995-05-29,48.5,49.0,48.5,48.9,60.323,45.718691759667784,52.876308240332214
1995-05-30,49.0,49.4,49.0,49.4,59.711000000000006,45.855095695164806,52.45490430483518
1995-05-31,49.0,49.25,48.75,48.75,59.121,46.18182216561214,51.70317783438785
1995-06-01,50.0,50.0,49.0,49.0,58.501000000000005,46.17025282607688,51.639747173923105
1995-06-02,49.5,50.0,49.5,50.0,57.941,46.322033744872265,51.33796625512773
1995-06-05,49.5,50.0,49.5,50.0,57.461000000000006,46.322033744872265,51.33796625512773
1995-06-06,49.25,49.5,48.5,49.25,56.946000000000005,46.53279840649828,50.90220159350171
1995-06-07,50.5,50.5,50.0,50.0,56.48,46.66453509240176,50.67046490759823
1995-06-08,49.5,49.75,49.1,49.75,56.095,47.05283490089103,50.60716509910897
1995-06-09,50.0,50.0,49.75,49.75,55.67,47.140075784422145,50.69492421557785
1995-06-12,49.5,49.5,49.25,49.25,55.225,47.37853311080379,50.64146688919621
1995-06-13,48.75,49.5,48.75,49.5,54.925,47.446000959001495,50.6839990409985
1995-06-14,49.5,49.5,49.5,49.5,54.605,47.50774670387273,50.722253296127256
1995-06-15,49.5,49.5,49.0,49.0,54.285,47.512379125811904,50.61762087418809
1995-06-16,49.45,49.45,49.0,49.0,53.905,47.50346425825507,50.60653574174491
1995-06-19,49.0,50.5,49.0,49.5,53.536,47.808743274999415,50.51125672500058
1995-06-20,49.5,50.0,49.0,49.0,53.141000000000005,48.127085885897415,50.342914114102584
1995-06-21,48.5,48.5,45.0,46.5,52.681000000000004,47.53748475491673,50.75251524508326
1995-06-22,45.5,45.5,43.0,44.0,52.141000000000005,46.18042849599316,51.719571504006844
1995-06-23,43.9,43.9,42.3,42.9,51.553999999999995,44.77567532475879,52.519324675241215
1995-06-26,40.25,40.25,37.75,38.5,50.924,42.167857216637856,54.08714278336214
1995-06-27,37.5,39.0,34.5,39.0,50.284,40.42577795170512,54.78922204829488
1995-06-28,37.5,38.0,37.5,37.85,49.661,38.69018503371055,55.43481496628945
1995-06-29,39.0,39.0,38.75,39.0,49.066,37.51055196889022,55.61444803110978
1995-06-30,40.0,40.0,37.0,37.5,48.61600000000001,36.185799743390675,55.689200256609325
1995-07-03,36.6,36.6,35.25,35.6,48.163000000000004,34.63751517262968,55.79748482737032
1995-07-05,36.0,36.0,36.0,36.0,47.771,33.394736845207085,55.715263154792915
1995-07-10,39.75,39.75,38.0,38.75,47.475,32.85374475441397,55.13125524558603
1995-07-11,37.8,42.5,37.8,41.8,47.235,32.758031109352586,54.431968890647425
1995-07-12,43.0,47.0,42.5,45.0,47.05,32.886473558582715,53.82852644141729
1995-07-13,46.2,46.5,43.5,43.75,46.855,32.98068802079668,53.18431197920333
1995-07-14,45.0,45.0,44.0,44.3,46.696000000000005,33.157943212709924,52.487056787290086
1995-07-17,45.5,45.5,42.5,42.95,46.495,33.353429249330745,51.636570750669264
1995-07-18,44.2,44.5,42.6,43.3,46.36600000000001,33.581308570270245,50.83869142972976
1995-07-19,43.5,43.5,42.0,43.0,46.196000000000005,33.87877147760286,49.94122852239715
1995-07-20,45.0,45.0,43.0,43.4,46.06400000000001,34.3628790544833,48.84712094551671
1995-07-21,39.0,44.0,39.0,42.5,45.88400000000001,34.9035300972191,47.656469902780906
1995-07-24,43.5,43.6,43.0,43.0,45.724000000000004,35.15380374696622,47.05619625303379
1995-07-25,42.5,42.5,41.75,42.5,45.644000000000005,35.195763478441094,46.86423652155891
1995-07-26,43.5,43.5,42.05,42.35,45.531000000000006,35.20027946317853,46.80472053682148
1995-07-27,42.5,45.0,42.5,43.0,45.443000000000005,35.485184769141945,46.96981523085805
1995-07-31,42.5,42.5,40.0,40.0,45.275,35.599798927056625,46.95520107294337
1995-08-01,42.0,42.25,41.95,42.1,45.147,36.038819538753955,46.94118046124605
1995-08-03,40.0,42.5,40.0,41.75,44.982,36.30352493184521,46.9514750681548
1995-08-11,40.75,40.75,40.0,40.7,44.812000000000005,36.80438376932275,46.770616230677255
1995-08-14,38.55,41.0,38.5,41.0,44.684000000000005,37.983800659620606,46.13119934037939
1995-08-16,40.2,40.25,40.2,40.2,44.538000000000004,39.19979470295929,45.33520529704071
1995-08-17,40.0,40.4,39.0,40.2,44.376,39.568035087938135,45.11196491206187
1995-08-18,40.25,40.25,40.25,40.25,44.22299999999999,39.34415962808761,45.180840371912396
1995-08-21,40.05,40.05,40.0,40.0,44.044,39.227979820220924,44.79702017977908
1995-08-22,39.5,40.25,38.5,38.5,43.83599999999999,38.67994085432988,44.82005914567012
1995-08-23,39.05,40.0,39.0,40.0,43.647999999999996,38.61842305902114,44.45157694097887
1995-08-24,39.5,39.5,37.5,39.4,43.46099999999999,38.3722247327808,44.3427752672192
1995-08-25,39.5,39.5,37.5,37.5,43.230999999999995,37.76657907586587,44.368420924134135
1995-08-28,37.5,37.5,35.0,35.0,42.931,36.521826922781294,44.813173077218714
1995-08-30,31.5,31.5,25.5,27.4,42.479,32.79797496570353,46.93702503429647
1995-08-31,26.5,31.5,26.5,30.15,42.097,31.077259687807,47.422740312193
1995-09-01,31.7,31.7,29.5,30.25,41.702,29.71448869054572,47.51051130945427
1995-09-05,31.0,38.0,31.0,36.1,41.428999999999995,29.52375916738943,47.06124083261058
1995-09-11,36.5,37.75,35.75,37.65,41.187,29.497170751535098,46.6178292484649
1995-09-12,37.5,41.5,37.1,39.1,40.983999999999995,29.603860185904352,46.12113981409564
1995-09-13,39.0,39.0,39.0,39.0,40.774,29.596349345407198,46.0286506545928
1995-09-14,39.0,39.5,39.0,39.1,40.566,29.66941911055058,45.655580889449425
1995-09-15,39.1,39.25,39.0,39.1,40.368,29.73685861596254,45.32314138403746
1995-09-18,38.0,39.0,38.0,38.25,40.153,29.74829329379084,45.066706706209175
1995-09-19,38.5,38.5,37.5,38.0,39.923,29.7791611047909,44.73583889520911
1995-09-20,38.0,38.0,37.0,37.5,39.693000000000005,29.771418804906283,44.47358119509372
1995-09-21,36.5,36.5,35.5,35.5,39.473,29.651051685353877,44.12394831464613
1995-09-22,36.5,36.5,36.25,36.25,39.318000000000005,29.623292591110598,43.7517074088894
1995-09-25,36.3,38.5,36.3,37.55,39.211,29.65946446300867,43.47053553699132
1995-09-26,38.0,39.75,38.0,38.9,39.219,29.653599290944705,43.51640070905528
1995-09-27,40.0,40.0,38.25,38.5,39.209,29.702836590456414,43.31716340954358
1995-09-28,38.5,39.25,38.5,38.75,39.227000000000004,29.722425883766487,43.232574116233515
1995-09-29,38.5,38.5,38.5,38.5,39.217000000000006,29.72591543229833,43.32908456770166
1995-10-10,38.5,38.5,37.0,38.5,39.237,29.886306047359092,43.51869395264091
1995-10-11,38.5,38.5,38.0,38.0,39.285,31.996664471239676,42.46833552876033
1995-10-12,38.0,39.0,38.25,39.0,39.345,33.59004686620746,41.759953133792536
1995-10-13,39.0,38.5,38.0,38.5,39.34,35.96447460163013,40.21052539836987
1995-10-17,38.0,38.5,37.25,38.5,39.274,36.29678919260607,40.11821080739392
1995-10-18,37.0,38.5,37.0,37.75,39.129,36.307416772085425,40.11758322791457
1995-10-19,37.75,38.0,37.5,37.9,39.012,36.2899960261385,40.01500397386149
1995-10-20,36.75,37.4,36.75,37.4,38.874,36.225888594146355,39.919111405853656
1995-10-23,37.4,37.4,35.15,36.05,38.736,35.932300986457115,39.90769901354289
1995-10-24,38.0,39.0,38.0,38.1,38.632,35.95842858799986,39.78157141200013
1995-10-26,38.1,36.25,36.25,36.25,38.497,35.736750073607226,39.803249926392766
1995-10-27,37.3,37.5,37.3,37.5,38.379,35.71136182900088,39.778638170999116
1995-10-30,37.5,37.5,35.5,36.5,38.25899999999999,35.58814402360259,39.80185597639741
1995-10-31,36.5,37.45,36.0,37.0,38.138999999999996,35.89849624210695,39.64150375789304
1995-11-01,36.5,37.0,36.5,37.0,38.028999999999996,36.03689944769923,39.57810055230077
1995-11-10,35.5,36.0,35.5,35.75,37.897,35.722961404097525,39.71203859590248
1995-11-13,35.5,35.5,35.0,35.0,37.736999999999995,35.26897060439398,39.776029395606024
1995-11-14,35.0,34.95,33.05,34.7,37.631,34.80220461470198,39.862795385298014
1995-11-15,34.25,35.75,34.25,35.75,37.504,34.65033325567391,39.71466674432609
