Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1996-10-14,1.45,1.75,1.45,1.75,,,
1996-10-16,1.6,1.95,1.6,1.6,,,
1996-12-12,1.55,1.55,1.55,1.55,,,
1997-01-03,1.7,1.7,1.4,1.4,,,
1997-01-07,1.3,1.3,1.3,1.3,,,
1997-02-20,1.45,1.45,1.2,1.45,,,
1997-03-05,1.6,1.6,1.3,1.3,,,
1997-03-06,1.4,1.4,1.2,1.2,,,
1997-03-17,1.1,1.3,1.1,1.2,,,
1997-03-21,1.3,1.3,1.2,1.2,,,
1997-03-25,1.1,1.1,1.1,1.1,,,
1997-04-10,1.0,1.0,1.0,1.0,,,
1997-04-11,0.9,0.9,0.9,0.9,,,
1997-04-12,0.85,0.85,0.85,0.85,,,
1997-04-21,0.75,0.75,0.75,0.75,,,
1997-04-25,0.75,0.75,0.75,0.75,,,
1997-04-28,0.7,0.8,0.7,0.8,,,
1997-04-29,0.8,0.8,0.8,0.8,,,
1997-04-30,0.8,0.8,0.8,0.8,,,
1997-05-02,0.75,0.75,0.75,0.75,,0.48385422881488416,1.761145771185116
1997-05-06,0.7,0.7,0.7,0.7,,0.47759189031458005,1.6624081096854195
1997-05-08,0.75,0.75,0.7,0.7,,0.4663361805540881,1.5836638194459116
1997-05-09,0.75,0.75,0.7,0.75,,0.47190823637994694,1.4980917636200533
1997-06-02,0.65,0.65,0.65,0.65,,0.45281775217237774,1.4421822478276223
1997-06-03,0.7,0.7,0.7,0.7,,0.4403649093423941,1.3946350906576057
1997-06-04,0.65,0.65,0.65,0.65,,0.45763159956456595,1.2973684004354342
1997-06-05,0.55,0.55,0.55,0.55,,0.4458319888009288,1.234168011199071
1997-06-09,0.6,0.6,0.6,0.6,,0.4406477932493453,1.1793522067506546
1997-06-12,0.55,0.55,0.55,0.55,,0.43958845754204384,1.1154115424579563
1997-07-02,0.5,0.5,0.5,0.5,,0.44642924032109926,1.038570759678901
1997-07-07,0.5,0.5,0.5,0.5,,0.44917110818758,0.97582889181242
1997-07-08,0.45,0.45,0.45,0.45,,0.43347831525942704,0.9365216847405728
1997-07-09,0.4,0.4,0.4,0.4,,0.39923190379189544,0.9207680962081046
1997-07-10,0.4,0.4,0.4,0.4,,0.3682417596432761,0.9067582403567238
1997-07-11,0.4,0.4,0.35,0.35,,0.32500618540053416,0.9099938145994657
1997-07-14,0.35,0.35,0.35,0.35,,0.28889533038973225,0.9061046696102676
1997-07-15,0.35,0.4,0.35,0.35,,0.26296086615196657,0.8870391338480333
1997-07-17,0.4,0.4,0.35,0.35,,0.24389533038973232,0.8611046696102677
1997-07-21,0.4,0.4,0.4,0.4,,0.24000618540053414,0.8249938145994657
1997-07-22,0.45,0.45,0.45,0.45,,0.24167587602165685,0.7933241239783431
1997-07-23,0.45,0.45,0.45,0.45,,0.2416211453957799,0.7683788546042201
1997-07-24,0.5,0.55,0.5,0.55,,0.24940197183583526,0.7455980281641649
1997-07-25,0.55,0.55,0.5,0.55,,0.26775133974422083,0.7072486602557791
1997-07-28,0.55,0.55,0.5,0.55,,0.27405967659530955,0.6909403234046905
1997-07-29,0.55,0.55,0.5,0.5,,0.29047917990689154,0.6545208200931085
1997-07-30,0.5,0.55,0.5,0.55,,0.30119337133823737,0.6338066286617627
1997-07-31,0.6,0.6,0.55,0.6,,0.2970990548258785,0.6429009451741216
1997-08-01,0.6,0.65,0.6,0.65,,0.29047917990689154,0.6545208200931085
1997-08-04,0.65,0.65,0.65,0.65,,0.28155425025761693,0.6734457497423829
1997-08-05,0.65,0.65,0.65,0.65,0.77,0.27448684251647465,0.6955131574835254
1997-08-07,0.7,0.7,0.6,0.6,0.747,0.2733265858000756,0.7066734141999242
1997-08-08,0.65,0.65,0.55,0.55,0.726,0.27759908488063767,0.7124009151193623
1997-08-11,0.6,0.6,0.6,0.6,0.7070000000000001,0.2875990848806377,0.7224009151193623
1997-08-12,0.6,0.6,0.55,0.6,0.6910000000000001,0.2995445460621191,0.7304554539378807
1997-08-13,0.6,0.6,0.6,0.6,0.677,0.32365537392674126,0.7313446260732589
1997-08-14,0.6,0.6,0.6,0.6,0.66,0.35193506160735094,0.7280649383926492
1997-08-18,0.55,0.55,0.55,0.55,0.645,0.38456596162629986,0.7154340383737002
1997-08-19,0.55,0.55,0.5,0.55,0.632,0.4238885905242585,0.6961114094757417
1997-08-20,0.6,0.6,0.55,0.6,0.62,0.4557518858845072,0.6842481141154929
1997-08-21,0.6,0.6,0.55,0.55,0.607,0.4750000000000034,0.6749999999999965
1997-08-22,0.55,0.55,0.55,0.55,0.596,0.497921731833192,0.6620782681668081
1997-08-25,0.55,0.6,0.55,0.6,0.588,0.5012272299112794,0.6637727700887206
1997-08-26,0.6,0.6,0.6,0.6,0.5820000000000001,0.5048685290814012,0.6651314709185989
1997-08-27,0.6,0.6,0.55,0.55,0.5760000000000001,0.5048685290814011,0.6651314709185988
1997-08-28,0.55,0.55,0.55,0.55,0.5720000000000001,0.5158649600588671,0.659135039941133
1997-08-29,0.55,0.55,0.5,0.5,0.5670000000000001,0.5048685290814011,0.6651314709185988
1997-09-01,0.5,0.5,0.5,0.5,0.561,0.4917420049841951,0.6682579950158047
1997-09-02,0.5,0.5,0.5,0.5,0.555,0.48379587916770217,0.6612041208322978
1997-09-03,0.55,0.55,0.5,0.55,0.55,0.4862272299112794,0.6487727700887208
1997-09-04,0.5,0.5,0.5,0.5,0.545,0.483222810405013,0.6367771895949871
1997-09-05,0.5,0.5,0.5,0.5,0.541,0.4761931074347631,0.6338068925652369
1997-09-08,0.5,0.5,0.5,0.5,0.5369999999999999,0.4699422052518144,0.6350577947481856
1997-09-09,0.55,0.55,0.5,0.55,0.5329999999999999,0.47052805857610164,0.6294719414238985
1997-09-10,0.5,0.55,0.5,0.55,0.531,0.4715845345483797,0.6234154654516205
1997-09-11,0.5,0.5,0.5,0.5,0.527,0.467984017962945,0.617015982037055
1997-09-12,0.5,0.5,0.5,0.5,0.524,0.4658649600588667,0.6091350399411333
1997-09-15,0.45,0.45,0.45,0.45,0.522,0.4512272299112791,0.6137727700887209
1997-09-16,0.45,0.45,0.45,0.45,0.519,0.4387958791677021,0.6162041208322981
1997-09-17,0.45,0.45,0.45,0.45,0.517,0.4317420049841949,0.6082579950158051
1997-09-18,0.45,0.45,0.45,0.45,0.516,0.42266194831233966,0.6073380516876604
1997-09-19,0.45,0.45,0.4,0.45,0.515,0.4148546817812525,0.6051453182187475
1997-09-22,0.4,0.4,0.4,0.4,0.514,0.4026671473215458,0.5973328526784543
1997-09-23,0.4,0.4,0.4,0.4,0.514,0.39485468178125255,0.5851453182187475
1997-09-24,0.4,0.4,0.4,0.4,0.514,0.3836913065831948,0.5813086934168051
1997-09-25,0.4,0.4,0.4,0.4,0.5150000000000001,0.3750000000000032,0.5749999999999967
1997-09-26,0.4,0.4,0.4,0.4,0.516,0.36537032724388374,0.5746296727561163
1997-09-29,0.45,0.45,0.4,0.45,0.518,0.3635010121506774,0.5714989878493227
1997-09-30,0.4,0.45,0.4,0.4,0.519,0.3555076244723392,0.5694923755276609
1997-10-01,0.4,0.4,0.4,0.4,0.519,0.352916442893195,0.5570835571068049
1997-10-09,0.4,0.4,0.4,0.4,0.518,0.3474021647914877,0.5525978352085122
1997-10-10,0.45,0.45,0.4,0.4,0.517,0.34291644289319506,0.5470835571068049
1997-10-13,0.4,0.4,0.4,0.4,0.514,0.33947506200999633,0.5405249379900038
1997-10-14,0.4,0.4,0.35,0.35,0.51,0.335967530803678,0.5240324691963221
1997-10-15,0.4,0.4,0.4,0.4,0.507,0.34658453454837945,0.49841546545162063
1997-10-16,0.35,0.35,0.35,0.35,0.504,0.3417304902934998,0.4882695097065003
1997-10-17,0.35,0.35,0.35,0.35,0.5,0.3404179606750112,0.4745820393249889
1997-10-20,0.35,0.35,0.35,0.35,0.495,0.3338667258846788,0.47113327411532124
1997-10-21,0.4,0.4,0.35,0.35,0.48900000000000005,0.3288667258846788,0.46613327411532124
1997-10-22,0.35,0.35,0.35,0.35,0.483,0.32541796067501116,0.45958203932498887
1997-10-23,0.35,0.35,0.35,0.35,0.47700000000000004,0.32363336263415465,0.45136663736584537
1997-10-24,0.35,0.35,0.35,0.35,0.472,0.3237857051387656,0.4412142948612344
1997-10-27,0.35,0.35,0.35,0.35,0.46799999999999997,0.3201756958383936,0.4398243041616064
1997-10-28,0.3,0.35,0.3,0.35,0.463,0.31701946811707554,0.4379805318829246
1997-10-29,0.35,0.35,0.35,0.35,0.45799999999999996,0.314302302133317,0.435697697866683
1997-11-03,0.35,0.35,0.35,0.35,0.45300000000000007,0.3120194681170755,0.4329805318829244
1997-11-04,0.35,0.35,0.3,0.3,0.447,0.30041796067501125,0.43458203932498873
1997-11-05,0.3,0.3,0.3,0.3,0.44199999999999995,0.2984412988748962,0.4215587011251038
1997-11-06,0.3,0.3,0.3,0.3,0.43699999999999994,0.29092767244828643,0.41907232755171353
1997-11-07,0.3,0.3,0.3,0.3,0.431,0.28511143154770013,0.4148885684522998
1997-11-10,0.3,0.3,0.3,0.3,0.426,0.28092767244828654,0.4090723275517134
1997-11-11,0.3,0.3,0.3,0.3,0.42100000000000004,0.27844129887489627,0.40155870112510367
1997-11-12,0.3,0.3,0.3,0.3,0.415,0.2778759429422581,0.39212405705774195
1997-11-13,0.3,0.3,0.3,0.3,0.409,0.2737857051387658,0.3912142948612341
1997-11-17,0.25,0.25,0.25,0.25,0.40299999999999997,0.26430230213331735,0.3856976978666827
1997-11-18,0.25,0.25,0.25,0.25,0.39699999999999996,0.2519442952621331,0.38805570473786694
1997-11-19,0.25,0.25,0.25,0.25,0.39199999999999996,0.24173049029350013,0.38826950970649987
1997-11-20,0.25,0.25,0.25,0.25,0.38699999999999996,0.23322281040501314,0.38677718959498686
1997-11-21,0.25,0.25,0.25,0.25,0.38199999999999995,0.22619310743476329,0.3838068925652367
1997-11-24,0.25,0.25,0.25,0.25,0.376,0.22052805857610186,0.3794719414238981
1997-11-25,0.25,0.25,0.25,0.25,0.371,0.2161931074347634,0.3738068925652367
1997-11-26,0.25,0.25,0.25,0.25,0.366,0.21322281040501326,0.36677718959498673
1997-11-27,0.25,0.25,0.25,0.25,0.361,0.21173049029350038,0.3582695097064997
1997-11-28,0.25,0.25,0.25,0.25,0.355,0.21194429526213332,0.3480557047378666
1997-12-01,0.25,0.25,0.25,0.25,0.349,0.21430230213331772,0.3356976978666823
1997-12-02,0.25,0.25,0.25,0.25,0.344,0.21973753100500398,0.32026246899499605
1997-12-03,0.25,0.25,0.25,0.25,0.33899999999999997,0.21856395150704838,0.31643604849295165
1997-12-04,0.25,0.25,0.25,0.25,0.335,0.21798376540184528,0.31201623459815475
1997-12-08,0.25,0.25,0.25,0.25,0.331,0.21807383416807657,0.30692616583192345
1997-12-09,0.25,0.25,0.25,0.25,0.32699999999999996,0.2189608659166031,0.30103913408339694
1997-12-10,0.25,0.25,0.25,0.25,0.32299999999999995,0.2208652451467581,0.2941347548532419
1997-12-11,0.25,0.25,0.25,0.25,0.319,0.22422064943745781,0.28577935056254217
1997-12-15,0.25,0.25,0.25,0.25,0.316,0.2301393202250193,0.2748606797749807
1997-12-16,0.25,0.25,0.25,0.25,0.31299999999999994,0.25,0.25
1997-12-17,0.25,0.25,0.25,0.25,0.31,0.25,0.25
1997-12-18,0.25,0.25,0.25,0.25,0.307,0.25,0.25
1997-12-19,0.25,0.25,0.25,0.25,0.304,0.25,0.25
1997-12-22,0.25,0.25,0.25,0.25,0.3,0.25,0.25
1997-12-23,0.25,0.25,0.25,0.25,0.297,0.25,0.25
1997-12-24,0.3,0.3,0.25,0.3,0.295,0.2301393202250193,0.2748606797749807
1997-12-26,0.3,0.3,0.3,0.3,0.293,0.22422064943745781,0.28577935056254217
1997-12-29,0.3,0.3,0.25,0.25,0.29,0.22422064943745781,0.28577935056254217
1997-12-30,0.25,0.25,0.25,0.25,0.287,0.22422064943745781,0.28577935056254217
1997-12-31,0.25,0.25,0.25,0.25,0.285,0.22422064943745781,0.28577935056254217
1998-01-01,0.25,0.25,0.25,0.25,0.282,0.22422064943745781,0.28577935056254217
1998-01-05,0.3,0.3,0.3,0.3,0.28099999999999997,0.22086524514675804,0.29413475485324186
1998-01-06,0.3,0.3,0.3,0.3,0.28,0.21896086591660305,0.3010391340833969
1998-01-07,0.3,0.35,0.3,0.35,0.28,0.20787594294225867,0.3221240570577414
1998-01-08,0.35,0.35,0.3,0.3,0.279,0.20878570513876635,0.32621429486123354
1998-01-09,0.3,0.3,0.3,0.3,0.278,0.2101756958383943,0.32982430416160563
1998-01-12,0.25,0.25,0.25,0.25,0.27599999999999997,0.2101756958383943,0.32982430416160563
1998-01-13,0.25,0.25,0.25,0.25,0.27399999999999997,0.2101756958383943,0.32982430416160563
1998-01-14,0.25,0.25,0.25,0.25,0.272,0.2101756958383943,0.32982430416160563
1998-01-15,0.3,0.3,0.3,0.3,0.271,0.21201946811707614,0.3329805318829238
1998-01-16,0.25,0.25,0.25,0.25,0.269,0.21201946811707614,0.3329805318829238
1998-01-19,0.25,0.25,0.25,0.25,0.267,0.21201946811707614,0.3329805318829238
1998-01-20,0.25,0.25,0.25,0.25,0.266,0.21201946811707614,0.3329805318829238
1998-01-27,0.25,0.25,0.25,0.25,0.265,0.21201946811707614,0.3329805318829238
1998-01-28,0.25,0.25,0.25,0.25,0.264,0.21201946811707614,0.3329805318829238
1998-01-29,0.25,0.25,0.25,0.25,0.263,0.2101756958383943,0.32982430416160563
1998-01-30,0.25,0.25,0.25,0.25,0.262,0.20878570513876635,0.32621429486123354
1998-02-02,0.25,0.25,0.25,0.25,0.261,0.20878570513876635,0.32621429486123354
1998-02-03,0.25,0.25,0.25,0.25,0.26,0.20878570513876635,0.32621429486123354
1998-02-04,0.25,0.25,0.25,0.25,0.259,0.20878570513876635,0.32621429486123354
1998-02-05,0.25,0.25,0.25,0.25,0.259,0.20878570513876635,0.32621429486123354
1998-02-06,0.25,0.25,0.25,0.25,0.259,0.20787594294225867,0.3221240570577414
1998-02-09,0.25,0.25,0.25,0.25,0.259,0.2074880395779888,0.31751196042201124
1998-02-10,0.25,0.25,0.25,0.25,0.259,0.22086524514675804,0.29413475485324186
1998-02-11,0.25,0.25,0.25,0.25,0.259,0.22422064943745784,0.28577935056254217
1998-02-12,0.2,0.2,0.2,0.2,0.258,0.2175557157738594,0.2824442842261406
1998-02-13,0.2,0.25,0.2,0.25,0.258,0.2175557157738594,0.2824442842261406
1998-02-17,0.25,0.25,0.25,0.25,0.258,0.2175557157738594,0.2824442842261406
1998-02-18,0.25,0.25,0.25,0.25,0.258,0.2175557157738594,0.2824442842261406
1998-02-19,0.25,0.25,0.25,0.25,0.258,0.22513932022501945,0.2698606797749805
1998-02-20,0.2,0.2,0.2,0.2,0.257,0.21422064943745805,0.275779350562542
1998-02-23,0.2,0.2,0.2,0.2,0.256,0.20586524514675839,0.2791347548532417
1998-02-24,0.2,0.2,0.2,0.2,0.255,0.19896086591660345,0.28103913408339665
1998-02-25,0.2,0.25,0.2,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-02-26,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-02-27,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-02,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-03,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-04,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-06,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-09,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-10,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-11,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-12,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-16,0.25,0.25,0.25,0.25,0.255,0.19896086591660345,0.28103913408339665
1998-03-17,0.25,0.25,0.25,0.25,0.254,0.20586524514675839,0.2791347548532417
1998-03-18,0.25,0.25,0.25,0.25,0.25299999999999995,0.20586524514675839,0.2791347548532417
1998-03-19,0.25,0.25,0.25,0.25,0.25299999999999995,0.20586524514675839,0.2791347548532417
1998-03-20,0.25,0.25,0.25,0.25,0.25299999999999995,0.20586524514675839,0.2791347548532417
1998-03-24,0.25,0.25,0.25,0.25,0.25299999999999995,0.20586524514675839,0.2791347548532417
1998-03-25,0.25,0.3,0.25,0.3,0.254,0.20809655371738922,0.2869034462826108
1998-03-26,0.3,0.3,0.3,0.3,0.254,0.21309655371738917,0.29190344628261083
1998-03-27,0.3,0.3,0.3,0.3,0.254,0.2208652451467581,0.2941347548532418
1998-03-30,0.3,0.3,0.3,0.3,0.253,0.2189608659166031,0.3010391340833968
1998-03-31,0.3,0.3,0.25,0.3,0.25299999999999995,0.21807383416807669,0.30692616583192334
1998-04-01,0.3,0.3,0.3,0.3,0.253,0.21798376540184536,0.31201623459815464
1998-04-02,0.3,0.3,0.3,0.3,0.254,0.21856395150704838,0.31643604849295154
1998-04-06,0.3,0.3,0.3,0.3,0.255,0.21973753100500398,0.32026246899499594
1998-04-07,0.3,0.3,0.3,0.3,0.256,0.22145822144660327,0.32354177855339666
1998-04-09,0.35,0.35,0.35,0.35,0.257,0.21701946811707618,0.33798053188292376
1998-04-10,0.4,0.4,0.4,0.4,0.26,0.20486852908140138,0.36513147091859854
1998-04-13,0.4,0.4,0.4,0.4,0.26299999999999996,0.1991697995513309,0.38583020044866906
1998-04-15,0.45,0.45,0.4,0.45,0.267,0.1879068983430167,0.4170931016569833
1998-04-16,0.45,0.45,0.45,0.45,0.27099999999999996,0.1832307990440539,0.4417692009559461
1998-04-17,0.45,0.45,0.4,0.45,0.275,0.18304617817696084,0.46195382182303907
1998-04-20,0.45,0.45,0.4,0.4,0.278,0.19082952521231053,0.46917047478768936
1998-04-21,0.4,0.45,0.4,0.4,0.28099999999999997,0.20032934179029566,0.4746706582097044
1998-04-22,0.4,0.45,0.4,0.45,0.285,0.20804617817696075,0.4869538218230392
1998-04-23,0.4,0.45,0.4,0.45,0.289,0.2188030566116812,0.49619694338831877
1998-04-24,0.45,0.45,0.4,0.4,0.292,0.23481794124745148,0.4951820587525485
1998-04-27,0.4,0.45,0.4,0.45,0.296,0.24081057269789172,0.5041894273021083
1998-04-28,0.45,0.45,0.45,0.45,0.3,0.24861066293364512,0.5113893370663549
1998-04-29,0.45,0.45,0.45,0.45,0.304,0.2582307990440536,0.5167692009559464
1998-04-30,0.45,0.45,0.4,0.45,0.308,0.26976338184733994,0.5202366181526601
1998-05-05,0.5,0.55,0.5,0.55,0.314,0.2726511567483236,0.5423488432516765
1998-05-06,0.55,0.6,0.55,0.55,0.321,0.2808295252123102,0.5591704747876899
1998-05-08,0.55,0.55,0.55,0.55,0.327,0.293803056611681,0.5711969433883193
1998-05-11,0.55,0.55,0.5,0.55,0.333,0.311622814228932,0.578377185771068
1998-05-12,0.5,0.5,0.45,0.5,0.338,0.3384712594746664,0.5715287405253335
1998-05-13,0.45,0.45,0.45,0.45,0.342,0.35436906354272174,0.5656309364572785
1998-05-14,0.45,0.5,0.4,0.45,0.34700000000000003,0.36054541774836835,0.5644545822516317
1998-05-15,0.45,0.45,0.45,0.45,0.35200000000000004,0.36712790301408416,0.5628720969859159
1998-05-18,0.45,0.5,0.45,0.5,0.358,0.3686913065831942,0.5663086934168058
1998-05-19,0.5,0.55,0.5,0.55,0.364,0.36749373452277645,0.5775062654772236
1998-05-20,0.55,0.6,0.55,0.6,0.371,0.36123441930468986,0.59876558069531
1998-05-21,0.65,0.65,0.55,0.6,0.37799999999999995,0.3660305640384248,0.613969435961575
1998-05-22,0.55,0.65,0.55,0.65,0.386,0.3668728019824019,0.6381271980175982
1998-05-25,0.6,0.65,0.6,0.65,0.39399999999999996,0.3642647673104472,0.6607352326895527
1998-05-26,0.65,0.65,0.65,0.65,0.40199999999999997,0.3653041784404274,0.6796958215595728
1998-05-27,0.75,0.75,0.7,0.75,0.412,0.3634840099683837,0.7165159900316164
1998-05-28,0.75,0.75,0.7,0.7,0.42100000000000004,0.36761027468700336,0.7373897253129966
1998-05-29,0.65,0.7,0.65,0.7,0.43,0.375540936236598,0.7544590637634021
1998-06-01,0.7,0.75,0.7,0.7,0.439,0.3870020375851486,0.7679979624148514
1998-06-02,0.7,0.7,0.65,0.65,0.44699999999999995,0.40432622573373944,0.7706737742662606
1998-06-03,0.6,0.65,0.6,0.65,0.455,0.4081804833705178,0.7768195166294822
1998-06-04,0.65,0.7,0.65,0.65,0.46299999999999997,0.41261027468700306,0.7823897253129968
1998-06-05,0.65,0.65,0.6,0.6,0.47,0.4164674129035515,0.7835325870964485
1998-06-08,0.6,0.6,0.55,0.55,0.47600000000000003,0.4164674129035515,0.7835325870964485
1998-06-09,0.55,0.6,0.55,0.55,0.482,0.423394033130047,0.7816059668699531
1998-06-10,0.55,0.55,0.55,0.55,0.488,0.4411933713382362,0.7738066286617636
1998-06-11,0.45,0.5,0.45,0.5,0.49200000000000005,0.4523862148695185,0.7676137851304814
1998-06-12,0.5,0.5,0.5,0.5,0.496,0.46426476731044675,0.7607352326895533
1998-06-15,0.45,0.45,0.45,0.45,0.499,0.45238621486951863,0.7676137851304816
1998-06-16,0.4,0.5,0.4,0.5,0.503,0.4443888012492876,0.7706111987507125
1998-06-17,0.5,0.5,0.5,0.5,0.507,0.4324380917677959,0.7725619082322042
1998-06-18,0.5,0.5,0.5,0.5,0.511,0.42135711541628107,0.773642884583719
1998-06-19,0.45,0.45,0.45,0.45,0.514,0.40147510070451764,0.7735248992954824
1998-06-22,0.4,0.4,0.4,0.4,0.516,0.37368851053784014,0.7763114894621598
1998-06-23,0.45,0.45,0.4,0.4,0.518,0.35005805746659163,0.7749419425334083
1998-06-24,0.45,0.45,0.45,0.45,0.52,0.3488863840995483,0.7461136159004517
1998-06-25,0.5,0.5,0.45,0.45,0.521,0.34554093623659826,0.7244590637634019
1998-06-26,0.45,0.5,0.45,0.5,0.523,0.3517949192431139,0.6982050807568861
1998-06-29,0.5,0.5,0.45,0.45,0.523,0.35732607381257475,0.6676739261874252
1998-06-30,0.45,0.45,0.4,0.4,0.5219999999999999,0.3513216116649964,0.6486783883350036
1998-07-01,0.45,0.45,0.4,0.4,0.521,0.3503293417902955,0.6246706582097045
1998-07-02,0.45,0.45,0.4,0.4,0.521,0.35579208786414895,0.5942079121358512
1998-07-03,0.4,0.4,0.4,0.4,0.521,0.35690647324508695,0.573093526754913
