Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-05-15,16.45,16.45,16.45,16.45,,,
1995-05-26,17.7,17.7,17.7,17.7,,,
1995-05-29,18.05,18.05,18.05,18.05,,,
1995-05-30,17.9,17.9,17.9,17.9,,,
1995-06-01,16.7,16.7,16.7,16.7,,,
1995-06-05,16.7,17.5,16.7,17.5,,,
1995-06-06,18.6,20.1,18.6,20.1,,,
1995-06-07,20.1,20.85,19.55,20.1,,,
1995-06-08,20.1,20.1,19.9,19.9,,,
1995-06-09,20.25,20.25,19.9,19.9,,,
1995-06-12,20.6,20.6,18.8,18.8,,,
1995-06-16,17.65,17.65,17.65,17.65,,,
1995-06-21,18.6,18.6,18.6,18.6,,,
1995-06-22,18.15,18.6,18.15,18.6,,,
1995-06-23,19.0,19.0,19.0,19.0,,,
1995-06-26,18.6,18.6,18.6,18.6,,,
1995-06-27,18.25,18.6,18.25,18.6,,,
1995-07-10,17.2,17.2,17.2,17.2,,,
1995-07-11,16.9,17.1,16.9,17.1,,,
1995-07-12,17.1,17.1,17.1,17.1,,16.010697243507476,20.544302756492524
1995-07-13,17.1,17.1,17.1,17.1,,16.13681412619508,20.483185873804924
1995-08-03,18.6,18.6,18.6,18.6,,16.197784445780066,20.512215554219935
1995-08-24,18.4,18.4,18.4,18.4,,16.220028959788923,20.52497104021108
1995-08-25,18.4,18.6,18.4,18.6,,16.2646354636719,20.550364536328097
1995-08-28,18.4,18.6,18.4,18.6,,16.515575637812898,20.489424362187105
1995-08-31,18.6,18.6,18.4,18.6,,16.627330931866602,20.487669068133393
1995-09-01,18.4,19.55,18.4,19.55,,16.67828671083692,20.38171328916308
1995-09-05,19.55,19.55,19.35,19.4,,16.744541413469634,20.24545858653037
1995-09-14,18.6,18.7,18.6,18.6,,16.807331632286207,20.052668367713792
1995-09-15,18.6,18.8,18.6,18.8,,16.89371321942178,19.85628678057822
1995-09-18,18.6,19.35,18.6,19.35,,16.868507959946545,19.936492040053455
1995-09-19,18.7,18.95,18.6,18.6,,16.955800689684484,19.944199310315515
1995-09-20,17.5,17.5,17.5,17.5,,16.844142851602108,19.94585714839789
1995-09-22,16.7,16.7,16.4,16.4,,16.500829840543588,20.06917015945642
1995-09-25,16.0,16.0,16.0,16.0,,16.115072955981358,20.154927044018645
1995-10-10,19.15,19.9,19.9,19.9,,16.038372932500295,20.361627067499704
1995-10-11,19.9,19.9,19.55,19.9,,15.978172733377438,20.551827266622563
1995-10-12,19.9,19.9,19.35,19.9,,16.05973460794226,20.740265392057736
1995-10-13,19.9,20.55,19.55,20.55,,16.129362457283346,21.015637542716657
1995-10-16,20.55,19.9,19.75,19.9,,16.3039898686882,21.1210101313118
1995-10-17,19.9,19.7,19.55,19.6,,16.523725457919685,21.151274542080312
1995-10-19,19.6,19.9,19.55,19.9,,16.544205567241665,21.260794432758335
1995-10-25,19.15,19.15,19.15,19.15,,16.591517847405978,21.288482152594018
1995-10-26,19.15,19.15,18.3,19.15,,16.622903749267824,21.31209625073218
1995-10-27,19.15,18.6,18.4,18.6,,16.62290374926782,21.312096250732175
1995-10-30,19.0,19.0,18.8,18.8,,16.637802538675924,21.317197461324074
1995-10-31,18.05,18.2,18.05,18.2,,16.561966108018296,21.258033891981704
1995-11-01,18.2,18.2,18.2,18.2,,16.493374401707747,21.206625598292256
1995-11-13,17.9,17.1,16.55,16.6,,16.187928469711316,21.312071530288684
1995-11-14,16.6,16.45,16.0,16.45,18.489,15.872203486560679,21.392796513439322
1995-11-15,15.6,15.6,14.85,14.85,18.456999999999997,15.196618009347782,21.618381990652217
1995-11-16,14.85,15.05,15.05,15.05,18.404,14.688457071305011,21.771542928694988
1995-11-17,15.05,15.05,14.9,14.9,18.340999999999998,14.266765828895096,21.933234171104907
1995-11-20,14.9,15.05,14.95,15.05,18.284,14.029438671466547,22.03556132853345
1995-11-21,15.15,15.3,14.9,14.9,18.248,13.82926321540674,22.125736784593258
1995-11-23,13.4,13.5,13.4,13.4,18.166,13.136274864592753,22.168725135407247
1995-11-24,13.05,13.35,13.05,13.35,18.031000000000002,12.55232558698673,22.09767441301327
1995-11-28,13.2,13.9,13.2,13.9,17.907,12.180089485373665,21.869910514626334
1995-11-29,12.65,13.05,12.65,13.05,17.77,11.792883679860202,21.507116320139794
1995-11-30,13.05,13.05,13.0,13.05,17.633000000000003,11.449270411266873,21.16572958873312
1995-12-01,13.95,13.95,13.95,13.95,17.535999999999998,11.318174049710812,20.731825950289185
1995-12-08,16.3,17.1,16.3,16.9,17.521,11.509284287289146,20.240715712710852
1995-12-11,16.55,16.6,16.55,16.6,17.480999999999998,11.643397431260187,19.851602568739818
1995-12-12,16.9,16.9,16.55,16.6,17.441,11.813302301413867,19.426697698586132
1995-12-13,16.7,16.85,16.4,16.4,17.389,11.946500832638044,19.07349916736196
1995-12-14,16.55,16.65,16.55,16.65,17.35,12.139876741590339,18.66512325840966
1995-12-15,16.55,16.55,16.4,16.4,17.306,12.283886455818458,18.341113544181542
1995-12-18,16.4,16.7,16.4,16.4,17.29,12.459878247503234,17.985121752496767
1995-12-19,16.4,16.05,15.25,15.25,17.253,12.469189331436727,17.840810668563275
1995-12-20,15.25,16.45,15.6,16.0,17.231,12.485103065969204,17.779896934030802
1995-12-21,15.9,16.0,15.9,16.0,17.209,12.518591934460133,17.86140806553987
1995-12-22,16.4,16.4,15.25,15.45,17.146,12.53701625420897,17.88298374579103
1995-12-26,16.0,16.5,16.0,16.2,17.102,12.570714901358082,17.97928509864192
1995-12-27,15.6,16.4,15.6,16.4,17.058,12.59481676536493,18.090183234635067
1995-12-28,16.4,16.65,16.4,16.4,17.014,12.638959110669036,18.196040889330966
1995-12-29,16.55,16.65,16.55,16.65,16.975,12.920676777824871,18.239323222175123
1996-01-01,16.85,16.85,16.55,16.55,16.915,13.267072904218052,18.212927095781946
1996-01-02,16.55,16.55,16.4,16.4,16.855,13.535080191124726,18.19491980887527
1996-01-09,15.7,16.2,15.7,15.7,16.797,14.076021676581194,17.918978323418802
1996-01-10,16.1,16.4,16.0,16.2,16.744999999999997,14.825615496594509,17.484384503405494
1996-01-15,15.1,15.1,15.1,15.1,16.66,15.230624780143446,17.19437521985655
1996-01-16,15.1,15.25,14.9,14.9,16.586,15.023862512611617,17.201137487388387
1996-01-17,14.9,15.05,14.55,14.55,16.527,14.74317637168267,17.276823628317324
1996-01-18,14.55,14.55,14.35,14.35,16.486,14.462789319464715,17.332210680535283
1996-01-19,14.55,14.7,14.55,14.7,16.46,14.303622759693251,17.32137724030674
1996-01-22,14.1,14.1,13.5,13.5,16.331999999999997,13.880057450892709,17.429942549107288
1996-01-23,13.5,13.7,13.4,13.4,16.201999999999998,13.502659264497542,17.50734073550246
1996-01-25,13.05,13.05,13.05,13.05,16.065,13.103345267574124,17.571654732425877
1996-01-29,12.1,12.1,12.1,12.1,15.896,12.516919077459363,17.843080922540633
1996-01-30,11.4,11.4,11.1,11.15,15.721000000000002,11.755995059848185,18.119004940151815
1996-01-31,9.3,8.95,8.5,8.9,15.507,10.45604172507019,18.70895827492981
1996-02-02,9.65,10.4,9.65,10.4,15.317,9.82627055126884,18.833729448731155
1996-02-12,10.25,11.55,10.25,11.35,15.161,9.486484665830488,18.688515334169512
