Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-09,85.0,85.0,85.0,85.0,,,
1995-01-16,77.5,77.5,77.5,77.5,,,
1995-01-17,80.0,80.0,80.0,80.0,,,
1995-01-18,81.0,81.0,81.0,81.0,,,
1995-01-19,82.5,82.5,82.5,82.5,,,
1995-01-20,82.5,82.5,82.5,82.5,,,
1995-01-24,75.0,77.5,75.0,77.5,,,
1995-01-25,75.5,75.5,75.5,75.5,,,
1995-01-30,80.0,80.0,80.0,80.0,,,
1995-01-31,79.0,80.0,79.0,80.0,,,
1995-02-01,77.5,77.5,75.5,76.5,,,
1995-02-17,73.25,73.25,73.25,73.25,,,
1995-02-20,72.45,72.45,66.0,66.0,,,
1995-02-21,72.4,72.5,65.0,65.0,,,
1995-02-23,69.0,69.0,66.5,66.5,,,
1995-02-24,72.5,72.5,72.5,72.5,,,
1995-02-28,71.0,71.0,70.0,70.35,,,
1995-03-01,72.5,76.25,72.5,76.25,,,
1995-03-02,72.5,72.5,68.5,68.5,,,
1995-03-03,70.05,70.05,70.0,70.0,,63.269513708332376,87.36548629166761
1995-03-07,71.5,71.5,71.25,71.25,,63.36457081435232,85.89542918564767
1995-03-09,70.5,70.5,70.0,70.0,,62.89292550446417,85.61707449553582
1995-03-10,67.5,67.5,67.5,67.5,,62.22342756403824,85.03657243596176
1995-03-14,68.5,68.5,66.0,66.0,,61.54145836909393,84.21854163090606
1995-03-15,67.5,70.0,65.0,65.5,,61.19009322238568,82.86990677761432
1995-03-16,65.0,65.0,62.5,62.5,,60.573654658785536,81.48634534121446
1995-03-20,65.0,65.0,63.5,63.5,,59.82303990079355,80.83696009920645
1995-03-21,62.5,63.5,62.5,62.5,,58.91444088038641,80.44555911961358
1995-03-22,65.0,65.0,65.0,65.0,,59.14642622609333,78.71357377390665
1995-03-23,62.5,65.0,62.5,63.75,,59.58586999593182,76.64913000406816
1995-03-24,65.0,65.0,63.0,63.0,,59.59451836205804,75.29048163794195
1995-03-27,62.5,63.5,62.5,62.65,,59.287342538295356,74.53765746170463
