Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-06-19,358.0,370.0,355.15,362.15,,,
2006-06-20,355.0,357.9,345.05,352.2,,,
2006-06-21,348.0,370.95,341.0,368.75,,,
2006-06-22,379.1,384.0,360.0,364.7,,,
2006-06-23,355.0,374.0,347.0,370.4,,,
2006-06-25,375.0,375.0,363.5,366.15,,,
2006-06-26,365.0,372.0,357.05,360.85,,,
2006-06-27,363.0,370.0,350.5,361.0,,,
2006-06-28,361.0,367.0,351.0,362.25,,,
2006-06-29,353.5,379.0,353.5,359.5,,,
2006-06-30,373.3,375.0,366.25,370.0,,,
2006-07-03,370.05,371.9,361.25,369.9,,,
2006-07-04,365.2,373.0,361.0,364.4,,,
2006-07-05,368.0,372.0,360.0,370.0,,,
2006-07-06,367.0,371.5,364.4,367.05,,,
2006-07-07,371.9,378.25,361.0,371.0,,,
2006-07-10,372.5,391.5,370.0,389.65,,,
2006-07-11,386.0,389.0,380.0,382.25,,,
2006-07-12,374.0,391.0,374.0,382.85,,,
2006-07-13,383.4,384.0,366.0,371.3,,350.8723295025755,385.7626704974245
2006-07-14,363.65,370.0,358.0,362.0,,350.85353987774164,385.7664601222585
2006-07-17,362.0,362.0,351.0,355.45,,351.5966226348938,385.34837736510616
2006-07-18,359.0,364.9,351.0,360.4,,350.79915735864637,385.31084264135353
2006-07-19,364.95,365.85,345.4,353.9,,349.17519284954744,385.85480715045253
2006-07-20,359.9,370.0,358.5,364.45,,348.8817059865065,385.55329401349354
2006-07-21,364.0,364.0,354.25,357.85,,347.995321219433,385.60967878056704
2006-07-24,357.0,369.0,348.1,365.25,,348.4065341585367,385.63846584146324
2006-07-25,367.0,374.8,365.05,369.45,,349.02199093096095,385.86800906903903
2006-07-26,372.0,384.0,367.0,382.6,,349.0275105276727,387.89748947232727
2006-07-27,384.0,400.0,384.0,395.65,,347.8498164240579,392.69018357594206
2006-07-28,395.25,398.0,381.25,385.65,,347.6031935351127,394.5018064648873
2006-07-31,404.8,404.8,380.0,383.05,,347.6668458151205,395.75315418487946
2006-08-01,383.0,392.9,377.1,391.2,,347.76692890073446,398.33307109926557
2006-08-02,392.0,396.8,390.0,393.05,,347.4463206842057,400.95867931579426
2006-08-03,396.0,405.0,390.05,399.15,,347.07940491229175,404.53559508770826
2006-08-04,399.0,408.0,398.5,400.7,,346.6069595169512,407.97804048304874
2006-08-07,402.0,403.0,390.0,392.3,,346.49289268158606,408.35710731841397
2006-08-08,392.5,405.7,386.0,404.65,,345.33875613564624,411.7512438643537
2006-08-09,408.1,410.5,401.1,404.0,,344.5246396109502,414.6803603890497
2006-08-10,395.65,410.0,395.65,409.05,,344.29453338319195,418.68546661680807
2006-08-11,408.5,415.0,400.1,405.05,,346.2141505559591,421.07084944404085
2006-08-14,407.0,414.5,403.5,413.0,,349.36985797292897,423.670142027071
2006-08-16,417.0,420.0,410.1,413.7,,352.2780458699467,426.0919541300533
2006-08-17,413.7,417.8,408.05,414.6,,357.61926377418575,426.8207362258143
2006-08-18,406.55,414.45,406.55,409.65,,361.6575686458185,427.3024313541814
