Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,11.35,11.35,11.35,11.35,,,
1995-01-03,10.65,10.65,10.65,10.65,,,
1995-01-09,10.65,10.65,10.65,10.65,,,
1995-01-10,10.35,10.35,10.35,10.35,,,
1995-01-12,10.35,10.35,10.35,10.35,,,
1995-01-17,10.35,10.35,10.25,10.25,,,
1995-01-19,10.35,10.35,10.35,10.35,,,
1995-01-20,10.45,10.45,10.45,10.45,,,
1995-01-23,10.15,10.35,9.85,9.85,,,
1995-01-24,9.8,10.0,9.8,10.0,,,
1995-01-25,10.0,10.0,10.0,10.0,,,
1995-01-27,9.5,9.5,9.45,9.45,,,
1995-01-30,9.65,9.65,9.65,9.65,,,
1995-02-01,9.95,9.95,9.65,9.65,,,
1995-02-02,9.4,9.4,9.4,9.4,,,
1995-02-06,9.35,9.35,9.35,9.35,,,
1995-02-07,9.35,9.35,9.15,9.15,,,
1995-02-09,9.0,9.0,9.0,9.0,,,
1995-02-10,9.0,9.15,9.0,9.15,,,
1995-02-14,8.65,8.85,8.65,8.75,,8.558756022993613,11.221243977006388
1995-02-15,8.65,8.65,8.55,8.6,,8.489889921422176,11.015110078577827
1995-02-16,8.5,8.5,8.5,8.5,,8.338780062043234,10.951219937956765
1995-02-21,7.65,7.65,7.65,7.65,,7.999427587140882,10.99057241285912
1995-02-23,8.0,8.35,8.0,8.35,,7.872916939813978,10.917083060186021
1995-03-01,8.35,8.5,8.35,8.5,,7.800054624865471,10.80494537513453
1995-03-03,8.25,8.25,8.25,8.25,,7.699354175929351,10.70564582407065
1995-03-06,8.15,8.15,8.15,8.15,,7.621276019771301,10.563723980228701
1995-03-07,8.15,8.15,8.0,8.0,,7.568346840710106,10.371653159289895
1995-03-08,8.35,8.35,8.35,8.35,,7.5316064011947494,10.25839359880525
1995-03-09,8.25,8.25,8.2,8.2,,7.512959590007881,10.097040409992118
1995-03-10,8.0,8.15,7.95,8.15,,7.519593333160787,9.905406666839214
1995-03-14,7.8,7.8,7.35,7.35,,7.321840226719548,9.893159773280452
1995-03-15,7.65,7.65,7.55,7.6,,7.242629631459774,9.767370368540224
1995-03-21,7.05,7.05,7.05,7.05,,7.074190535413487,9.675809464586514
1995-03-23,7.35,7.35,6.8,6.85,,6.871971393475084,9.623028606524914
1995-03-24,6.85,7.15,6.75,7.0,,6.749534784746001,9.510465215253998
1995-03-27,6.85,6.85,6.75,6.85,,6.609334770707458,9.42066522929254
1995-03-28,7.15,7.15,7.15,7.15,,6.546588818656048,9.298411181343951
1995-03-29,7.15,7.45,7.15,7.45,,6.575557053587628,9.099442946412372
1995-03-30,7.45,7.45,7.0,7.0,,6.512005016590413,8.987994983409587
1995-03-31,7.35,8.0,7.0,7.0,,6.456739928951778,8.88326007104822
1995-04-03,7.35,7.35,7.15,7.3,,6.4521435413025925,8.767856458697405
1995-04-04,7.35,7.35,7.35,7.35,,6.431565881810081,8.758434118189918
