Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2004-04-07,35.4,42.2,35.4,40.3,,,
2004-04-08,40.75,48.4,40.6,48.4,,,
2004-04-12,51.65,58.1,50.0,57.95,,,
2004-04-13,59.15,65.0,50.5,51.85,,,
2004-04-15,53.65,56.25,52.2,53.95,,,
2004-04-16,54.9,55.9,53.5,53.8,,,
2004-04-17,54.15,54.3,52.15,52.5,,,
2004-04-19,52.9,55.3,50.65,51.05,,,
2004-04-20,51.65,51.9,49.6,50.1,,,
2004-04-21,50.15,51.95,49.2,50.6,,,
2004-04-22,50.8,54.4,50.65,53.5,,,
2004-04-23,54.15,55.6,52.9,53.4,,,
2004-04-27,51.5,52.5,49.65,50.05,,,
2004-04-28,50.1,52.3,49.8,51.25,,,
2004-04-29,51.2,51.65,50.55,50.75,,,
2004-04-30,50.8,51.4,49.45,49.95,,,
2004-05-03,49.8,50.2,48.0,48.9,,,
2004-05-04,49.0,50.8,49.0,49.3,,,
2004-05-05,49.65,50.25,49.25,49.6,,,
2004-05-06,50.3,51.2,49.75,50.05,,44.15093300123232,57.57406699876768
2004-05-07,50.15,50.3,48.75,48.9,,46.64602142392815,55.93897857607186
2004-05-10,48.3,48.75,46.65,46.9,,46.332154028304856,56.10284597169513
2004-05-11,46.5,46.5,43.0,43.75,,45.61451092324302,55.40048907675698
2004-05-12,44.15,44.55,41.65,42.6,,44.059587909363565,56.03041209063644
2004-05-13,41.25,46.15,39.15,45.25,,43.555371496467394,55.664628503532604
2004-05-14,47.75,49.0,42.6,43.5,,42.79379710731857,55.39620289268143
2004-05-17,43.55,43.75,34.8,41.5,,41.607087375950364,55.48291262404964
2004-05-18,41.75,49.1,41.3,44.65,,41.18395492206777,55.26604507793223
2004-05-19,45.75,47.5,45.25,46.0,,40.97007278872962,55.069927211270375
2004-05-20,46.4,47.8,42.9,43.3,,40.41418730935176,54.89581269064824
2004-05-21,43.3,43.75,42.1,43.35,,40.21538746408959,54.079612535910414
2004-05-24,43.9,45.55,43.5,45.0,,40.398828816618106,53.05617118338189
2004-05-25,45.4,45.4,43.75,44.0,,40.18729630645852,52.662703693541474
2004-05-26,44.15,45.15,44.15,44.35,,40.2137360584799,51.946263941520094
2004-05-27,44.1,44.4,43.5,43.9,,40.2303873741602,51.24461262583979
2004-05-28,43.75,44.25,42.35,42.55,,40.061368988067734,50.673631011932265
2004-05-31,42.25,42.25,39.9,40.45,,39.47990501840137,50.41009498159865
2004-06-01,40.9,41.9,40.25,40.45,,39.08921468563343,49.915785314366566
2004-06-02,40.5,41.5,40.5,41.1,,39.026760085471594,49.12823991452841
2004-06-03,41.6,42.6,40.45,40.65,,39.18670285825951,48.028297141740495
2004-06-04,40.4,41.0,39.15,40.2,,39.26172204535643,47.08327795464357
2004-06-07,40.6,41.1,39.8,40.1,,39.10828690756094,46.55671309243907
2004-06-08,40.6,41.95,40.3,41.05,,38.917988057127545,46.477011942872466
2004-06-09,41.5,44.05,41.5,43.75,,38.94685084325735,46.563149156742654
2004-06-10,43.9,45.0,43.3,44.3,,39.00824331790834,46.406756682091654
2004-06-11,44.5,44.55,43.0,43.3,,39.006190861239816,46.388809138760195
2004-06-14,43.3,43.3,41.25,41.45,,39.0002099269092,46.3897900730908
2004-06-15,41.3,42.8,41.3,42.5,,39.008927070671035,46.16607292932896
2004-06-16,42.75,43.4,42.3,42.5,,39.21449486521597,45.610505134784034
2004-06-17,42.5,42.65,41.0,41.3,46.196999999999996,39.106276610862494,45.518723389137506
2004-06-18,41.65,41.65,40.4,40.7,46.205,38.93550668946521,45.42449331053479
2004-06-21,40.8,41.5,40.1,40.25,46.04200000000001,38.876682516504765,45.008317483495226
2004-06-22,40.2,40.4,39.15,39.3,45.669,38.58571323092388,44.82928676907611
2004-06-23,39.65,40.3,39.25,39.5,45.422,38.45604844278212,44.47395155721789
2004-06-24,39.8,40.0,38.9,39.6,45.135,38.361547491348254,44.138452508651746
2004-06-25,39.75,41.15,39.45,40.7,44.873000000000005,38.3264178189623,43.9885821810377
2004-06-28,40.9,42.45,40.9,42.15,44.666000000000004,38.39880429490819,44.08619570509181
2004-06-29,42.25,43.0,41.9,42.25,44.49,38.48048778329926,44.18451221670073
2004-06-30,42.6,42.75,41.6,41.75,44.323,38.509331583453196,44.22066841654679
2004-07-01,41.8,42.2,41.3,41.85,44.148,38.58218819698381,44.26781180301619
2004-07-02,41.65,42.55,41.4,42.0,43.918,38.72194470252797,44.30805529747203
2004-07-05,42.1,43.15,42.1,42.5,43.7,38.89214324874694,44.377856751253056
2004-07-06,42.5,43.2,42.5,43.0,43.559000000000005,38.93903488147412,44.52596511852588
2004-07-07,42.9,44.15,42.9,43.8,43.41,38.93385361813572,44.53614638186428
2004-07-08,44.55,47.9,43.2,44.15,43.278,38.95460962123792,44.50039037876209
2004-07-09,41.65,46.3,40.8,45.85,43.196,38.587311294862374,45.12268870513762
2004-07-12,45.65,46.95,45.65,46.1,43.14,38.31797189886281,45.85702810113719
2004-07-13,45.8,46.8,41.75,46.15,43.077,38.08576895072894,46.454231049271066
2004-07-14,46.65,49.9,46.4,46.7,43.019000000000005,37.84939244636416,47.110607553635845
2004-07-15,47.1,47.1,45.85,46.25,42.943000000000005,37.84040905601945,47.614590943980545
2004-07-16,46.5,46.6,45.75,45.85,42.882,38.00587515616186,47.964124843838135
2004-07-19,45.9,46.0,44.45,44.7,42.837999999999994,38.34667106917588,48.06832893082412
2004-07-20,44.8,45.8,44.2,44.65,42.855999999999995,38.94178921734276,48.008210782657244
2004-07-21,44.15,45.25,44.1,44.4,42.891999999999996,39.57862977163102,47.861370228368976
2004-07-22,44.8,45.2,43.85,44.05,42.868,40.28300981405162,47.601990185948374
2004-07-23,44.25,44.65,43.6,43.75,42.873000000000005,40.76508772045365,47.42491227954635
2004-07-26,43.75,45.4,43.5,44.7,42.937,41.01306079665,47.431939203350005
2004-07-27,45.45,46.6,45.45,45.75,42.958999999999996,41.26003957877764,47.53496042122236
2004-07-28,46.2,46.2,44.45,44.7,42.93299999999999,41.664777055412856,47.42522294458715
2004-07-29,44.65,45.25,44.4,44.55,42.958,42.09351691734857,47.266483082651426
2004-07-30,44.65,45.6,44.65,45.05,42.992000000000004,42.57225432169073,47.092745678309264
2004-08-02,45.2,45.6,44.65,44.75,42.98700000000001,42.967255404707046,46.922744595292954
2004-08-03,44.65,45.1,43.9,44.05,42.988,43.18861112907167,46.80638887092834
2004-08-04,44.0,44.5,43.1,43.3,42.967,43.08194870195854,46.86305129804147
2004-08-05,43.6,44.1,43.5,43.7,42.963,43.00821568762403,46.891784312375975
2004-08-06,43.75,44.5,43.65,44.0,42.992,42.91998259770126,46.79501740229875
2004-08-09,44.15,44.2,43.4,43.9,43.06100000000001,42.85778406478926,46.63721593521075
2004-08-10,44.1,45.15,43.95,44.6,43.144,42.899065069993895,46.44093493000611
2004-08-11,44.9,45.5,44.15,44.3,43.208,43.05439239595973,46.04560760404026
2004-08-12,44.4,44.9,43.75,44.0,43.275,43.157337592540074,45.717662407459926
2004-08-13,44.1,44.5,43.8,43.95,43.35,43.233078624023506,45.4519213759765
2004-08-16,44.1,44.7,43.8,44.25,43.433,43.22292254267609,45.41707745732391
2004-08-17,44.6,44.8,43.5,43.7,43.486000000000004,43.15353666397495,45.39146333602504
2004-08-18,43.8,44.05,42.6,42.85,43.468,42.91072260743541,45.47927739256459
2004-08-19,43.05,43.8,42.95,43.4,43.45,42.83075203901834,45.49424796098166
