Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-03,31.7,31.7,31.7,31.7,,,
1995-01-04,31.25,31.25,31.25,31.25,,,
1995-01-05,30.6,30.6,30.6,30.6,,,
1995-01-06,30.6,30.6,30.6,30.6,,,
1995-01-10,29.8,29.8,29.8,29.8,,,
1995-01-11,30.4,30.4,30.4,30.4,,,
1995-01-17,29.6,29.6,29.6,29.6,,,
1995-01-18,29.2,29.2,29.2,29.2,,,
1995-01-19,29.6,29.6,29.6,29.6,,,
1995-01-23,27.9,27.9,27.9,27.9,,,
1995-01-24,27.1,27.1,27.0,27.0,,,
1995-01-25,28.3,28.3,28.3,28.3,,,
1995-01-27,27.1,27.1,27.1,27.1,,,
1995-01-31,27.25,27.25,26.75,27.0,,,
1995-02-01,26.75,26.75,26.7,26.7,,,
1995-02-02,26.7,26.7,26.7,26.7,,,
1995-02-03,26.6,26.7,26.6,26.7,,,
1995-02-06,25.8,25.8,25.8,25.8,,,
1995-02-07,25.7,25.7,25.7,25.7,,,
1995-02-08,25.4,25.8,25.4,25.8,,24.43864224429692,32.30635775570308
1995-02-09,25.8,25.8,25.4,25.4,,24.23825854872228,31.876741451277717
1995-02-10,25.8,25.8,25.2,25.8,,24.15166022855873,31.418339771441264
1995-02-13,25.05,25.05,25.05,25.05,,23.932105284948097,31.08289471505191
1995-02-14,25.0,25.0,24.55,24.55,,23.70840014781276,30.701599852187243
1995-02-15,24.2,24.2,24.2,24.2,,23.406552375803983,30.44344762419602
1995-02-16,24.2,24.2,24.05,24.2,,23.29899415910614,29.931005840893857
1995-02-17,24.2,24.2,24.0,24.0,,23.136628703954386,29.533371296045615
1995-02-20,24.2,24.2,23.75,23.75,,22.964814106508385,29.160185893491615
1995-02-21,23.3,23.3,23.3,23.3,,22.892684124289165,28.60231587571084
1995-02-22,22.55,23.3,22.55,22.9,,22.561789738948647,28.433210261051357
1995-02-24,24.55,25.0,23.3,23.3,,22.309891484935648,28.315108515064352
1995-02-28,23.4,23.4,22.5,23.4,,22.300918411792157,27.834081588207848
1995-03-01,23.75,23.75,23.2,23.3,,22.177504873298723,27.57749512670128
1995-03-02,23.75,23.75,23.75,23.75,,22.165882505650217,27.264117494349783
1995-03-03,24.55,24.55,24.55,24.55,,22.235675252768644,26.979324747231352
1995-03-06,25.0,25.0,24.75,24.9,,22.35240002661841,26.682599973381592
1995-03-07,25.0,25.0,24.55,24.7,,22.50706466796312,26.32793533203688
1995-03-08,24.5,24.75,24.5,24.55,,22.556491846293852,26.15350815370615
1995-03-09,24.55,25.0,24.55,25.0,,22.606462569327437,26.033537430672563
1995-03-10,24.9,25.6,24.9,25.4,,22.651076906456463,25.948923093543538
1995-03-13,24.2,24.2,24.2,24.2,,22.674382583535497,25.8056174164645
1995-03-14,25.0,25.8,25.0,25.8,,22.6743825835355,25.805617416464504
1995-03-15,25.8,25.8,24.3,24.3,,22.683332984477097,25.721667015522904
1995-03-16,24.4,24.4,23.75,23.75,,22.639734164595943,25.68526583540406
1995-03-20,22.5,22.5,22.5,22.5,,22.383400332267705,25.771599667732296
1995-03-21,22.55,22.55,22.55,22.55,,22.170344300682242,25.81965569931776
1995-03-23,23.55,23.55,23.55,23.55,,22.137037918497985,25.807962081502023
1995-03-24,23.3,23.3,23.3,23.3,,22.092157448175822,25.807842551824177
1995-03-27,24.2,24.55,24.05,24.55,,22.162642252979794,25.862357747020205
1995-03-28,24.4,24.55,24.4,24.55,25.85,22.307941257997218,25.88205874200278
1995-03-29,23.4,23.7,23.4,23.7,25.69,22.356681425188697,25.873318574811307
1995-03-30,23.7,23.7,23.3,23.3,25.531,22.34257546874432,25.877424531255677
1995-03-31,23.3,23.75,23.3,23.5,25.389,22.369691756470143,25.870308243529852
1995-04-03,23.75,23.75,23.3,23.3,25.243,22.31587596263228,25.87912403736772
1995-04-04,23.3,23.75,23.3,23.3,25.112999999999996,22.232633135072216,25.83736686492779
1995-04-07,23.75,23.75,23.3,23.5,24.975,22.195640912944036,25.734359087055964
1995-04-10,23.3,23.55,23.3,23.3,24.849,22.137340072410822,25.652659927589177
1995-04-11,23.25,23.25,23.1,23.1,24.726999999999997,22.05898825231849,25.586011747681507
1995-04-12,23.05,23.05,22.9,23.0,24.595,22.014169020112824,25.430830979887176
1995-04-18,23.3,23.3,22.9,22.9,24.495,22.047466044514486,25.14753395548552
1995-04-19,22.9,23.05,22.9,23.05,24.416,21.998776972319444,25.081223027680554
1995-04-20,22.9,22.9,22.9,22.9,24.307999999999996,22.25579436725216,24.534205632747845
1995-04-21,22.9,23.3,22.9,23.3,24.232000000000003,22.28824229735219,24.401757702647807
1995-04-24,23.25,23.3,23.25,23.3,24.158,22.283028980682857,24.36197101931714
1995-04-26,23.3,23.3,22.9,23.3,24.09,22.397384790078792,24.32761520992121
1995-04-27,22.8,22.8,22.8,22.8,24.011999999999997,22.448489852925622,24.301510147074378
1995-04-28,22.3,22.75,22.3,22.75,23.932999999999996,22.37194564836104,24.29805435163896
1995-05-02,21.8,22.0,21.7,21.7,23.851,22.045432874297934,24.46456712570207
