Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,32.0,32.0,32.0,32.0,,,
1995-01-04,32.0,32.0,32.0,32.0,,,
1995-01-09,31.4,31.4,31.4,31.4,,,
1995-01-10,29.45,29.45,29.45,29.45,,,
1995-01-17,30.5,30.5,30.5,30.5,,,
1995-01-18,30.0,30.0,30.0,30.0,,,
1995-01-30,30.35,30.35,30.35,30.35,,,
1995-02-24,29.0,29.0,28.5,28.8,,,
1995-03-01,29.5,29.9,29.5,29.9,,,
1995-03-02,30.0,30.0,29.4,29.45,,,
1995-03-10,30.0,31.9,30.0,31.9,,,
1995-03-27,27.5,27.5,27.5,27.5,,,
1995-03-28,28.25,28.25,28.25,28.25,,,
1995-04-04,25.4,25.4,25.4,25.4,,,
1995-04-05,27.5,27.5,27.25,27.25,,,
1995-04-07,29.0,29.0,29.0,29.0,,,
1995-04-10,29.0,29.0,29.0,29.0,,,
1995-04-12,26.5,26.5,26.5,26.5,,,
1995-04-17,27.9,28.0,27.9,28.0,,,
1995-04-19,27.0,27.0,27.0,27.0,,25.401206013739966,32.96379398626003
1995-05-02,27.5,27.5,27.5,27.5,,25.350595072240644,32.564404927759355
1995-05-03,25.0,25.0,25.0,25.0,,24.88696311174824,32.32803688825175
1995-05-05,24.0,25.0,24.0,24.7,,24.406933383945137,32.138066616054864
1995-05-09,24.8,25.1,24.8,25.1,,23.984321794512425,32.125678205487574
1995-05-10,25.0,25.0,25.0,25.0,,23.661952429916134,31.898047570083868
1995-05-12,24.5,25.0,24.5,25.0,,23.372521006794223,31.68747899320578
1995-05-15,24.25,25.0,24.25,25.0,,23.181236650702903,31.343763349297095
1995-05-17,24.5,24.5,24.5,24.5,,22.855719195164255,31.23928080483575
1995-05-18,24.0,24.0,24.0,24.0,,22.57556143336132,30.92943856663869
1995-05-19,24.5,24.5,24.5,24.5,,22.415359686386005,30.594640313614
1995-05-25,23.5,23.5,22.5,22.5,,22.42330845870337,29.646691541296637
1995-05-29,22.5,22.5,22.0,22.5,,21.91717047129041,29.652829528709596
1995-05-30,22.5,22.5,22.5,22.5,,21.54722019645244,29.447779803547558
1995-06-02,22.5,22.5,22.5,22.5,,21.18047852859136,29.524521471408637
1995-06-05,23.0,23.5,23.0,23.0,,20.94205564089932,29.337944359100682
1995-06-06,22.5,23.5,22.5,23.5,,21.026538137002774,28.70346186299723
1995-06-07,23.7,24.0,23.7,24.0,,21.29407749024621,27.935922509753794
1995-06-08,24.0,24.0,24.0,24.0,,21.281524382284694,27.69847561771531
1995-06-09,25.0,25.0,25.0,25.0,,21.572215402357454,27.107784597642546
1995-06-13,23.5,23.5,23.5,23.5,,21.67690201580659,26.65309798419341
1995-06-15,22.6,22.6,22.6,22.6,,21.892193303098164,25.94780669690184
1995-06-16,22.5,22.5,22.0,22.0,,21.637445317539513,25.902554682460494
1995-06-19,22.0,22.5,22.0,22.0,,21.410471664422,25.859528335578002
1995-06-22,22.6,22.6,22.6,22.6,,21.352125802408413,25.667874197591583
1995-06-23,22.0,22.0,21.4,21.4,,21.09619277088598,25.563807229114023
1995-06-26,21.8,21.9,21.4,21.4,,20.90266239390041,25.397337606099587
1995-06-28,21.2,21.2,21.2,21.2,,20.728738850831345,25.191261149168657
1995-06-29,20.2,20.2,20.05,20.05,,20.277103155672055,25.197896844327946
1995-06-30,20.5,20.5,19.3,19.5,,19.735550708345393,25.289449291654606
1995-07-03,19.6,19.6,19.6,19.6,25.586,19.36699641395989,25.168003586040115
1995-07-05,19.1,19.3,19.1,19.3,25.331999999999997,18.92196112961452,25.293038870385484
1995-07-10,19.8,19.8,19.8,19.8,25.088,18.631924096294018,25.313075903705982
1995-07-11,19.5,19.5,19.5,19.5,24.85,18.316343760048994,25.328656239951002
1995-07-12,19.5,19.5,19.5,19.5,24.651000000000003,18.034184166367197,25.3108158336328
1995-07-14,20.4,20.4,20.4,20.4,24.449,17.918127095983582,25.16687290401642
1995-07-17,21.0,21.0,20.75,20.75,24.264,17.886193384114442,24.92380661588556
1995-07-21,20.5,20.5,20.5,20.5,24.066999999999997,17.91220111012072,24.54779888987928
1995-07-24,21.5,21.5,21.5,21.5,23.921,18.048531449531993,24.16146855046801
1995-07-25,21.5,21.5,20.5,20.55,23.733999999999995,18.43209187072847,23.33290812927153
1995-08-14,20.2,20.2,20.2,20.2,23.549,18.585469833332805,22.849530166667197
1995-08-23,19.0,19.0,19.0,19.0,23.291,18.467698331392977,22.607301668607025
1995-08-28,18.0,18.0,18.0,18.0,23.101,18.096758816232544,22.578241183767453
1995-09-01,18.0,18.3,18.0,18.3,22.901999999999997,17.8789738724546,22.4260261275454
1995-09-05,18.3,18.3,17.5,17.5,22.743999999999996,17.635811064247502,22.1591889357525
1995-09-12,17.5,17.5,17.5,17.5,22.548999999999996,17.317133427707486,22.087866572292516
1995-09-13,18.5,18.5,18.5,18.5,22.338999999999995,17.25549286662589,21.859507133374112
1995-09-15,19.0,19.0,18.5,18.5,22.128999999999998,17.21117151146408,21.633828488535926
1995-09-18,19.0,19.0,19.0,19.0,21.978999999999996,17.17157951438334,21.568420485616663
1995-09-20,18.5,18.5,18.5,18.5,21.788999999999998,17.088786027859783,21.551213972140218
1995-09-21,18.8,18.8,18.8,18.8,21.625,17.041250348967072,21.518749651032923
1995-09-25,19.0,20.0,19.0,20.0,21.475,17.053165625682958,21.576834374317038
1995-09-26,19.4,20.0,19.4,19.9,21.372999999999998,17.053214657389514,21.586785342610487
1995-09-27,20.0,20.6,20.0,20.6,21.291000000000004,17.037547495557106,21.712452504442894
1995-09-28,20.6,20.6,20.4,20.5,21.199,17.03411819834737,21.81588180165263
1995-09-29,20.7,20.8,20.7,20.8,21.115,17.013431305558175,21.876568694441826
1995-10-10,21.5,22.2,22.0,22.0,21.055,16.878456747968443,22.136543252031558
1995-10-11,22.0,22.0,21.8,22.0,20.995,16.756069295681243,22.408930704318756
1995-10-12,22.0,22.0,22.0,22.0,20.945,16.701920068756987,22.51307993124301
1995-10-16,22.0,22.1,22.0,22.1,20.906999999999996,16.59663473662845,22.77336526337155
1995-10-17,22.1,22.4,22.0,22.2,20.861,16.502975592637018,23.067024407362982
1995-10-18,22.2,22.1,22.05,22.1,20.852999999999998,16.524000493035903,23.3559995069641
1995-10-19,21.95,21.95,21.95,21.95,20.842,16.737054982683965,23.537945017316034
1995-10-20,21.95,22.2,21.7,22.2,20.836,16.92843509246125,23.73656490753875
1995-10-23,22.2,22.2,22.2,22.2,20.83,17.3425520200034,23.7924479799966
1995-10-26,22.0,22.2,22.0,22.0,20.81,17.85342119695197,23.731578803048023
1995-10-27,22.0,22.2,22.2,22.2,20.784000000000002,18.183808799041014,23.771191200958985
1995-10-30,22.2,22.4,22.25,22.4,20.752,18.56896495379034,23.77603504620966
1995-10-31,22.4,21.9,21.9,21.9,20.71,18.90759172482921,23.727408275170788
1995-11-01,21.9,22.1,22.1,22.1,20.651999999999997,19.465525331695456,23.52947466830454
1995-11-10,21.0,21.0,21.0,21.0,20.601999999999997,19.99561160109452,23.219388398905483
1995-11-13,20.1,20.1,20.1,20.1,20.552000000000003,20.02111695371612,23.20388304628388
1995-11-14,20.1,19.4,19.4,19.4,20.5,19.871974915429902,23.303025084570095
1995-11-16,19.6,19.6,19.5,19.5,20.45,19.62399410877465,23.441005891225355
