Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-02-03,361.65,400.0,355.05,356.4,,,
2017-02-06,360.35,362.6,341.05,343.05,,,
2017-02-07,343.35,345.3,333.75,335.6,,,
2017-02-08,337.65,344.95,332.9,340.85,,,
2017-02-09,341.65,342.9,335.7,336.7,,,
2017-02-10,338.25,341.35,334.35,335.0,,,
2017-02-13,336.35,336.8,332.85,333.95,,,
2017-02-14,334.95,339.65,332.65,334.65,,,
2017-02-15,334.0,336.65,325.9,327.25,,,
2017-02-16,327.65,329.05,320.35,321.3,,,
2017-02-17,323.65,326.0,321.35,322.4,,,
2017-02-20,322.4,325.45,321.05,323.7,,,
2017-02-21,325.0,331.65,323.9,328.1,,,
2017-02-22,327.35,328.9,323.75,324.75,,,
2017-02-23,324.95,325.6,321.65,321.95,,,
2017-02-27,320.65,322.9,317.45,318.05,,,
2017-02-28,318.35,321.65,314.0,315.65,,,
2017-03-01,315.0,318.0,310.65,311.35,,,
2017-03-02,312.85,314.15,305.0,305.75,,,
2017-03-03,305.0,305.65,295.5,296.9,,299.29772652633017,354.03727347366987
2017-03-06,296.65,318.25,296.65,315.75,,300.74580182438757,348.5241981756125
2017-03-07,318.0,321.6,312.05,312.9,,300.3519712349786,345.9030287650214
2017-03-08,313.3,314.5,307.0,307.95,,298.80108898571166,344.68891101428835
2017-03-09,307.95,320.35,305.8,315.0,,299.1892756319433,341.71572436805667
2017-03-10,316.65,318.3,310.85,312.2,,299.11360129655026,339.34139870344967
2017-03-14,318.35,320.0,313.35,315.0,,299.4725574935283,336.9824425064716
2017-03-15,315.45,320.55,313.35,315.1,,300.0215887374175,334.5484112625824
2017-03-16,316.65,317.45,314.35,315.1,,301.0915708466421,331.5234291533579
2017-03-17,315.4,319.55,313.8,314.65,,301.3518705934174,330.0031294065826
2017-03-20,316.65,316.65,311.65,312.8,,301.1262469116613,329.37875308833867
2017-03-21,313.8,315.65,312.0,312.95,,301.03329130300614,328.5267086969939
2017-03-22,313.35,313.35,310.35,311.45,,301.0154629354469,327.319537064553
2017-03-23,312.75,314.05,310.9,312.55,,301.98318763102236,324.7968123689776
2017-03-24,313.2,317.75,312.0,315.0,,302.7786628348054,323.02633716519466
2017-03-27,315.2,316.0,311.4,311.9,,303.2126517198344,321.58734828016554
2017-03-28,312.95,314.65,312.05,313.1,,303.3472697958897,320.95773020411036
2017-03-29,313.2,324.0,312.35,317.1,,303.2758159736851,321.17418402631495
2017-03-30,319.35,323.7,318.35,322.25,,302.77829817983115,322.7617018201689
2017-03-31,322.6,327.0,321.7,325.9,,302.7557284832053,324.79927151679476
2017-04-03,328.0,329.25,325.05,325.8,,306.10389697910705,324.3411030208929
2017-04-05,328.6,330.35,326.0,326.45,,305.34484196430003,326.17015803569996
2017-04-06,326.65,326.95,322.7,323.6,,305.4091338895201,327.17586611047994
2017-04-07,323.35,334.8,322.0,330.65,,305.5208245172031,329.3341754827969
2017-04-10,331.65,345.0,331.65,343.35,,302.30605393798896,335.3839460620111
2017-04-11,345.0,350.35,339.35,347.9,,299.9285533177788,341.3314466822212
2017-04-12,348.65,351.6,341.7,349.25,,298.21840688914796,346.4665931108521
2017-04-13,346.65,350.0,342.0,343.2,,298.1700947779149,349.3249052220851
2017-04-17,341.65,343.0,336.0,337.15,,298.94326444014166,350.7567355598584
2017-04-18,339.65,339.65,332.1,332.6,,300.0860713364856,351.4089286635144
2017-04-19,334.65,338.0,329.35,333.45,324.108,301.6559414944662,351.9040585055337
2017-04-20,335.25,339.2,333.35,336.95,323.719,303.34947977983825,352.6105202201618
