Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1999-11-24,61.05,61.05,61.05,61.05,,,
1999-11-25,65.95,65.95,65.95,65.95,,,
1999-11-26,71.2,71.2,69.15,71.2,,,
1999-11-29,76.75,76.9,74.1,76.9,,,
1999-11-30,80.9,83.1,78.0,83.1,,,
1999-12-01,89.7,89.7,84.8,89.7,,,
1999-12-02,92.5,93.75,83.9,84.6,,,
1999-12-03,86.5,88.0,82.5,86.75,,,
1999-12-06,84.0,87.45,79.8,80.6,,,
1999-12-07,78.5,86.8,75.0,81.45,,,
1999-12-08,85.0,87.95,80.1,84.8,,,
1999-12-09,82.3,91.6,82.3,91.6,,,
1999-12-10,97.5,98.9,93.25,98.9,,,
1999-12-13,105.75,106.8,98.0,104.15,,,
1999-12-14,101.5,104.0,95.8,96.85,,,
1999-12-15,96.25,96.25,89.1,89.8,,,
1999-12-16,88.25,96.95,88.0,96.95,,,
1999-12-17,99.2,102.5,97.5,98.75,,,
1999-12-20,98.25,99.5,90.85,92.8,,,
1999-12-21,91.75,92.2,86.25,87.95,,63.74536268398105,108.63963731601893
1999-12-22,93.75,94.95,93.5,94.95,,68.52671829003147,107.24828170996854
1999-12-23,95.0,102.6,95.0,102.6,,72.25706481535371,107.18293518464628
1999-12-24,100.25,103.0,94.45,95.4,,75.6534476195845,106.20655238041549
1999-12-27,90.25,95.0,87.8,87.85,,77.59701483481028,105.35798516518973
1999-12-28,88.2,92.45,85.25,90.1,,78.49422247818701,105.16077752181299
1999-12-29,93.45,97.3,91.75,97.3,,78.69749298765231,105.71750701234768
1999-12-30,105.0,105.1,101.4,105.1,,79.05838441448363,107.40661558551638
2000-01-03,112.5,113.5,112.5,113.5,,78.10778169325451,111.0322183067455
2000-01-04,122.5,122.5,107.75,121.4,,77.5327167331901,115.6872832668099
2000-01-05,112.75,126.0,112.0,115.4,,78.8715789691924,117.74342103080761
2000-01-06,123.5,123.5,106.25,110.6,,80.51481357872714,118.68018642127285
2000-01-07,103.75,108.75,101.75,101.75,,81.38136168959281,118.82863831040717
2000-01-10,108.75,108.75,93.7,94.25,,80.97121975931678,118.77378024068322
2000-01-11,97.25,97.5,86.7,87.15,,79.415345693472,118.62965430652801
2000-01-12,90.0,93.25,84.15,87.45,,78.28649333080666,118.81850666919335
2000-01-13,89.45,90.0,84.5,85.8,,77.64858541972391,119.05641458027607
2000-01-14,85.25,85.25,81.5,83.7,,75.97389877000067,119.40610122999935
2000-01-17,85.0,88.25,83.15,84.9,,74.55263245868072,119.44236754131929
2000-01-18,84.0,84.0,78.25,82.15,,73.11378905427861,119.8162109457214
2000-01-19,83.0,88.7,82.5,88.7,,73.20652169336611,119.79847830663391
2000-01-20,93.5,95.8,88.3,89.6,,72.74193047323374,119.72806952676626
2000-01-21,89.95,94.75,88.75,93.35,,72.44340195079387,119.10159804920612
2000-01-24,93.5,93.75,85.9,85.9,,71.55330458744763,119.04169541255237
2000-01-25,79.5,84.85,79.5,83.9,,71.03147939298043,119.16852060701956
2000-01-27,88.0,90.5,86.75,87.95,,70.81100914438898,119.17399085561101
2000-01-28,87.75,90.5,85.0,89.5,,70.32629386702844,118.87870613297154
2000-01-31,87.75,87.75,82.35,82.35,,69.12795654335709,117.80204345664292
2000-02-01,82.5,84.0,79.75,82.4,,69.03248633310544,114.78751366689455
2000-02-02,88.25,89.0,84.15,86.0,,71.85185025617324,108.42814974382676
2000-02-03,86.25,86.3,81.25,82.95,90.35600000000001,74.37799673320953,102.65700326679047
2000-02-04,84.3,88.5,83.75,86.15,90.85799999999999,77.69538926227791,96.89461073772209
2000-02-07,85.0,86.2,81.25,84.3,91.225,79.57802662438714,93.26697337561286
2000-02-08,84.0,85.0,79.0,80.3,91.40700000000001,79.41698504824389,92.0330149517561
2000-02-09,83.5,85.6,82.0,83.45,91.538,79.19105893620214,91.88894106379784
2000-02-10,82.5,83.0,82.0,82.35,91.52300000000001,78.84997249832075,91.72002750167924
2000-02-11,82.5,82.7,78.5,81.1,91.351,78.35609074959696,91.74390925040304
2000-02-14,79.0,80.0,74.6,74.6,91.15100000000001,76.43760748574775,92.75239251425225
2000-02-15,72.5,74.25,68.65,68.95,90.795,73.05621344567584,94.53878655432416
2000-02-16,70.0,74.5,70.0,74.5,90.67299999999999,71.90907017870214,94.92092982129785
2000-02-17,78.7,80.45,75.25,80.45,90.65299999999999,71.70469047779616,94.30030952220383
2000-02-18,86.9,86.9,82.5,84.8,90.65299999999999,71.8577026491476,93.66729735085241
2000-02-21,86.1,86.1,78.0,78.45,90.39,72.17402634055387,91.86097365944616
2000-02-22,76.95,76.95,72.25,72.9,89.87,70.90602807981391,91.82897192018608
2000-02-23,75.0,78.7,73.1,74.3,89.273,70.0414056265449,91.7335943734551
2000-02-24,75.9,79.4,71.35,75.7,88.85,69.72878591252069,90.82121408747932
2000-02-25,75.0,75.0,70.3,71.2,88.47800000000001,69.01014111461572,89.70985888538428
2000-02-28,72.5,72.5,65.55,67.2,87.883,67.028778631495,90.17622136850498
2000-02-29,62.0,70.0,62.0,64.0,87.18799999999999,64.55838499224265,90.80661500775736
2000-03-01,65.5,69.1,64.5,69.1,86.71400000000001,63.792239719366535,89.88276028063348
2000-03-02,74.5,74.65,71.25,74.65,86.448,63.67121626689671,89.17378373310329
2000-03-03,75.5,75.5,68.75,68.75,85.92399999999999,63.22851931192687,87.87648068807312
2000-03-06,69.75,72.25,63.25,65.15,85.175,62.1574549723111,87.0325450276889
2000-03-07,66.5,66.5,59.95,64.4,84.555,60.874790035300066,86.72520996469993
2000-03-08,65.25,69.55,65.25,68.95,84.177,60.8195822936183,85.3304177063817
2000-03-09,73.5,73.5,63.9,64.9,83.67299999999999,60.246375165730726,84.1586248342693
2000-03-10,62.5,63.4,61.75,62.4,82.975,59.31631529765885,83.21868470234115
2000-03-13,58.8,59.1,57.4,57.4,82.021,57.07091497983838,83.74408502016162
2000-03-14,53.8,55.75,52.8,54.2,80.835,54.49011719066111,84.8498828093389
2000-03-15,53.05,58.5,49.9,58.2,79.571,53.03040555105176,84.67959444894825
2000-03-16,55.5,56.25,53.6,53.6,78.335,51.27926978670314,83.74573021329687
2000-03-21,53.7,53.7,49.3,49.45,77.112,49.74089197473943,81.74910802526058
2000-03-22,52.2,53.4,51.5,52.7,76.131,48.6146774511046,80.30032254889542
2000-03-23,54.4,54.5,48.75,50.0,75.246,46.745256637521805,79.87974336247822
2000-03-24,49.0,50.45,48.75,50.25,74.508,45.40996533252891,78.81003466747109
2000-03-27,48.75,49.75,47.25,49.0,73.73899999999999,44.38326588281704,77.16673411718298
2000-03-28,51.7,51.7,47.1,49.5,73.013,43.33104623085414,76.04895376914588
2000-03-29,50.25,52.0,50.0,51.25,72.36399999999999,42.51995317692806,75.26504682307194
2000-03-30,50.25,50.9,47.8,48.55,71.637,41.31002802219065,74.92997197780936
2000-03-31,46.5,49.5,46.1,48.4,70.962,40.57519111335073,73.59480888664928
2000-04-03,49.25,49.25,44.55,44.95,70.087,40.45612856283896,70.74387143716103
2000-04-04,42.2,42.2,41.35,41.35,69.122,39.1376387393804,69.3223612606196
2000-04-05,39.0,40.0,38.05,38.15,68.018,37.08645035065536,68.67354964934466
2000-04-06,37.25,40.25,35.1,38.9,67.078,35.61132032727669,67.5986796727233
2000-04-07,41.1,42.05,41.1,42.05,66.241,35.974873395546624,64.54512660445339
