Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2002-12-23,8.4,9.95,8.35,9.75,,,
2002-12-24,9.9,10.4,9.8,9.9,,,
2002-12-26,10.0,10.15,9.75,9.8,,,
2002-12-27,10.1,10.3,9.8,10.05,,,
2002-12-30,10.0,10.0,9.75,9.8,,,
2002-12-31,9.8,10.1,9.75,9.95,,,
2003-01-01,10.0,10.05,9.8,9.9,,,
2003-01-02,9.95,10.05,9.75,9.8,,,
2003-01-03,9.9,10.0,9.8,9.9,,,
2003-01-06,9.95,9.95,9.25,9.3,,,
2003-01-07,9.3,9.55,9.0,9.45,,,
2003-01-08,9.45,9.6,9.45,9.5,,,
2003-01-09,9.5,10.4,9.5,10.25,,,
2003-01-10,10.4,10.9,10.1,10.5,,,
2003-01-13,10.6,10.9,10.45,10.75,,,
2003-01-14,10.85,11.0,10.6,10.85,,,
2003-01-15,10.95,11.15,10.8,11.05,,,
2003-01-16,11.0,11.3,11.0,11.15,,,
2003-01-17,11.2,11.3,10.95,11.1,,,
2003-01-20,11.15,11.85,11.15,11.75,,8.88394778154183,11.56605221845817
2003-01-21,12.1,13.75,11.85,13.55,,8.433480115509417,12.396519884490585
2003-01-22,13.8,14.55,13.2,13.5,,8.199631662210548,12.990368337789453
2003-01-23,13.5,14.4,13.2,13.95,,8.010881906680757,13.594118093319244
2003-01-24,13.95,14.15,12.9,13.05,,8.01266917779987,13.892330822200131
2003-01-27,13.3,13.3,12.05,12.3,,8.131409816651727,14.02359018334827
2003-01-28,12.4,13.05,12.25,12.9,,8.221756139736481,14.228243860263518
2003-01-29,13.1,13.55,12.9,13.1,,8.33832795885153,14.43167204114847
2003-01-30,13.2,13.3,12.75,12.8,,8.521678698983813,14.548321301016188
2003-01-31,12.8,12.85,12.3,12.45,,8.7256425674801,14.599357432519898
2003-02-03,12.6,13.05,12.55,13.0,,9.07574870106319,14.61925129893681
2003-02-04,13.15,14.15,13.15,13.55,,9.42461812329878,14.68038187670122
2003-02-05,13.6,13.85,13.3,13.45,,9.845618035423877,14.654381964576123
2003-02-06,13.4,13.85,13.05,13.75,,10.12637340776578,14.723626592234222
2003-02-07,13.85,13.85,13.3,13.35,,10.423162290933096,14.711837709066906
2003-02-10,13.4,13.4,12.65,12.75,,10.700863812308736,14.634136187691265
2003-02-11,12.8,12.95,12.4,12.45,,10.97120136460525,14.523798635394748
2003-02-12,12.4,12.75,12.1,12.45,,11.221691345067374,14.413308654932628
2003-02-14,12.55,12.55,11.7,11.75,,11.365156549492276,14.329843450507724
2003-02-17,12.15,12.95,12.0,12.8,,11.697793557156201,14.167206442843797
2003-02-18,13.2,13.3,12.95,13.1,,11.89689433631082,14.10310566368918
2003-02-19,13.15,13.6,13.1,13.45,,11.901526538718793,14.088473461281206
2003-02-20,13.5,14.0,13.25,13.5,,11.901526538718793,14.088473461281206
2003-02-21,13.8,13.8,13.3,13.45,,11.947927801499642,13.992072198500356
2003-02-24,13.6,14.15,13.5,13.95,,11.90281864409574,14.127181355904261
2003-02-25,14.0,14.0,13.15,13.2,,11.997926556211864,14.122073443788134
2003-02-26,13.3,13.4,12.6,12.7,,11.977864894609587,14.122135105390415
2003-02-27,12.7,13.25,12.45,13.05,,11.97562265037852,14.119377349621479
2003-02-28,13.4,13.45,12.35,12.5,,11.937883989461918,14.12711601053808
2003-03-03,12.85,13.5,12.85,13.1,,12.005158899695468,14.124841100304534
2003-03-04,13.2,13.2,12.7,12.85,11.925,11.993606950369248,14.12139304963075
2003-03-05,12.75,13.05,12.4,12.9,11.988,11.985010121506749,14.064989878493252
2003-03-06,13.0,13.2,12.65,12.85,12.047,11.9721556685811,14.017844331418898
2003-03-07,12.6,12.65,12.35,12.45,12.1,11.944633383749462,13.915366616250541
2003-03-10,12.45,12.7,11.9,12.0,12.139000000000001,11.815260521028847,13.909739478971154
2003-03-11,11.65,12.3,11.65,12.25,12.188000000000002,11.755652165578686,13.919347834421314
2003-03-12,12.3,12.7,12.2,12.35,12.235999999999999,11.742219978025933,13.922780021974066
2003-03-13,12.4,12.7,12.3,12.55,12.289000000000001,11.753707924388689,13.921292075611312
2003-03-17,12.25,12.55,12.1,12.25,12.338,11.864673414496876,13.860326585503126
2003-03-19,12.5,12.85,12.5,12.65,12.392999999999999,11.852949470756151,13.85705052924385
2003-03-20,12.7,13.5,12.5,13.4,12.475,11.843816472759901,13.896183527240098
2003-03-21,13.7,13.7,13.35,13.5,12.556,11.840141942979702,13.904858057020295
2003-03-22,13.6,13.8,13.6,13.7,12.64,11.821083369662094,13.94391663033791
2003-03-24,13.7,13.75,13.0,13.15,12.698,11.831680974961571,13.903319025038432
2003-03-25,12.9,13.6,12.7,13.5,12.758,11.891943973591442,13.798056026408556
2003-03-26,13.6,13.95,13.4,13.5,12.812999999999999,11.874526563150063,13.845473436849936
2003-03-27,13.5,13.75,13.4,13.55,12.866999999999997,11.873716865980935,13.931283134019065
2003-03-28,13.6,15.2,13.45,14.65,12.939,11.690306841878996,14.274693158121
2003-03-31,14.6,14.9,14.1,14.3,13.002,11.675331811352542,14.469668188647457
2003-04-01,14.4,14.85,14.3,14.5,13.07,11.606176637655926,14.678823362344078
2003-04-02,14.7,15.6,14.7,15.4,13.142999999999999,11.440591122218636,15.099408877781363
2003-04-03,15.8,15.8,15.3,15.5,13.182,11.327879296342434,15.472120703657566
2003-04-04,15.6,16.05,15.4,15.9,13.23,11.218433072713498,15.886566927286502
2003-04-07,16.1,16.55,15.6,16.4,13.279000000000002,11.154862847149445,16.345137152850555
2003-04-08,16.4,16.9,16.0,16.75,13.353000000000002,11.204114140636392,16.77088585936361
2003-04-09,16.8,17.8,16.35,16.75,13.442,11.296144126834413,17.128855873165588
2003-04-10,16.45,18.25,16.35,17.85,13.540999999999999,11.287191626700547,17.687808373299454
2003-04-11,18.1,18.55,17.1,17.55,13.63,11.396388461037322,18.07861153896268
2003-04-15,17.8,17.85,16.7,17.35,13.721000000000002,11.67234226753891,18.312657732461084
2003-04-16,17.5,17.9,17.15,17.65,13.825,11.91205432095752,18.572945679042483
2003-04-17,17.5,18.35,17.4,17.6,13.917,12.081809769264005,18.823190230735996
2003-04-21,17.65,17.95,17.4,17.55,13.997,12.291590076159373,19.01840992384063
2003-04-22,17.65,17.75,17.2,17.35,14.075,12.5250235849896,19.1499764150104
2003-04-23,17.45,17.45,16.4,16.45,14.128999999999998,12.933902686293889,19.07109731370611
2003-04-24,16.5,17.35,15.95,16.9,14.2,13.31842166227083,19.02657833772917
2003-04-25,16.95,17.3,16.75,17.0,14.285,13.767317427920393,18.927682572079608
2003-04-28,16.95,17.7,16.85,17.6,14.388,14.276815357026,18.823184642974
2003-04-29,17.75,18.1,16.9,17.15,14.482000000000001,14.573246346249675,18.776753653750326
2003-04-30,17.1,17.9,16.95,17.65,14.6,15.022646044031871,18.662353955968133
2003-05-02,17.9,18.45,17.7,18.35,14.711000000000002,15.460499243703204,18.609500756296796
2003-05-05,18.55,19.3,18.45,19.0,14.829,15.604802235094857,18.82519776490514
2003-05-06,19.1,19.8,19.1,19.25,14.945,15.760141298234934,19.044858701765065
2003-05-07,19.35,19.55,18.35,18.45,15.043999999999999,15.985774764178602,19.074225235821398
2003-05-08,18.55,18.7,18.3,18.4,15.142999999999999,16.13565980058782,19.124340199412185
2003-05-09,18.5,19.1,18.45,18.7,15.238,16.220507526299556,19.234492473700442
2003-05-12,18.95,20.15,18.85,19.6,15.366000000000001,16.219992025537515,19.520007974462487
2003-05-13,19.6,20.5,19.4,19.8,15.508,16.105617817057638,19.829382182942364
2003-05-14,19.8,20.8,19.8,20.5,15.657,15.94969948603206,20.280300513967937
2003-05-15,20.75,22.0,20.75,21.75,15.842,15.662311623496839,21.00768837650316
2003-05-16,21.8,22.6,20.5,21.05,16.001,15.593877951897625,21.416122048102373
2003-05-19,21.3,21.3,19.85,20.0,16.144000000000002,15.673372438270999,21.576627561729
2003-05-20,19.9,21.2,19.35,21.05,16.307000000000002,15.70518260040394,21.89481739959606
2003-05-21,21.2,22.2,20.85,21.15,16.473,15.804737885692521,22.175262114307476
2003-05-22,21.4,21.9,20.2,20.45,16.633,16.178687993581462,22.20131200641854
2003-05-23,20.55,21.0,20.05,20.15,16.796,16.515809007051676,22.189190992948323
2003-05-26,20.3,20.95,19.6,20.75,16.965999999999998,16.867016254208856,22.212983745791142
2003-05-27,21.2,21.95,20.8,20.95,17.138,17.12817430272327,22.28682569727673
2003-05-28,21.3,24.3,21.0,23.9,17.365,17.13008373325994,22.959916266740063
2003-05-29,23.85,24.55,23.05,23.35,17.587,17.289155242024698,23.3708447579753
2003-05-30,23.35,23.95,22.7,23.15,17.797,17.43104274772982,23.70895725227018
2003-06-02,21.8,21.8,18.6,19.65,17.922,17.519016836262395,23.685983163737603
2003-06-03,19.3,21.5,19.3,20.8,18.067999999999998,17.66243737255928,23.69756262744072
2003-06-04,21.15,21.9,20.95,21.8,18.23,17.98311341185998,23.711886588140022
2003-06-05,22.4,22.75,20.5,20.9,18.385,18.349830608551134,23.595169391448866
2003-06-06,20.6,21.15,20.45,20.75,18.53,18.67554830824763,23.474451691752368
2003-06-09,21.0,21.3,20.55,20.65,18.673,18.81973849631392,23.435261503686075
2003-06-10,19.95,20.2,17.5,18.5,18.772000000000002,18.534576991512047,23.590423008487953
2003-06-11,19.1,20.1,18.75,19.6,18.871,18.41643240541896,23.618567594581044
2003-06-12,20.0,20.2,19.05,19.3,18.971,18.209777280627875,23.58022271937213
2003-06-13,19.5,19.6,18.7,18.9,19.059,17.960026699832774,23.61497330016723
2003-06-16,19.15,19.15,18.35,18.45,19.12,17.71182511657849,23.708174883421513
2003-06-17,18.65,19.4,18.3,18.95,19.189,17.51139028760378,23.69860971239622
2003-06-18,19.1,19.1,17.85,18.0,19.231,17.1562876174016,23.738712382598404
2003-06-19,18.15,18.9,18.1,18.65,19.276,16.969553098036076,23.74544690196392
2003-06-20,18.8,19.1,18.7,18.85,19.317999999999998,16.838551077694497,23.746448922305504
2003-06-23,19.0,19.4,18.75,18.85,19.36,16.692394700883387,23.70260529911661
2003-06-24,18.8,19.05,18.65,18.85,19.38,16.55662744335395,23.628372556646053
2003-06-25,19.05,19.85,18.9,19.6,19.421,16.826792575569684,22.928207424430312
2003-06-26,19.75,20.25,19.25,19.4,19.462,17.100852854139465,22.259147145860535
2003-06-27,19.55,19.85,19.1,19.25,19.494,17.486026579255583,21.483973420744416
2003-06-30,19.45,19.55,19.0,19.1,19.523999999999997,17.452959102306256,21.462040897693743
2003-07-01,19.4,19.6,19.05,19.4,19.561,17.485181470028166,21.289818529971832
2003-07-02,19.65,19.9,19.35,19.5,19.604,17.742630724538692,20.80236927546131
2003-07-03,19.65,21.15,19.4,20.95,19.694000000000003,17.733811121927214,20.816188878072783
2003-07-04,21.2,21.75,20.85,21.05,19.776999999999997,17.683893232886142,20.896106767113857
2003-07-07,20.55,20.85,20.4,20.55,19.848,17.69619044896055,20.873809551039457
2003-07-08,20.85,20.95,20.05,20.15,19.899,17.778963765467854,20.956036234532146
2003-07-09,20.45,20.9,20.1,20.35,19.963,17.758984076306323,21.05101592369368
2003-07-10,20.2,20.8,19.9,20.2,20.014,17.767270387920583,21.132729612079416
2003-07-11,20.4,21.4,20.4,20.9,20.065,17.76999408634912,21.330005913650883
2003-07-14,21.15,22.1,21.15,21.8,20.121,17.752470202448905,21.682529797551098
2003-07-15,22.0,22.4,20.9,21.45,20.165,17.76802479686509,21.916975203134903
2003-07-16,21.65,22.6,21.45,22.45,20.245,17.871444846709593,22.258555153290402
2003-07-17,22.65,23.0,21.2,21.5,20.307000000000002,18.0307629441003,22.3842370558997
2003-07-18,21.2,21.7,20.6,21.25,20.358,18.201848397116144,22.45315160288385
2003-07-21,21.65,21.65,20.8,20.95,20.385,18.409142966698383,22.45585703330162
2003-07-22,20.5,21.1,20.1,20.2,20.393,18.613482741022054,22.386517258977946
2003-07-23,20.9,20.9,20.0,20.55,20.394000000000002,18.70917267103444,22.385827328965565
2003-07-24,20.8,21.0,20.6,20.8,20.375,18.858231312223715,22.376768687776284
2003-07-25,20.6,22.25,20.6,22.1,20.396,19.005427027510652,22.514572972489344
2003-07-28,22.3,22.4,21.65,21.8,20.432,19.267311939881214,22.522688060118792
2003-07-29,22.0,22.0,20.75,21.3,20.437,19.51508697847864,22.464913021521365
2003-07-30,21.0,22.35,20.8,21.95,20.453,19.756470579421546,22.468529420578456
2003-07-31,22.4,22.8,21.45,21.65,20.477,19.77311975689686,22.52188024310314
2003-08-01,21.75,22.4,21.5,22.05,20.515,19.76646246693062,22.628537533069377
2003-08-04,21.8,22.0,21.55,21.75,20.535,19.84021014738817,22.67478985261183
2003-08-05,21.75,22.1,20.4,20.55,20.526999999999997,19.915815671483664,22.639184328516336
2003-08-06,19.0,21.2,19.0,20.4,20.457,19.92532000282815,22.634679997171844
2003-08-07,20.6,20.9,20.35,20.8,20.406,20.031596390229453,22.588403609770545
2003-08-08,21.0,21.7,20.85,21.55,20.374,20.074980665568148,22.610019334431854
2003-08-11,21.4,21.75,21.1,21.45,20.41,20.0745264055059,22.5754735944941
2003-08-12,21.65,21.75,20.95,21.05,20.415,20.050156751244188,22.55984324875581
2003-08-13,21.2,22.05,20.9,21.9,20.417,20.10704125052986,22.44795874947014
2003-08-14,22.15,23.2,22.15,22.55,20.45,20.030445420436745,22.62955457956326
2003-08-18,22.7,22.85,21.5,21.9,20.473,20.039077403690822,22.68592259630918
2003-08-19,22.2,22.9,21.75,21.85,20.497,20.081931601558015,22.733068398441983
2003-08-20,22.05,22.5,21.6,22.4,20.575,20.249980665568142,22.785019334431855
2003-08-21,22.85,23.4,22.6,22.85,20.64,20.318095992574,22.946904007426
2003-08-22,23.1,23.8,22.95,23.55,20.725,20.261288454900516,23.27871154509949
2003-08-25,25.0,25.1,21.65,22.55,20.798,20.250022498671065,23.334977501328936
2003-08-26,23.15,24.1,22.7,23.95,20.908,20.080514821222724,23.719485178777273
2003-08-27,24.3,26.3,24.2,25.85,21.046,19.617210647837652,24.637789352162343
2003-08-28,26.45,26.6,25.1,25.45,21.195,19.388744058914472,25.21625594108553
2003-08-29,25.6,25.6,24.5,24.9,21.32,19.34898027166561,25.58101972833439
2003-09-01,25.0,25.6,24.7,24.95,21.441999999999997,19.31078159176088,25.90921840823912
2003-09-02,25.2,26.25,24.9,25.85,21.582000000000004,19.242576379218654,26.387423620781348
2003-09-03,25.95,26.25,24.65,24.9,21.702999999999996,19.511394461887427,26.55360553811257
2003-09-04,24.95,25.15,23.6,23.95,21.79,19.895819939459397,26.524180060540605
2003-09-05,24.1,24.65,23.9,24.2,21.886,20.242216672469716,26.51778332753029
2003-09-08,24.5,24.95,24.25,24.55,21.991999999999997,20.47482320263481,26.585176797365186
2003-09-09,24.7,24.95,23.85,24.1,22.092,20.761161833240486,26.563838166759517
2003-09-10,24.15,25.05,24.0,24.85,22.201,21.183087488248496,26.521912511751502
2003-09-11,24.95,25.75,24.8,25.25,22.316,21.44780044974802,26.592199550251987
2003-09-12,25.45,25.6,24.3,24.45,22.386,21.632619987528802,26.597380012471202
2003-09-15,24.4,24.55,22.8,23.0,22.425,21.850880384828244,26.48911961517176
2003-09-16,23.0,24.1,21.8,24.0,22.494,22.227474326219642,26.327525673780357
2003-09-17,24.4,24.65,23.3,23.5,22.561000000000003,22.44172600086891,26.223273999131095
2003-09-18,23.65,23.65,22.0,22.2,22.598000000000003,22.283750224328482,26.31624977567152
2003-09-19,22.3,22.6,21.05,21.75,22.628999999999998,21.9118084913291,26.5081915086709
2003-09-22,22.1,22.25,21.4,21.5,22.641000000000005,21.66028576262085,26.65471423737915
2003-09-23,21.5,22.2,21.1,22.0,22.645,21.382884505961357,26.73711549403864
