Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-17,7.0,7.0,7.0,7.0,,,
1995-04-17,6.4,6.4,6.4,6.4,,,
1995-04-20,7.0,7.0,7.0,7.0,,,
1995-04-21,7.5,7.5,7.5,7.5,,,
1995-04-28,6.8,6.8,6.8,6.8,,,
1995-05-15,6.6,6.6,6.6,6.6,,,
1995-05-18,6.2,6.2,6.2,6.2,,,
1995-05-29,6.0,6.0,6.0,6.0,,,
1995-06-09,6.2,6.3,6.2,6.3,,,
1995-06-14,5.8,5.8,5.8,5.8,,,
1995-07-14,5.8,5.8,5.8,5.8,,,
1995-09-19,5.2,5.4,5.2,5.4,,,
1995-09-21,5.45,5.45,5.45,5.45,,,
1995-09-26,5.4,5.4,5.4,5.4,,,
1995-10-10,5.1,5.1,5.1,5.1,,,
1995-10-11,5.2,5.2,5.1,5.1,,,
1995-10-12,5.2,5.2,5.2,5.2,,,
1995-10-13,5.2,5.3,5.2,5.2,,,
1995-10-16,5.2,5.2,5.1,5.2,,,
1995-10-17,5.3,5.3,5.3,5.3,,4.44404938587106,7.43095061412894
1995-10-18,5.2,5.3,5.2,5.3,,4.421462466930852,7.283537533069148
1995-10-19,5.25,5.25,5.25,5.25,,4.364173959597205,7.2258260404027945
1995-10-23,5.25,5.25,5.25,5.25,,4.376384520016151,7.038615479983848
1995-10-25,5.0,5.0,5.0,5.0,,4.517123861826502,6.647876138173497
1995-10-27,4.9,5.0,4.9,5.0,,4.564982089831031,6.420017910168968
1995-10-30,5.0,5.25,5.0,5.05,,4.628870239718657,6.201129760281343
1995-10-31,5.05,5.1,5.0,5.0,,4.641299487843372,6.068700512156627
1995-11-01,5.1,5.1,5.1,5.1,,4.656587903064955,5.963412096935046
1995-11-10,4.95,5.0,4.85,4.85,,4.7445230068355375,5.730476993164462
1995-11-13,4.8,4.8,4.4,4.4,,4.616639429237259,5.718360570762742
1995-11-14,4.4,4.6,4.4,4.4,,4.529516493938516,5.6654835060614825
1995-11-15,4.4,4.6,4.4,4.6,,4.466982831480922,5.648017168519078
1995-11-16,4.6,4.8,4.6,4.8,,4.454220293209184,5.595779706790816
1995-11-17,4.8,4.8,4.8,4.8,,4.444497836898939,5.54550216310106
1995-11-22,4.4,4.4,4.4,4.4,,4.351637227340549,5.568362772659451
1995-11-23,4.4,4.4,4.4,4.4,,4.27166845685888,5.57833154314112
1995-11-24,4.45,4.55,4.45,4.55,,4.23213726076616,5.5528627392338405
1995-11-29,4.5,4.5,4.5,4.5,,4.191581560233498,5.523418439766502
1995-11-30,4.95,4.95,4.7,4.8,,4.191153995220256,5.483846004779744
1995-12-01,4.9,5.0,4.8,5.0,,4.208218219981124,5.436781780018875
1995-12-08,4.9,4.9,4.85,4.85,,4.227838815496339,5.3721611845036605
1995-12-13,4.5,4.5,4.5,4.5,,4.216823211145336,5.308176788854665
1995-12-14,4.8,4.8,4.8,4.8,,4.24412225615369,5.23587774384631
1995-12-15,4.75,4.75,4.4,4.6,,4.23615574493656,5.203844255063442
1995-12-18,4.5,4.6,4.5,4.55,,4.22680622313552,5.16819377686448
1995-12-19,4.6,4.95,4.5,4.95,,4.235651528057946,5.149348471942056
1995-12-20,4.45,4.45,4.45,4.45,,4.220028090774259,5.1099719092257425
1995-12-21,4.5,4.6,4.5,4.6,,4.244498985296395,5.035501014703605
1995-12-22,4.7,4.7,4.6,4.6,,4.244334514245233,5.010665485754766
1995-12-26,4.6,5.05,4.6,5.05,5.242999999999999,4.248839895443454,5.071160104556545
1995-12-27,5.0,5.1,5.0,5.1,5.205,4.258627392436716,5.131372607563285
1995-12-28,4.95,4.95,4.7,4.7,5.171,4.2659250610417825,5.134074938958218
1995-12-29,4.7,4.7,4.7,4.7,5.125,4.263478822865214,5.1265211771347845
1996-01-01,4.7,4.75,4.7,4.75,5.07,4.262965368101708,5.122034631898292
1996-01-02,4.7,4.8,4.7,4.7,5.0280000000000005,4.300618405947199,5.114381594052801
1996-01-09,4.5,4.5,4.5,4.5,4.986,4.319301242171474,5.1056987578285264
1996-01-10,4.6,4.6,4.6,4.6,4.954,4.325533428229948,5.104466571770052
1996-01-11,4.6,4.65,4.6,4.6,4.926,4.339695412928834,5.100304587071165
1996-01-12,4.6,4.6,4.6,4.6,4.8919999999999995,4.328038304483149,5.091961695516849
1996-01-17,4.6,4.6,4.6,4.6,4.868,4.3307610383338835,5.0492389616661155
1996-01-18,4.6,4.6,4.3,4.45,4.840999999999999,4.30379614535358,5.03620385464642
1996-01-19,4.4,4.4,4.3,4.3,4.819,4.264498985296395,5.055501014703605
1996-01-22,4.35,4.35,4.35,4.35,4.797,4.224711026259049,5.050288973740951
1996-01-23,4.2,4.2,4.2,4.2,4.773,4.160651528057943,5.074348471942057
1996-01-24,4.2,4.2,4.0,4.0,4.7509999999999994,4.056293989856624,5.123706010143375
1996-01-25,4.1,4.1,4.1,4.1,4.731,3.9993211970533666,5.095678802946632
1996-01-30,4.1,4.1,4.1,4.1,4.709,3.9474466367339085,5.112553363266092
1996-01-31,4.1,4.1,4.1,4.1,4.687,3.892928452754604,5.117071547245396
1996-02-02,4.6,4.6,4.05,4.4,4.671,3.882928452754604,5.107071547245396
1996-02-12,4.4,4.6,4.4,4.6,4.657,3.9157471964951314,5.029252803504869
1996-02-13,4.6,5.0,4.15,4.6,4.643,3.970144345322445,4.924855654677555
1996-02-14,4.6,4.6,4.5,4.6,4.629999999999999,3.974272659805871,4.9107273401941285
1996-02-15,4.6,4.6,4.6,4.6,4.617,3.978811939503424,4.896188060496576
1996-02-16,4.6,4.8,4.6,4.8,4.6129999999999995,3.973659261686766,4.906340738313233
1996-02-19,4.65,5.2,4.65,5.2,4.617,3.8973640900050506,5.03263590999495
1996-02-20,5.2,5.55,5.0,5.2,4.62,3.8438549582680075,5.1561450417319925
1996-02-22,5.25,5.3,5.05,5.05,4.621,3.822518797244861,5.222481202755137
1996-02-23,5.05,5.2,5.0,5.2,4.623,3.7899040181203745,5.315095981879626
1996-02-26,5.3,5.3,5.2,5.2,4.629999999999999,3.76668590869062,5.398314091309381
1996-02-27,4.8,5.2,4.8,5.0,4.6419999999999995,3.7655412196529614,5.439458780347039
1996-02-28,4.85,4.85,4.8,4.8,4.65,3.7818315707511543,5.458168429248844
1996-02-29,4.8,4.8,4.3,4.5,4.648,3.8032116671309257,5.456788332869074
1996-03-01,4.3,4.4,4.2,4.4,4.64,3.8089805949303215,5.456019405069679
1996-03-11,4.35,4.35,4.2,4.2,4.627999999999999,3.8089805949303206,5.456019405069679
1996-03-12,4.2,4.3,4.2,4.2,4.6240000000000006,3.8469366444892144,5.438063355510786
1996-03-13,4.2,4.4,4.2,4.4,4.624,3.894352087179618,5.4206479128203835
1996-03-14,4.2,4.2,4.1,4.2,4.617,3.913553371306352,5.411446628693647
1996-03-15,4.1,4.4,4.1,4.4,4.615,3.9648511235870556,5.390148876412945
1996-03-18,3.95,4.3,3.95,4.3,4.605,3.9503139910113534,5.3946860089886455
1996-03-19,4.3,4.3,4.2,4.2,4.589,3.9003277073072034,5.404672292692797
1996-03-22,4.2,4.2,4.2,4.2,4.576,3.8536513220413764,5.411348677958625
1996-03-25,4.2,4.2,3.95,3.95,4.5649999999999995,3.7633399734659227,5.436660026534076
1996-03-26,3.9,4.3,3.9,4.0,4.5489999999999995,3.691364694540447,5.448635305459553
1996-03-27,4.0,4.3,4.05,4.3,4.543,3.6654666308954367,5.424533369104563
1996-03-28,4.1,4.5,4.1,4.5,4.542,3.6862729118272988,5.333727088172701
1996-03-29,4.5,4.5,4.5,4.5,4.533,3.717928078227144,5.232071921772856
1996-04-01,4.3,4.35,4.2,4.35,4.531,3.7317033033210456,5.148296696678955
1996-04-02,4.5,4.5,4.4,4.45,4.5280000000000005,3.790794016273897,5.014205983726103
1996-04-03,4.5,4.5,4.45,4.5,4.526,3.8805384214875134,4.8544615785124865
1996-04-04,4.3,4.3,4.3,4.3,4.510999999999999,3.946869961860083,4.718130038139917
1996-04-09,4.5,4.55,4.4,4.5,4.499,3.9893873749200637,4.645612625079936
1996-04-10,4.5,4.5,4.4,4.4,4.493,3.99316681317074,4.63183318682926
1996-04-11,4.4,4.4,4.3,4.3,4.485,3.9908148666510916,4.624185133348907
1996-04-12,4.2,4.2,4.2,4.2,4.474,3.9908148666510925,4.624185133348908
1996-04-15,4.2,4.3,4.2,4.25,4.465,3.9961109817316345,4.6238890182683665
1996-04-16,4.2,4.4,4.2,4.35,4.462,3.9958406042690626,4.619159395730938
1996-04-17,4.35,4.35,4.35,4.35,4.457,4.007035545455059,4.62296445454494
1996-04-18,4.6,4.6,4.45,4.45,4.454000000000001,4.005840604269063,4.629159395730938
1996-04-19,4.45,4.8,4.6,4.7,4.4559999999999995,3.9822758305994364,4.692724169400565
1996-04-22,4.7,4.7,4.7,4.7,4.458,3.9787854679514103,4.746214532048589
1996-04-23,4.4,4.7,4.4,4.7,4.463,3.983734825932847,4.791265174067153
1996-04-24,4.7,4.7,4.65,4.7,4.471,4.054367539127188,4.795632460872811
1996-04-25,4.7,4.8,4.7,4.8,4.48,4.115413778423985,4.814586221576015
1996-04-26,4.8,5.0,4.5,4.55,4.487,4.134947660549278,4.820052339450722
1996-04-29,4.3,4.3,4.3,4.3,4.493,4.116149223110211,4.8188507768897875
1996-04-30,4.35,4.4,4.3,4.3,4.497,4.098737507094465,4.816262492905536
1996-05-01,4.4,4.5,4.4,4.5,4.505,4.109442616963754,4.820557383036247
1996-05-02,4.6,4.6,4.6,4.6,4.515,4.111981367734577,4.833018632265423
1996-05-03,4.6,4.8,4.6,4.8,4.523,4.098337606620247,4.876662393379752
1996-05-06,4.6,4.75,4.6,4.75,4.526,4.114498985296391,4.905501014703608
1996-05-07,4.75,4.75,4.55,4.6,4.526,4.117507861712958,4.912492138287042
1996-05-08,4.6,4.6,4.5,4.5,4.524,4.126099130824967,4.913900869175034
1996-05-09,4.3,4.5,4.3,4.5,4.522,4.14969541292883,4.91030458707117
1996-05-10,4.25,4.25,4.25,4.25,4.511,4.160768631231745,4.904231368768256
1996-05-13,4.35,4.35,4.35,4.35,4.494,4.179324800294304,4.895675199705695
1996-05-14,4.45,4.45,4.3,4.3,4.476,4.170669323134508,4.8993306768654925
1996-05-15,4.3,4.5,4.45,4.45,4.4639999999999995,4.183703257914057,4.896296742085943
1996-05-16,4.45,4.55,4.5,4.5,4.45,4.188165932234914,4.896834067765085
1996-05-17,4.25,4.5,4.25,4.4,4.434,4.175849755101967,4.879150244898034
