Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,15.5,15.5,15.5,15.5,,,
1995-01-11,12.5,12.5,12.5,12.5,,,
1995-01-12,13.7,14.05,13.7,14.05,,,
1995-01-16,14.3,14.3,13.45,13.45,,,
1995-01-24,13.9,13.9,13.9,13.9,,,
1995-01-25,13.9,13.9,13.9,13.9,,,
1995-01-30,13.45,13.45,13.45,13.45,,,
1995-02-01,14.2,14.2,14.2,14.2,,,
1995-02-07,13.9,13.9,13.9,13.9,,,
1995-02-09,13.8,13.8,13.8,13.8,,,
1995-02-13,13.45,13.45,13.45,13.45,,,
1995-02-14,13.55,13.55,13.55,13.55,,,
1995-02-15,13.45,13.55,13.45,13.55,,,
1995-02-16,13.8,13.85,13.8,13.85,,,
1995-02-20,14.1,14.1,14.1,14.1,,,
1995-02-23,12.65,12.65,12.65,12.65,,,
1995-02-28,11.85,11.85,11.85,11.85,,,
1995-03-02,12.65,12.65,12.65,12.65,,,
1995-03-07,12.25,12.25,12.25,12.25,,,
1995-03-09,12.45,12.5,12.45,12.5,,11.764001757244184,15.140998242755817
1995-03-14,12.45,12.45,12.45,12.45,,11.857049805725124,14.742950194274878
1995-04-05,12.4,12.4,12.4,12.4,,11.839737317978564,14.750262682021432
1995-04-06,12.4,12.85,12.25,12.85,,11.812215480308527,14.657784519691472
1995-04-07,12.6,13.05,12.6,12.9,,11.780956514581668,14.634043485418331
1995-04-17,13.25,13.25,13.05,13.25,,11.785755601055017,14.564244398944984
1995-04-18,12.65,12.85,12.65,12.85,,11.769734800783766,14.475265199216231
1995-04-19,12.9,12.9,12.9,12.9,,11.747917382285934,14.442082617714064
1995-05-02,12.25,12.25,11.85,11.85,,11.626291963502753,14.328708036497249
1995-05-03,12.1,12.3,12.1,12.3,,11.587427683795958,14.20757231620404
1995-05-08,12.25,12.25,12.25,12.25,,11.55201361455092,14.087986385449078
1995-05-09,12.65,12.65,12.65,12.65,,11.545666597969399,14.0143334020306
1995-05-15,12.25,12.45,12.25,12.45,,11.538009111904785,13.911990888095215
1995-05-17,12.65,13.05,12.65,13.05,,11.566305527095261,13.833694472904737
1995-05-18,13.05,13.25,13.05,13.15,,11.643082298091622,13.686917701908376
1995-05-19,13.45,13.9,13.25,13.9,,11.689871156678787,13.620128843321211
1995-05-22,13.45,13.5,13.45,13.45,,11.6665110726487,13.723488927351298
1995-05-23,13.45,13.5,13.45,13.45,,11.774736876722185,13.775263123277815
1995-05-24,13.45,13.45,13.45,13.45,,11.772684763312176,13.857315236687826
1995-05-26,13.45,14.45,13.45,13.55,,11.82398963322472,13.936010366775278
1995-05-29,13.3,13.95,13.3,13.95,,11.810721608744998,14.094278391255003
1995-05-30,13.45,13.7,13.45,13.7,,11.8523804532323,14.177619546767701
1995-05-31,14.3,14.3,14.3,14.3,,11.852349726463538,14.36765027353646
1995-06-01,13.7,13.8,13.7,13.75,,11.87236291386189,14.437637086138112
1995-06-05,14.7,14.7,13.45,13.45,,11.899298822024418,14.46570117797558
1995-06-07,13.65,13.65,13.65,13.65,,11.902510121496883,14.502489878503118
1995-06-08,13.55,14.55,13.55,14.55,,11.867761328716842,14.707238671283157
1995-06-09,14.45,14.45,14.45,14.45,,11.86724729748374,14.86275270251626
1995-06-12,14.3,14.3,13.95,14.3,,12.116033247711922,14.85896675228808
1995-06-14,13.9,15.25,13.9,15.25,,12.169933089367037,15.100066910632963
1995-06-15,14.85,14.85,14.3,14.3,13.395999999999999,12.399050386297231,15.07594961370277
1995-06-16,14.3,14.55,14.3,14.45,13.375,12.556580316422275,15.098419683577726
1995-06-19,14.3,14.45,14.3,14.3,13.411,12.812418471576335,15.027581528423669
1995-06-20,14.05,14.05,14.05,14.05,13.411000000000001,12.94023252496905,14.999767475030955
1995-06-21,14.45,14.45,14.45,14.45,13.431,13.060536584899943,15.009463415100058
1995-06-23,15.25,15.25,15.25,15.25,13.458,12.990141197606093,15.214858802393909
1995-06-26,14.55,14.7,14.55,14.7,13.474,13.066627998976838,15.263372001023164
1995-06-27,14.85,15.3,14.7,14.7,13.499,13.158572844784105,15.296427155215897
1995-06-28,13.9,15.1,13.9,15.1,13.516999999999998,13.239043713113785,15.380956286886212
1995-06-29,14.7,14.7,14.7,14.7,13.533,13.346007284205557,15.388992715794446
1995-06-30,14.75,14.85,14.75,14.85,13.554,13.389154094596885,15.435845905403115
1995-07-03,14.7,14.75,14.7,14.75,13.58,13.48891760485842,15.44108239514158
1995-07-10,15.05,15.5,15.05,15.5,13.619000000000002,13.449189412093054,15.600810587906947
1995-07-11,15.25,15.5,15.25,15.5,13.658,13.517595534088134,15.707404465911868
1995-07-12,15.55,15.7,15.5,15.7,13.695,13.671434624714694,15.778565375285305
1995-07-13,15.5,16.5,15.5,16.35,13.74,13.699872965213643,16.020127034786356
1995-07-14,16.75,16.9,16.75,16.9,13.825,13.51337640728765,16.441623592712354
1995-07-17,16.9,16.9,16.75,16.75,13.923,13.452129374356584,16.732870625643418
1995-07-18,15.9,15.9,15.9,15.9,13.988000000000001,13.538816722056666,16.806183277943333
1995-07-19,16.3,16.4,16.3,16.35,14.07,13.510870806063878,16.944129193936124
1995-07-20,16.55,16.65,16.55,16.65,14.153000000000002,13.574808217348039,17.11519178265196
1995-07-21,16.4,16.65,16.3,16.65,14.237,13.645987474949502,17.264012525050504
1995-07-24,16.75,16.75,16.55,16.55,14.32,13.781214527441426,17.353785472558574
1995-07-25,16.55,16.55,16.55,16.55,14.394,14.00624753716379,17.378752462836207
1995-07-26,16.5,16.55,16.5,16.55,14.467,14.17675455747245,17.41824544252755
1995-07-27,16.9,16.9,16.9,16.9,14.54,14.2093871279015,17.550612872098498
1995-07-28,16.3,17.15,16.3,17.15,14.626,14.336911752405037,17.668088247594966
1995-08-01,16.9,16.9,16.9,16.9,14.706000000000001,14.520125077207949,17.70487492279205
