Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,36.0,36.95,36.0,36.2,,,
1995-01-03,35.0,35.65,35.0,35.2,,,
1995-01-04,35.75,35.75,35.5,35.5,,,
1995-01-05,35.0,35.25,34.0,34.0,,,
1995-01-06,35.0,35.0,33.5,33.5,,,
1995-01-09,33.25,34.0,33.25,34.0,,,
1995-01-10,35.0,36.0,30.5,30.5,,,
1995-01-11,31.0,32.0,31.0,31.75,,,
1995-01-12,32.0,32.0,31.0,32.0,,,
1995-01-13,32.0,32.4,32.0,32.25,,,
1995-01-16,32.25,32.4,32.25,32.4,,,
1995-01-17,32.5,34.0,32.5,33.0,,,
1995-01-18,33.0,33.5,33.0,33.5,,,
1995-01-19,35.0,35.0,34.35,34.55,,,
1995-01-20,35.0,35.0,33.8,33.85,,,
1995-01-23,33.25,34.0,33.0,33.0,,,
1995-01-24,32.25,32.25,31.5,31.7,,,
1995-01-25,32.0,32.5,31.75,32.3,,,
1995-01-27,32.1,33.25,32.1,32.5,,,
1995-01-30,32.5,33.0,32.25,32.9,,30.39889458078001,36.06110541922
1995-01-31,33.0,34.0,33.0,33.0,,30.607993971532462,35.53200602846754
1995-02-01,33.25,33.3,33.0,33.0,,30.711351282963133,35.208648717036866
1995-02-02,33.0,33.25,33.0,33.0,,30.929026012217054,34.740973987782944
1995-02-03,32.0,33.0,32.0,33.0,,30.95682863868954,34.613171361310464
1995-02-06,33.0,33.0,32.5,33.0,,30.959532224524345,34.560467775475665
1995-02-07,32.0,32.25,31.5,32.15,,30.946950822067514,34.388049177932494
1995-02-08,32.0,32.75,32.0,32.0,,31.313744560723173,34.17125543927683
1995-02-09,31.0,32.0,31.0,32.0,,31.358802155476315,34.151197844523686
1995-02-10,32.0,32.0,31.0,31.0,,31.134247582241333,34.27575241775867
1995-02-13,32.0,32.0,31.25,31.25,,30.964188920883498,34.34581107911651
1995-02-14,31.0,31.0,30.5,30.7,,30.667536223458495,34.472463776541524
1995-02-15,30.0,30.85,30.0,30.5,,30.343396602090394,34.54660339790962
1995-02-16,30.0,30.4,30.0,30.15,,30.003048070644855,34.551951929355155
1995-02-17,29.0,30.0,29.0,30.0,,29.822894254867986,34.27710574513201
1995-02-20,28.3,29.5,28.3,29.5,,29.498478171752268,34.16652182824773
1995-02-21,28.75,29.0,28.25,28.3,,28.84882089139068,34.34617910860931
1995-02-22,28.0,28.25,28.0,28.25,,28.296607105035683,34.55339289496432
1995-02-23,28.0,30.25,28.0,29.5,,28.072016470958054,34.49798352904194
1995-02-24,29.5,30.75,29.05,29.6,,27.896285430170153,34.38371456982984
1995-02-28,29.25,29.75,28.5,28.5,,27.58337706182148,34.256622938178516
1995-03-01,29.5,29.6,29.0,29.2,,27.459976661921345,34.000023338078655
1995-03-02,29.0,30.5,29.0,29.5,,27.42485791477697,33.68514208522303
1995-03-03,30.5,30.75,30.0,30.25,,27.505587081984523,33.32941291801548
1995-03-06,31.0,31.0,30.0,30.1,,27.625262114759458,32.91973788524054
1995-03-07,30.75,31.0,30.0,30.25,,27.81935526768116,32.450644732318835
1995-03-08,29.0,30.5,29.0,30.2,,27.923667113113147,32.151332886886856
1995-03-09,30.15,30.3,30.0,30.05,,28.038034257876674,31.84196574212332
1995-03-10,30.1,30.75,30.0,30.15,,28.205141298234956,31.48985870176505
1995-03-13,29.1,30.0,29.0,29.25,,28.191359958770786,31.328640041229217
1995-03-14,29.75,30.75,29.25,30.3,31.645,28.282419030632322,31.142580969367675
1995-03-15,31.5,33.0,30.5,30.5,31.531,28.29894248988124,31.106057510118752
1995-03-16,29.95,30.25,29.0,30.25,31.432,28.312129789933135,31.06787021006686
1995-03-20,30.5,30.5,30.0,30.15,31.325,28.312129789933135,31.06787021006686
1995-03-21,29.5,30.5,29.5,30.5,31.255,28.295919497109324,31.13408050289067
1995-03-22,29.9,31.0,29.9,30.05,31.186,28.319650745862294,31.165349254137706
1995-03-23,30.0,31.0,29.95,29.95,31.105,28.573264362869146,31.076735637130852
1995-03-24,30.0,30.5,29.3,30.0,31.095,28.903135947998003,30.921864052002
1995-03-27,29.5,30.0,29.25,29.95,31.058999999999997,28.9444658538258,30.925534146174204
1995-03-28,29.0,30.0,29.0,29.5,31.008999999999997,28.931369358624046,30.928630641375953
1995-03-29,29.0,30.0,29.0,30.0,30.963999999999995,29.26736508816482,30.742634911835186
1995-03-30,30.0,30.0,29.5,29.75,30.910999999999998,29.385828359577665,30.679171640422332
1995-03-31,30.0,30.5,29.75,30.0,30.851,29.460776490015167,30.654223509984828
1995-04-03,30.0,30.4,29.5,29.65,30.774,29.41150700619142,30.64349299380857
1995-04-04,31.25,31.25,29.75,30.0,30.683000000000003,29.40736201804611,30.63763798195389
1995-04-05,31.0,31.0,29.8,30.5,30.616,29.390917625405454,30.679082374594554
1995-04-06,30.5,31.4,30.25,31.0,30.576,29.30142320831622,30.84857679168378
1995-04-07,30.95,31.1,30.75,30.9,30.56,29.260777358644752,30.974222641355247
1995-04-10,30.0,30.65,30.0,30.5,30.524,29.261350666517213,31.008649333482783
1995-04-11,30.5,30.5,30.1,30.1,30.476,29.408717640817866,30.94628235918213
1995-04-12,30.0,30.6,30.0,30.25,30.423000000000002,29.407570935902722,30.94242906409728
1995-04-17,30.0,30.25,29.9,30.0,30.363000000000003,29.394668075751028,30.90533192424897
1995-04-18,30.0,30.0,29.0,29.25,30.288,29.24652413471044,30.953475865289562
1995-04-19,29.7,29.95,29.0,29.0,30.208000000000002,29.058269068604332,31.02673093139567
1995-04-20,28.0,29.75,28.0,28.7,30.122000000000003,28.825568908845472,31.079431091154536
1995-04-21,28.5,28.5,27.5,28.25,30.027,28.504531315762893,31.220468684237108
1995-04-24,28.0,28.3,27.25,28.0,29.944000000000003,28.173542541534488,31.35645745846552
1995-04-25,27.5,28.75,27.25,28.25,29.869,27.953528147744663,31.40147185225534
1995-04-26,27.0,27.25,27.0,27.25,29.774,27.51265038150987,31.57234961849013
1995-04-27,27.25,27.25,27.0,27.0,29.694000000000003,27.09047908995432,31.74452091004568
1995-04-28,25.75,26.0,25.25,26.0,29.589000000000002,26.454535345102855,31.980464654897148
1995-05-02,25.0,25.25,24.75,24.75,29.47,25.57443043799099,32.36056956200901
1995-05-03,24.5,25.0,24.0,24.75,29.355,24.865331702922838,32.544668297077166
1995-05-04,26.0,26.0,24.5,25.75,29.267000000000003,24.480947610430555,32.53905238956945
1995-05-05,25.25,25.9,25.25,25.5,29.177000000000003,24.106470921106514,32.463529078893494
1995-05-08,25.5,26.25,25.5,26.15,29.11,23.921699969277647,32.21330003072236
1995-05-09,25.75,27.0,25.75,26.25,29.068999999999996,23.850658610430926,31.809341389569077
1995-05-10,27.0,27.0,26.25,26.95,29.042999999999996,23.91097300723272,31.35402699276728
1995-05-12,26.0,26.0,25.0,26.0,28.973,23.876691981548884,30.938308018451114
1995-05-15,25.0,26.0,25.0,25.75,28.896,23.82554180478204,30.554458195217954
1995-05-16,25.1,25.75,25.1,25.6,28.838,23.85058496211556,30.06441503788444
1995-05-17,25.6,26.5,25.4,25.5,28.764,23.915021657487447,29.54997834251255
1995-05-18,26.75,26.9,25.75,26.0,28.694000000000003,23.999847434386957,29.140152565613043
1995-05-19,26.5,26.5,25.75,26.0,28.609,24.10997607667868,28.730023923321315
1995-05-22,25.75,26.25,25.25,26.0,28.527,24.235070604553215,28.334929395446792
1995-05-23,25.5,26.0,25.5,25.65,28.435,24.310263533298045,27.999736466701957
1995-05-24,25.6,26.0,25.5,25.5,28.340999999999998,24.383504519161335,27.676495480838668
1995-05-25,25.0,25.95,25.0,25.2,28.244,24.565821685777667,27.18917831422233
1995-05-26,25.8,25.8,24.85,24.95,28.14,24.55861374903427,26.96638625096573
1995-05-29,25.25,25.25,25.0,25.0,28.055,24.56375669872056,26.761243301279443
1995-05-30,25.0,25.25,24.5,24.6,27.941,24.409161724744184,26.77583827525582
1995-05-31,24.75,25.0,24.0,24.4,27.819000000000003,24.330432859013925,26.819567140986074
1995-06-01,24.75,24.85,24.5,24.75,27.709,24.330432859013925,26.819567140986074
1995-06-02,25.0,25.0,24.55,24.85,27.602999999999998,24.247568099683818,26.812431900316184
1995-06-05,24.75,25.05,24.0,24.4,27.480999999999998,24.09640422320729,26.853595776792712
1995-06-06,24.0,24.75,24.0,24.5,27.37,23.98676924791066,26.798230752089342
1995-06-07,24.5,24.75,24.5,24.7,27.265,23.93770287576634,26.69229712423366
1995-06-08,24.75,24.75,24.25,24.6,27.156999999999996,24.021210114496373,26.373789885503623
1995-06-09,24.7,24.7,24.0,24.1,27.04,23.892682701918115,26.312317298081883
1995-06-12,24.0,24.5,24.0,24.1,26.932000000000002,23.77167480620032,26.26832519379968
1995-06-13,23.5,24.0,23.5,23.75,26.807000000000002,23.58920768671758,26.265792313282425
