Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-06-22,26.2,28.6,25.9,28.25,,,
2010-06-23,28.0,28.3,27.05,27.25,,,
2010-06-24,27.0,28.3,27.0,27.8,,,
2010-06-25,27.7,27.75,26.5,26.8,,,
2010-06-28,26.8,27.8,26.2,27.15,,,
2010-06-29,27.05,27.35,26.4,26.55,,,
2010-06-30,26.4,27.5,26.0,27.15,,,
2010-07-01,27.0,27.5,26.65,27.25,,,
2010-07-02,27.4,28.15,27.15,27.35,,,
2010-07-05,27.1,27.8,26.85,27.65,,,
2010-07-06,27.8,28.1,27.6,27.8,,,
2010-07-07,27.6,29.6,27.5,28.9,,,
2010-07-08,29.4,30.15,28.95,29.3,,,
2010-07-09,29.55,29.55,28.85,29.3,,,
2010-07-12,29.6,32.9,29.35,30.3,,,
2010-07-13,30.55,30.95,29.8,30.0,,,
2010-07-14,30.4,30.95,29.9,30.2,,,
2010-07-15,30.35,30.75,30.05,30.3,,,
2010-07-16,30.35,31.7,30.0,31.3,,,
2010-07-19,31.3,31.75,30.6,30.75,,25.57905294685121,31.555947053148795
2010-07-20,31.0,31.05,29.4,29.7,,25.6138681978125,31.666131802187493
2010-07-21,30.4,31.55,29.9,31.1,,25.691049614220237,31.973950385779762
2010-07-22,31.2,31.9,30.95,31.45,,25.706462399695056,32.32353760030495
2010-07-23,31.65,31.7,30.2,30.4,,26.00424031484333,32.38575968515667
2010-07-26,30.6,31.65,30.0,30.55,,26.27220701936701,32.45779298063299
2010-07-27,30.8,31.0,30.3,30.5,,26.733351904306087,32.39164809569391
2010-07-28,30.5,31.1,29.9,30.35,,27.114521351395098,32.330478648604895
2010-07-29,30.25,31.1,29.1,30.6,,27.532347286857206,32.24765271314279
2010-07-30,30.6,30.8,29.65,29.85,,27.981568883570617,32.04843111642939
2010-08-02,30.4,30.55,29.4,29.65,,28.39940588777682,31.830594112223178
2010-08-03,29.95,30.35,29.6,29.8,,28.875675739903016,31.554324260096976
2010-08-04,29.95,30.3,29.25,29.45,,28.997605161913324,31.487394838086676
2010-08-05,30.2,30.4,29.6,29.8,,29.08371703625061,31.451282963749378
2010-08-06,29.95,30.25,29.7,29.8,,29.175513923660212,31.40948607633979
2010-08-09,30.05,30.4,29.45,30.1,,29.16222042962947,31.40277957037054
2010-08-10,30.25,31.45,30.0,30.25,,29.182440125798024,31.407559874201986
2010-08-11,30.25,30.95,29.4,29.55,,29.101341322779557,31.42365867722044
2010-08-12,29.05,30.2,29.05,29.65,,29.037302923710474,31.422697076289527
2010-08-13,29.95,30.5,29.5,30.2,,29.093821305971503,31.2561786940285
2010-08-16,29.95,31.6,29.9,30.5,,29.103764408536442,31.22123559146356
2010-08-17,30.3,32.0,30.3,30.85,,29.14228311500161,31.2977168849984
2010-08-18,31.15,31.6,30.55,30.8,,29.17140637121072,31.238593628789285
2010-08-19,31.0,31.0,30.4,30.65,,29.2835538198953,31.0464461801047
2010-08-20,30.7,32.5,30.6,32.2,,28.988882852347754,31.52111714765225
2010-08-23,32.45,33.25,31.4,31.7,,28.89461610600789,31.73038389399211
2010-08-24,31.85,32.85,31.2,32.45,,28.699783023922617,32.12021697607739
2010-08-25,32.45,33.0,31.0,31.35,,28.699437888806948,32.220562111193054
2010-08-26,31.6,31.95,31.1,31.25,,28.6973970121906,32.2876029878094
