Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,280.0,280.0,278.0,278.0,,,
1995-01-03,278.0,278.0,274.0,276.0,,,
1995-01-04,278.0,279.0,278.0,279.0,,,
1995-01-05,266.0,266.0,266.0,266.0,,,
1995-01-06,270.0,270.0,269.0,269.0,,,
1995-01-09,272.0,272.0,268.0,268.0,,,
1995-01-10,258.0,258.0,250.0,250.0,,,
1995-01-11,248.0,252.0,248.0,252.0,,,
1995-01-12,248.0,250.0,247.0,250.0,,,
1995-01-13,248.0,250.0,248.0,250.0,,,
1995-01-16,250.0,252.0,248.0,248.0,,,
1995-01-17,250.0,252.0,246.0,246.0,,,
1995-01-18,260.0,260.0,252.0,256.0,,,
1995-01-19,253.2,254.0,253.2,254.0,,,
1995-01-20,258.0,258.0,254.0,256.0,,,
1995-01-23,249.2,251.8,249.2,251.8,,,
1995-01-24,243.0,243.0,243.0,243.0,,,
1995-01-25,243.2,244.0,242.8,244.0,,,
1995-01-27,244.0,250.0,244.0,250.0,,,
1995-01-30,250.0,252.0,250.0,250.0,,233.86849362224683,279.81150637775323
1995-01-31,252.0,254.0,252.0,252.0,,234.77358987514498,276.30641012485506
1995-02-01,254.0,254.0,248.0,253.0,,235.98063167555006,272.79936832445
1995-02-02,254.0,256.0,254.0,254.0,,238.8273408995284,267.45265910047164
1995-02-03,253.2,253.6,252.0,253.6,,239.54072907732456,265.4992709226754
1995-02-06,252.0,252.0,244.4,245.2,,240.53173503215513,262.1282649678449
1995-02-07,244.0,244.0,240.0,240.0,,241.16233212307878,258.69766787692123
1995-02-08,242.8,246.0,242.0,242.0,,240.0729280151671,258.98707198483294
1995-02-09,244.4,244.4,240.0,240.0,,238.64621613770925,259.21378386229077
1995-02-10,238.1,239.6,238.0,238.0,,236.965586476336,259.694413523664
1995-02-13,238.0,238.0,224.4,224.4,,231.48654753495956,262.61345246504044
1995-02-14,232.0,232.0,220.0,232.0,,229.3083043165221,263.19169568347786
1995-02-15,232.0,235.2,230.2,232.4,,227.5299159763891,263.6100840236109
1995-02-16,228.0,228.0,210.0,210.0,,219.88983746848638,266.65016253151356
1995-02-17,206.0,216.0,200.0,214.5,,215.21387353094718,267.3761264690528
1995-02-20,206.0,206.0,204.0,204.0,,208.71061985580545,268.6793801441945
1995-02-21,204.0,204.8,200.0,204.0,,203.2554056876561,269.35459431234386
1995-02-22,202.0,203.0,200.8,202.9,,198.23286960767706,270.36713039232296
1995-02-23,203.0,210.0,203.0,210.0,,195.27474398156005,269.92525601843994
1995-02-24,220.0,236.8,220.0,235.6,,195.42252080198537,268.33747919801453
1995-02-28,228.0,236.0,228.0,234.0,,195.6078107452289,266.55218925477106
1995-03-01,244.0,252.0,244.0,252.0,,195.6078107452289,266.55218925477106
1995-03-02,256.0,256.0,250.0,251.0,,195.7576028192589,266.20239718074106
1995-03-03,252.0,252.0,251.0,251.0,,195.99697876409462,265.6630212359054
1995-03-06,254.0,256.0,250.0,251.4,,196.17705342772976,265.2629465722703
1995-03-07,250.0,250.4,244.0,246.7,,196.1134426380156,265.47655736198436
1995-03-08,248.0,250.4,248.0,250.4,,195.75166731619586,266.8783326838041
1995-03-09,244.0,245.0,244.0,245.0,,195.68724890124878,267.24275109875117
1995-03-10,246.8,246.8,242.0,244.0,,195.6424763442884,267.6875236557115
1995-03-13,238.0,238.0,236.0,236.0,,195.60547450696555,267.5245254930344
1995-03-14,238.8,238.8,234.0,234.4,244.40599999999998,196.24714059115814,267.88285940884185
1995-03-15,244.0,244.05,236.0,236.0,243.56599999999997,196.40402428896627,268.12597571103373
