Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-11-04,291.0,344.9,291.0,342.55,,,
2010-11-05,343.0,356.5,343.0,349.85,,,
2010-11-08,351.8,355.9,329.5,330.75,,,
2010-11-09,330.15,333.4,325.0,326.05,,,
2010-11-10,325.4,327.8,320.05,322.8,,,
2010-11-11,323.0,336.95,321.85,328.55,,,
2010-11-12,330.0,332.95,318.0,320.15,,,
2010-11-15,321.2,322.9,315.05,317.2,,,
2010-11-16,320.0,323.95,316.1,318.05,,,
2010-11-18,319.6,328.95,310.0,326.9,,,
2010-11-19,330.25,339.95,328.1,333.55,,,
2010-11-22,336.0,337.0,315.0,333.35,,,
2010-11-23,330.5,332.4,317.5,320.15,,,
2010-11-24,329.35,329.35,310.0,310.8,,,
2010-11-25,314.0,318.35,311.1,313.2,,,
2010-11-26,315.0,316.0,301.0,312.7,,,
2010-11-29,311.4,319.7,308.2,317.45,,,
2010-11-30,315.0,319.0,312.0,317.25,,,
2010-12-01,317.0,322.5,315.0,320.95,,,
2010-12-02,322.2,325.95,321.15,324.85,,304.3702979559496,344.33970204405045
2010-12-03,318.1,325.7,318.1,321.95,,305.25727652472654,341.39272347527344
2010-12-06,321.0,324.9,318.5,320.4,,308.7760657926579,334.92893420734214
2010-12-07,320.5,322.75,317.25,320.0,,308.91206740959603,333.71793259040396
2010-12-08,318.6,322.7,317.25,318.85,,308.7138313251424,333.1961686748577
2010-12-09,318.0,320.0,309.0,313.2,,307.7934966854955,333.15650331450456
2010-12-10,312.0,322.0,312.0,317.3,,307.75178347852034,332.0732165214797
2010-12-13,318.0,324.35,317.0,323.15,,307.8157442534445,332.3092557465555
2010-12-14,324.45,331.0,322.75,325.3,,308.08435037089345,332.8506496291066
2010-12-15,325.6,330.0,323.0,327.85,,308.20700878139246,333.7079912186076
2010-12-16,326.75,327.0,317.4,320.7,,308.2076457530962,333.0873542469038
2010-12-20,323.0,323.0,315.05,316.0,,308.76964593871253,330.77035406128755
2010-12-21,318.8,318.8,311.2,313.3,,309.45275362664125,328.0822463733588
2010-12-22,315.1,319.7,312.7,314.05,,308.94117352231115,327.9838264776888
2010-12-23,315.05,315.95,312.0,312.95,,309.36980549404694,327.77019450595316
2010-12-24,313.0,313.9,310.1,312.15,,309.17736165998986,327.8576383400102
2010-12-27,312.15,314.3,306.5,307.3,,307.9374397622873,328.5575602377127
2010-12-28,308.0,309.95,301.0,303.75,,305.37908266762815,329.74591733237185
2010-12-29,306.1,311.4,304.3,310.25,,304.5967673408827,329.82823265911725
2010-12-30,311.0,311.6,307.0,308.05,,303.4473557854523,329.6876442145477
2010-12-31,309.5,316.45,308.3,314.75,,303.5198621929876,328.6051378070124
2011-01-03,315.5,318.0,314.55,317.3,,303.57785088669175,328.0821491133082
2011-01-04,318.9,320.0,316.05,319.2,,303.6006078515334,327.93939214846665
2011-01-05,320.0,320.0,308.25,309.8,,302.9825667006065,327.53743329939346
2011-01-06,311.0,313.0,308.5,309.1,,302.3221998556575,327.22280014434244
2011-01-07,310.0,313.5,302.15,309.1,,301.87551019291453,327.25948980708546
2011-01-10,309.9,310.0,302.1,305.15,,300.66969486707245,327.2503051329275
2011-01-11,306.0,312.95,306.0,309.05,,300.53357588243546,325.97642411756453
2011-01-12,309.9,312.9,306.25,308.5,,300.87896492450017,323.9510350754999
2011-01-13,309.4,313.95,307.5,310.45,,302.5700113619772,320.5199886380227
2011-01-14,310.45,315.5,307.95,310.5,318.33,303.15844585093424,318.9115541490657
2011-01-17,307.25,314.0,306.2,313.15,317.742,303.29601362384125,318.4889863761587
2011-01-18,313.5,313.95,308.0,311.15,316.968,303.2715664167084,318.2984335832915
2011-01-19,311.0,312.7,307.95,309.4,316.541,303.1779723612462,317.9270276387538
2011-01-20,308.8,319.2,308.1,315.7,316.334,303.03022124821325,318.34977875178663
2011-01-21,316.45,316.45,312.0,314.15,316.161,302.99887144179144,318.5811285582086
2011-01-24,314.9,314.9,309.0,310.45,315.79900000000004,303.32796313052626,318.5670368694737
2011-01-25,311.0,315.7,308.55,310.0,315.596,304.4095217224207,318.11047827757926
2011-01-27,311.0,312.9,307.2,308.3,315.418,304.1969550974472,318.12804490255286
2011-01-28,307.05,309.7,303.05,305.05,315.158,303.6470132722373,318.3779867277627
2011-01-31,302.0,307.5,300.55,304.35,314.707,302.77783351677624,318.20716648322366
2011-02-01,305.5,309.85,303.5,308.3,314.202,302.97714531377846,317.1078546862216
2011-02-02,310.1,314.9,308.55,312.5,313.785,303.9574176207267,315.4575823792733
2011-02-03,311.0,320.0,310.9,317.35,313.72900000000004,303.39485799851695,316.7751420014831
2011-02-04,317.35,318.1,307.0,308.15,313.676,303.3045585922639,316.77044140773614
2011-02-07,309.4,310.45,304.15,304.65,313.505,302.67010119404216,316.9598988059577
2011-02-08,306.9,307.45,296.2,301.4,313.279,301.80267614121175,317.45232385878825
2011-02-09,302.0,307.85,297.0,298.7,312.904,299.8812919305252,318.3387080694748
2011-02-10,300.1,304.0,293.25,297.65,312.512,298.0081302520607,319.1268697479393
2011-02-11,298.1,305.0,298.0,304.6,312.185,297.6116096040305,318.93839039596946
2011-02-14,306.0,307.0,300.1,302.8,311.74399999999997,297.01101978463385,318.7689802153661
2011-02-15,304.5,307.85,302.0,302.45,311.35400000000004,296.51283571809563,318.1971642819044
2011-02-16,304.25,304.45,300.45,301.1,310.968,295.8209912994396,317.88400870056046
2011-02-17,302.95,306.4,302.0,305.05,310.669,295.6435152576133,317.6264847423867
2011-02-18,303.9,305.2,300.1,302.35,310.339,295.69606413460815,316.2389358653919
2011-02-21,301.5,303.9,300.0,301.85,310.112,295.6889779767026,315.01602202329747
2011-02-22,302.5,303.5,300.3,301.35,309.793,295.38886265227524,314.4061373477247
2011-02-23,302.4,302.4,299.0,300.65,309.343,295.05925043721464,313.80074956278537
2011-02-24,301.4,303.0,298.25,299.3,308.823,294.52771539729423,313.4322846027057
2011-02-25,300.1,303.0,289.0,292.65,308.11899999999997,292.65901135900236,314.06098864099766
2011-02-28,299.0,331.75,296.1,327.7,308.259,289.25370148579105,319.801298514209
2011-03-01,325.0,339.9,320.65,338.6,308.711,284.4778048028175,327.60719519718253
2011-03-03,338.0,338.0,327.2,329.05,309.026,283.104159852958,330.635840147042
2011-03-04,332.7,334.95,323.25,324.25,309.23,282.6226370433931,331.8073629566068
2011-03-07,322.0,343.55,318.4,341.0,309.791,279.98638394770165,337.72861605229826
2011-03-08,343.0,344.5,335.35,337.25,310.293,279.0496268464125,341.92537315358754
2011-03-09,339.8,341.2,336.05,339.55,310.93800000000005,278.7282445719425,346.06175542805744
2011-03-10,339.8,339.8,329.75,334.3,311.54900000000004,279.7999861244047,348.5500138755953
2011-03-11,334.95,335.0,328.1,329.95,311.94300000000004,281.6497073980412,349.93029260195885
