Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-12-17,217.5,220.0,192.5,194.05,,,
2007-12-18,205.0,205.0,193.15,195.1,,,
2007-12-19,204.5,204.5,193.5,194.9,,,
2007-12-20,197.4,197.4,191.25,194.3,,,
2007-12-24,194.3,196.5,194.3,196.2,,,
2007-12-26,196.2,202.5,196.2,201.25,,,
2007-12-27,202.2,203.0,200.0,201.35,,,
2007-12-28,197.5,202.5,197.5,200.7,,,
2007-12-31,201.5,204.95,200.5,203.2,,,
2008-01-01,203.75,207.0,203.5,206.0,,,
2008-01-02,207.5,210.5,202.1,209.5,,,
2008-01-03,207.5,223.5,204.3,219.95,,,
2008-01-04,220.0,232.5,220.0,228.9,,,
2008-01-07,230.0,262.45,228.0,243.4,,,
2008-01-08,245.0,248.9,235.5,237.3,,,
2008-01-09,237.0,240.0,230.0,232.05,,,
2008-01-10,232.05,240.3,228.5,231.1,,,
2008-01-11,231.5,231.5,217.5,228.5,,,
2008-01-14,229.0,237.5,223.0,235.0,,,
2008-01-15,235.0,239.0,232.5,232.8,,179.29978566644184,249.25521433355817
2008-01-16,227.8,234.5,225.05,227.75,,181.85149120441275,250.07350879558726
2008-01-17,228.9,246.0,225.0,240.55,,183.9208767760041,252.549123223996
2008-01-18,241.0,241.0,226.7,229.8,,187.14466280939,252.8153371906099
2008-01-21,232.5,232.5,200.05,221.6,,190.81579224225118,251.87420775774876
2008-01-22,202.55,226.0,187.5,202.75,,192.1552886961201,251.18971130387988
2008-01-23,205.0,229.5,199.5,206.55,,193.10506440906767,250.76993559093233
2008-01-24,210.0,214.65,201.0,203.7,,193.558630886873,250.551369113127
2008-01-25,204.0,209.5,198.0,200.1,,193.43286821518902,250.617131784811
2008-01-28,200.1,200.7,192.0,194.05,,191.45470721232113,251.6802927876788
2008-01-29,197.45,203.0,191.0,194.0,,189.1204101552599,252.81458984474006
2008-01-30,195.05,204.9,192.5,202.85,,188.15130206428236,253.11869793571762
2008-01-31,201.0,217.5,198.0,209.75,,187.27776988366008,252.97223011633992
2008-02-01,207.5,212.0,206.0,210.3,,186.3406179322662,252.04938206773383
2008-02-04,211.0,214.65,207.5,211.9,,186.68740094640407,248.55259905359588
2008-02-05,202.5,214.5,202.5,207.55,,186.3445781276424,245.9204218723576
2008-02-06,207.5,207.5,198.0,198.8,,184.711172915021,244.22882708497895
2008-02-07,200.9,204.45,194.5,197.05,,183.1187798714152,242.41622012858483
2008-02-08,197.05,197.3,191.0,192.5,,180.97124979575318,240.96375020424688
2008-02-11,202.5,215.0,185.75,188.4,,179.26839924857492,238.00660075142505
2008-02-12,189.95,193.95,185.0,185.35,,177.45348731569482,235.07651268430521
2008-02-13,188.4,190.5,180.0,182.9,,175.27044789932407,232.7745521006759
2008-02-14,185.0,190.0,183.5,185.0,,176.96574959971008,225.52425040028993
2008-02-15,185.0,189.8,183.5,189.0,,178.4236343592459,219.98636564075406
2008-02-18,190.8,195.0,190.75,192.95,,179.7204852414729,215.82451475852713
2008-02-19,190.55,196.45,190.55,192.6,,179.23149025607648,215.29850974392355
2008-02-20,190.5,193.95,186.5,187.4,,178.316236769433,214.298763230567
2008-02-21,191.65,192.3,187.0,188.05,,177.52618424948395,213.52381575051606
2008-02-22,186.2,189.0,186.2,188.5,,176.81976606321646,213.07023393678352
2008-02-25,192.4,195.0,186.75,194.2,,176.82870131022915,213.07629868977088
2008-02-26,194.7,194.9,189.0,189.6,206.021,176.45385917180147,213.01114082819856
2008-02-27,191.45,195.0,190.0,190.65,205.95300000000003,176.17317146835813,212.07182853164187
2008-02-28,191.0,191.5,186.0,187.45,205.8,176.42731921881395,209.58768078118604
2008-02-29,187.7,189.35,185.05,186.25,205.627,177.12598167630628,206.48401832369373
2008-03-03,185.5,196.2,182.5,194.2,205.625,179.58990964871032,202.25009035128966
2008-03-04,195.05,207.5,194.25,203.2,205.765,180.61804218246465,200.78695781753538
2008-03-05,204.0,210.0,200.0,202.0,205.78,180.15481092797685,201.57018907202317
2008-03-07,202.5,202.5,187.5,190.8,205.56900000000002,180.24542768833751,200.8545723116625
2008-03-10,187.5,198.5,183.0,197.45,205.504,180.06675347179436,201.52824652820567
2008-03-11,195.0,205.5,190.0,204.55,205.53100000000003,179.31637025325446,203.89362974674552
2008-03-12,207.4,210.0,194.05,197.35,205.35800000000003,180.03100268908017,204.37899731091986
2008-03-13,193.4,196.0,190.5,192.6,205.02,181.33127509009415,204.04872490990584
2008-03-14,192.5,204.95,192.0,200.7,204.635,182.18413270778123,204.76586729221876
2008-03-17,196.25,199.45,192.5,193.75,203.93200000000002,182.61988154399532,204.8051184560047
2008-03-18,197.0,198.45,193.05,195.3,202.97,182.72161530526216,204.9383846947378
2008-03-19,200.0,206.55,197.75,202.85,202.28099999999998,182.54842142328812,206.13657857671188
2008-03-24,205.0,206.0,193.75,196.95,201.579,183.44350530352526,206.19649469647473
2008-03-25,200.5,202.5,197.5,198.75,200.93200000000002,184.31769960543016,206.39230039456982
2008-03-26,198.5,200.0,190.65,195.75,200.27700000000002,185.16246752604297,206.27253247395703
2008-03-27,195.0,198.0,192.5,194.1,199.459,185.154346503146,206.27065349685395
2008-03-28,197.45,197.45,193.05,193.75,198.67800000000003,185.71028326595464,206.12971673404533
2008-03-31,193.5,194.0,189.05,191.3,197.949,185.80949748595256,206.0955025140474
2008-04-01,191.5,197.5,190.0,195.9,197.05599999999998,187.05244670168238,205.69755329831762
2008-04-02,197.75,199.5,194.55,196.6,196.392,188.87933484573995,204.90566515426002
2008-04-03,197.75,205.0,195.5,203.7,196.03400000000002,188.91227582855146,205.82272417144856
2008-04-04,203.25,206.5,201.4,205.2,196.083,188.68101067053422,206.25398932946578
2008-04-07,206.9,215.1,194.0,214.4,196.24,186.61497561390917,209.56002438609084
2008-04-08,215.0,218.5,213.0,213.8,196.442,186.32064544562323,212.1543545543768
2008-04-09,214.0,217.5,210.05,211.3,196.666,185.97343580208567,213.88656419791434
2008-04-10,215.5,215.5,209.05,211.4,197.013,185.5247802833088,215.02021971669123
2008-04-11,212.5,212.5,209.75,210.2,197.33700000000002,185.59483441067985,216.2351655893202
2008-04-15,209.3,214.45,205.05,213.05,197.541,186.22917585741874,217.64582414258126
