Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1997-05-22,58.7,58.7,58.7,58.7,,,
1997-05-23,59.2,59.2,59.2,59.2,,,
1997-05-27,60.3,60.3,60.3,60.3,,,
1997-05-30,62.9,62.9,62.9,62.9,,,
1997-06-03,60.8,60.8,60.8,60.8,,,
1997-06-09,64.0,64.0,64.0,64.0,,,
1997-06-18,58.7,58.7,58.7,58.7,,,
1997-07-07,58.7,58.7,58.7,58.7,,,
1997-07-09,52.8,52.8,52.8,52.8,,,
1997-07-10,48.0,48.0,48.0,48.0,,,
1997-07-16,43.2,43.2,43.2,43.2,,,
1997-07-17,45.9,45.9,45.9,45.9,,,
1997-07-21,43.3,43.3,43.3,43.3,,,
1997-07-22,43.3,43.3,43.3,43.3,,,
1997-07-24,45.45,45.55,45.3,45.55,,,
1997-07-28,45.45,45.45,45.45,45.45,,,
1997-08-04,48.0,48.0,48.0,48.0,,,
1997-08-05,50.1,50.1,48.75,48.75,,,
1997-08-07,53.3,53.3,53.3,53.3,,,
1997-08-08,48.1,48.1,48.1,48.1,,37.92142634641166,66.97357365358835
1997-08-11,52.7,52.7,52.7,52.7,,37.9203770893132,66.37462291068681
1997-08-12,56.0,56.0,56.0,56.0,,38.02481005406495,65.95018994593505
1997-09-01,51.2,51.2,51.2,51.2,,38.128444250850194,64.93655574914979
1997-09-03,47.7,47.7,47.7,47.7,,38.398143025744105,63.1468569742559
1997-09-04,43.0,43.0,43.0,43.0,,37.99388204659158,61.771117953408435
1997-09-05,42.7,42.7,42.7,42.7,,38.54785771647431,59.087142283525694
1997-09-24,42.7,42.7,42.7,42.7,,38.52599271578451,57.509007284215485
1997-09-30,41.6,44.8,41.6,44.55,,39.15598258525285,55.464017414747154
1997-10-01,44.35,44.35,44.35,44.35,,39.06217841589008,54.712821584109925
1997-10-09,44.3,44.3,44.3,44.3,,38.813235141979334,54.59176485802067
1997-10-15,44.8,44.8,44.8,44.8,,39.011211750769284,54.55378824923071
1997-10-22,45.0,45.0,45.0,45.0,,38.93433768557497,54.54066231442503
1997-11-04,45.0,45.0,44.8,44.8,,39.12040734106225,54.50459265893775
1997-11-06,44.8,44.8,44.8,44.8,,39.31122991366778,54.463770086332225
1997-11-07,44.8,44.8,44.8,44.8,,39.23851283636995,54.46148716363005
1997-11-10,44.8,44.8,42.75,44.8,,39.17535404897015,54.459645951029856
1997-11-12,44.8,47.05,44.8,45.85,,39.07741059321076,54.342589406789244
1997-11-13,44.8,44.8,44.8,44.8,,38.89777223419194,54.127227765808065
1997-11-18,44.8,44.8,44.8,44.8,,39.14905826685773,53.02594173314227
1997-12-01,44.8,44.8,44.8,44.8,,39.02875951353428,52.816240486465716
1997-12-24,44.8,44.8,44.8,44.8,,39.4069156625712,51.64808433742879
1997-12-31,44.9,44.9,44.9,44.9,,41.34504982986096,48.599950170139046
1998-01-07,44.8,44.8,44.8,44.8,,42.514996537399014,46.79000346260098
1998-01-09,44.8,44.8,44.8,44.8,,42.91697708036182,46.09802291963817
1998-01-16,44.8,44.8,44.8,44.8,,43.170882727531705,46.02411727246829
1998-01-22,44.8,44.8,44.8,44.8,,43.5891952939915,45.8158047060085
1998-01-23,44.9,44.9,44.8,44.8,,44.21520295503581,45.39979704496419
1998-02-12,44.9,44.9,44.9,44.9,,44.244165754235986,45.40583424576402
1998-02-27,44.6,44.6,44.6,44.6,,44.289897570264465,45.38510242973553
1998-03-02,44.8,44.8,44.8,44.8,48.308,44.375970939906544,45.34902906009345
1998-03-09,44.8,44.8,44.8,44.8,48.03,44.375970939906544,45.34902906009345
1998-04-17,48.75,48.75,48.75,48.75,47.821,43.242704841628424,46.85729515837157
1998-04-30,49.3,49.3,49.3,49.3,47.601000000000006,42.659157577577155,47.89084242242284
1998-05-12,48.75,48.75,48.75,48.75,47.318000000000005,42.443782188954046,48.50121781104596
1998-05-28,53.55,53.55,53.55,53.55,47.173,41.21873151482462,50.601268485175375
1998-06-15,48.75,48.75,48.75,48.75,46.868,41.28231661106629,50.93268338893371
1998-07-17,48.75,48.75,48.75,48.75,46.669000000000004,41.28762601527387,51.21737398472612
1998-09-23,50.7,50.7,50.7,50.7,46.50899999999999,41.255651750594446,51.83934824940555
1998-10-28,43.2,43.2,43.2,43.2,46.317,41.01837887337496,51.91662112662503
1998-11-26,24.7,24.7,24.5,24.5,45.847,34.21134090074621,56.69365909925379
1998-11-27,24.5,25.3,24.5,25.3,45.489,30.063235318241563,58.891764681758445
1998-11-30,26.7,26.7,26.7,26.7,45.105,27.112064967608347,60.02293503239164
1998-12-10,27.7,27.7,27.7,27.7,44.793,24.81307704546702,60.61192295453298
1998-12-18,25.7,25.7,25.6,25.6,44.43899999999999,22.329792860376603,61.17520713962341
1999-01-05,24.5,24.5,24.5,24.5,44.018,19.914160993769038,61.56083900623096
1999-01-08,26.25,26.25,26.25,26.25,43.63399999999999,18.114339507391698,61.50566049260831
1999-01-22,25.6,26.2,24.85,26.1,43.196,16.48415365601384,61.265846343986155
1999-01-25,26.1,28.15,26.1,27.3,42.766999999999996,15.221032867605903,60.768967132394096
1999-01-27,29.45,29.45,27.7,28.6,42.273,14.274338211079005,60.115661788920995
1999-01-28,28.8,28.8,26.3,26.3,41.83700000000001,13.149277920582112,59.390722079417884
1999-01-29,25.15,26.55,25.15,26.55,41.31399999999999,12.213732508854406,58.5012674911456
1999-02-01,26.25,27.7,26.25,27.0,40.733999999999995,11.740033989793737,56.79996601020627
1999-02-02,26.95,26.95,24.85,25.35,40.217000000000006,11.375629621751365,54.76937037824863
1999-02-03,27.15,27.4,26.35,26.9,39.801,11.437223064772311,52.52277693522769
1999-02-04,27.1,27.1,25.4,26.1,39.463,12.624107807845647,48.59089219215435
1999-02-05,25.5,26.45,25.5,25.6,39.121,13.520616359761735,45.37938364023826
1999-02-08,26.0,26.1,25.4,25.45,38.775999999999996,15.132809868194835,41.437190131805174
1999-02-09,25.25,25.25,23.4,23.95,38.364000000000004,18.970726150088836,34.92427384991116
1999-02-10,23.15,25.1,22.45,24.5,37.967000000000006,23.646095888051377,28.37890411194862
1999-02-11,25.05,26.25,24.75,25.5,37.591,23.790270628703123,28.334729371296877
1999-02-12,25.6,25.6,23.45,24.2,37.178999999999995,23.607878319292595,28.407121680707405
1999-02-15,24.45,24.45,23.7,23.7,36.753,23.272263575915012,28.442736424084984
1999-02-16,24.0,24.1,23.8,23.8,36.333,23.074089595707964,28.25091040429204
1999-02-17,24.4,24.4,23.5,23.5,35.907,22.79396393565382,28.32103606434618
1999-02-18,23.9,23.9,21.7,22.35,35.458,22.36472086053537,28.535279139464635
1999-02-19,21.6,22.3,20.9,20.9,34.98,21.51625640399364,28.84874359600636
1999-02-22,20.35,20.35,19.25,19.25,34.448,20.347831375898405,29.332168624101595
1999-02-23,19.25,19.95,18.7,19.7,33.946,19.57537320285749,29.34462679714251
1999-02-24,20.15,20.3,19.5,19.5,33.44,19.049312146103503,28.960687853896502
1999-02-25,19.2,20.7,19.2,20.15,32.946999999999996,18.580811617853396,28.814188382146607
1999-02-26,20.75,21.75,19.9,21.35,32.477999999999994,18.403314235074014,28.471685764925986
1999-02-27,21.3,22.1,20.8,21.0,32.0,18.285384346413068,27.98961565358693
1999-03-01,20.6,20.6,19.35,20.0,31.503999999999998,17.942162852999072,27.797837147000923
1999-03-03,20.5,20.8,20.3,20.6,31.02,17.91479809876723,27.19520190123277
1999-03-04,20.3,20.5,20.3,20.3,30.53,17.83756162930421,26.69243837069579
1999-03-05,19.85,20.25,19.7,19.95,30.033,17.73362708443462,26.231372915565384
1999-03-08,20.3,20.7,20.15,20.7,29.551,17.791467269311532,25.698532730688463
1999-03-09,20.15,20.3,19.0,19.0,29.032999999999998,17.50560360328595,25.489396396714046
1999-03-10,19.8,19.8,19.4,19.4,28.529,17.409777317899454,25.075222682100545
1999-03-11,19.0,19.5,18.95,18.95,28.012000000000004,17.519631637688978,24.31036836231102
1999-03-12,19.2,20.05,19.0,20.05,27.517,17.668927793745116,23.746072206254883
1999-03-15,19.0,19.2,18.9,18.9,26.92,17.67591961379856,23.259080386201443
1999-03-16,18.4,18.7,17.85,18.35,26.301,17.727975369740157,22.662024630259843
1999-03-17,18.1,19.8,18.1,19.8,25.721999999999998,18.092874959465213,21.927125040534783
1999-03-18,21.1,21.1,19.1,20.15,25.054000000000002,18.32653583654503,21.473464163454967
1999-03-19,18.9,19.1,18.9,19.1,24.461,18.271853473548468,21.34814652645153
1999-03-20,18.8,18.8,18.8,18.8,23.862,18.20241325158754,21.372586748412463
1999-03-22,19.2,19.6,19.0,19.05,23.229,18.136065977745286,21.37393402225472
1999-03-23,19.0,19.4,18.7,18.75,22.74,18.0400097066739,21.394990293326103
