Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-05-13,129.0,135.45,125.0,135.45,,,
2016-05-16,140.7,141.0,135.0,140.2,,,
2016-05-17,141.0,141.0,134.0,139.0,,,
2016-05-18,137.25,145.95,137.25,145.95,,,
2016-05-19,147.2,149.0,140.15,142.6,,,
2016-05-20,143.1,146.0,136.55,138.05,,,
2016-05-23,137.0,138.5,132.05,136.55,,,
2016-05-24,133.5,137.95,131.8,132.75,,,
2016-05-25,134.0,134.0,128.15,133.65,,,
2016-05-26,133.9,135.05,131.6,133.3,,,
2016-05-27,135.95,136.95,132.1,132.45,,,
2016-05-30,133.95,134.0,127.0,130.0,,,
2016-05-31,129.0,135.2,126.5,132.3,,,
2016-06-01,132.0,135.0,132.0,134.6,,,
2016-06-02,133.05,140.0,133.05,138.6,,,
2016-06-03,136.7,138.9,134.0,135.0,,,
2016-06-06,134.55,135.15,130.1,133.05,,,
2016-06-07,131.35,135.5,131.35,133.55,,,
2016-06-08,132.55,133.5,130.2,132.85,,,
2016-06-09,132.2,134.0,131.75,133.55,,127.75340415846804,143.59159584153193
2016-06-10,131.6,139.35,131.6,133.5,,127.5965751455632,143.55342485443677
2016-06-13,132.0,134.0,131.5,133.25,,127.49564688243632,142.95935311756367
2016-06-14,134.0,137.5,132.95,136.55,,127.54917965720254,142.66082034279742
2016-06-15,135.0,137.0,133.3,135.05,,128.9850938171689,140.13490618283112
2016-06-16,135.0,135.75,132.75,133.05,,129.9605082739683,138.20449172603173
2016-06-17,133.1,136.0,133.05,134.0,,130.20499194415487,137.55500805584512
2016-06-20,134.0,135.5,132.95,133.6,,130.27855107769454,137.18644892230543
2016-06-21,135.0,144.0,135.0,137.75,,130.12745887113206,137.8375411288679
2016-06-22,137.3,143.9,137.0,138.55,,129.87120087054814,138.5837991294519
2016-06-23,137.55,138.6,137.05,138.15,,129.80226077488422,139.13773922511578
2016-06-24,133.0,141.05,130.0,136.7,,130.01500038761876,139.34999961238125
2016-06-27,134.05,137.9,133.35,135.2,,130.8265138356327,139.05848616436734
2016-06-28,138.0,139.0,133.5,134.35,,131.1078757489227,138.98212425107732
2016-06-29,135.0,139.75,134.15,138.85,,130.97764818259472,139.53735181740527
2016-06-30,139.0,145.9,137.5,143.75,,129.95896013806885,141.07103986193118
2016-07-01,142.0,144.25,141.0,142.85,,129.4660818004843,142.3489181995157
2016-07-04,145.0,147.7,141.0,142.65,,129.4323901783237,143.3426098216763
2016-07-05,142.5,143.15,139.05,140.0,,129.71085719534176,143.7091428046582
2016-07-07,138.35,143.45,138.35,139.55,,130.1837510727198,143.90624892728025
2016-07-08,140.05,143.0,138.85,142.3,,130.44595816095506,144.51904183904497
2016-07-11,143.0,143.25,140.6,142.1,,130.84963380083082,144.97536619916917
2016-07-12,142.0,142.95,139.9,141.1,,131.46410901463253,145.1458909853675
2016-07-13,141.2,143.5,140.8,142.9,,131.5394234308665,145.7055765691335
2016-07-14,141.35,145.9,140.05,141.55,,131.95875152383095,145.93624847616903
2016-07-15,142.95,145.0,142.35,143.8,,132.75735866779942,146.2126413322006
2016-07-18,144.0,145.0,139.6,140.3,,133.5831299125519,146.01687008744813
2016-07-19,142.7,143.55,140.8,141.1,,134.66859224940748,145.68140775059254
2016-07-20,142.0,155.1,141.8,152.5,,133.2461775439592,148.5788224560408
2016-07-21,153.0,153.9,147.45,150.25,,132.86546206290987,150.12953793709013
2016-07-22,150.3,152.3,145.75,148.6,138.14600000000002,132.98542314508518,151.05457685491484
2016-07-25,150.45,154.0,148.6,153.6,138.509,132.82061953392036,152.90938046607965
2016-07-26,152.55,155.2,152.55,154.05,138.786,133.26623896488096,154.34876103511905
2016-07-27,155.05,157.45,148.0,150.05,139.007,134.6982020674057,154.4867979325943
2016-07-28,151.5,157.9,150.25,153.4,139.15599999999998,135.0702554588962,155.56974454110377
2016-07-29,154.0,159.0,151.0,157.0,139.44400000000002,134.51904433473638,157.44595566526365
2016-08-01,179.9,179.9,162.2,165.8,139.999,132.76053676422808,161.49946323577197
2016-08-02,168.1,168.1,161.6,162.0,140.50799999999998,132.44931278365178,163.74568721634827
2016-08-03,162.9,164.95,159.9,161.35,141.08,132.94038906475754,165.3896109352425
2016-08-04,164.0,166.0,160.35,161.95,141.64600000000002,133.76515228820068,166.8048477117993
2016-08-05,163.0,166.0,162.3,164.8,142.276,134.1326159387485,168.68738406125155
2016-08-08,164.4,172.5,163.55,171.75,143.062,133.96885077475838,171.81614922524165
2016-08-09,171.5,175.5,171.0,172.0,143.90200000000002,134.54680196244888,174.32819803755112
2016-08-10,173.5,175.0,166.25,168.45,144.625,135.66303855243277,175.76696144756724
2016-08-11,167.5,172.75,165.0,170.0,145.333,137.28101822650754,176.99398177349244
2016-08-12,171.0,173.7,167.35,173.05,146.02200000000002,138.57175678408674,178.62824321591324
2016-08-16,173.05,173.1,168.05,169.25,146.707,141.45493003523393,178.6400699647661
2016-08-17,170.9,170.95,163.6,164.65,147.339,144.83217422644617,177.61782577355382
2016-08-18,165.0,167.2,164.05,166.5,147.998,145.90959623066837,177.94040376933165
2016-08-19,166.5,168.65,161.0,166.85,148.678,147.58914846994853,177.92085153005146
2016-08-22,167.8,167.8,164.15,165.85,149.324,149.95347597222678,177.28152402777323
2016-08-23,166.0,166.25,164.05,165.5,149.96400000000003,151.37370701689045,177.05129298310956
2016-08-24,166.95,166.95,164.25,165.25,150.604,152.85619206772384,176.68880793227612
2016-08-25,166.35,167.2,164.05,164.95,151.172,155.820279834027,175.21472016597298
2016-08-26,165.25,165.7,163.65,164.55,151.762,158.20022347852696,173.949776521473
2016-08-29,164.4,166.85,162.1,165.0,152.40099999999998,159.82340739292374,173.12659260707625
2016-08-30,166.6,166.6,164.25,165.0,153.021,159.7567477861671,173.1132522138329
2016-08-31,166.75,166.75,164.2,164.75,153.644,160.1712275113717,172.97377248862827
2016-09-01,165.85,171.95,165.5,167.0,154.229,160.94426934786483,172.76573065213515
2016-09-02,166.8,175.05,166.8,173.75,154.933,161.24704617805745,173.64295382194254
2016-09-06,174.0,175.45,172.05,173.05,155.631,161.3123310302873,174.40266896971272
2016-09-07,173.0,173.9,165.4,167.6,156.249,161.3665212451109,173.9334787548891
2016-09-08,169.7,169.7,163.0,164.05,156.826,161.1237519523508,173.3812480476492
2016-09-09,170.0,173.95,163.6,164.6,157.431,160.84833016772075,173.27166983227926
2016-09-12,163.9,166.5,160.25,161.75,157.889,160.16793901747187,173.12706098252815
2016-09-14,161.2,162.85,157.4,158.95,158.19299999999998,159.32917413872914,172.55582586127085
2016-09-15,160.15,162.0,158.65,160.45,158.545,158.64911243963127,172.35588756036873
2016-09-16,162.0,165.5,154.35,155.8,158.808,156.94765722721584,173.17234277278416
2016-09-19,157.4,160.5,155.2,155.7,159.122,155.43210174260142,173.60789825739855
2016-09-20,156.95,157.55,155.9,156.35,159.458,154.28218155707373,173.70781844292628
