Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1998-09-09,2.3,2.3,2.0,2.15,,,
1998-09-10,2.0,2.1,2.0,2.0,,,
1998-09-11,2.05,2.15,1.85,2.05,,,
1998-09-14,2.05,2.05,1.85,1.9,,,
1998-09-15,1.9,1.9,1.85,1.9,,,
1998-09-16,1.95,2.0,1.9,1.9,,,
1998-09-17,1.95,2.05,1.9,1.95,,,
1998-09-18,1.9,2.0,1.9,1.95,,,
1998-09-21,1.95,1.95,1.9,1.9,,,
1998-09-22,1.95,1.95,1.9,1.9,,,
1998-09-23,1.9,1.9,1.85,1.9,,,
1998-09-24,1.8,1.95,1.8,1.85,,,
1998-09-25,1.8,1.85,1.75,1.75,,,
1998-09-28,1.8,1.8,1.65,1.7,,,
1998-09-29,1.7,1.7,1.6,1.6,,,
1998-09-30,1.25,1.75,1.25,1.65,,,
1998-10-05,1.6,1.6,1.55,1.55,,,
1998-10-06,1.45,1.6,1.45,1.55,,,
1998-10-07,1.6,1.7,1.6,1.65,,,
1998-10-08,1.7,1.75,1.6,1.6,,1.468462025709282,2.1715379742907177
1998-10-09,1.6,1.6,1.5,1.55,,1.4550216032103114,2.1249783967896883
1998-10-12,1.55,1.6,1.55,1.6,,1.4400877309599438,2.0999122690400562
1998-10-13,1.6,1.6,1.25,1.35,,1.3824155569602015,2.0875844430397983
1998-10-14,1.3,1.6,1.3,1.55,,1.364654424712452,2.070345575287548
1998-10-15,1.5,1.55,1.5,1.55,,1.3505643647853076,2.0494356352146923
1998-10-16,1.4,1.6,1.4,1.55,,1.3402550892308704,2.0247449107691295
1998-10-19,1.5,1.5,1.5,1.5,,1.3329719149353476,1.9870280850646527
1998-10-20,1.45,1.45,1.35,1.35,,1.3049089196450987,1.9550910803549015
1998-10-22,1.5,1.5,1.4,1.5,,1.3063381381934986,1.9136618618065016
1998-10-23,1.5,1.6,1.5,1.55,,1.320518963509351,1.864481036490649
1998-10-26,1.6,1.65,1.55,1.6,,1.346997117268851,1.8080028827311492
1998-10-27,1.55,1.6,1.5,1.6,,1.3727830173448399,1.75721698265516
1998-10-28,1.25,1.6,1.25,1.55,,1.3836278288267518,1.7263721711732485
1998-10-29,1.5,1.6,1.5,1.6,,1.3910561171521898,1.7089438828478103
1998-10-30,1.6,1.6,1.55,1.55,,1.3903041784404209,1.7046958215595793
1998-10-31,1.6,1.6,1.55,1.55,,1.3928512885384345,1.6921487114615654
1998-11-02,1.55,1.65,1.5,1.5,,1.3892125930149843,1.6907874069850157
1998-11-03,1.5,1.55,1.5,1.5,,1.3857557553332738,1.6892442446667264
1998-11-05,1.55,1.55,1.55,1.55,,1.390058876428848,1.674941123571152
1998-11-06,1.5,1.6,1.5,1.55,,1.3908295252123022,1.6691704747876979
1998-11-09,1.6,1.6,1.55,1.55,,1.3908295252123022,1.6691704747876979
1998-11-10,1.55,1.55,1.5,1.55,,1.391872801982394,1.6631271980176061
1998-11-11,1.55,1.55,1.55,1.55,,1.4305076244723287,1.6444923755276715
1998-11-12,1.55,1.55,1.5,1.5,,1.4269064732450762,1.643093526754924
1998-11-13,1.15,1.55,1.15,1.5,,1.4235577168743319,1.641442283125668
1998-11-16,1.5,1.5,1.45,1.5,,1.420455488498959,1.639544511501041
1998-11-17,1.5,1.5,1.4,1.4,,1.4014558463757245,1.6485441536242753
1998-11-18,1.5,1.6,1.45,1.45,,1.4305277081690235,1.6294722918309765
1998-11-19,1.45,1.45,1.4,1.4,,1.4102921330647114,1.6397078669352885
1998-11-20,1.45,1.45,1.4,1.4,1.636,1.3906972107230176,1.6443027892769826
1998-11-21,1.4,1.45,1.4,1.45,1.6219999999999999,1.3860305640384154,1.6339694359615846
1998-11-23,1.4,1.4,1.35,1.35,1.6089999999999998,1.361872801982393,1.6331271980176072
