Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1998-09-30,73.55,76.7,71.0,76.7,,,
1998-10-05,76.0,82.85,76.0,82.85,,,
1998-10-06,87.0,89.5,82.5,89.5,,,
1998-10-07,95.0,96.65,95.0,96.65,,,
1998-10-08,104.0,104.4,97.5,104.4,,,
1998-10-09,109.95,112.45,106.25,109.1,,,
1998-10-12,112.2,112.5,100.4,100.4,,,
1998-10-13,92.6,92.6,92.4,92.4,,,
1998-10-14,85.5,85.5,85.0,85.05,,,
1998-10-15,85.05,85.05,78.25,78.25,,,
1998-10-16,78.25,78.25,72.0,72.15,,,
1998-10-19,73.4,73.4,66.55,67.1,,,
1998-10-20,67.0,67.0,61.8,61.8,,,
1998-10-22,64.4,66.8,60.0,65.35,,,
1998-10-23,65.0,69.95,62.5,68.3,,,
1998-10-26,71.0,73.75,71.0,73.75,,,
1998-10-27,76.0,76.0,70.0,72.3,,,
1998-10-28,76.5,78.1,75.5,77.9,,,
1998-10-29,77.0,78.7,75.6,77.1,,,
1998-10-30,77.5,78.1,72.05,73.8,,54.26624777307778,108.2187522269222
1998-10-31,72.7,75.85,71.55,74.45,,54.05539741264597,108.20460258735402
1998-11-02,75.95,77.5,73.55,75.6,,53.59589572370878,107.93910427629125
1998-11-03,76.1,76.1,72.0,72.55,,52.83801142339881,107.00198857660119
1998-11-05,74.5,75.5,73.0,73.7,,52.751163107284256,104.79383689271576
1998-11-06,72.65,72.8,68.5,68.8,,53.616460197627475,100.36853980237254
1998-11-09,70.0,71.45,65.5,69.1,,56.94585648644704,93.03914351355294
1998-11-10,68.75,69.1,66.85,68.6,,59.70081070730022,87.10418929269979
1998-11-11,71.25,71.6,69.5,70.2,,61.865244469672916,82.71975553032706
1998-11-12,69.45,69.5,67.0,68.9,,62.87447400591947,80.09552599408053
1998-11-13,68.0,68.25,65.75,66.1,,62.56742526476068,79.18757473523932
1998-11-16,64.75,65.0,61.5,61.75,,61.13160537785374,79.58339462214623
1998-11-17,61.0,62.75,60.05,62.0,,60.23770480645816,79.96729519354183
1998-11-18,63.05,66.95,62.55,66.95,,61.161338770176805,79.55866122982319
1998-11-19,71.1,72.0,68.0,68.25,,61.55067731557312,79.45932268442687
1998-11-20,67.05,69.5,67.0,68.2,,61.54038299690746,79.45961700309255
1998-11-21,67.6,68.9,67.1,68.9,,61.40637607493592,79.1086239250641
1998-11-23,67.55,67.75,63.5,63.9,,60.60546908926092,79.06953091073909
1998-11-24,64.1,65.9,63.0,63.95,,60.3767633953274,77.9032366046726
1998-11-26,62.0,64.0,62.0,62.5,,60.01397337082027,76.80602662917973
1998-11-27,63.0,63.4,61.6,62.4,,59.4368301720187,76.2431698279813
1998-11-28,62.5,64.65,62.0,63.65,,59.3073059676516,75.2926940323484
1998-11-30,62.1,64.7,61.55,64.7,,59.71564446729741,73.79435553270258
1998-12-01,64.5,64.5,62.0,62.0,,59.43993590705835,73.01506409294163
1998-12-02,63.95,64.9,62.3,62.6,,59.69011577189887,71.65488422810111
1998-12-03,62.2,63.2,62.2,62.75,,59.44188678281267,71.2981132171873
1998-12-04,62.5,62.9,62.25,62.8,,59.294252606968655,70.81574739303136
