Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,118.3,118.3,118.3,118.3,,,
1995-01-03,118.3,118.3,115.7,115.7,,,
1995-01-04,117.7,117.7,116.7,116.7,,,
1995-01-05,113.3,115.0,113.3,113.3,,,
1995-01-06,114.8,115.0,114.8,115.0,,,
1995-01-09,114.2,114.2,113.3,113.3,,,
1995-01-10,110.0,111.7,106.7,106.7,,,
1995-01-11,110.0,110.0,110.0,110.0,,,
1995-01-12,108.3,108.3,106.7,106.7,,,
1995-01-16,110.0,110.0,108.3,108.3,,,
1995-01-17,105.0,106.7,105.0,106.45,,,
1995-01-18,105.0,106.7,103.3,103.3,,,
1995-01-19,104.95,104.95,103.7,104.9,,,
1995-01-20,105.0,105.0,103.3,103.8,,,
1995-01-23,103.7,104.0,100.65,100.65,,,
1995-01-24,101.65,101.65,99.65,99.65,,,
1995-01-25,100.0,100.0,98.3,99.95,,,
1995-01-27,99.0,101.0,99.0,100.6,,,
1995-01-30,101.65,103.2,100.0,100.0,,,
1995-01-31,99.65,102.3,99.65,102.3,,94.84158751033084,119.71841248966916
1995-02-01,103.3,103.3,101.7,101.7,,94.92602042421292,117.97397957578708
1995-02-02,104.0,104.0,102.5,103.3,,95.09410840120614,116.56589159879385
1995-02-03,102.0,103.3,102.0,103.25,,95.676922902309,114.638077097691
1995-02-06,103.3,103.95,103.0,103.0,,95.9369497438038,113.3480502561962
1995-02-07,103.2,103.3,103.0,103.0,,96.81380899234097,111.27119100765901
1995-02-08,102.0,102.0,101.65,101.65,,97.63007718747497,109.28992281252505
1995-02-09,98.3,98.3,98.3,98.3,,96.9868494501667,109.09315054983331
1995-02-10,99.5,100.3,98.3,100.3,,97.35571867314438,107.7542813268556
1995-02-13,100.0,100.0,98.3,98.3,,96.98870854017443,107.28129145982558
1995-02-14,97.0,97.0,96.65,96.65,,96.71639946123402,106.38860053876597
1995-02-15,96.65,98.3,96.65,98.3,,96.6878472623977,105.6021527376023
1995-02-16,98.0,98.3,96.65,97.0,,96.13023516825744,105.52976483174255
1995-02-17,97.5,97.5,96.65,96.65,,95.773967429118,105.06103257088198
1995-02-20,96.8,97.3,96.8,97.2,,95.51862647765803,104.65637352234198
1995-02-21,96.65,96.65,91.65,91.65,,93.72623733320967,105.54876266679034
1995-02-22,91.65,93.3,91.65,91.65,,92.33091466043956,106.14408533956043
1995-02-23,94.0,96.65,94.0,96.65,,92.08043871218,106.06456128782001
1995-02-24,98.3,100.0,97.0,98.3,,91.9956282764808,105.91937172351922
1995-02-28,98.65,98.65,95.0,95.0,,91.54698877155892,105.8680112284411
1995-03-01,98.3,98.3,96.65,96.65,,91.41707215850661,105.43292784149341
1995-03-02,98.3,99.15,97.5,97.5,,91.3704785642669,105.0595214357331
1995-03-03,98.5,98.5,98.3,98.3,,91.55078059883238,104.37921940116763
1995-03-06,100.0,100.3,98.3,98.7,,91.80810178787982,103.6668982121202
1995-03-07,100.3,100.3,98.0,98.0,,92.09502229587615,102.87997770412387
1995-03-08,99.15,99.15,98.3,98.3,,92.49983039008058,102.00516960991945
1995-03-09,98.3,100.0,98.3,99.95,,92.69333145036695,101.64166854963305
1995-03-10,98.3,98.35,98.3,98.35,,92.69311198310828,101.64688801689172
1995-03-13,95.0,98.3,95.0,96.65,,92.7570496071559,101.21795039284412
1995-03-14,98.3,100.0,98.3,98.65,,92.74887129201353,101.26112870798646
1995-03-15,99.15,100.0,98.3,98.3,101.936,92.79652109070679,101.37847890929322
1995-03-20,96.65,96.65,94.0,95.0,101.47,92.57442420053493,101.27057579946506
1995-03-21,93.3,94.3,93.3,94.25,101.041,92.27628329612644,101.29371670387356
1995-03-22,94.95,95.0,94.95,95.0,100.60700000000001,92.12354643073631,101.28145356926369
1995-03-23,96.65,96.65,93.3,93.3,100.20700000000001,91.691706356056,101.32329364394401
1995-03-24,90.0,94.0,90.0,94.0,99.787,92.2102519890713,101.0397480109287
1995-03-27,93.3,94.15,93.0,93.65,99.39399999999999,92.71245388614804,100.73754611385195
1995-03-28,94.0,94.0,93.3,93.3,99.126,92.262058720053,100.85294127994698
1995-03-29,94.3,95.0,93.65,95.0,98.82600000000001,92.12545677374418,100.65954322625582
1995-03-30,94.3,94.3,94.3,94.3,98.57800000000002,92.03129161997862,100.68370838002139
1995-03-31,94.3,95.0,94.3,94.8,98.30799999999999,91.88633161313808,100.64366838686192
1995-04-03,94.65,95.0,94.65,94.65,98.072,91.72758966620432,100.51741033379565
1995-04-04,96.65,96.65,95.0,96.15,97.929,91.74083033610175,100.28916966389825
1995-04-05,96.6,96.8,95.65,96.8,97.76700000000001,91.81603529306255,100.02396470693742
1995-04-06,96.65,96.65,95.0,95.0,97.59100000000001,91.7681057116991,99.77189428830089
1995-04-07,96.3,96.65,96.3,96.3,97.50399999999999,91.83794681940009,99.50205318059989
1995-04-10,96.0,96.3,95.0,95.15,97.414,92.16771149102539,98.6922885089746
1995-04-11,93.3,95.0,93.3,93.5,97.285,92.12415559439253,98.25084440560747
1995-04-12,93.3,95.0,93.3,95.0,97.17299999999999,92.11961454485562,98.09038545514436
1995-04-17,93.3,93.8,92.5,93.8,97.04899999999999,92.33707663788965,97.38792336211034
1995-04-18,93.45,93.45,91.65,91.65,96.83599999999998,92.16414642086784,96.89585357913217
1995-04-19,93.3,93.3,91.65,91.65,96.635,91.6831687794393,97.0418312205607
1995-04-20,90.0,90.0,88.3,88.3,96.335,90.25171298028405,97.87828701971597
1995-04-21,88.3,89.15,87.3,88.0,96.03,89.06899435847848,98.36100564152153
1995-04-24,87.65,88.3,86.65,86.65,95.70299999999999,87.76183558900289,99.0031644109971
1995-04-25,85.0,85.0,83.3,83.3,95.309,85.65668165845854,100.03831834154145
1995-04-26,84.3,85.0,83.65,84.65,94.969,84.34350622116769,100.45149377883233
1995-04-27,83.3,84.15,83.0,84.0,94.68299999999999,83.06509813759017,100.79990186240984
1995-04-28,82.5,82.65,82.5,82.65,94.33,81.66179764070654,100.96820235929349
1995-05-02,80.0,80.65,78.65,78.65,93.93700000000001,79.46456266542405,101.60043733457594
1995-05-03,80.0,80.8,80.0,80.8,93.62,78.14731932666784,101.51768067333218
1995-05-04,80.0,81.3,80.0,81.0,93.274,77.06198941099099,101.23801058900902
1995-05-05,81.65,83.3,81.65,81.75,92.969,76.38218298873876,100.47781701126122
1995-05-08,83.3,83.3,81.65,83.0,92.696,76.13811267622043,99.34188732377959
1995-05-09,86.3,86.3,83.0,83.15,92.415,75.9018470386861,98.39315296131392
1995-05-10,86.65,87.9,86.65,87.3,92.32799999999999,76.30608274191768,97.08891725808233
1995-05-12,83.3,84.65,83.3,84.65,92.18799999999999,76.54635823586887,95.79864176413113
1995-05-15,86.65,86.65,85.8,85.9,91.97300000000001,76.80547572813174,94.77952427186827
1995-05-16,86.65,87.0,86.65,87.0,91.74700000000001,77.48352608292052,93.3014739170795
1995-05-17,86.65,88.3,86.65,88.0,91.60700000000001,78.12053262532376,92.08446737467625
1995-05-18,88.0,88.4,86.65,86.8,91.41,78.52899026927639,91.19100973072361
1995-05-19,86.65,86.95,86.0,86.5,91.19,79.06511747184211,90.1398825281579
1995-05-22,86.65,86.65,83.3,83.5,90.89400000000002,79.09014159432566,89.63485840567434
1995-05-23,83.3,84.6,83.3,84.6,90.612,79.20227007174698,89.18272992825301
1995-05-24,85.0,85.0,84.0,84.0,90.332,79.2056367971429,88.9143632028571
1995-05-25,83.3,83.3,82.65,82.65,90.01900000000002,79.14310217577919,88.91189782422082
1995-05-29,83.3,84.95,82.15,82.15,89.663,78.95759565842188,88.84740434157813
1995-05-30,82.0,82.65,81.65,82.65,89.34900000000002,78.85894153021425,88.81105846978576
1995-05-31,82.3,84.0,82.3,83.8,89.09199999999998,78.94761694566571,88.83738305433428
1995-06-01,83.3,84.65,83.3,84.3,88.805,79.88959023638401,88.46040976361598
1995-06-02,84.65,86.65,84.65,85.7,88.553,80.39463306674303,88.44536693325695
1995-06-05,86.65,86.65,85.65,86.0,88.37299999999999,80.92786438682953,88.41213561317048
1995-06-06,85.8,86.5,85.3,85.8,88.204,81.36469291774672,88.38030708225328
1995-06-07,85.75,86.1,85.75,85.8,88.02,81.5970744659065,88.4279255340935
1995-06-08,85.65,86.1,85.65,86.1,87.87599999999999,81.82950296107225,88.49049703892774
1995-06-09,85.0,85.65,85.0,85.15,87.699,81.87768545921001,88.22731454079
1995-06-12,85.65,85.65,85.5,85.6,87.538,81.92211589758033,88.27788410241966
1995-06-13,84.65,85.0,84.4,84.5,87.362,81.86466140499263,88.19533859500737
1995-06-14,84.4,84.4,83.7,83.7,87.13600000000001,81.78927158820088,87.94072841179911
1995-06-15,84.15,84.3,83.85,84.3,86.93599999999998,81.97553974642847,87.38446025357152
1995-06-16,82.7,84.65,82.7,84.1,86.72200000000001,82.02269946279388,87.0673005372061
1995-06-20,84.3,85.0,82.7,84.65,86.52199999999999,82.10225365233197,86.80274634766803
1995-06-21,83.7,83.7,83.7,83.7,86.27300000000001,82.12766652233802,86.797333477662
1995-06-22,83.0,83.3,83.0,83.0,85.99700000000001,81.95952336175858,86.80547663824143
1995-06-26,82.7,82.7,80.0,81.65,85.73,81.55321286350235,86.97678713649765
1995-06-27,80.0,80.0,76.0,76.0,85.324,79.38054553255704,88.48445446744294
1995-06-28,76.65,78.3,76.65,76.65,84.95400000000001,78.09888648487632,89.21611351512368
1995-06-29,76.65,76.65,73.3,75.75,84.59900000000002,76.7286381513511,89.8963618486489
1995-06-30,74.3,74.3,73.3,73.95,84.17800000000001,75.0270612259026,90.61293877409742
1995-07-03,73.3,73.65,70.0,70.0,83.70200000000001,72.4760469498448,91.73395305015521
1995-07-05,68.3,68.3,67.3,68.3,83.235,69.96865047679886,92.50134952320114
1995-07-10,71.3,71.65,70.15,71.0,82.822,68.57551240662183,92.39448759337817
1995-07-11,70.3,74.3,70.3,73.35,82.52300000000001,67.82195992643419,91.9030400735658
1995-07-12,75.0,78.3,75.0,76.7,82.29700000000001,67.62672730619322,91.18827269380678
1995-07-13,77.3,80.0,77.0,80.0,82.164,67.74294686757412,90.46205313242586
1995-07-14,83.0,86.65,82.0,86.65,82.23100000000001,67.63155174736102,90.72344825263897
1995-07-17,88.3,89.65,86.7,88.0,82.29799999999999,67.4252202561692,91.1697797438308
1995-07-18,87.65,90.0,87.65,89.35,82.405,67.03881689809504,92.04118310190495
1995-07-19,88.35,88.9,88.35,88.9,82.53,66.73111368655805,92.86888631344195
1995-07-20,88.3,95.65,88.3,89.0,82.73700000000001,66.4659524051404,93.6040475948596
1995-07-21,89.3,89.3,87.3,88.2,82.885,66.29372715325792,94.1862728467421
1995-07-24,87.1,87.1,85.35,85.35,82.97200000000001,66.2787034973726,94.27129650262741
1995-07-25,85.3,86.0,85.0,85.5,83.04700000000001,66.25329899469435,94.47670100530564
1995-07-26,90.65,100.0,90.65,91.3,83.213,65.8760831711227,95.6839168288773
1995-07-27,91.0,91.3,89.3,90.3,83.35600000000001,65.71218166710634,96.71281833289368
1995-07-28,88.0,89.0,87.3,88.5,83.38,66.21457908569195,97.46042091430806
1995-07-31,86.65,87.45,86.0,86.1,83.40899999999999,66.77631504049859,97.84368495950142
1995-08-01,85.0,86.65,83.65,84.5,83.381,67.5015350463341,97.9934649536659
1995-08-03,91.65,91.65,83.0,83.0,83.301,68.52700296104264,97.87299703895737
1995-08-11,78.0,78.0,76.0,76.6,83.073,69.84326420061767,97.21673579938233
1995-08-14,76.65,76.65,71.65,73.4,82.805,71.14283579487031,96.42716420512969
1995-08-16,73.3,76.0,73.3,74.7,82.569,72.02660719983906,95.91339280016093
1995-08-17,72.9,74.9,72.9,73.4,82.367,72.03844986471199,95.906550135288
1995-08-18,73.65,74.25,73.65,74.15,82.15799999999999,71.53523066614892,96.15476933385108
1995-08-21,74.0,74.3,72.75,73.1,81.94,70.37661789420406,96.62338210579594
1995-08-22,72.0,73.3,70.9,71.8,81.723,68.73495142917876,96.78004857082122
1995-08-23,71.65,72.6,71.65,72.6,81.532,67.49369460814967,96.48130539185033
1995-08-24,72.0,73.25,72.0,72.7,81.333,66.52968308935397,95.78031691064604
1995-08-25,70.65,72.45,70.65,72.3,81.103,65.6662680953427,94.9837319046573
1995-08-28,71.0,71.0,70.3,70.3,80.82300000000001,64.6756461057136,94.1043538942864
1995-08-30,71.6,71.6,70.65,71.15,80.532,63.99768623879551,93.07731376120448
1995-08-31,71.65,72.3,71.3,71.3,80.238,63.323440179600375,92.34655982039965
1995-09-01,71.65,72.0,70.3,71.65,79.955,62.8508655312117,91.43413446878829
1995-09-05,69.65,70.7,69.3,70.05,79.64,63.122726082682206,89.03727391731782
1995-09-11,72.65,72.65,71.0,71.0,79.33800000000001,63.85299587808245,86.37700412191757
1995-09-12,71.65,72.65,70.3,70.75,79.05,64.75068757787237,83.70431242212764
1995-09-13,71.8,72.5,71.75,72.5,78.788,65.87832211226875,81.21667788773125
1995-09-14,72.65,72.65,70.9,71.3,78.524,67.16111830049704,78.61388169950297
1995-09-15,71.6,72.3,71.4,72.3,78.296,69.16973804154449,75.5352619584555
1995-09-18,72.3,73.3,72.1,72.45,78.059,69.66457134434988,74.62542865565014
1995-09-19,72.3,72.65,72.0,72.65,77.83,69.68495783807657,74.5300421619234
1995-09-20,72.3,72.35,72.3,72.3,77.583,69.88966276784582,74.08533723215417
1995-09-21,72.3,73.0,72.3,73.0,77.369,69.91932366096809,74.01567633903191
1995-09-22,72.0,72.3,72.0,72.3,77.155,70.09189212771881,73.65810787228119
1995-09-25,73.4,73.4,72.0,72.0,76.962,70.13059026191439,73.50940973808562
1995-09-26,72.3,73.8,72.3,73.35,76.909,70.07498727533672,73.72001272466329
1995-09-27,67.0,74.3,67.0,73.65,76.84899999999999,69.98718783911245,73.91281216088755
1995-09-28,73.3,73.3,72.3,72.9,76.792,69.97914425722999,73.94085574277
1995-09-29,73.0,73.3,72.8,73.15,76.77600000000001,69.95555747902114,74.04944252097886
1995-10-10,75.3,75.3,73.3,73.55,76.84700000000001,70.17182744297286,74.15817255702713
1995-10-11,73.55,74.65,74.3,74.3,76.967,70.17516995648772,74.46983004351226
1995-10-12,74.3,74.65,73.65,74.1,77.029,70.23235367485451,74.6926463251455
1995-10-13,75.0,75.25,73.3,75.05,77.063,70.15815266447427,75.10684733552574
1995-10-16,75.05,76.65,74.4,76.65,77.062,70.19523363084141,75.7297663691586
1995-10-17,76.65,78.0,76.3,76.65,76.995,70.18336988724141,76.30663011275857
1995-10-18,76.65,77.5,75.65,76.3,76.788,70.40743051526634,76.63756948473365
1995-10-19,76.3,76.3,75.6,76.0,76.548,70.43455412403824,76.96044587596174
1995-10-20,76.0,76.15,74.65,75.65,76.274,70.74638748611633,77.08361251388365
1995-10-23,75.65,73.65,71.65,73.0,75.956,70.84160728621042,77.05839271378959
1995-10-24,73.3,73.3,73.0,73.0,75.63600000000001,70.91559914561434,77.03940085438565
1995-10-25,73.25,73.3,73.25,73.3,75.33800000000001,70.99397263729026,77.02602736270975
1995-10-26,74.65,74.65,74.65,74.65,75.124,71.21049450589923,77.04450549410076
1995-10-27,74.65,75.0,74.0,75.0,74.914,71.33622910843627,77.11877089156371
1995-10-30,75.0,74.8,74.3,74.8,74.584,71.59922921782423,77.10577078217575
1995-10-31,74.8,75.0,74.0,74.95,74.277,71.97038592500675,77.02961407499325
1995-11-01,74.95,75.65,75.0,75.3,74.013,72.10446232638007,77.09053767361992
1995-11-10,70.0,73.3,70.0,71.6,73.723,71.6890101662067,77.30098983379328
1995-11-13,71.6,74.65,69.65,71.15,73.456,71.29923004627237,77.51576995372763
