Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2019-01-22,860.0,860.0,860.0,860.0,,,
2019-01-23,903.0,903.0,903.0,903.0,,,
2019-01-24,948.15,948.15,948.15,948.15,,,
2019-01-25,995.55,995.55,995.55,995.55,,,
2019-01-28,1044.7,1045.3,1044.7,1045.3,,,
2019-01-29,1097.55,1097.55,1001.0,1040.0,,,
2019-01-30,1049.85,1049.85,1003.0,1034.2,,,
2019-01-31,1000.0,1040.0,995.0,1031.35,,,
2019-02-01,1030.0,1058.2,1030.0,1047.25,,,
2019-02-04,1020.0,1057.0,1020.0,1044.55,,,
2019-02-05,1030.0,1050.0,1030.0,1047.2,,,
2019-02-06,1060.0,1060.0,1041.05,1050.0,,,
2019-02-07,1044.0,1124.95,1042.05,1119.6,,,
2019-02-08,1100.05,1107.55,1077.7,1098.25,,,
2019-02-11,1095.05,1100.45,1085.0,1087.4,,,
2019-02-12,1084.05,1094.5,1050.0,1079.55,,,
2019-02-13,1089.9,1089.9,1065.05,1077.5,,,
2019-02-14,1062.05,1097.7,1062.0,1068.0,,,
2019-02-15,1066.05,1075.7,1059.35,1067.25,,,
2019-02-18,1048.0,1063.65,1042.0,1050.45,,906.6082320666033,1162.8467679333967
2019-02-19,1039.9,1089.9,1039.9,1076.9,,946.2424945953678,1144.9025054046322
2019-02-20,1089.95,1096.0,1053.75,1077.55,,980.2617524163139,1128.338247583686
2019-02-21,1070.7,1135.95,1056.45,1129.1,,1000.5563384110927,1126.1386615889069
2019-02-22,1106.9,1159.8,1094.95,1143.5,,1006.7360705242494,1134.7539294757503
2019-02-25,1142.5,1169.0,1137.2,1165.8,,1001.2041736943004,1152.3358263056996
2019-02-26,1140.1,1179.7,1075.0,1175.6,,998.1785022294973,1168.9214977705026
2019-02-27,1179.95,1219.7,1159.35,1214.4,,992.3685117597834,1192.7514882402165
2019-02-28,1151.0,1205.0,1088.0,1153.2,,999.3175934570595,1197.9874065429403
2019-03-01,1150.0,1197.0,1145.1,1171.8,,1003.5177346242439,1206.2422653757562
2019-03-05,1150.0,1192.0,1148.15,1185.85,,1008.6099654356232,1215.2800345643773
2019-03-06,1186.9,1204.8,1156.55,1178.15,,1015.8383474959941,1221.146652504006
2019-03-07,1179.05,1186.0,1105.0,1138.2,,1025.1777443419735,1220.6272556580263
2019-03-08,1133.9,1153.0,1126.0,1132.7,,1025.7503736048127,1221.364626395187
2019-03-11,1122.15,1161.55,1122.15,1149.2,,1028.4192692098795,1223.7907307901205
2019-03-12,1151.0,1159.8,1138.55,1151.6,,1032.7718866420707,1225.8581133579294
2019-03-13,1155.8,1162.0,1140.8,1155.3,,1038.8637412120438,1227.3412587879566
2019-03-14,1150.85,1155.0,1116.0,1124.85,,1044.8013180048551,1226.138681995145
2019-03-15,1126.0,1130.0,1076.25,1112.65,,1051.9639532737074,1223.4410467262928
2019-03-18,1079.3,1099.9,1012.05,1040.45,,1045.3144509443393,1227.4105490556606
2019-03-19,1030.2,1063.0,1003.85,1009.9,,1033.9086556894615,1234.7613443105386
2019-03-20,1009.9,1030.85,989.7,1021.8,,1021.9207795414409,1241.239220458559
2019-03-22,1023.95,1030.0,1008.1,1015.95,,1009.3974214782643,1247.6025785217357
2019-03-25,1015.85,1016.0,985.0,990.55,,987.4470266354556,1255.6979733645444
2019-03-26,988.0,1000.0,980.0,990.45,,968.1069387122496,1259.7330612877504
2019-03-27,1000.0,1000.0,975.0,987.45,,950.9658861877739,1259.0391138122263
2019-03-28,990.0,1000.0,966.05,989.4,,937.1790229870437,1254.205977012956
2019-03-29,995.9,995.9,978.05,989.5,,929.5231671111575,1239.3718328888422
2019-04-01,999.95,1009.05,984.65,990.0,,919.430831014383,1233.144168985617
2019-04-02,1000.15,1155.0,1000.0,1073.25,,921.0830255407308,1221.6369744592691
2019-04-03,1075.0,1120.0,1068.95,1107.85,1070.749,925.897729528476,1209.022270471524
2019-04-04,1107.0,1150.0,1099.85,1144.25,1076.434,929.0544871789672,1202.4755128210327
2019-04-05,1140.0,1148.9,1100.6,1115.1,1080.6760000000002,930.1036409251251,1199.1163590748752
2019-04-08,1110.0,1137.0,1081.65,1089.2,1083.497,931.197472873358,1193.6725271266419
2019-04-09,1095.05,1103.75,1061.25,1068.5,1084.9560000000001,933.5897313603764,1183.2102686396238
2019-04-10,1074.55,1096.7,1053.0,1063.3,1085.316,937.0580858050287,1170.9119141949716
2019-04-11,1063.0,1124.8,1061.65,1114.9,1086.8139999999999,941.1727900325387,1162.7572099674612
2019-04-12,1119.0,1119.0,1081.0,1101.6,1088.162,942.7769451530087,1158.8280548469913
2019-04-15,1106.5,1115.0,1081.0,1087.35,1089.282,943.9974608280279,1155.077539171972
2019-04-16,1082.25,1120.0,1080.25,1115.1,1090.639,943.8735197333243,1162.6664802666758
2019-04-18,1090.0,1114.2,1082.75,1090.45,1091.557,948.6958305595009,1165.8991694404995
2019-04-22,1075.25,1092.4,1048.75,1059.3,1091.799,951.8641323711978,1166.4808676288026
2019-04-23,1065.55,1097.0,1056.1,1077.55,1092.35,956.6450068697138,1167.8599931302863
2019-04-24,1087.9,1097.0,1062.75,1087.6,1091.71,966.5729527398548,1167.6370472601452
2019-04-25,1100.0,1179.15,1084.15,1139.7,1092.539,975.852539394382,1173.2824606056176
2019-04-26,1139.7,1174.95,1138.7,1148.4,1093.759,987.6317987151621,1177.5982012848378
2019-04-30,1125.0,1154.0,1125.0,1148.35,1095.135,1002.0396639631883,1179.0853360368117
2019-05-02,1114.8,1135.8,1102.25,1114.0,1095.865,1021.6972884646655,1171.8777115353344
2019-05-03,1110.1,1114.0,1070.0,1098.85,1096.482,1046.427091190699,1158.032908809301
2019-05-06,1070.45,1122.0,1070.45,1112.5,1097.387,1049.9417442448937,1158.4432557551065
2019-05-07,1118.0,1141.0,1115.55,1123.55,1098.849,1050.0537301002541,1159.9012698997458
2019-05-08,1115.2,1124.25,1101.9,1109.65,1099.5040000000001,1051.4409928391158,1155.054007160884
2019-05-09,1114.5,1125.0,1105.25,1116.5,1100.2830000000001,1051.43982733581,1155.1951726641898
2019-05-10,1148.0,1148.0,1076.45,1116.0,1100.021,1052.9309489942775,1156.384051005722
2019-05-13,1119.35,1129.15,1061.65,1070.55,1098.562,1053.3278413114067,1156.1921586885933
2019-05-14,1076.85,1088.35,1060.0,1071.8,1096.682,1055.0717902696913,1155.2982097303086
2019-05-15,1076.1,1100.0,1031.0,1037.6,1093.922,1043.0946266198027,1159.5453733801971
2019-05-16,1040.05,1050.0,1021.0,1036.2,1090.358,1032.950723587171,1163.1492764128288
2019-05-17,1054.8,1060.0,1023.25,1027.95,1087.853,1022.8913553178006,1167.2686446821997
2019-05-20,1059.0,1101.0,1045.75,1090.25,1086.222,1022.2467708515956,1165.4282291484046
2019-05-21,1110.0,1119.95,1083.75,1090.3,1084.3110000000001,1022.2377451998566,1165.4222548001433
2019-05-22,1089.1,1096.45,1064.95,1086.4,1082.4759999999999,1025.3399753118774,1165.0300246881225
2019-05-23,1100.0,1125.15,1076.3,1098.45,1081.681,1026.8722212460316,1165.5877787539685
2019-05-24,1109.75,1199.0,1095.0,1133.35,1081.694,1027.3636320724388,1169.6713679275615
2019-05-27,1139.0,1180.0,1133.4,1170.05,1082.111,1024.0523281527107,1176.0176718472894
2019-05-28,1182.0,1219.9,1182.0,1213.55,1083.35,1014.1353396771054,1192.4496603228945
2019-05-29,1210.0,1212.0,1185.0,1201.25,1084.269,1008.4065932926484,1203.4684067073515
2019-05-30,1185.05,1204.8,1181.35,1196.25,1085.697,1004.482451158411,1215.6175488415888
2019-05-31,1195.0,1195.05,1174.7,1181.7,1087.078,1004.071526927081,1224.313473072919
2019-06-03,1182.0,1200.0,1176.05,1189.35,1090.056,1002.9131190490511,1233.1568809509486
2019-06-04,1171.0,1187.95,1145.4,1179.1,1093.44,1002.4942811110527,1239.1307188889473
2019-06-06,1189.95,1189.95,1111.25,1127.05,1095.5449999999998,1003.4540223769975,1239.9109776230027
