Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2022-05-24,495.2,568.9,467.5,536.35,,,
2022-05-25,543.8,544.0,500.3,510.7,,,
2022-05-26,508.0,518.8,495.0,499.8,,,
2022-05-27,505.5,547.3,505.1,541.55,,,
2022-05-30,535.5,541.55,511.75,521.25,,,
2022-05-31,527.0,539.0,516.7,530.25,,,
2022-06-01,527.0,540.0,523.25,535.65,,,
2022-06-02,537.65,617.35,536.05,570.45,,,
2022-06-03,576.2,586.85,531.0,535.65,,,
2022-06-06,538.95,541.0,506.05,510.2,,,
2022-06-07,514.7,520.0,500.2,511.3,,,
2022-06-08,516.7,526.95,511.05,517.4,,,
2022-06-09,509.0,533.95,509.0,522.0,,,
2022-06-10,511.0,523.4,510.7,519.4,,,
2022-06-13,500.0,510.4,490.0,502.4,,,
2022-06-14,501.0,504.95,492.8,500.2,,,
2022-06-15,504.2,504.85,490.55,498.55,,,
2022-06-16,505.0,506.65,488.75,492.55,,,
2022-06-17,480.0,491.15,457.8,466.55,,,
2022-06-20,465.0,479.65,456.35,469.25,,465.7775641648347,563.3674358351653
2022-06-21,464.0,530.0,457.0,513.65,,465.731560007937,561.143439992063
2022-06-22,515.1,517.0,498.1,504.0,,465.2218427143564,560.9831572856438
2022-06-23,505.0,514.0,487.2,500.7,,465.317818893632,560.9771811063678
2022-06-24,509.9,514.0,488.65,492.1,,463.9270701274546,557.4229298725454
2022-06-27,500.0,506.2,488.85,491.4,,461.95261121401154,556.4123887859885
2022-06-28,491.0,505.0,488.95,501.95,,461.50947907389474,554.0255209261053
2022-06-29,490.1,507.95,490.1,504.75,,461.86034833892757,550.5846516610725
2022-06-30,504.0,514.5,499.25,506.8,,470.52895572270876,535.5510442772911
2022-07-01,504.0,505.0,495.0,500.95,,472.64602694020437,529.9639730597956
2022-07-04,498.0,508.8,496.05,505.95,,472.649014481853,529.5359855181471
2022-07-05,510.0,512.2,504.85,507.55,,472.69636190529786,529.1136380947022
2022-07-06,507.6,529.8,506.05,524.3,,472.04089903904344,530.4591009609566
2022-07-07,528.6,615.0,523.05,595.3,,454.2379824746647,555.5920175253355
2022-07-08,604.0,628.7,575.5,595.25,,444.0436788698047,573.3713211301953
2022-07-11,593.0,607.95,584.85,590.9,,438.8841168880638,587.3808831119361
2022-07-12,588.05,621.0,586.25,616.25,,431.90385554433306,605.9661444556671
2022-07-13,622.75,628.0,595.3,599.75,,430.4316924146232,617.5583075853767
2022-07-14,604.0,608.9,591.9,598.25,,431.35593489690166,627.2040651030983
2022-07-15,595.0,610.85,594.3,605.1,,437.3698911607899,635.0451088392101
