Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2003-03-12,7.75,9.2,7.75,8.8,,,
2003-03-13,8.7,9.35,8.7,9.0,,,
2003-03-17,9.0,9.0,8.4,8.55,,,
2003-03-19,8.7,8.95,8.6,8.85,,,
2003-03-20,8.8,9.55,8.75,9.2,,,
2003-03-21,9.15,9.6,9.15,9.3,,,
2003-03-22,9.4,9.75,9.35,9.65,,,
2003-03-24,9.75,10.3,9.55,10.05,,,
2003-03-25,10.0,11.1,9.85,10.9,,,
2003-03-26,10.95,11.6,10.85,11.0,,,
2003-03-27,11.0,11.05,10.25,10.4,,,
2003-03-28,10.25,12.0,10.25,11.7,,,
2003-03-31,11.4,11.75,10.85,10.95,,,
2003-04-01,11.2,11.9,11.05,11.5,,,
2003-04-02,11.7,11.9,11.5,11.8,,,
2003-04-03,11.9,12.2,11.75,11.8,,,
2003-04-04,11.8,11.9,11.65,11.7,,,
2003-04-07,11.75,11.95,11.7,11.8,,,
2003-04-08,11.75,13.05,11.75,12.5,,,
2003-04-09,12.55,13.2,12.55,12.8,,7.924147931891126,13.300852068108876
2003-04-10,12.9,12.9,12.1,12.2,,8.147258075621895,13.417741924378102
2003-04-11,12.2,12.7,12.05,12.4,,8.363154421226128,13.54184557877387
2003-04-15,12.7,13.75,12.6,12.8,,8.711838774152827,13.618161225847174
2003-04-16,13.0,13.1,12.45,12.6,,9.077585311026967,13.627414688973035
2003-04-17,12.7,12.75,12.2,12.3,,9.43683394900654,13.578166050993461
2003-04-21,12.5,12.7,12.2,12.25,,9.842209188484286,13.467790811515716
2003-04-22,12.35,12.9,12.0,12.8,,10.196502670664003,13.428497329335997
2003-04-23,13.0,13.2,12.7,13.0,,10.489375356487832,13.430624643512166
2003-04-24,13.15,13.15,12.75,12.8,,10.627857105225518,13.482142894774482
2003-04-25,12.9,13.0,12.4,12.75,,10.774337575047225,13.510662424952775
2003-04-28,12.8,13.45,12.55,13.3,,11.093270453168094,13.481729546831906
2003-04-29,13.35,14.15,13.35,13.9,,11.037362623037454,13.757637376962544
2003-04-30,13.8,14.75,13.75,14.5,,11.089455619894451,14.060544380105547
2003-05-02,14.8,15.05,14.3,14.5,,11.097441285722363,14.352558714277636
2003-05-05,14.6,14.8,13.65,13.95,,11.178390285570984,14.486609714429015
2003-05-06,14.1,14.7,14.0,14.4,,11.242685138482996,14.682314861517005
2003-05-07,14.6,14.8,14.25,14.3,,11.38145999616115,14.803540003838853
2003-05-08,14.25,14.5,13.9,14.0,,11.559820866132975,14.845179133867026
2003-05-09,14.1,14.3,13.85,14.1,,11.628072129421357,14.936927870578641
2003-05-12,14.25,14.7,14.1,14.45,,11.648485784319982,15.081514215680018
2003-05-13,14.55,14.7,14.1,14.2,,11.802060307451699,15.127939692548301
2003-05-14,14.3,14.45,14.2,14.3,,11.936618214635681,15.183381785364316
2003-05-15,13.9,16.0,12.6,15.85,,11.836368762305623,15.588631237694377
2003-05-16,16.0,16.75,15.85,16.05,,11.815141118463945,15.954858881536055
2003-05-19,16.0,16.3,15.35,15.55,,11.99132188975453,16.10367811024547
2003-05-20,15.5,16.75,15.45,16.55,,12.101146866330945,16.423853133669056
2003-05-21,16.65,17.0,15.9,16.05,,12.238077143805171,16.61192285619483
2003-05-22,16.25,16.75,15.8,16.55,,12.328048070644854,16.876951929355148
2003-05-23,16.9,18.45,16.2,18.05,,12.27634052167211,17.453659478327886
2003-05-26,18.25,18.8,17.55,18.5,12.824000000000002,12.290135316919358,18.01486468308064
2003-05-27,18.5,18.75,18.2,18.3,13.014000000000001,12.354036193597285,18.450963806402715
2003-05-28,18.3,19.2,18.2,18.4,13.202,12.387702248027795,18.86729775197221
2003-05-29,18.5,18.8,18.3,18.4,13.399,12.403901487528312,19.241098512471687
2003-05-30,18.4,19.3,18.4,18.7,13.595999999999998,12.44417463189744,19.620825368102558
2003-06-02,18.9,19.3,18.6,18.9,13.79,12.614456312316587,19.945543687683415
2003-06-03,18.8,19.3,18.8,18.9,13.981999999999998,12.773498256310496,20.23650174368951
2003-06-04,18.9,20.0,18.9,19.8,14.185,12.9241227361748,20.6358772638252
2003-06-05,19.9,20.2,19.45,19.6,14.376000000000001,13.240989381362883,20.879010618637114
2003-06-06,20.0,20.0,19.3,19.6,14.55,13.622843583150388,21.047156416849614
2003-06-09,19.7,20.6,19.5,20.4,14.738000000000001,13.940221428083817,21.324778571916184
2003-06-10,20.4,20.4,19.4,19.7,14.924,14.482011175874263,21.332988824125735
2003-06-11,19.8,20.05,19.05,19.5,15.08,15.12719617169257,21.207803828307433
2003-06-12,19.65,19.95,19.1,19.3,15.247,15.466417969813582,21.213582030186412
2003-06-13,19.4,19.8,19.2,19.35,15.403999999999998,15.811753084589506,21.1982469154105
2003-06-16,19.25,20.4,19.25,20.25,15.573,16.326747117750834,21.15325288224917
2003-06-17,20.5,21.05,20.25,20.7,15.751,16.614786423158932,21.280213576841064
2003-06-18,20.55,21.9,20.55,21.6,15.949000000000002,17.02703443348659,21.42296556651341
2003-06-19,21.75,22.1,21.3,21.45,16.142,17.44167427094228,21.49832572905772
2003-06-20,21.5,21.95,21.25,21.8,16.328,17.493129421748762,21.821870578251243
2003-06-23,22.0,22.35,21.75,22.0,16.512,17.502540659943747,22.16245934005626
2003-06-24,21.5,22.1,21.5,21.85,16.705,17.631234287326922,22.388765712673074
2003-06-25,22.05,22.75,21.85,22.5,16.907,17.716769046958145,22.713230953041847
2003-06-26,22.6,23.7,22.55,23.35,17.118000000000002,17.74978626842543,23.175213731574566
