Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-09-18,545.0,604.8,545.0,578.3,,,
2017-09-19,589.2,599.0,574.5,578.5,,,
2017-09-20,577.6,577.6,550.55,561.35,,,
2017-09-21,560.7,560.7,536.8,552.85,,,
2017-09-22,558.1,558.1,527.0,531.95,,,
2017-09-25,524.0,541.1,501.25,522.55,,,
2017-09-26,523.2,535.8,523.2,527.0,,,
2017-09-27,531.6,541.75,514.0,519.95,,,
2017-09-28,521.6,532.0,518.1,526.8,,,
2017-09-29,529.2,536.8,528.0,529.75,,,
2017-10-03,533.0,543.0,515.75,539.2,,,
2017-10-04,542.05,549.8,535.4,544.55,,,
2017-10-05,543.0,548.2,537.4,539.45,,,
2017-10-06,540.25,549.0,532.7,535.45,,,
2017-10-09,535.4,542.0,520.3,526.35,,,
2017-10-10,527.0,536.25,524.4,532.55,,,
2017-10-11,549.0,551.0,530.25,533.5,,,
2017-10-12,539.2,550.8,534.0,548.55,,,
2017-10-13,549.2,557.4,544.0,546.8,,,
2017-10-16,548.0,549.1,532.05,534.35,,507.20203810318657,573.7729618968133
2017-10-17,531.2,536.4,526.4,530.25,,509.7181902615601,566.4518097384399
2017-10-18,529.1,536.0,526.9,532.55,,514.6917065804575,556.8832934195425
2017-10-19,532.0,537.4,526.0,530.95,,516.8702444693132,551.6647555306869
2017-10-23,531.0,534.05,529.2,531.2,,518.1179882821684,548.2520117178317
2017-10-24,531.8,561.0,530.4,552.05,,516.9457301660732,551.4342698339267
2017-10-25,556.0,561.15,536.0,553.65,,517.3497803692599,554.1402196307401
2017-10-26,544.6,555.7,544.6,550.85,,517.8500592407769,556.0249407592231
2017-10-27,553.0,553.0,544.0,547.45,,520.4552038352442,556.1697961647558
2017-10-30,548.0,556.0,546.0,547.35,,521.9121457068527,556.7678542931471
2017-10-31,546.0,551.8,535.0,544.85,,523.113837061707,557.076162938293
2017-11-01,545.8,548.45,541.0,542.45,,523.2502175041175,557.2647824958824
2017-11-02,546.4,548.0,540.0,540.8,,523.1796913493032,556.9603086506967
2017-11-03,542.8,542.8,536.6,537.65,,523.0566309189734,556.9033690810264
2017-11-06,537.6,544.0,533.8,538.5,,523.3264461095581,556.9385538904418
2017-11-07,539.8,540.6,530.0,533.5,,524.6414868703381,556.3385131296619
2017-11-08,532.2,541.75,530.2,536.65,,525.1762880349997,556.2137119650004
2017-11-09,532.6,544.0,532.0,535.5,,525.446662184972,556.1433378150282
2017-11-10,531.8,542.8,531.8,539.05,,525.4001650919246,555.2398349080753
2017-11-13,539.0,545.0,536.7,540.95,,525.4163840081832,554.6386159918169
2017-11-14,537.35,550.0,537.35,546.25,,526.0156712076703,555.2293287923299
2017-11-15,550.0,553.9,533.0,538.0,,527.1707499442608,554.8492500557392
2017-11-16,540.0,558.8,535.4,552.7,,527.8417135649325,556.1932864350675
2017-11-17,554.8,583.8,550.65,578.8,,523.5318673954628,565.2881326045374
2017-11-20,581.4,627.2,572.0,623.4,,508.7305681873088,589.3094318126912
2017-11-21,626.8,634.8,607.35,617.6,,501.6395606835464,602.9554393164536
2017-11-22,620.7,628.85,602.2,621.2,,496.368210648713,614.9817893512869
2017-11-23,620.05,643.6,614.85,639.25,,490.0906023937742,630.0993976062259
2017-11-24,640.65,650.0,630.2,647.0,,485.3691059297609,644.775894070239
2017-11-27,644.2,660.0,639.35,658.75,,481.181086530281,660.1039134697191
2017-11-28,659.0,676.8,658.0,672.9,555.436,477.5860536955069,676.503946304493
2017-11-29,672.2,700.0,671.0,689.5,557.66,474.51189692499315,694.2831030750067
2017-11-30,687.0,711.2,684.0,703.95,560.169,472.5403697514997,712.5696302485004
2017-12-01,706.0,724.75,671.0,680.45,562.5509999999999,476.4852434656119,722.9047565343882
2017-12-04,682.4,699.0,664.6,678.1,565.056,482.25113403750595,731.098865962494
2017-12-05,678.0,685.0,672.0,678.5,567.987,490.56061249184097,737.2893875081589
2017-12-06,674.0,699.0,674.0,687.55,571.2869999999999,499.55558480811635,743.3844151918837
2017-12-07,694.8,707.0,690.0,701.45,574.776,509.91774196937206,749.6172580306278
2017-12-08,706.0,715.1,697.6,704.35,578.464,521.7791366077952,754.2858633922049
2017-12-11,706.0,709.65,687.4,690.0,581.7280000000001,536.5568967198519,754.4131032801479
2017-12-12,693.4,693.8,670.2,674.15,584.616,552.9206760862133,750.8393239137864
2017-12-13,674.0,683.55,648.0,653.05,586.8929999999999,574.4239587190394,740.8410412809604
2017-12-14,657.6,657.8,636.0,640.95,588.821,594.3530281522867,729.7369718477134
2017-12-15,646.0,665.8,626.0,639.05,590.813,608.5205975193608,721.5944024806392
2017-12-18,637.0,712.0,632.0,700.25,594.1089999999999,613.8576813523875,723.9423186476124
2017-12-19,708.0,731.6,708.0,726.45,598.111,619.1323438500187,729.5526561499812
2017-12-20,730.25,782.4,728.2,766.95,602.799,618.1043947190124,745.1556052809876
2017-12-21,775.8,777.8,764.0,770.55,607.54,616.4977498141626,759.8922501858375
2017-12-22,776.6,816.8,770.5,807.4,612.7170000000001,609.5896718696878,782.8403281303123
2017-12-26,812.0,898.8,812.0,878.85,619.358,590.0844806442688,824.3555193557313
2017-12-27,872.0,872.05,811.7,843.2,625.535,585.120210396533,846.349789603467
2017-12-28,851.75,886.0,847.3,856.75,632.065,579.8503528969517,868.3446471030485
2017-12-29,856.6,868.6,828.2,838.2,638.178,578.2551311822529,883.3648688177473
2018-01-01,846.0,859.0,828.4,837.5,644.309,580.9418379520547,896.3831620479453
2018-01-02,845.8,851.0,823.05,827.4,650.233,586.3565538400609,905.8984461599392
