Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-03-21,600.0,648.9,558.3,641.6,,,
2017-03-22,641.55,657.45,625.1,638.55,,,
2017-03-23,637.9,648.0,628.15,634.85,,,
2017-03-24,635.45,640.45,612.6,616.9,,,
2017-03-27,615.0,623.0,602.35,614.4,,,
2017-03-28,617.2,633.4,615.1,628.8,,,
2017-03-29,632.9,637.0,622.4,628.25,,,
2017-03-30,624.2,635.0,622.2,631.85,,,
2017-03-31,634.4,652.3,630.0,637.85,,,
2017-04-03,638.0,643.0,633.0,634.25,,,
2017-04-05,636.0,645.1,628.3,632.15,,,
2017-04-06,632.0,668.4,630.2,664.4,,,
2017-04-07,665.9,761.35,664.0,751.2,,,
2017-04-10,769.0,806.9,759.05,774.1,,,
2017-04-11,778.9,791.1,768.35,778.55,,,
2017-04-12,779.0,782.9,755.0,762.2,,,
2017-04-13,756.9,806.9,756.0,783.25,,,
2017-04-17,785.9,789.7,766.6,774.05,,,
2017-04-18,774.9,774.9,725.1,730.15,,,
2017-04-19,735.0,752.0,722.0,732.8,,552.8521154178504,816.1628845821494
2017-04-20,740.0,765.0,732.4,756.3,,556.4809514577487,824.0040485422512
2017-04-21,760.0,765.0,739.0,743.2,,562.0405907235793,828.9094092764208
2017-04-24,748.0,748.0,724.15,726.3,,569.1162947813815,830.9787052186185
2017-04-25,731.0,739.9,721.15,734.8,,580.2625670248764,831.6224329751236
2017-04-26,736.45,753.95,731.0,747.9,,593.3939979235704,831.8410020764297
2017-04-27,749.0,749.7,736.1,740.1,,605.2053841290135,831.1596158709865
2017-04-28,743.85,747.0,735.0,736.5,,618.6740177022928,828.5159822977073
2017-05-02,737.25,762.9,737.25,752.3,,633.4035045468818,825.8314954531181
2017-05-03,753.0,762.0,746.8,756.85,,649.0152141595293,822.1197858404707
2017-05-04,762.2,793.0,762.2,773.25,,668.8577539767442,816.1772460232559
2017-05-05,778.0,814.4,766.1,808.9,,692.5314914520156,810.1785085479842
2017-05-08,823.65,824.5,770.2,780.15,,713.5316578545928,800.753342145407
2017-05-09,782.9,793.0,775.6,780.05,,713.9063214632582,803.2636785367418
2017-05-10,781.9,795.0,780.0,790.85,,712.9282165370098,805.9167834629902
2017-05-11,789.7,790.5,756.0,761.8,,712.9458535990146,804.2241464009852
2017-05-12,763.9,768.0,736.7,751.8,,712.3623327969392,803.7676672030607
2017-05-15,755.5,761.45,744.0,752.15,,712.3242009000029,800.6957990999971
2017-05-16,752.1,757.9,741.0,750.4,,711.8581099833332,798.7968900166668
2017-05-17,751.7,756.9,742.9,744.9,,713.9136673745028,798.2163326254971
2017-05-18,739.95,748.0,724.5,727.45,,712.962154597056,798.632845402944
2017-05-19,730.0,738.65,713.65,722.9,,708.8405032023827,799.4144967976174
2017-05-22,729.4,734.5,720.1,721.55,,705.6712797700974,800.4187202299025
2017-05-23,724.95,725.0,691.55,708.4,,702.0508561896877,802.249143810312
2017-05-24,710.4,722.9,701.0,714.2,,698.7245361545585,803.5154638454416
2017-05-25,720.0,720.0,705.5,712.4,,694.1592667177943,804.5307332822058
2017-05-26,714.0,732.0,709.45,714.9,,690.8961245635636,805.2738754364362
2017-05-29,715.0,719.75,710.0,714.8,,688.0882372571174,805.9117627428826
2017-05-30,715.0,742.85,710.0,727.85,,686.3166373741471,805.2383626258527
2017-05-31,731.8,750.8,726.4,745.15,,685.9605360562679,804.4244639437321
2017-06-01,749.9,782.0,745.0,776.85,721.302,685.760866774685,804.9841332253151
2017-06-02,783.85,794.6,776.85,779.65,724.063,689.6673230749072,798.1526769250929
2017-06-05,782.7,811.0,775.3,789.75,727.087,688.6478624850389,800.1321375149613
2017-06-06,792.8,800.5,772.55,775.35,729.8969999999999,689.0094232818356,799.3005767181644
2017-06-07,777.0,784.5,771.25,774.3,733.045,690.6926758763618,795.9623241236382
2017-06-08,776.95,799.8,768.05,790.25,736.562,688.5931988465379,800.9068011534621
2017-06-09,789.95,811.0,783.15,802.35,740.033,685.5142382661827,809.0407617338174
2017-06-12,804.0,823.0,797.0,804.1,743.55,683.0839786998595,816.6660213001405
2017-06-13,807.7,815.0,795.1,798.65,746.8860000000001,682.0214426480359,822.5535573519642
2017-06-14,802.0,807.0,792.0,798.55,750.1,681.8529460457588,828.0870539542412
2017-06-15,800.0,807.0,793.0,797.95,753.3739999999999,684.1764686281866,832.8135313718134
2017-06-16,802.4,812.0,796.95,800.1,756.7330000000001,687.8017488089354,836.9082511910644
2017-06-19,804.8,806.25,791.0,796.4,759.373,692.6625629898529,839.5324370101473
2017-06-20,796.0,836.7,796.0,822.05,760.79,699.565200525391,843.994799474609
2017-06-21,825.8,838.8,813.3,817.8,761.664,707.3189987677396,846.6010012322603
2017-06-22,819.95,824.0,800.0,803.9,762.171,717.9971364439812,845.072863556019
2017-06-23,805.8,809.25,789.8,801.6,762.959,730.121368673868,841.618631326132
2017-06-27,803.9,807.0,794.7,804.6,763.386,745.2653906827674,835.4546093172324
2017-06-28,802.4,822.9,797.0,818.05,764.2660000000001,758.9998482094953,830.7401517905047
2017-06-29,825.0,826.45,813.0,815.5,765.9730000000001,770.0373050688933,826.7376949311068
2017-06-30,810.9,820.0,805.0,815.1,767.6189999999999,772.9233868535824,827.6766131464175
2017-07-03,811.6,847.9,808.0,840.05,769.2940000000001,772.433937737137,834.2060622628629
2017-07-04,843.0,843.0,829.0,836.2,771.154,772.1750723945428,839.1099276054571
2017-07-05,834.9,854.95,830.85,846.05,773.5490000000001,774.2775456190888,844.0774543809113
2017-07-06,847.55,909.0,847.55,880.3,776.459,770.7903288733081,858.1646711266918
2017-07-07,882.8,910.0,882.0,895.45,779.41,764.5213231655724,874.9536768344275
2017-07-10,940.2,944.0,890.0,934.6,783.3,751.659776585657,901.040223414343
2017-07-11,946.0,954.9,907.5,913.95,786.8489999999999,748.3984293834912,915.2865706165089
2017-07-12,914.0,934.4,905.0,910.3,790.0089999999999,748.5674706267606,926.2825293732393
2017-07-13,915.0,933.7,910.25,915.15,793.175,749.9479014941559,936.5620985058439
2017-07-14,920.0,921.9,872.5,891.35,795.5369999999999,754.81620398836,941.0337960116399
2017-07-17,894.9,917.7,886.05,911.7,797.5929999999998,759.0969054540883,947.9130945459119
2017-07-18,908.9,920.0,901.05,910.65,800.203,765.534792080351,952.9002079196489
2017-07-19,914.2,924.95,907.45,911.7,802.836,768.9323950531154,958.4676049468846
2017-07-20,914.8,918.8,905.1,909.2,805.203,774.008312744727,962.5316872552731
2017-07-21,912.5,921.0,907.0,914.75,808.262,782.497522413739,965.127477586261
2017-07-24,937.0,964.0,911.0,916.55,811.5570000000001,793.0380916092384,966.0819083907617
2017-07-25,917.5,933.3,905.65,925.65,815.0269999999999,804.3963175640217,966.8286824359782
2017-07-26,930.0,932.9,893.0,909.6,818.211,814.9039308336081,965.4760691663918
2017-07-27,907.9,915.0,892.4,896.9,821.2509999999999,827.6770987652044,960.8429012347956
2017-07-28,894.0,908.0,888.1,898.55,824.673,843.2543266359795,953.6106733640207
2017-07-31,904.0,925.5,897.0,919.7,828.6089999999999,853.8816029256205,950.9483970743798
2017-08-01,921.0,930.0,913.1,916.05,832.4989999999999,868.93114570053,943.88385429947
2017-08-02,914.5,919.0,902.25,906.8,836.4670000000001,884.9764831714316,933.9135168285685
2017-08-03,905.95,909.9,895.0,898.1,840.145,889.2721841738387,931.3978158261609
2017-08-04,898.9,922.4,894.25,911.35,844.1239999999999,891.2666404495101,930.9933595504901
2017-08-07,921.0,933.0,915.0,923.8,848.3020000000001,892.9504332312287,928.2295667687712
2017-08-08,923.0,927.65,900.0,902.3,852.052,892.0682377080491,927.9467622919508
2017-08-09,901.0,910.9,882.4,889.25,855.28,888.7598234002472,929.1501765997526
2017-08-10,888.8,894.85,871.1,880.8,857.993,883.6954016496553,930.7795983503446
2017-08-11,867.9,903.4,860.0,890.1,860.258,883.449386481219,930.9006135187809
2017-08-14,899.85,911.55,892.0,902.45,862.7139999999999,882.9976617624737,930.4273382375262
2017-08-16,903.9,917.45,903.0,907.8,865.075,882.9206225741134,930.2193774258867
2017-08-17,909.95,941.8,906.3,920.8,867.9839999999999,882.6219048554894,931.4280951445105
2017-08-18,917.2,931.8,908.0,926.25,871.0229999999999,882.0073286987048,933.7476713012951
2017-08-21,929.85,948.9,923.15,927.1,873.76,881.3747628484122,935.6152371515876
2017-08-22,937.0,968.0,932.0,958.05,876.8739999999999,875.6313710991094,945.5086289008907
2017-08-23,977.0,999.0,967.55,989.5,880.582,864.3511026891467,963.1738973108534
2017-08-24,990.8,1019.0,986.0,994.6,884.5009999999999,856.8773014642916,979.1476985357085
2017-08-28,999.5,1057.0,990.2,1046.15,889.4529999999999,842.6144481515354,1008.3355518484647
2017-08-29,1049.0,1068.2,1026.0,1032.85,894.1510000000001,837.5822246435564,1026.7977753564435
2017-08-30,1044.9,1059.0,1041.5,1050.9,899.1669999999999,830.5679993568317,1046.9320006431683
2017-08-31,1055.8,1055.8,1032.0,1039.8,904.035,828.3897917879794,1061.4852082120206
2017-09-01,1045.8,1054.0,1037.0,1048.4,908.562,828.2447954374129,1075.790204562587
2017-09-04,1045.0,1049.35,1007.4,1020.65,912.6190000000001,833.4804906369201,1082.80950936308
2017-09-05,1026.0,1094.7,1026.0,1077.7,918.095,833.05303976967,1099.87196023033
2017-09-06,1067.0,1103.0,1061.05,1066.6,923.395,834.6373492190232,1112.5676507809767
2017-09-07,1071.0,1090.0,1070.0,1076.2,928.8270000000001,840.38657361899,1124.20842638101
2017-09-08,1081.6,1088.0,1055.0,1070.85,933.883,851.3070986223145,1131.4479013776854
2017-09-11,1079.95,1099.0,1060.25,1088.8,939.3489999999999,865.4387443599609,1138.1162556400395
2017-09-12,1096.0,1099.0,1085.0,1088.45,944.816,880.8135031773895,1142.5764968226104
2017-09-13,1095.0,1113.3,1085.0,1091.5,949.845,896.3194394105354,1145.9755605894643
2017-09-14,1093.0,1104.9,1080.4,1089.75,954.916,913.9712128467983,1146.5187871532016
2017-09-15,1103.35,1119.8,1080.1,1087.75,959.75,931.8186895160436,1145.3663104839563
2017-09-18,1092.5,1099.0,1086.9,1089.5,963.9340000000001,951.840878705783,1141.669121294217
2017-09-19,1089.55,1094.95,1073.05,1077.55,967.5759999999999,977.1030122943323,1131.451987705668
2017-09-20,1080.5,1094.0,1070.4,1084.75,970.579,997.1066289494,1124.1183710506
2017-09-21,1085.0,1088.0,1065.0,1069.05,973.681,1010.5831329902278,1118.596867009772
2017-09-22,1067.95,1067.95,1028.8,1039.15,976.258,1022.0870055741651,1111.5479944258348
2017-09-25,1042.0,1047.6,982.05,1029.0,978.535,1018.9612474969515,1112.9587525030481
2017-09-26,1060.5,1218.0,1054.25,1116.05,983.029,1020.790139287695,1119.4498607123053
2017-09-27,1116.0,1153.6,1069.05,1076.75,986.33,1022.8544406114737,1119.970559388526
2017-09-28,1077.75,1087.0,1021.3,1043.95,988.9960000000001,1023.5982242376532,1119.6417757623467
2017-09-29,1049.25,1094.8,1048.9,1078.45,992.3309999999999,1026.2941181989388,1119.950881801061
2017-10-03,1095.45,1109.65,1078.8,1100.95,996.166,1035.8047950316495,1118.4702049683506
2017-10-04,1107.5,1128.7,1087.85,1099.35,999.8580000000001,1035.7080648337474,1120.7319351662522
2017-10-05,1105.0,1118.0,1092.35,1104.0,1003.607,1036.4547824512465,1123.7252175487533
2017-10-06,1110.0,1120.0,1100.0,1105.25,1007.1990000000001,1036.5399237579472,1126.5450762420528
2017-10-09,1108.5,1126.8,1105.05,1116.75,1011.342,1036.5094191510702,1131.16558084893
2017-10-10,1124.4,1202.9,1120.1,1184.65,1017.0970000000001,1023.2261179326911,1154.0338820673087
2017-10-11,1201.0,1244.0,1190.0,1213.1,1023.388,1008.9803415992021,1180.7446584007978
