Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-02-08,6.2,6.75,6.2,6.3,,,
1995-02-09,6.4,6.4,6.2,6.2,,,
1995-02-10,6.3,6.5,6.3,6.3,,,
1995-02-13,6.45,6.45,6.3,6.3,,,
1995-02-14,6.1,6.3,6.1,6.1,,,
1995-02-15,6.3,6.3,6.1,6.1,,,
1995-02-16,6.1,6.1,5.75,5.85,,,
1995-02-17,5.7,5.75,5.7,5.75,,,
1995-02-20,5.9,5.9,5.4,5.4,,,
1995-02-21,5.1,5.4,5.1,5.3,,,
1995-02-22,5.0,5.0,5.0,5.0,,,
1995-02-23,5.4,5.4,5.2,5.2,,,
1995-02-24,5.5,5.5,5.4,5.4,,,
1995-02-28,5.45,5.5,5.3,5.4,,,
1995-03-01,5.35,5.55,5.35,5.55,,,
1995-03-02,5.55,5.7,5.45,5.65,,,
1995-03-03,5.4,5.75,5.4,5.75,,,
1995-03-06,5.7,5.7,5.4,5.7,,,
1995-03-07,5.7,5.7,5.25,5.45,,,
1995-03-08,5.5,5.6,5.3,5.5,,4.91886490607349,6.50113509392651
1995-03-09,5.45,5.5,5.4,5.45,,4.919678602803273,6.415321397196728
1995-03-10,5.6,5.6,5.4,5.4,,4.914851123587053,6.340148876412946
1995-03-13,5.3,5.35,4.8,4.8,,4.822341401511033,6.282658598488967
1995-03-14,5.3,5.5,5.2,5.3,,4.855665603232087,6.149334396767914
1995-03-15,5.6,5.6,5.2,5.25,,4.869193236684825,6.050806763315175
1995-03-16,4.9,5.3,4.9,5.2,,4.8968047512862745,5.933195248713726
1995-03-20,5.3,5.3,4.9,5.2,,4.898791736466562,5.866208263533437
1995-03-21,5.25,5.25,5.15,5.15,,4.890838241840008,5.814161758159994
1995-03-22,5.25,5.7,5.25,5.4,,4.890838241840008,5.814161758159994
1995-03-23,5.5,5.5,5.2,5.25,,4.886602932567252,5.8133970674327475
1995-03-24,5.4,5.4,5.1,5.1,,4.905555898915107,5.8044441010848935
1995-03-27,5.2,5.2,5.0,5.0,,4.872715518380125,5.817284481619876
1995-03-28,5.1,5.1,5.0,5.05,,4.838166403747851,5.816833596252148
1995-03-29,5.0,5.2,5.0,5.2,,4.826234180648434,5.808765819351567
1995-03-30,5.2,5.25,5.2,5.2,,4.818773496814203,5.781226503185796
1995-03-31,5.2,5.2,5.2,5.2,,4.823888759073649,5.731111240926353
1995-04-03,5.0,5.2,5.0,5.2,,4.853967040180787,5.646032959819213
1995-04-04,5.1,5.2,5.1,5.15,,4.8861496187792,5.5588503812208
1995-04-05,5.3,5.3,5.0,5.15,,4.88750822378987,5.527491776210131
1995-04-06,5.3,5.5,5.1,5.45,,4.893974531420219,5.516025468579781
1995-04-07,5.5,5.95,5.5,5.85,,4.812689437438223,5.637310562561776
1995-04-10,6.0,6.0,5.6,5.7,,4.781627593372045,5.698372406627955
1995-04-11,5.75,5.75,5.7,5.75,,4.824244926462859,5.750755073537142
1995-04-12,5.9,5.9,5.85,5.9,,4.7792034665774406,5.855796533422559
1995-04-17,6.1,6.1,5.85,6.05,,4.728988810131848,5.986011189868152
1995-04-18,6.0,6.0,5.8,5.9,,4.7242146843167205,6.06078531568328
1995-04-19,5.85,6.1,5.85,5.9,,4.729024215843786,6.125975784156214
1995-04-20,5.85,6.0,5.85,5.85,,4.752514825951678,6.172485174048322
