Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-09,115.0,115.0,115.0,115.0,,,
1995-01-10,115.0,115.0,115.0,115.0,,,
1995-01-11,114.0,114.0,114.0,114.0,,,
1995-01-12,114.0,115.0,114.0,115.0,,,
1995-01-17,117.5,117.5,117.0,117.0,,,
1995-01-19,117.0,117.0,117.0,117.0,,,
1995-01-20,117.0,117.0,117.0,117.0,,,
1995-01-24,112.0,112.0,112.0,112.0,,,
1995-01-25,118.0,118.0,118.0,118.0,,,
1995-01-30,115.0,117.0,115.0,117.0,,,
1995-01-31,112.0,112.0,112.0,112.0,,,
1995-02-03,120.0,136.25,120.0,136.25,,,
1995-02-06,140.0,142.5,137.5,137.5,,,
1995-02-07,135.0,135.0,133.0,133.0,,,
1995-02-08,132.5,132.5,132.5,132.5,,,
1995-02-09,132.0,132.0,132.0,132.0,,,
1995-02-10,132.0,132.0,131.0,131.0,,,
1995-02-13,131.0,132.0,130.0,131.0,,,
1995-02-14,129.95,130.0,123.0,125.2,,,
1995-02-15,125.0,125.0,120.0,120.0,,104.75057958968804,139.99442041031193
1995-02-16,115.0,115.0,115.0,115.0,,104.75057958968804,139.99442041031193
1995-02-17,115.0,118.0,115.0,118.0,,105.11504621237151,139.92995378762848
1995-02-20,116.5,116.5,116.5,116.5,,105.46325155158532,139.83174844841466
1995-02-21,108.0,108.0,108.0,108.0,,104.19671563199974,140.39828436800025
1995-02-22,108.05,108.05,108.0,108.0,,102.77099267871742,140.92400732128257
1995-02-24,139.0,139.0,132.0,132.0,,103.14763259414698,142.047367405853
1995-02-28,129.0,129.0,124.0,124.0,,103.67058511798578,142.2244148820142
1995-03-01,130.0,130.0,128.0,128.0,,105.06467718274209,142.4303228172579
1995-03-02,130.0,130.0,130.0,130.0,,105.67110129947284,143.02389870052716
1995-03-03,127.5,127.5,125.0,125.0,,106.3937975196599,143.10120248034008
1995-03-06,128.0,129.0,126.75,126.75,,108.12982179502855,142.84017820497144
1995-03-07,125.0,129.0,125.0,128.75,,108.42295491453892,141.79704508546106
1995-03-08,130.0,130.0,126.0,126.25,,108.8924528905212,140.20254710947876
1995-03-09,123.75,124.25,123.75,124.25,,108.96892307243913,139.25107692756083
1995-03-10,125.0,125.0,125.0,125.0,,109.10600571863496,138.363994281365
1995-03-13,125.0,125.0,125.0,125.0,,109.26241264200462,137.50758735799536
1995-03-14,128.5,128.75,126.0,126.0,,109.40853305701563,136.86146694298435
1995-03-15,130.0,130.0,129.0,129.0,,109.52231200530015,136.54768799469986
1995-03-20,129.5,130.0,120.0,120.0,,109.23762483655752,136.31237516344248
1995-03-22,121.0,121.0,120.0,120.5,,109.28237018595811,136.31762981404188
1995-03-23,120.0,122.0,120.0,122.0,,110.12936859805704,136.17063140194296
1995-03-24,115.0,125.0,115.0,125.0,,110.68758825447597,136.31241174552403
1995-03-27,128.0,128.0,128.0,128.0,,111.55648739287543,136.59351260712458
1995-03-28,127.0,127.0,127.0,127.0,,115.00935434458984,135.04064565541017
1995-03-29,130.0,133.0,130.0,132.9,,119.50084394594052,133.0391560540595
1995-03-30,130.0,131.0,130.0,130.5,,119.66410983741196,132.72589016258806
1995-03-31,133.0,135.0,133.0,133.0,,119.53622854644019,133.75377145355984
1995-04-03,133.0,133.0,129.0,130.0,,119.50098977012553,133.98901022987448
1995-04-04,131.0,131.25,129.0,131.25,,119.42499757160468,134.19000242839533
1995-04-05,135.0,138.5,128.55,131.0,123.882,119.54872851808648,134.66627148191353
1995-04-06,130.0,130.0,130.0,130.0,124.182,119.60460269852415,134.93539730147586
1995-04-10,133.0,133.0,130.0,130.25,124.48700000000001,119.58980479732595,135.10019520267406
1995-04-11,128.0,128.0,127.5,127.5,124.757,119.66933246226182,135.14566753773818
1995-04-12,128.5,131.0,128.0,128.4,125.025,120.01194659675265,135.21805340324735
1995-04-17,128.95,129.0,126.0,127.0,125.225,120.20471932685115,135.22528067314886
1995-04-18,122.0,130.0,120.0,129.75,125.48,120.50355270595415,135.40144729404588
1995-04-19,137.0,141.0,133.0,139.1,125.92200000000001,119.71709861186771,137.4979013881323
1995-04-20,142.0,145.0,140.0,142.0,126.522,118.53427017430214,139.98072982569786
1995-04-21,142.0,145.0,138.05,139.0,126.94200000000001,119.57135135987956,140.84364864012045
1995-04-24,143.5,144.0,138.0,138.0,127.36200000000001,120.94106467129457,141.22393532870547
1995-04-25,137.0,139.0,133.0,134.0,127.802,122.42192851598642,140.9430714840136
1995-04-26,135.0,136.0,135.0,136.0,127.79700000000001,123.34387480288792,141.1211251971121
1995-04-27,132.0,133.0,130.0,131.7,127.681,123.748482268962,141.08651773103804
1995-04-28,130.0,130.0,125.0,125.0,127.521,123.34454208835186,141.2904579116482
1995-05-02,120.0,130.0,119.0,125.0,127.37100000000001,122.38004776082998,141.46495223917003
1995-05-03,123.0,126.0,123.0,126.0,127.251,121.80792680927354,141.5870731907265
1995-05-04,128.0,128.0,125.0,127.0,127.171,121.31220716444255,141.48279283555746
1995-05-05,127.5,130.0,126.5,130.0,127.15100000000001,121.31220716444255,141.48279283555746
1995-05-08,131.0,132.0,131.0,131.25,127.272,121.31220716444255,141.48279283555746
1995-05-09,131.0,133.0,131.0,132.5,127.522,121.3773487407386,141.56765125926145
1995-05-10,131.0,133.0,131.0,133.0,127.882,121.53032090193761,141.7146790980624
1995-05-12,130.0,130.5,130.0,130.0,128.122,121.51004689953574,141.7099531004643
1995-05-15,123.0,125.0,123.0,125.0,128.292,121.11266330950198,141.85733669049804
1995-05-16,126.0,126.0,120.0,120.25,128.537,119.61206108674058,142.54293891325943
1995-05-17,121.0,126.0,121.0,126.0,128.89700000000002,119.47877143019862,142.5762285698014
1995-05-18,130.0,130.0,128.0,130.0,128.857,119.49655346550539,142.58344653449467
1995-05-19,129.0,131.95,128.0,130.0,128.977,119.6794678452197,141.4905321547803
1995-05-22,131.0,133.0,130.0,130.0,129.017,120.49527702694843,139.4747229730516
1995-05-23,128.0,128.0,125.0,128.0,128.977,120.9202388233881,137.9497611766119
1995-05-24,132.0,135.0,130.0,135.0,129.17700000000002,121.31742756378608,137.25257243621397
1995-05-25,130.0,132.5,130.0,132.05,129.28300000000002,121.41759347749785,136.95740652250214
1995-05-26,137.5,137.5,132.0,132.5,129.358,121.74737965108552,136.27762034891447
1995-05-29,130.5,131.0,130.0,130.0,129.43300000000002,121.75559024919548,136.09940975080448
1995-05-30,130.0,130.0,127.95,127.95,129.507,122.12529345564633,136.02470654435365
1995-05-31,129.0,134.0,129.0,133.95,129.686,122.52517156243482,136.51982843756514
1995-06-01,134.0,134.0,133.0,133.0,129.846,122.9168907527809,136.8281092472191
1995-06-02,134.0,135.0,134.0,134.25,130.011,123.15514719153897,137.31485280846098
1995-06-05,135.0,135.0,133.0,135.0,130.131,123.09381748653384,137.87618251346615
1995-06-06,132.0,134.0,132.0,133.25,130.39600000000002,123.09675658290385,138.0732434170961
1995-06-07,136.0,137.0,135.25,135.3,130.692,122.98552497360383,138.46447502639614
1995-06-08,135.0,135.0,131.5,134.95,130.951,122.91504349230728,138.72995650769272
1995-06-09,135.0,135.0,130.0,132.0,131.091,123.00825734248028,138.8367426575197
1995-06-12,132.5,135.0,128.75,132.0,131.171,123.85768730051659,138.68731269948336
1995-06-13,132.5,132.5,127.0,129.65,131.224,126.3549632129722,137.13003678702782
1995-06-14,126.0,128.0,126.0,128.0,131.12599999999998,126.84352378902503,136.84147621097497
1995-06-15,127.0,130.5,126.0,127.95,131.075,126.50352870924068,136.97647129075926
1995-06-16,128.0,128.0,128.0,128.0,130.975,126.19152363161578,137.0884763683842
1995-06-19,128.0,129.0,128.0,129.0,130.955,126.06040498294578,137.11959501705417
1995-06-20,127.5,130.0,127.5,130.0,130.93,126.36522177383004,137.01477822616997
1995-06-21,130.0,132.0,130.0,131.0,130.93,126.39308658933776,136.58691341066222
1995-06-22,130.75,134.75,130.75,134.75,131.025,126.32658911609002,136.92341088390998
1995-06-23,132.5,133.0,131.0,131.1,131.042,126.26828377713996,136.84171622286004
1995-06-26,120.0,120.0,120.0,120.0,130.892,123.67280948213173,138.4371905178683
1995-06-27,125.0,125.0,122.05,122.8,130.78,122.64065108571174,138.95434891428823
1995-06-28,126.0,127.5,121.0,127.5,130.79,122.33293896517988,138.6170610348201
1995-06-29,132.0,133.0,128.0,130.3,130.80100000000002,122.28514856878499,138.39485143121502
1995-06-30,129.0,134.75,129.0,132.7,130.673,122.33726548578767,138.1877345142123
1995-07-03,131.0,131.0,127.0,127.0,130.373,122.13906505378468,137.58593494621536
1995-07-05,124.0,128.0,124.0,125.5,130.10299999999998,121.68975755033927,137.26024244966072
1995-07-10,126.0,126.0,124.0,124.0,129.82299999999998,121.26583469841904,136.55416530158095
1995-07-11,127.9,127.9,127.0,127.0,129.683,121.38118470093092,135.64381529906908
1995-07-12,127.25,127.25,125.0,127.0,129.503,121.29733290713145,135.22766709286853
1995-07-13,125.25,128.75,125.25,126.0,129.389,121.16018808650904,134.76481191349097
1995-07-14,128.75,128.75,128.75,128.75,129.464,121.1503755232218,134.6846244767782
1995-07-17,128.75,130.0,128.75,129.7,129.558,121.1884684242154,134.81653157578458
1995-07-18,129.75,135.0,129.75,134.65,129.731,120.9037310331413,135.7712689668587
1995-07-19,130.0,134.0,130.0,134.0,129.871,120.7884051812528,136.4865948187472
1995-07-20,132.0,132.0,132.0,132.0,129.911,120.79586786316298,136.779132136837
1995-07-21,131.0,131.0,125.0,125.0,129.786,120.39418663064113,136.68081336935884
1995-07-24,130.05,137.5,129.0,134.4,129.82399999999998,120.21333636904296,137.20166363095706
1995-07-25,130.5,130.5,125.0,125.4,129.672,120.1253868010594,136.3546131989406
1995-07-26,130.0,130.0,128.0,130.0,129.672,120.13737203957132,136.2326279604287
1995-07-27,129.0,130.0,127.5,130.0,129.772,121.59266907887564,135.77733092112436
1995-07-31,123.0,124.0,123.0,123.25,129.832,121.69133258016475,135.72366741983527
1995-08-01,124.0,125.0,124.0,125.0,129.81199999999998,121.38891550444171,135.7760844955583
1995-08-03,122.0,122.0,122.0,122.0,129.652,120.45235597228276,135.88264402771722
1995-08-11,116.0,118.0,115.0,117.0,129.392,118.50222765946309,136.2627723405369
1995-08-14,116.0,120.0,116.0,119.25,129.177,117.39708904308642,136.59291095691358
1995-08-16,119.0,121.0,119.0,121.0,129.03699999999998,116.81999867759863,136.7200013224014
1995-08-17,120.0,121.0,120.0,121.0,128.75699999999998,116.40719070557908,136.8328092944209
1995-08-21,118.0,118.0,117.0,117.0,128.456,115.04293027537472,137.1970697246253
1995-08-22,116.0,117.25,112.0,116.95,128.145,113.82011960388976,137.41488039611022
1995-08-23,118.0,118.0,117.0,118.0,127.905,112.94192412113003,137.49307587886997
1995-08-24,115.0,116.95,115.0,116.95,127.685,111.93944200086267,137.31555799913735
1995-08-25,113.95,114.05,112.5,112.5,127.256,110.22426416648871,137.31073583351133
1995-08-28,112.0,112.0,112.0,112.0,126.836,109.13540546417865,136.13459453582138
1995-08-30,110.0,110.0,110.0,110.0,126.351,107.92231200530021,134.94768799469983
1995-08-31,112.0,112.0,110.0,110.0,125.851,106.86178680921996,133.80821319078004
1995-09-01,109.0,115.0,106.0,112.5,125.436,105.99049410127094,133.42950589872908
1995-09-05,110.0,115.0,107.5,111.8,124.96600000000001,106.30849256460965,130.85150743539035
1995-09-11,115.0,115.0,113.1,113.1,124.529,105.90152315108911,130.02847684891088
1995-09-12,113.5,114.5,113.0,114.5,124.179,106.4646439146342,127.91535608536577
