Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,25.75,27.0,25.75,26.4,,,
1995-01-03,26.5,26.9,26.5,26.5,,,
1995-01-04,26.8,27.0,26.4,27.0,,,
1995-01-05,26.8,27.0,26.5,27.0,,,
1995-01-06,27.0,27.0,26.4,26.5,,,
1995-01-09,26.6,26.6,26.25,26.5,,,
1995-01-10,26.1,26.35,26.1,26.35,,,
1995-01-11,25.9,25.9,25.65,25.7,,,
1995-01-12,26.0,26.0,25.7,25.8,,,
1995-01-13,25.5,26.0,25.5,26.0,,,
1995-01-16,25.5,26.15,25.5,26.15,,,
1995-01-17,25.5,26.5,25.5,26.35,,,
1995-01-18,26.5,26.5,26.4,26.4,,,
1995-01-19,26.5,26.5,26.5,26.5,,,
1995-01-20,26.5,26.8,26.3,26.75,,,
1995-01-23,26.0,26.3,26.0,26.2,,,
1995-01-24,25.5,25.8,25.0,25.5,,,
1995-01-25,25.5,25.6,25.4,25.5,,,
1995-01-27,25.5,26.0,25.5,26.0,,,
1995-01-30,25.7,26.5,25.7,26.5,,25.421359704011785,27.138640295988218
1995-01-31,26.25,26.7,26.0,26.7,,25.417263677046698,27.1727363229533
1995-02-01,26.7,26.7,26.2,26.2,,25.406772471924143,27.15322752807586
1995-02-02,26.2,26.4,26.0,26.4,,25.442143837711583,27.057856162288417
1995-02-03,26.3,26.7,26.3,26.7,,25.476122712922503,26.993877287077503
1995-02-06,26.4,26.7,26.3,26.6,,25.472502357281183,27.00749764271882
1995-02-07,26.5,26.55,26.25,26.5,,25.472502357281183,27.00749764271882
1995-02-08,26.4,27.2,26.25,26.9,,25.445900148618886,27.089099851381118
1995-02-09,26.4,26.7,26.4,26.7,,25.51995442301495,27.115045576985054
1995-02-10,26.7,27.0,26.7,27.0,,25.56349431011946,27.191505689880536
1995-02-13,27.0,27.0,26.65,26.65,,25.607635074492784,27.212364925507224
1995-02-14,26.75,26.9,26.75,26.85,,25.629427872756285,27.260572127243716
1995-02-15,26.8,26.8,26.75,26.75,,25.639677096684668,27.290322903315325
1995-02-16,26.5,26.5,26.0,26.1,,25.608948027139444,27.291051972860554
1995-02-17,25.55,26.4,25.55,25.8,,25.525825338334833,27.304174661665172
1995-02-20,25.9,25.9,24.5,24.65,,25.136790277643602,27.483209722356403
1995-02-21,25.0,26.0,25.0,26.0,,25.1194559684085,27.480544031591503
1995-02-22,25.7,26.2,25.6,25.95,,25.189978360843423,27.455021639156573
1995-02-23,25.9,27.0,25.9,26.75,,25.30694131592209,27.463058684077907
1995-02-24,27.0,27.5,27.0,27.25,,25.31963522647064,27.575364773529355
1995-02-28,27.5,27.5,26.9,27.4,,25.286691688446904,27.698308311553095
1995-03-01,27.5,28.6,27.5,28.5,,25.07942420613421,28.08557579386579
1995-03-02,28.5,29.6,28.5,29.35,,24.80701757570546,28.67298242429454
1995-03-03,29.5,32.0,29.5,31.3,,24.185545165854418,29.78445483414559
1995-03-06,31.0,31.8,30.75,31.1,,23.861207636766142,30.54879236323386
1995-03-07,31.0,31.0,30.25,30.25,,23.793663902633163,30.981336097366835
1995-03-08,30.3,30.3,29.5,29.55,,23.847247496428764,31.232752503571234
1995-03-09,29.6,29.75,29.55,29.55,,23.887421957280967,31.457578042719025
1995-03-10,29.8,30.0,29.5,29.9,,23.95119867183698,31.713801328163026
1995-03-13,29.0,29.1,28.5,28.5,,24.035974392914884,31.779025607085128
1995-03-14,28.8,28.9,28.7,28.7,27.043000000000003,24.170235752850928,31.849764247149068
1995-03-15,29.7,29.7,28.8,28.8,27.090999999999998,24.29280886950822,31.92219113049179
1995-03-16,28.2,28.2,27.9,28.0,27.121,24.408365416890934,31.931634583109076
1995-03-20,28.0,28.1,28.0,28.0,27.141,24.62963279202195,31.900367207978057
1995-03-21,27.6,27.7,27.4,27.4,27.148999999999997,24.871203351102025,31.818796648897973
1995-03-22,27.2,27.9,27.2,27.6,27.171,25.45635372379288,31.52864627620712
1995-03-23,27.75,28.1,27.75,28.05,27.201999999999998,25.78301437452202,31.40698562547798
1995-03-24,27.5,27.5,27.5,27.5,27.225,26.09150162115917,31.253498378840835
1995-03-27,27.0,27.8,27.0,27.5,27.261,26.226666077946604,31.193333922053398
1995-03-28,27.5,28.5,27.5,28.2,27.309,26.35678190567466,31.15821809432535
1995-03-29,28.5,28.7,28.5,28.7,27.363000000000003,26.507679329442087,31.13732067055791
1995-03-30,29.0,29.0,28.7,28.8,27.416,26.52759569576207,31.147404304237927
1995-03-31,28.85,28.85,28.5,28.55,27.46,26.49727689869232,31.097723101307686
1995-04-03,28.6,28.6,28.3,28.4,27.5,26.673272346276654,30.63172765372334
1995-04-04,28.4,28.4,28.2,28.4,27.537999999999997,26.907245034899244,30.127754965100745
1995-04-05,28.7,29.2,28.7,28.9,27.581,27.045495966916643,29.854504033083355
1995-04-06,29.0,29.0,28.9,29.0,27.637000000000004,27.088935327086784,29.756064672913222
1995-04-07,29.05,29.3,29.0,29.0,27.707000000000004,27.13889909892388,29.651100901076127
1995-04-10,29.0,29.0,29.0,29.0,27.777,27.26857793428719,29.431422065712812
1995-04-11,28.7,28.7,28.3,28.6,27.829,27.269739905053054,29.44026009494694
1995-04-12,28.5,28.7,28.5,28.6,27.871000000000002,27.270526444096582,29.42947355590342
1995-04-17,29.0,29.0,28.0,28.75,27.912000000000003,27.272190986885978,29.422809013114016
1995-04-18,28.7,28.9,28.3,28.3,27.954,27.299299766345897,29.425700233654105
1995-04-19,28.25,28.75,28.0,28.5,27.996,27.336748389309605,29.438251610690394
1995-04-20,28.0,28.1,27.5,27.5,28.012000000000004,27.360753907203893,29.42424609279611
1995-04-21,27.5,27.6,27.4,27.4,28.028,27.315149616056047,29.449850383943954
1995-04-24,27.6,28.1,27.6,27.7,28.052,27.2637566835139,29.466243316486096
1995-04-25,26.5,27.0,26.3,26.7,28.048000000000002,27.04746124788407,29.60253875211593
1995-04-26,26.5,26.6,26.25,26.6,28.046,26.828539755244638,29.731460244755365
1995-04-27,26.2,26.2,25.8,25.9,28.024,26.36438606960964,29.965613930390358
1995-04-28,25.5,25.5,25.2,25.2,27.995,25.775549848453522,30.20445015154648
1995-05-02,24.2,24.2,23.2,23.9,27.936,24.910457430387158,30.579542569612837
1995-05-03,23.0,24.2,22.5,24.0,27.881,24.256683989760916,30.778316010239088
1995-05-04,25.0,25.5,24.4,25.1,27.861,23.94886803894491,30.756131961055097
1995-05-05,26.0,26.0,25.25,25.85,27.862,23.795637622561678,30.654362377438325
1995-05-08,26.0,26.1,25.7,26.1,27.891000000000005,23.715461534025145,30.45453846597485
1995-05-09,25.7,26.3,25.7,26.2,27.895,23.679405833059192,30.21059416694081
1995-05-10,26.0,27.0,26.0,26.6,27.908,23.704187015502136,29.945812984497863
1995-05-12,25.8,26.5,25.6,26.5,27.903000000000002,23.750423759249486,29.649576240750513
1995-05-15,26.25,27.5,26.25,27.1,27.9,23.805425564025676,29.444574435974324
1995-05-16,27.4,28.1,27.25,27.7,27.906,23.86640847816619,29.293591521833815
1995-05-17,27.6,28.7,27.6,28.0,27.896,23.936580624909205,29.148419375090796
1995-05-18,29.0,29.0,28.6,28.6,27.881,23.90593144733657,29.209068552663425
