Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1997-04-02,12.25,12.25,12.25,12.25,,,
1997-04-03,13.45,13.45,13.15,13.35,,,
1997-04-04,14.0,14.2,13.75,14.2,,,
1997-04-07,14.2,14.2,13.75,13.85,,,
1997-04-09,15.15,15.25,15.0,15.25,,,
1997-04-10,15.15,16.25,14.5,15.2,,,
1997-04-11,14.85,15.5,14.65,14.9,,,
1997-04-12,14.85,15.1,14.5,14.75,,,
1997-04-15,15.25,15.55,14.25,14.55,,,
1997-04-17,15.05,15.45,14.75,15.25,,,
1997-04-21,15.65,15.65,15.0,15.25,,,
1997-04-22,15.35,15.35,14.75,14.75,,,
1997-04-23,15.4,15.4,14.95,15.15,,,
1997-04-24,14.55,16.65,14.55,16.35,,,
1997-04-25,16.6,17.95,16.45,17.5,,,
1997-04-28,17.5,18.35,17.5,18.25,,,
1997-04-29,18.35,18.45,17.85,18.15,,,
1997-04-30,19.35,19.95,18.65,19.05,,,
1997-05-02,18.85,19.05,18.2,18.45,,,
1997-05-05,17.5,18.35,17.35,17.95,,11.935488629190093,19.504511370809904
1997-05-06,18.0,18.35,16.2,16.75,,12.510208962151523,19.379791037848474
1997-05-07,17.25,18.45,16.65,18.45,,12.819560912979998,19.58043908702
1997-05-08,18.75,19.35,18.45,18.55,,13.019160622257424,19.81583937774257
1997-05-09,18.75,18.75,18.15,18.55,,13.353142008224218,19.951857991775782
1997-05-12,18.25,18.65,17.75,17.85,,13.51104852751228,20.053951472487725
1997-05-13,17.55,18.2,17.25,17.75,,13.700048368949432,20.11995163105057
1997-05-14,18.5,18.75,17.9,18.45,,13.953833071136527,20.221166928863468
1997-05-15,18.6,19.0,18.35,18.75,,14.273694048086465,20.301305951913537
1997-05-16,18.75,18.75,18.5,18.6,,14.715947293029096,20.264052706970908
1997-05-19,18.75,18.95,18.55,18.65,,15.052197940995647,20.267802059004353
1997-05-20,18.65,18.65,17.75,18.0,,15.447477603690153,20.147522396309846
1997-05-21,18.35,18.65,18.0,18.15,,16.10420495598453,19.830795044015463
1997-05-22,18.25,18.25,17.95,17.95,,16.79670474118714,19.418295258812865
1997-05-23,18.0,18.15,17.55,17.85,,17.153819189191182,19.211180810808813
1997-05-26,17.65,17.65,16.35,16.85,,16.99697194994636,19.303028050053637
1997-05-27,16.55,16.85,15.85,16.35,,16.650908235117626,19.459091764882373
1997-05-28,17.0,17.75,16.65,17.6,,16.60976459301797,19.44523540698203
1997-05-29,17.25,18.15,17.25,18.15,,16.646648211813908,19.31835178818609
1997-05-30,18.25,19.75,18.25,19.3,,16.577134056801643,19.472865943198354
1997-06-02,19.25,19.75,18.85,19.3,,16.537448807747385,19.647551192252617
1997-06-03,19.35,19.85,19.35,19.75,,16.65429512126361,19.83070487873639
1997-06-04,19.85,20.6,19.65,20.25,,16.508313086677575,20.156686913322424
1997-06-05,20.65,21.8,20.45,21.75,,16.111594599461007,20.873405400538992
1997-06-06,21.65,23.35,21.45,22.55,,15.6982467322254,21.686753267774606
1997-06-09,22.8,22.95,21.65,21.9,,15.60723960406897,22.18276039593103
1997-06-10,21.8,22.75,21.75,22.25,,15.55771214851438,22.682287851485615
1997-06-11,22.75,23.15,22.55,22.85,,15.42584216223371,23.25415783776629
1997-06-12,23.05,23.15,22.85,23.0,,15.324339394575578,23.780660605424426
1997-06-13,23.15,23.15,22.45,22.65,,15.33531913512205,24.17468086487795
1997-06-16,22.45,22.45,21.55,21.6,17.896,15.441384373659567,24.363615626340433
1997-06-17,21.0,21.75,19.85,20.15,18.054000000000002,15.639211801781734,24.380788198218262
1997-06-18,21.8,21.8,20.65,20.75,18.202,15.848196306054033,24.431803693945966
1997-06-19,20.85,21.15,20.5,20.75,18.333000000000002,16.10798799012681,24.452012009873187
1997-06-20,20.65,20.65,20.4,20.55,18.467,16.40237518639773,24.427624813602268
1997-06-23,20.5,21.75,20.25,21.05,18.583,16.974693596134014,24.275306403865986
1997-06-24,21.25,21.35,20.75,21.0,18.698999999999998,17.811316019655905,23.9036839803441
1997-06-25,21.75,22.35,21.75,22.15,18.844,18.405624581814138,23.764375418185864
1997-06-26,22.5,22.95,22.05,22.4,18.997,18.943896939069642,23.651103060930364
1997-06-27,22.65,23.0,22.5,22.75,19.161,19.229840231261758,23.710159768738247
1997-06-30,22.55,22.55,22.05,22.15,19.299,19.60281948074492,23.622180519255082
1997-07-01,22.25,22.25,21.55,21.75,19.429000000000002,19.904076726304986,23.52092327369501
1997-07-02,22.0,22.65,22.0,22.5,19.584,20.12283419695604,23.52716580304396
1997-07-03,22.75,23.15,22.05,22.1,19.723,20.136388693703324,23.548611306296678
1997-07-04,21.95,22.15,20.65,20.75,19.811,20.013935861649745,23.491064138350257
1997-07-07,20.25,20.75,18.7,18.75,19.836000000000002,19.40149283470279,23.788507165297215
1997-07-08,17.65,18.1,16.85,17.85,19.828000000000003,18.641869926256767,24.108130073743233
1997-07-09,18.25,19.65,18.25,19.45,19.854,18.43544749957122,23.974552500428775
1997-07-10,19.85,19.95,18.5,18.55,19.844,18.10714647482495,23.857853525175045
1997-07-11,18.75,18.8,18.5,18.75,19.85,17.859796570958597,23.715203429041406
1997-07-14,18.5,18.65,17.5,17.8,19.847,17.410111199050107,23.784888800949894
1997-07-15,17.5,17.85,17.45,17.45,19.861,16.980232892133905,23.94476710786609
1997-07-16,18.0,18.5,17.5,17.5,19.842,16.5790776468872,24.0209223531128
1997-07-17,17.5,17.75,15.85,17.0,19.811,16.119100841124816,24.105899158875186
1997-07-21,16.5,16.85,16.45,16.5,19.77,15.610967061009408,24.209032938990592
1997-07-22,16.85,17.0,16.35,16.65,19.746000000000002,15.19092407148689,24.189075928513113
1997-07-23,17.25,18.2,17.0,18.05,19.752,15.030845501283448,24.054154498716546
1997-07-24,18.5,18.5,17.85,18.05,19.744,14.953933199466825,23.721066800533173
1997-07-25,17.75,18.05,17.65,18.0,19.729,14.944494646036224,23.290505353963773
1997-07-28,17.9,18.15,17.85,18.0,19.717,15.05096961565851,22.70903038434149
1997-07-29,18.0,18.15,17.65,18.15,19.707,15.165159283387409,22.194840716612593
1997-07-30,18.15,18.25,18.05,18.2,19.711,15.295357477770196,21.709642522229807
1997-07-31,18.15,18.65,18.15,18.55,19.719,15.705425135972417,20.90457486402758
1997-08-01,18.75,19.25,18.65,19.05,19.741,16.217374545070626,20.087625454929366
1997-08-04,19.75,20.0,18.5,19.0,19.764,16.50190590241836,19.628094097581634
1997-08-05,18.85,19.75,18.85,19.5,19.817,16.437543860226874,19.767456139773124
1997-08-06,19.85,20.45,19.65,20.25,19.895,16.307057217604402,20.137942782395598
1997-08-07,20.65,22.25,20.35,21.85,19.98,15.880520693575399,20.804479306424604
1997-08-08,21.75,22.1,21.5,21.75,20.052,15.606136581395324,21.39886341860468
1997-08-11,21.85,21.85,19.65,20.85,20.083,15.526954081190393,21.68804591880961
1997-08-12,21.5,22.85,21.25,22.45,20.146,15.342391794683898,22.3376082053161
1997-08-13,23.75,23.75,23.0,23.15,20.214000000000002,15.201320201915745,23.048679798084255
1997-08-14,23.2,23.35,22.9,23.1,20.271,15.18176851089997,23.62823148910003
1997-08-18,22.9,22.9,21.95,22.5,20.285999999999998,15.400255787279391,23.959744212720608
1997-08-19,22.55,22.95,22.35,22.45,20.284000000000002,15.80257800261966,24.152421997380337
1997-08-20,22.45,22.85,22.45,22.5,20.296,16.26022247631201,24.27977752368799
1997-08-21,22.65,22.65,22.35,22.35,20.298,16.515497843756634,24.45450215624337
1997-08-22,22.5,22.5,21.35,21.45,20.27,16.83622367353381,24.473776326466194
1997-08-25,21.3,21.3,20.25,20.5,20.22,17.169139189961296,24.390860810038706
1997-08-26,21.35,21.35,20.25,20.5,20.177,17.534243408372586,24.275756591627417
1997-08-27,20.85,21.2,19.55,19.8,20.141000000000002,17.826408416385306,24.148591583614696
1997-08-28,19.85,20.0,17.85,17.95,20.096999999999998,17.76588469315432,24.184115306845683
1997-08-29,19.05,19.05,16.85,17.0,20.022,17.3816000253735,24.4133999746265
1997-09-01,17.35,17.45,16.0,16.15,19.93,16.7152425932422,24.789757406757804
1997-09-02,16.75,17.75,16.5,17.75,19.874000000000002,16.502600354698234,24.877399645301768
1997-09-03,18.15,18.35,17.8,17.95,19.812,16.277589693151572,24.94741030684843
1997-09-04,17.8,19.55,17.75,19.45,19.781000000000002,16.208837245893235,24.936162754106768
1997-09-05,19.75,21.45,19.75,21.35,19.765,16.208997347798714,24.886002652201284
1997-09-08,21.0,21.95,20.65,21.45,19.746,16.209455872730942,24.855544127269056
1997-09-09,21.65,21.75,20.15,20.95,19.71,16.212678738101644,24.86232126189836
1997-09-10,20.65,20.65,19.5,20.4,19.675,16.204894862573283,24.665105137426714
1997-09-11,20.15,20.85,20.0,20.6,19.652,16.272746371572985,24.342253628427017
1997-09-12,20.25,20.5,19.65,19.9,19.6,16.33112599758416,23.963874002415842
1997-09-15,19.75,19.9,18.5,18.5,19.528,16.232314235713424,23.66268576428657
1997-09-16,17.65,19.15,17.65,18.15,19.476,16.13114426112964,23.333855738870355
1997-09-17,19.4,19.4,19.4,19.4,19.488999999999997,16.219011148087464,22.935988851912537
1997-09-18,19.4,19.4,18.05,18.7,19.506,16.283239624974524,22.506760375025475
1997-09-19,18.95,19.55,18.55,19.45,19.506,16.33653311396101,22.253466886038986
1997-09-22,19.5,19.65,18.95,19.0,19.515,16.314578570291346,22.125421429708652
1997-09-23,18.95,19.15,18.25,18.75,19.515,16.284550599207662,21.980449400792338
1997-09-24,19.25,20.0,19.15,19.55,19.55,16.28220990353784,21.957790096462155
1997-09-25,19.5,19.75,19.35,19.75,19.596,16.41459022870109,22.00540977129891
1997-09-26,19.75,19.85,19.5,19.6,19.637999999999998,16.742511334303693,21.937488665696307
1997-09-29,19.8,20.4,19.65,20.15,19.701,17.40123498498002,21.678765015019977
1997-09-30,20.15,20.15,19.65,19.9,19.769,17.67813595624328,21.61686404375672
1997-10-01,19.85,20.35,19.85,19.95,19.835,17.94502363326692,21.549976366733084
1997-10-09,19.85,19.95,19.15,19.25,19.859,17.92587816191948,21.54912183808052
1997-10-10,19.55,19.65,18.75,18.8,19.874,17.92146279438783,21.29853720561217
1997-10-13,19.15,19.85,18.85,19.35,19.901,18.053721072186498,20.956278927813507
1997-10-14,19.25,19.35,18.75,18.8,19.916999999999998,18.085019423702725,20.709980576297276
1997-10-15,20.0,20.0,19.35,19.75,19.948999999999998,18.126962503756452,20.60303749624355
1997-10-16,19.85,20.5,19.8,20.15,19.988000000000003,18.185245990672314,20.49975400932768
1997-10-17,20.45,21.15,19.75,20.15,20.02,18.16738850938899,20.542611490611012
1997-10-20,20.25,20.25,18.85,19.15,20.022000000000002,18.264592589466382,20.510407410533617
1997-10-21,18.75,19.15,17.85,17.85,19.999000000000002,18.17448629302291,20.570513706977096
1997-10-22,16.75,18.45,16.75,17.85,19.966,17.917397200320806,20.67260279967919
1997-10-23,17.55,17.95,17.5,17.75,19.916,17.7255639061761,20.7694360938239
1997-10-24,17.65,17.65,16.75,17.05,19.82,17.32094031520224,20.934059684797763
1997-10-27,16.75,16.95,16.25,16.65,19.718,16.89001986106628,21.129980138933718
1997-10-28,16.25,16.25,15.45,15.5,19.611,16.208825093317166,21.486174906682834
1997-10-29,16.45,16.6,15.75,16.35,19.489,15.847767803582844,21.527232196417156
1997-10-30,16.25,16.85,15.85,16.45,19.355,15.561796847386667,21.483203152613335
1997-11-03,16.35,16.5,15.75,15.85,19.21,15.192238894153604,21.477761105846398
1997-11-04,15.65,16.15,15.05,15.35,19.067,14.806119211326578,21.38388078867342
1997-11-05,15.25,16.4,14.75,15.25,18.923,14.455560487460172,21.26943951253983
1997-11-06,15.0,15.8,14.75,15.55,18.784000000000002,14.23488082804834,21.050119171951657
1997-11-07,15.35,15.65,15.25,15.35,18.644,13.981351675053965,20.91364832494604
1997-11-10,15.15,15.35,14.75,14.9,18.513,13.66987012208836,20.835129877911644
1997-11-11,14.75,15.05,14.5,14.6,18.395,13.388329785863457,20.641670214136546
1997-11-12,14.85,15.25,14.75,14.95,18.284000000000002,13.186065221987775,20.45893477801222
1997-11-13,14.85,14.95,14.75,14.95,18.187,13.130685069302022,20.034314930697978
1997-11-17,14.85,15.25,14.85,15.25,18.133000000000003,13.278625938140664,19.396374061859333
1997-11-18,15.05,15.25,15.0,15.15,18.096,13.571472429236477,18.603527570763518
1997-11-19,15.15,15.45,14.8,15.25,18.078,13.808406103741689,17.976593896258315
1997-11-20,15.15,15.55,15.0,15.45,18.031999999999996,13.897042161160831,17.647957838839165
1997-11-21,15.45,15.7,15.4,15.45,17.982,14.049386253502059,17.25561374649794
1997-11-24,15.35,15.35,14.95,15.05,17.894,14.235529887859625,16.79947011214038
1997-11-25,14.95,15.45,14.9,15.2,17.771,14.360006795178505,16.489993204821495
1997-11-26,15.35,15.45,15.25,15.25,17.647000000000002,14.458280833728823,16.25171916627118
1997-11-27,15.35,15.75,15.15,15.65,17.541,14.458197419059905,16.266802580940094
1997-11-28,15.45,15.5,15.35,15.45,17.442,14.539327376747849,16.09567262325215
1997-12-01,15.05,15.55,14.8,15.45,17.339,14.694167176662647,15.840832823337356
1997-12-02,15.35,15.45,15.0,15.05,17.242,14.71710799379281,15.737892006207185
1997-12-03,15.35,15.35,15.2,15.25,17.177,14.715211023909097,15.729788976090903
