Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2000-02-10,325.0,750.0,255.0,271.2,,,
2000-02-11,277.5,279.0,249.5,249.5,,,
2000-02-14,230.0,238.7,229.55,229.55,,,
2000-02-15,211.2,211.2,211.2,211.2,,,
2000-02-16,195.5,207.5,194.3,197.5,,,
2000-02-17,195.1,213.3,195.1,213.3,,,
2000-02-18,215.0,230.4,202.5,212.1,,,
2000-02-21,215.0,215.0,195.2,197.2,,,
2000-02-22,195.0,200.0,181.45,189.8,,,
2000-02-23,195.0,205.0,180.5,185.95,,,
2000-02-24,185.0,196.95,178.5,184.2,,,
2000-02-25,180.6,182.5,169.75,172.95,,,
2000-02-28,165.05,167.55,159.15,161.8,,,
2000-02-29,161.0,173.5,148.85,150.9,,,
2000-03-01,140.1,161.95,140.1,153.0,,,
2000-03-02,150.1,154.45,140.8,140.8,,,
2000-03-03,132.5,147.5,129.55,133.9,,,
2000-03-06,135.25,144.65,123.75,137.8,,,
2000-03-07,148.8,148.8,127.6,141.95,,,
2000-03-08,149.0,149.0,132.5,134.2,,103.73657869061671,263.14342130938326
2000-03-09,132.5,134.95,124.5,132.9,,105.3378522835758,247.71214771642423
2000-03-10,128.55,135.0,125.5,129.45,,105.24374166718792,235.8012583328121
2000-03-13,132.5,139.0,122.9,124.8,,103.21725178548002,227.35274821451998
2000-03-14,120.0,130.0,118.1,124.05,,100.21019582470099,221.64480417529904
2000-03-15,129.95,133.95,125.0,133.95,,98.45659040793299,217.043409592067
2000-03-16,137.25,144.6,131.5,138.75,,100.32367638258052,207.72132361741944
2000-03-21,137.75,137.75,128.1,129.6,,102.70232322814856,197.09267677185142
2000-03-22,135.65,135.65,135.65,135.65,,104.87737753850678,188.7626224614932
2000-03-23,146.4,146.5,138.5,141.35,,107.6296869164434,181.16531308355655
2000-03-24,136.6,143.25,133.6,139.85,,110.94192722500098,173.24307277499904
2000-03-27,137.0,140.0,133.25,133.7,,115.37928462230259,163.7557153776974
2000-03-28,132.5,133.75,127.0,131.15,,118.8499461305872,156.10505386941284
2000-03-29,130.0,132.5,128.1,129.25,,120.83201078706004,150.86798921293993
2000-03-30,127.45,129.0,126.0,127.9,,121.07676134030797,148.323238659692
2000-03-31,127.5,134.5,126.0,129.65,,122.82179335468078,144.24320664531916
2000-04-03,132.5,132.5,124.0,125.25,,122.00805918681583,143.50194081318423
2000-04-04,121.0,121.0,115.25,117.9,,119.34615181186014,144.56384818813981
2000-04-05,117.95,124.75,115.9,123.6,,118.4245434846049,144.06545651539506
2000-04-06,122.5,123.5,116.8,120.1,,117.44964184668916,142.85535815331085
2000-04-07,121.0,129.7,121.0,129.3,,117.34509681891284,142.4699031810871
2000-04-10,130.0,138.5,127.5,129.6,,117.25915214438899,142.22584785561102
2000-04-11,123.75,130.95,120.1,126.0,,116.97478787709274,142.16521212290726
2000-04-12,125.0,130.0,124.0,128.5,,117.34749378294362,142.16250621705643
2000-04-13,125.6,131.25,122.5,129.45,,117.90861266279256,142.14138733720745
2000-04-17,128.1,128.1,120.0,126.4,,117.57563296609891,141.7193670339011
2000-04-18,126.0,130.95,125.0,128.45,,117.8421559653379,140.4228440346621
2000-04-19,130.0,130.5,126.0,128.3,,117.77352046733805,140.361479532662
2000-04-20,126.5,131.0,125.0,129.95,,117.90803570587555,139.65696429412444
2000-04-24,129.0,131.5,128.5,131.0,,119.05030350044431,137.47969649955573
2000-04-25,125.0,127.0,120.6,124.3,150.97799999999998,119.90991011791814,135.06508988208185
2000-04-26,127.0,134.3,125.0,134.3,148.24,119.83236225853825,135.20263774146176
2000-04-27,130.05,145.0,130.05,145.0,146.15,117.31922167007535,139.1007783299246
2000-04-28,146.0,156.6,134.0,138.5,144.329,116.84997577937158,140.4950242206284
2000-05-02,136.0,136.5,129.0,132.05,142.746,116.96921762258741,140.7907823774126
2000-05-03,126.05,131.5,121.5,129.75,141.391,116.97277275675475,140.79722724324523
2000-05-04,135.45,144.0,134.0,142.05,139.966,116.58588603484044,142.86411396515956
2000-05-05,148.0,152.5,140.0,151.5,138.754,116.20185281888968,146.60814718111038
2000-05-08,148.0,154.5,134.05,140.25,137.615,117.01045083360646,147.46454916639357
2000-05-09,138.5,149.0,138.0,147.05,136.76,118.11261032984106,149.0573896701589
2000-05-10,145.0,145.5,139.25,142.5,135.891,118.42010621969703,150.06989378030298
2000-05-11,138.0,142.5,135.55,140.05,135.00799999999998,118.89835499600336,150.63664500399665
2000-05-12,137.55,142.0,135.05,136.7,134.28300000000002,119.96535983564637,150.63964016435364
2000-05-15,138.5,138.5,126.5,134.45,133.736,120.59112543228338,150.6088745677166
2000-05-16,137.0,142.5,134.95,139.8,133.514,121.28881957462596,150.94618042537405
2000-05-17,141.9,144.9,138.6,138.75,133.229,122.59769958026385,150.87230041973612
2000-05-18,136.5,137.95,130.0,130.4,133.02100000000002,122.91052664471593,150.7544733552841
2000-05-19,133.75,133.75,128.5,130.8,132.959,123.31602782292647,150.59897217707353
2000-05-22,130.0,130.0,125.0,126.25,132.728,122.6393931042643,150.90560689573573
2000-05-23,125.0,127.0,125.0,125.2,132.393,121.63090873314005,151.33409126685999
2000-05-24,125.0,127.45,124.0,126.65,132.242,122.12174043608913,151.07825956391085
2000-05-25,126.5,129.75,126.5,127.85,132.141,121.30463067613792,151.2503693238621
2000-05-26,130.5,132.25,125.7,130.1,132.15400000000002,120.9083212106411,150.1566787893589
2000-05-29,134.5,134.5,128.0,129.9,132.256,120.34061896881283,149.8643810311872
2000-05-30,131.0,135.0,130.0,133.85,132.452,120.48713846433168,149.8978615356683
2000-05-31,140.0,147.0,138.55,145.9,132.691,120.78805870722894,151.21194129277106
2000-06-01,142.5,143.5,141.1,142.7,132.77,120.76346442572752,151.3015355742724
2000-06-02,145.0,148.5,143.4,143.6,133.05,121.70280739862864,149.57219260137134
2000-06-05,146.5,150.5,141.05,143.8,133.21300000000002,121.54648110072654,150.08351889927346
2000-06-06,136.0,146.9,136.0,144.75,133.281,121.77992740490882,149.62007259509116
2000-06-07,147.25,147.4,141.0,141.95,133.323,121.8069244904691,149.53807550953087
2000-06-08,141.0,141.5,137.5,138.1,133.41099999999997,121.8119870189785,149.33801298102148
2000-06-09,137.5,138.7,135.0,136.05,133.509,121.78760517746777,149.29739482253223
2000-06-12,135.0,138.0,135.0,135.3,133.63,121.83906854451382,149.33093145548614
2000-06-13,135.0,137.5,130.0,132.7,133.726,121.575989600122,148.88401039987798
2000-06-14,137.5,137.95,132.5,135.0,133.833,121.48939684009102,148.59560315990896
2000-06-15,132.5,137.5,132.0,135.0,134.028,121.89614714171121,148.64885285828876
2000-06-16,135.0,136.0,133.5,135.0,134.37,122.27093110635396,148.69406889364603
2000-06-19,140.0,140.4,135.0,139.8,134.694,123.56666007262996,148.75333992737004
2000-06-20,138.55,147.4,138.55,144.9,135.19,125.09095940205864,149.19904059794138
2000-06-21,145.0,146.25,141.5,142.2,135.448,126.74458592098365,149.1004140790163
2000-06-22,137.55,141.5,137.55,140.4,135.664,128.39022379028182,148.7097762097182
2000-06-23,144.5,145.0,138.0,139.05,135.925,129.64878914037774,148.34621085962226
2000-06-26,136.25,139.5,136.0,137.9,136.113,131.05758487989812,147.73741512010184
2000-06-27,141.9,141.9,136.1,140.4,136.332,131.79813030522942,147.65186969477057
2000-06-28,138.5,138.95,137.5,138.2,136.568,131.94586291999724,146.73413708000277
2000-06-29,140.0,140.0,137.5,137.5,136.749,131.81882712098627,146.34117287901375
2000-06-30,137.5,138.0,136.6,137.5,136.93300000000002,131.8066882660841,145.7433117339159
2000-07-03,139.0,139.0,137.5,137.5,137.084,131.88992429748185,145.03007570251816
2000-07-04,138.1,141.5,137.5,139.3,137.25,132.29916407208478,144.07583592791522
2000-07-05,136.5,139.95,136.5,137.9,137.52200000000002,132.36922335127204,143.600776648728
2000-07-06,137.75,139.0,136.0,138.2,137.6,132.37361419828895,143.606385801711
2000-07-07,138.0,138.9,136.0,137.4,137.448,132.5072249949614,143.6077750050386
2000-07-10,132.5,137.5,132.5,135.9,137.39600000000002,132.59378349360756,143.58121650639245
2000-07-11,136.5,137.5,132.5,133.85,137.43200000000002,132.86894684995664,143.42105315004338
2000-07-12,135.0,136.25,134.0,135.6,137.549,132.96786926164773,143.3821307383523
2000-07-13,136.1,136.1,133.0,134.0,137.388,132.77233219491848,143.47766780508152
2000-07-14,131.0,132.55,130.0,130.05,136.959,131.54783093074425,144.20716906925574
2000-07-17,126.5,130.0,125.0,125.65,136.667,128.88415919204854,145.4558408079515
2000-07-18,123.5,126.5,122.0,123.9,136.204,126.7122540313578,145.5277459686422
2000-07-19,132.45,141.5,130.05,133.25,136.019,126.63844309235859,144.70655690764144
2000-07-20,133.0,137.0,131.25,134.5,135.90800000000002,126.61210902484402,144.14289097515598
2000-07-21,135.55,137.4,132.5,134.1,135.856,126.52312392389369,143.73687607610628
2000-07-24,130.9,130.9,125.0,125.9,135.685,125.10224701661281,143.95775298338725
2000-07-25,124.75,127.25,121.9,125.2,135.393,123.89465057247256,143.64534942752746
2000-07-26,132.0,132.5,126.5,127.55,135.16899999999998,123.22041590909872,143.2545840909013
2000-07-27,125.0,127.5,125.0,126.25,135.086,122.40544868504455,142.94455131495548
2000-07-28,123.5,127.4,123.0,127.25,135.015,121.88375980482155,142.44124019517844
2000-07-31,126.95,130.0,126.95,129.25,135.075,121.71385479746866,141.78614520253134
2000-08-01,130.0,134.1,120.5,127.7,135.125,121.64317361066088,140.69682638933915
2000-08-02,125.3,125.45,124.25,124.9,135.09,121.15396955398039,139.88603044601965
2000-08-03,125.0,129.25,123.5,125.3,135.039,120.97050675220778,138.77949324779223
2000-08-04,123.75,127.5,123.75,125.6,134.94899999999998,120.93331564419941,137.63668435580064
2000-08-07,122.5,125.5,122.5,125.0,134.851,120.7930972600722,136.68690273992783
2000-08-08,125.0,127.4,125.0,126.2,134.69799999999998,120.71562953456396,135.99937046543607
2000-08-09,130.0,130.0,125.75,125.9,134.298,120.9705952285864,134.77440477141363
2000-08-10,126.0,127.4,125.1,125.15,133.947,121.06857017065644,133.7914298293436
2000-08-11,125.15,126.0,120.8,120.8,133.491,120.08447167321341,133.8505283267866
