Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-08-21,21.6,21.95,20.0,21.05,,,
2006-08-22,21.2,21.4,21.0,21.0,,,
2006-08-23,21.1,21.1,21.0,21.0,,,
2006-08-24,21.0,22.2,21.0,22.0,,,
2006-08-25,22.5,23.05,22.05,22.5,,,
2006-08-28,22.55,22.75,22.1,22.2,,,
2006-08-29,22.4,22.7,22.2,22.3,,,
2006-08-30,22.45,22.55,22.05,22.15,,,
2006-08-31,22.25,22.25,21.4,21.5,,,
2006-09-01,21.75,21.75,21.25,21.3,,,
2006-09-04,21.5,22.2,21.3,22.15,,,
2006-09-05,22.2,22.2,21.55,21.9,,,
2006-09-06,22.0,22.5,21.95,22.2,,,
2006-09-07,22.05,22.05,21.6,21.9,,,
2006-09-08,22.0,22.25,21.8,21.95,,,
2006-09-11,22.0,22.05,21.05,21.2,,,
2006-09-12,21.2,21.4,21.0,21.25,,,
2006-09-13,21.5,21.75,21.4,21.5,,,
2006-09-14,21.55,21.95,21.4,21.7,,,
2006-09-15,21.8,21.8,21.25,21.55,,20.769039057221093,22.660960942778907
2006-09-18,21.55,21.8,21.4,21.65,,20.851220326219508,22.638779673780487
2006-09-19,21.6,21.75,21.1,21.2,,20.892384637768433,22.617615362231565
2006-09-20,21.25,21.4,21.1,21.3,,20.953460446698838,22.58653955330116
2006-09-21,21.4,21.65,21.2,21.4,,20.914996012768803,22.565003987231194
2006-09-22,21.45,21.45,21.0,21.2,,20.898706512363162,22.45129348763684
2006-09-25,21.2,21.45,21.1,21.2,,20.862386764232077,22.387613235767923
2006-09-26,21.25,21.35,21.05,21.25,,20.862811410027717,22.28218858997228
2006-09-27,21.25,21.9,21.2,21.85,,20.887641413195446,22.22735858680455
2006-09-28,22.0,22.7,21.55,22.55,,20.807635074492776,22.412364925507223
2006-09-29,23.2,23.9,22.55,23.55,,20.55519315809514,22.88980684190486
2006-10-03,23.7,24.0,23.4,23.55,,20.375953049433974,23.209046950566027
2006-10-04,23.7,23.75,22.7,22.9,,20.34187732222499,23.343122677775007
2006-10-05,23.0,23.6,23.0,23.15,,20.285204554763244,23.494795445236758
2006-10-06,23.25,24.0,23.25,23.9,,20.150492056640086,23.829507943359918
2006-10-09,23.55,25.75,23.4,25.5,,19.74995992794328,24.58504007205672
2006-10-10,25.8,25.8,24.55,25.15,,19.652824722323032,25.077175277676965
2006-10-11,25.3,26.5,25.2,25.6,,19.566180353389854,25.598819646610146
2006-10-12,25.65,26.7,25.5,26.3,,19.428623936139953,26.216376063860043
2006-10-13,26.5,26.55,25.3,25.5,,19.461388239319668,26.56361176068033
2006-10-16,25.75,26.0,25.2,25.5,,19.563285545070805,26.856714454929197
2006-10-17,25.7,26.15,25.2,25.75,,19.677691652511044,27.152308347488955
2006-10-18,25.9,29.05,25.8,28.6,,19.54023852260223,28.02976147739777
2006-10-19,29.6,29.6,28.0,28.6,,19.56329151385852,28.736708486141477
