Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,71.5,72.0,71.5,72.0,,,
1995-01-03,73.45,73.75,72.5,72.5,,,
1995-01-04,71.0,72.0,71.0,72.0,,,
1995-01-05,71.05,71.05,71.05,71.05,,,
1995-01-06,70.0,70.0,70.0,70.0,,,
1995-01-09,66.0,70.0,65.5,67.1,,,
1995-01-10,66.0,66.25,66.0,66.25,,,
1995-01-11,66.15,66.15,66.15,66.15,,,
1995-01-12,66.0,66.0,62.0,65.0,,,
1995-01-13,66.05,66.5,66.05,66.5,,,
1995-01-16,69.75,70.0,69.75,70.0,,,
1995-01-17,68.0,68.0,63.25,63.25,,,
1995-01-18,69.05,70.0,66.25,66.25,,,
1995-01-19,69.0,69.0,67.0,68.0,,,
1995-01-20,71.0,71.5,70.0,70.0,,,
1995-01-23,65.0,65.0,64.0,64.25,,,
1995-01-24,64.0,64.0,62.25,63.75,,,
1995-01-25,64.0,64.0,63.0,63.0,,,
1995-01-27,63.5,65.0,63.5,65.0,,,
1995-01-30,63.5,67.0,63.5,67.0,,61.31628524015436,73.58871475984564
1995-01-31,67.0,72.0,65.0,70.45,,61.444925002693104,73.30507499730689
1995-02-01,69.0,69.0,65.0,66.0,,61.61037927018705,72.48962072981294
1995-02-02,64.0,64.6,64.0,64.6,,61.66818238665114,71.69181761334885
1995-02-03,65.0,67.5,65.0,67.5,,61.908284529489954,71.09671547051003
1995-02-06,65.25,67.0,65.2,67.0,,62.05262546082659,70.6523745391734
1995-02-07,65.0,68.75,65.0,68.35,,62.03380814101193,70.79619185898805
1995-02-08,67.0,67.0,67.0,67.0,,62.06442105334175,70.84057894665825
1995-02-09,67.5,68.5,67.5,68.3,,62.09839773883393,71.02160226116608
1995-02-10,65.25,65.5,65.1,65.5,,62.15470952597794,71.01529047402207
1995-02-13,64.75,66.0,64.75,65.5,,62.07817790820692,70.99182209179308
1995-02-14,65.25,65.25,60.0,60.5,,61.15558737891123,70.96441262108877
1995-02-15,61.8,61.8,61.8,61.8,,60.8699476450882,71.10505235491179
1995-02-16,61.75,61.75,61.4,61.45,,60.24597150425686,71.24902849574315
1995-02-17,61.0,61.0,60.0,61.0,,59.615816125811385,71.17918387418862
1995-02-20,58.0,60.75,58.0,58.95,,58.80888936657491,70.8811106334251
1995-02-21,60.75,60.75,55.5,55.5,,57.06316634458201,71.75183365541798
1995-02-22,59.0,59.0,55.0,55.0,,55.50394393692329,72.43605606307672
1995-02-23,60.0,60.0,60.0,60.0,,55.17712036291997,72.46287963708005
1995-02-24,65.8,65.8,60.0,60.0,,54.78278440603982,72.35721559396019
1995-02-28,60.0,63.0,59.75,60.0,,54.45041140015529,71.98958859984472
1995-03-01,61.6,64.0,61.6,63.0,,54.764999409868636,70.93000059013137
1995-03-02,61.0,62.6,61.0,62.55,,54.7296935404075,70.6203064595925
1995-03-03,62.0,63.2,62.0,62.75,,54.6886466283803,70.47635337161971
1995-03-06,62.0,64.0,62.0,63.0,,54.804649370497316,69.91035062950269
1995-03-07,62.5,63.5,62.5,63.0,,54.91687811626943,69.39812188373058
1995-03-08,63.0,63.0,62.5,62.5,,55.230393756973946,68.49960624302604
1995-03-09,62.55,64.5,62.0,62.0,,55.43378056657016,67.79621943342984
1995-03-10,64.0,64.5,63.4,64.5,,55.91142822807114,66.93857177192885
1995-03-13,61.5,63.5,61.0,62.1,,56.07062062791654,66.43937937208345
1995-03-14,63.0,69.5,62.0,67.45,64.926,55.7736418825411,66.9313581174589
1995-03-15,66.0,70.0,66.0,67.0,64.82600000000001,55.57500051208521,67.77999948791478
1995-03-16,65.95,66.0,62.05,66.0,64.696,55.485536896470926,68.28946310352907
1995-03-20,62.2,62.75,61.0,62.75,64.51100000000001,55.54284650743606,68.36215349256393
1995-03-21,60.0,63.0,60.0,61.55,64.321,55.582846027539375,68.37715397246062
1995-03-22,63.0,63.0,62.0,63.0,64.181,55.93452980329229,68.43047019670769
1995-03-23,64.0,64.0,63.5,63.75,64.11399999999999,57.169436725822315,68.02056327417766
1995-03-24,61.0,64.0,61.0,64.0,64.069,58.939432534895246,67.15056746510474
1995-03-27,63.0,63.0,62.0,62.0,63.986,59.26022540110615,67.02977459889385
1995-03-28,57.5,61.8,57.5,59.8,63.882,59.2152658521943,67.05473414780569
1995-03-29,61.9,63.0,61.8,63.0,63.812,59.65122568264427,66.91877431735571
1995-03-30,61.25,61.75,57.5,57.5,63.562,58.547454113460105,67.47254588653988
1995-03-31,59.5,59.5,59.5,59.5,63.486999999999995,58.12827674119954,67.58672325880046
1995-04-03,60.0,61.0,60.0,61.0,63.382,57.96820209110223,67.57179790889778
1995-04-04,61.0,61.0,60.0,60.5,63.232,57.739374872176114,67.55062512782389
1995-04-05,60.0,61.0,60.0,61.0,63.052,57.58856877115035,67.50143122884965
1995-04-06,61.0,64.75,61.0,64.75,63.062,57.60417644541054,67.71082355458947
1995-04-07,63.75,63.75,62.0,62.4,63.035,57.63197305970293,67.72302694029706
1995-04-10,60.0,60.5,59.0,60.5,62.985,57.41905474270474,67.53594525729527
1995-04-11,58.5,60.0,58.5,60.0,62.885,57.195275077830104,67.5497249221699
1995-04-12,62.5,62.5,60.5,61.5,62.775,57.47459955976368,66.67540044023633
1995-04-17,60.75,60.75,59.0,59.35,62.553000000000004,57.56884870533405,65.81615129466594
1995-04-18,56.0,59.0,56.0,56.3,62.358999999999995,56.93786732752163,65.47713267247838
1995-04-19,58.5,58.5,57.0,57.0,62.207,56.325678562215714,65.51432143778429
1995-04-20,57.0,57.0,56.6,56.65,61.99,55.71415329807501,65.63584670192498
1995-04-21,56.25,57.0,56.0,56.5,61.78,55.18310130685117,65.51689869314883
1995-04-24,56.0,60.0,52.0,56.0,61.533,54.707539937053966,65.21746006294603
1995-04-25,52.0,56.95,52.0,53.6,61.265,53.824083384693026,65.060916615307
1995-04-26,54.0,55.5,54.0,54.5,60.989,53.17341063236366,64.96158936763636
1995-04-27,55.0,55.5,54.5,54.75,60.773999999999994,52.627652979030984,65.00234702096904
1995-04-28,54.4,54.8,54.0,54.0,60.544,52.150153598883314,64.57984640111671
1995-05-02,52.0,54.5,50.0,53.75,60.409,51.6351299964648,64.71987000353522
1995-05-03,53.0,54.0,53.0,53.55,60.244,51.0557861451416,64.70421385485842
1995-05-04,54.0,56.0,54.0,55.25,60.12,50.83759729705045,64.34740270294954
