Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2001-06-20,4.9,4.95,4.25,4.25,,,
2001-06-21,3.95,4.6,3.9,4.45,,,
2001-06-22,4.55,4.55,4.05,4.15,,,
2001-06-25,4.15,4.15,3.85,3.85,,,
2001-06-26,3.85,4.15,3.7,4.15,,,
2001-06-27,4.15,4.15,3.85,3.85,,,
2001-06-28,3.95,3.95,3.75,3.85,,,
2001-06-29,3.95,4.15,3.8,4.05,,,
2001-07-02,4.35,4.35,3.95,3.95,,,
2001-07-03,3.85,3.85,3.85,3.85,,,
2001-07-04,3.65,3.75,3.65,3.75,,,
2001-07-05,3.65,3.75,3.6,3.75,,,
2001-07-06,3.6,3.7,3.6,3.7,,,
2001-07-09,4.0,4.0,3.6,3.75,,,
2001-07-10,3.65,3.8,3.65,3.7,,,
2001-07-11,3.65,3.7,3.6,3.65,,,
2001-07-12,3.65,3.85,3.65,3.85,,,
2001-07-13,3.75,3.75,3.7,3.75,,,
2001-07-16,3.65,3.75,3.65,3.65,,,
2001-07-17,3.65,3.65,3.65,3.65,,3.4358568272564165,4.324143172743584
2001-07-18,3.7,3.7,3.65,3.7,,3.4376760043483245,4.267323995651675
2001-07-19,3.75,3.75,3.65,3.75,,3.51094872498956,4.12405127501044
2001-07-20,3.75,3.75,3.75,3.75,,3.5329746057359968,4.062025394264004
2001-07-23,3.5,3.5,3.5,3.5,,3.48548880818335,4.074511191816649
2001-07-24,3.5,3.75,3.5,3.6,,3.5044019718358337,4.000598028164166
2001-07-25,3.55,3.6,3.5,3.5,,3.467260928278453,4.002739071721548
2001-07-26,3.5,3.55,3.4,3.45,,3.4246281875359044,4.005371812464097
2001-07-27,3.65,3.7,3.55,3.7,,3.4536816897338243,3.9413183102661744
2001-07-30,3.75,3.95,3.75,3.95,,3.453681689733825,3.9413183102661753
2001-07-31,4.0,4.0,3.85,3.85,,3.453681689733825,3.9413183102661753
2001-08-01,3.85,3.95,3.75,3.95,,3.4394171377118035,3.9755828622881957
2001-08-02,3.75,3.85,3.75,3.85,,3.437440197889909,3.987559802110091
2001-08-03,3.85,3.95,3.85,3.85,,3.4382759842458723,4.001724015754127
2001-08-06,3.75,4.15,3.65,3.75,,3.4382759842458723,4.001724015754127
2001-08-07,3.95,3.95,3.95,3.95,,3.4328949968796634,4.032105003120337
2001-08-08,3.85,3.95,3.75,3.75,,3.440364553302352,4.0346354466976475
2001-08-09,4.0,4.05,3.95,3.95,,3.434236612959837,4.050763387040164
2001-08-10,4.0,4.2,4.0,4.15,,3.4043248002943107,4.12067519970569
2001-08-13,4.15,4.35,4.0,4.05,,3.406545075490216,4.158454924509785
2001-08-14,4.05,4.4,4.05,4.35,,3.369962880104666,4.265037119895333
2001-08-16,4.5,4.5,4.35,4.35,,3.347375310049966,4.352624689950034
2001-08-17,4.5,4.5,4.25,4.35,,3.332854296322606,4.427145703677395
2001-08-20,4.35,4.45,4.3,4.35,,3.3281698565822904,4.49183014341771
2001-08-21,4.35,4.4,4.3,4.35,,3.3725952891343196,4.5324047108656815
2001-08-23,4.35,4.7,4.35,4.65,,3.3717959504069395,4.63820404959306
2001-08-24,4.65,4.65,4.4,4.45,,3.436507006191588,4.668492993808412
2001-08-27,4.5,4.75,4.4,4.4,,3.535245745105846,4.664754254894153
2001-08-28,4.6,4.6,4.35,4.35,,3.590306598886962,4.674693401113038
2001-08-29,4.4,4.4,4.25,4.25,,3.609986230286538,4.685013769713462
2001-08-30,4.15,4.4,4.15,4.35,3.9560000000000004,3.646867548866883,4.698132451133116
2001-08-31,4.25,4.25,4.2,4.25,3.9560000000000004,3.671569568133151,4.703430431866849
2001-09-03,4.4,4.4,4.05,4.25,3.9520000000000004,3.716234180648444,4.698765819351555
2001-09-04,4.35,4.35,4.15,4.2,3.9530000000000003,3.7633097415616827,4.6866902584383165
2001-09-05,4.35,4.35,4.0,4.05,3.9570000000000003,3.8262876666851233,4.6537123333148775
