Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-01-05,255.5,293.4,251.05,268.6,,,
2010-01-06,268.5,273.3,262.25,263.6,,,
2010-01-07,264.5,271.95,263.0,268.45,,,
2010-01-08,266.5,269.1,258.55,260.15,,,
2010-01-11,263.4,264.7,255.0,260.15,,,
2010-01-12,260.25,262.2,254.6,255.5,,,
2010-01-13,255.5,262.2,251.25,258.8,,,
2010-01-14,261.0,261.85,255.0,256.85,,,
2010-01-15,256.0,258.5,254.85,255.1,,,
2010-01-18,255.1,257.9,253.0,255.15,,,
2010-01-19,252.5,264.2,252.5,256.2,,,
2010-01-20,257.2,261.0,255.0,256.0,,,
2010-01-21,255.0,257.5,249.75,250.45,,,
2010-01-22,245.0,261.0,245.0,247.0,,,
2010-01-25,247.5,252.5,244.0,244.75,,,
2010-01-27,243.7,249.0,225.2,240.5,,,
2010-01-28,242.5,246.0,241.0,242.2,,,
2010-01-29,242.2,242.2,230.7,238.0,,,
2010-02-01,239.0,244.5,238.0,242.7,,,
2010-02-02,245.0,247.5,240.0,240.05,,234.30510055739677,271.7148994426032
2010-02-03,243.4,243.5,238.15,240.2,,233.56885452557106,269.6111454744289
2010-02-04,240.05,242.75,238.0,239.25,,232.47802937504514,268.26697062495487
2010-02-05,236.0,237.5,222.0,234.1,,231.4870402462824,265.82295975371767
2010-02-06,235.0,237.5,230.7,234.35,,229.95825297175634,264.7717470282437
2010-02-08,237.5,244.0,234.5,236.8,,229.2758391694797,263.1191608305203
2010-02-09,243.75,244.0,232.5,234.7,,228.0870492305068,262.22795076949325
2010-02-10,226.25,239.5,226.25,235.45,,227.6707636917588,260.3092363082412
2010-02-11,235.0,241.0,235.0,238.55,,227.77121649807822,258.37878350192176
2010-02-15,240.0,244.95,235.1,239.25,,227.9926701604913,256.57232983950877
2010-02-16,242.5,242.5,235.15,236.0,,228.1420165504318,254.50798344956817
2010-02-17,237.5,243.5,237.5,239.15,,229.28569033297134,251.65930966702865
2010-02-18,238.5,242.5,235.05,239.55,,231.18142030176998,248.11857969823004
2010-02-19,236.0,239.0,236.0,237.55,,232.1978133951173,245.81218660488275
2010-02-22,242.5,242.5,235.05,236.2,,232.6935548649078,244.2364451350922
2010-02-23,227.5,240.0,227.5,234.95,,232.81906320727867,243.13093679272131
2010-02-24,234.95,234.95,232.5,232.8,,232.0895119833724,243.0904880166276
2010-02-25,234.0,239.95,232.05,238.1,,232.3195234546402,242.45047654535978
2010-02-26,239.0,242.5,235.4,237.05,,232.27849292038545,242.39650707961457
2010-03-02,239.75,244.95,236.35,242.3,,232.3453380218608,242.28966197813924
2010-03-03,243.0,263.5,240.5,258.1,,227.70097462989784,248.7390253701022
2010-03-04,254.5,260.45,253.25,259.0,,225.1239336744675,253.19606632553254
2010-03-05,259.5,260.0,254.0,255.2,,224.19374159829331,255.72125840170676
2010-03-08,255.5,259.9,249.55,250.55,,224.59217481529603,256.96782518470405
2010-03-09,251.0,253.85,246.0,250.1,,225.16575827605618,257.96924172394375
2010-03-10,240.0,254.4,240.0,250.7,,225.53657071262325,258.98842928737673
2010-03-11,244.0,254.85,243.5,244.65,,226.39313359896022,259.12686640103976
2010-03-12,244.5,249.5,241.0,245.2,,227.22010650931432,259.2748934906857
2010-03-15,242.5,248.3,242.0,243.15,,227.60264484110795,259.35235515889195
2010-03-16,247.0,248.5,243.5,246.8,,228.0444805172062,259.6655194827937
2010-03-17,248.5,252.25,244.0,247.55,246.35,228.99057910094592,259.87442089905403
2010-03-18,249.0,252.5,249.0,250.1,245.98,229.55021335891243,260.4097866410876
2010-03-19,250.0,269.45,250.0,253.5,245.778,230.0216796597455,261.33332034025455
2010-03-22,250.5,254.5,245.5,249.9,245.407,231.0193261842128,261.5706738157872
2010-03-23,246.0,256.9,246.0,254.4,245.292,232.29746393333363,262.11253606666634
2010-03-25,253.55,254.5,250.0,250.8,245.105,234.18833161160825,261.80666838839176
2010-03-26,250.5,258.5,247.5,252.6,245.04699999999997,237.05427019058877,260.9207298094113
2010-03-29,254.9,254.9,242.5,247.8,244.827,238.66726369629254,260.2777363037075
2010-03-30,252.0,254.0,246.2,248.55,244.66099999999997,240.93420866550514,259.16079133449483
2010-03-31,248.5,258.0,246.5,255.8,244.675,242.0355179063873,259.40948209361267
2010-04-01,253.0,259.4,253.0,258.1,244.73399999999998,242.0355179063873,259.40948209361267
2010-04-05,253.55,264.9,253.55,259.35,244.797,241.98168966067018,259.4983103393297
