Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,151.0,152.0,151.0,152.0,,,
1995-01-03,152.0,154.2,151.0,152.0,,,
1995-01-04,153.8,154.0,153.8,154.0,,,
1995-01-05,152.0,152.8,152.0,152.8,,,
1995-01-06,152.0,152.0,152.0,152.0,,,
1995-01-09,148.0,148.2,148.0,148.2,,,
1995-01-10,147.0,147.0,147.0,147.0,,,
1995-01-12,144.0,144.0,144.0,144.0,,,
1995-01-13,143.0,144.0,142.8,143.0,,,
1995-01-16,143.0,143.0,143.0,143.0,,,
1995-01-17,142.0,142.0,141.95,142.0,,,
1995-01-24,133.8,133.8,133.8,133.8,,,
1995-01-25,134.0,135.0,134.0,135.0,,,
1995-01-27,136.6,137.0,136.6,137.0,,,
1995-01-30,130.0,138.0,130.0,138.0,,,
1995-01-31,139.0,139.0,139.0,139.0,,,
1995-02-01,138.0,138.0,138.0,138.0,,,
1995-02-03,135.0,138.2,135.0,138.2,,,
1995-02-06,138.0,138.0,138.0,138.0,,,
1995-02-07,136.0,136.0,136.0,136.0,,129.75471410493503,156.54528589506498
1995-02-08,137.0,137.0,135.0,136.8,,129.38993522283346,155.39006477716657
1995-02-09,135.0,135.0,134.8,134.8,,128.93742073157452,154.12257926842548
1995-02-10,135.0,135.0,126.5,135.0,,129.13390666508525,152.02609333491472
1995-02-13,130.0,130.0,130.0,130.0,,128.5924632919921,150.2875367080079
1995-02-14,132.0,132.5,129.6,132.0,,128.85351828985486,148.02648171014513
1995-02-16,132.0,132.0,132.0,132.0,,128.80870996425483,146.45129003574516
1995-02-20,127.0,127.0,126.5,126.75,,127.67680209953564,145.5581979004644
1995-02-21,125.0,128.0,125.0,127.0,,126.55376454402824,144.98123545597173
1995-02-23,123.8,127.0,123.8,127.0,,125.6203768850349,144.3146231149651
1995-02-24,127.4,130.0,127.4,128.2,,125.22074960756781,143.23425039243222
1995-02-28,131.0,131.0,128.0,130.0,,125.2221461297451,142.03285387025488
1995-03-01,130.6,130.6,130.4,130.4,,124.93018938552206,141.9848106144779
1995-03-02,129.0,130.8,129.0,130.35,,124.62154292251023,141.82845707748976
1995-03-03,132.8,133.5,132.0,133.05,,124.60956957550863,141.44543042449132
1995-03-06,131.0,131.0,131.0,131.0,,124.5531069052579,140.80189309474204
1995-03-07,133.0,134.0,133.0,134.0,,124.83176192907474,140.02323807092523
1995-03-08,130.7,130.7,130.0,130.0,,124.83551066975807,139.21948933024188
1995-03-09,133.0,133.0,128.0,131.0,,125.08112850473177,138.2538714952682
1995-03-10,131.2,132.0,130.0,130.0,,125.36413120261894,137.17086879738105
1995-03-14,125.0,127.0,125.0,127.0,,125.06284284710497,136.57215715289502
1995-03-15,126.0,129.2,125.0,125.2,,124.68697845030024,135.78802154969978
