Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2015-09-15,136.0,136.0,129.2,129.2,,,
2015-09-16,122.75,122.75,122.75,122.75,,,
2015-09-18,116.6,116.6,116.6,116.6,,,
2015-09-21,113.2,116.6,110.8,110.8,,,
2015-09-22,105.25,108.5,105.25,106.55,,,
2015-09-23,106.6,111.85,102.45,111.75,,,
2015-09-24,112.0,113.6,106.2,106.7,,,
2015-09-28,108.0,108.0,101.85,103.5,,,
2015-09-29,103.0,103.0,98.45,101.0,,,
2015-09-30,101.0,106.0,99.8,103.7,,,
2015-10-01,106.0,107.3,96.05,97.3,,,
2015-10-05,98.65,98.65,90.65,93.1,,,
2015-10-06,93.6,96.7,92.05,92.7,,,
2015-10-07,93.0,95.65,92.0,94.95,,,
2015-10-08,94.2,101.9,94.2,98.05,,,
2015-10-09,99.2,100.0,95.7,97.15,,,
2015-10-12,97.8,98.75,95.7,96.05,,,
2015-10-13,95.95,98.6,94.1,97.55,,,
2015-10-14,98.2,100.75,97.4,98.45,,,
2015-10-15,99.55,100.35,97.4,97.8,,83.76400131818862,123.80099868181138
2015-10-16,97.6,98.35,96.05,97.1,,85.95144963257184,118.40355036742815
2015-10-19,97.2,98.4,96.8,97.5,,87.79710944429026,114.03289055570973
2015-10-20,97.85,100.15,96.8,98.8,,89.16718690236576,110.88281309763425
2015-10-21,99.2,106.15,98.5,104.3,,89.85862654001247,109.54137345998754
2015-10-23,104.95,108.8,104.2,105.3,,89.9648649701308,109.31013502986917
2015-10-26,105.25,106.15,104.2,105.3,,91.00925690133313,107.62074309866689
2015-10-27,105.2,106.95,104.0,104.85,,91.22766778754782,107.21733221245218
2015-10-28,104.8,106.85,104.05,106.25,,90.97055801366353,107.74944198633646
2015-10-29,106.6,111.6,106.45,111.15,,89.96820310843401,109.766796891566
2015-10-30,112.0,112.8,108.65,111.05,,89.2504127116793,111.2195872883207
2015-11-02,110.8,112.15,107.65,108.15,,89.34083343560008,112.21416656439993
2015-11-03,109.1,109.4,106.4,106.95,,90.31697822395913,112.62302177604087
2015-11-04,108.0,111.1,107.15,110.3,,91.33403073046368,113.36596926953631
2015-11-05,111.5,112.35,109.0,111.3,,92.03767875019406,114.29732124980592
2015-11-06,106.35,108.8,103.0,106.55,,92.63769932199874,114.54730067800126
2015-11-09,106.0,106.0,102.95,103.95,,93.40587835970653,114.45912164029347
2015-11-10,103.8,104.65,102.7,103.55,,94.45013433290939,114.16486566709062
2015-11-11,104.05,104.7,100.8,103.75,,95.27860143990257,113.95639856009741
2015-11-13,101.5,107.1,101.4,102.85,,95.91220330730503,113.76279669269498
