Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2018-03-28,576.0,592.5,560.5,566.4,,,
2018-04-02,563.85,577.5,559.0,574.6,,,
2018-04-03,570.5,573.5,563.15,564.3,,,
2018-04-04,565.0,570.0,557.5,557.95,,,
2018-04-05,561.0,565.6,554.75,557.0,,,
2018-04-06,551.75,559.4,550.0,551.4,,,
2018-04-09,550.25,556.0,550.25,552.2,,,
2018-04-10,554.9,555.0,546.0,551.15,,,
2018-04-11,551.0,553.0,547.5,548.65,,,
2018-04-12,548.0,549.0,540.05,543.1,,,
2018-04-13,557.5,575.0,552.55,561.5,,,
2018-04-16,562.5,579.95,562.0,573.95,,,
2018-04-17,578.5,582.0,571.0,573.2,,,
2018-04-18,577.0,577.5,562.5,565.0,,,
2018-04-19,569.0,576.7,564.55,570.5,,,
2018-04-20,570.6,572.95,559.0,562.75,,,
2018-04-23,566.0,574.5,561.15,565.65,,,
2018-04-24,569.0,572.25,565.0,565.4,,,
2018-04-25,565.5,572.95,561.4,562.7,,,
2018-04-26,563.5,569.0,562.5,565.2,,544.0408466437559,579.2191533562441
2018-04-27,566.3,567.5,561.0,562.9,,543.9965108870996,578.9134891129005
2018-04-30,567.2,567.2,559.5,562.15,,544.495674469284,577.1693255307159
2018-05-02,559.5,566.0,555.6,557.1,,544.1400822848835,576.8049177151166
2018-05-03,557.0,557.5,544.6,547.5,,542.6385191730733,577.2614808269268
2018-05-04,552.5,552.5,545.0,546.75,,541.1773946506758,577.6976053493242
2018-05-07,545.25,561.0,541.0,554.1,,541.5238967591016,577.6211032408984
2018-05-08,552.6,559.45,549.5,552.15,,541.5170836296822,577.6229163703176
2018-05-09,550.0,552.0,545.0,546.7,,540.7559774554015,577.9390225445986
2018-05-10,545.0,545.9,542.0,542.75,,539.5799153582126,578.5250846417874
2018-05-11,543.75,545.5,535.6,541.6,,539.2365067172527,578.7184932827472
2018-05-14,541.0,544.0,532.0,533.2,,534.7627798955316,580.3622201044684
2018-05-15,537.5,541.8,525.75,527.65,,530.1657289931093,580.3292710068906
2018-05-16,527.25,528.95,521.5,522.15,,525.0466460944922,580.3433539055079
2018-05-17,523.0,525.3,516.5,519.9,,519.8202677999955,581.0597322000046
2018-05-18,522.0,522.0,515.0,516.4,,515.0855847557805,580.3844152442196
2018-05-21,516.0,516.0,504.5,510.7,,509.372756756485,580.8922432435148
2018-05-22,512.5,514.5,505.6,511.0,,504.93047554134284,579.8695244586571
2018-05-23,510.0,512.0,503.0,507.8,,500.6650551815844,578.3749448184155
2018-05-24,507.5,507.6,502.5,504.4,,496.3498545296118,576.8601454703883
2018-05-25,504.0,512.5,502.75,511.4,,494.5244841764909,573.305515823509
2018-05-28,510.0,527.5,510.0,521.15,,494.53541709533465,569.1195829046653
2018-05-29,517.5,525.5,517.5,524.35,,495.3852074414353,564.4897925585647
2018-05-30,521.5,549.0,505.5,540.65,,496.559733630009,561.6702663699909
2018-05-31,542.5,549.5,523.25,528.55,,496.78322175351735,559.5517782464826
2018-06-01,525.0,525.0,513.75,514.9,,495.93750147630385,557.2124985236962
2018-06-04,520.0,520.0,507.5,509.25,,495.67638510190807,552.9886148980919
2018-06-05,509.5,509.5,495.0,496.9,,493.55995668843394,549.5800433115659
2018-06-06,495.0,502.2,494.5,498.45,,491.9611907496235,546.3538092503766
2018-06-07,498.0,505.0,498.0,499.75,,490.88680292297914,543.1281970770207
2018-06-08,497.75,499.5,493.75,495.2,540.8009999999999,489.53947768579405,539.8355223142057
2018-06-11,495.25,497.35,492.0,493.55,539.3439999999999,487.450570477116,537.9594295228841
2018-06-12,493.75,496.0,484.35,486.9,537.59,483.95656640186064,537.3784335981394
2018-06-13,484.0,490.0,481.75,482.2,535.948,479.6954122230859,537.6445877769142
2018-06-14,480.0,504.0,474.5,486.55,534.52,476.9312779640261,537.0737220359738
2018-06-15,485.0,487.5,480.0,484.25,533.065,474.0295664615866,536.7604335384133
2018-06-18,483.0,484.25,472.8,474.4,531.525,469.4296605549738,537.7303394450263
2018-06-19,473.5,475.5,464.4,465.1,529.783,463.2822840305773,539.2877159694227
2018-06-20,465.5,468.0,461.5,462.55,528.011,457.4341479490257,540.6108520509741
2018-06-21,462.55,463.5,455.5,456.0,526.1579999999999,450.9022238865881,542.3027761134118
2018-06-22,455.55,460.5,448.0,457.2,524.44,445.53602462672364,542.2489753732765
2018-06-25,455.0,457.0,449.0,450.5,522.22,440.1027187783756,540.6172812216245
2018-06-26,448.0,448.5,442.5,443.5,519.611,434.58697073637563,538.0480292636244
2018-06-27,440.0,442.7,430.0,432.65,516.8,430.53745721988446,531.2975427801156
2018-06-28,430.0,430.0,420.0,421.95,513.939,423.88727221876553,527.2877277812345
2018-06-29,422.0,425.0,421.5,422.2,510.97299999999996,417.5002539736345,524.4047460263654
2018-07-02,422.1,439.5,416.6,429.25,508.30299999999994,413.59407467998597,520.310925320014
2018-07-03,428.5,429.25,421.0,422.2,505.434,408.2519483478881,518.183051652112
2018-07-04,420.55,423.4,417.5,418.4,502.494,403.40020192448554,515.0297980755145
2018-07-05,417.5,419.9,413.0,414.0,499.52,399.04926325164524,510.80573674835466
2018-07-06,412.5,417.9,412.0,414.4,496.504,395.5883815621812,506.18661843781877
2018-07-09,415.0,416.3,410.0,411.25,493.471,392.60348113069546,500.9415188693044
2018-07-10,410.0,427.95,410.0,424.05,490.70899999999995,392.0314851294923,495.2285148705077
2018-07-11,423.6,425.0,417.75,419.7,487.961,391.22359644001597,489.7864035599839
2018-07-12,419.7,424.5,414.0,415.8,485.327,391.60107054988214,482.3339294501179
2018-07-13,413.5,420.4,409.0,413.4,482.66,392.78578507803616,474.06421492196387
2018-07-16,409.6,411.9,406.0,406.8,479.714,392.63885217993266,467.45114782006726
2018-07-17,405.5,411.3,404.0,408.1,476.833,392.44302315354247,461.9469768464575
2018-07-18,406.45,407.45,400.75,402.05,473.94,391.93449489346324,456.4055051065367
2018-07-19,402.0,404.5,395.75,396.7,471.019,390.42057297320144,451.98942702679864
2018-07-20,397.0,397.0,390.0,392.5,468.03700000000003,389.6094751737399,446.33052482626005
2018-07-23,390.0,392.4,385.0,386.6,465.105,387.46688476121807,442.0831152387819
2018-07-24,387.0,393.8,386.0,391.1,462.37399999999997,386.4427276895201,437.86727231047996
2018-07-25,391.5,399.05,391.5,393.0,459.791,385.0053226495437,435.3396773504563
2018-07-26,391.0,397.5,387.5,391.0,457.21299999999997,382.7119165335985,434.5380834664015
2018-07-27,389.5,398.05,389.5,394.65,454.778,381.4440429692708,433.0509570307292
2018-07-30,395.5,451.9,395.5,445.1,453.466,378.66482967574836,437.41517032425156
2018-07-31,449.5,488.45,448.5,484.3,452.932,366.3741459940632,455.91585400593675
2018-08-01,489.0,495.45,479.2,490.0,452.5760000000001,357.7297324217559,471.72026757824415
2018-08-02,486.0,488.95,469.4,478.75,452.06300000000005,354.1878401667875,481.73715983321244
2018-08-03,480.0,488.1,475.0,481.4,451.46299999999997,351.56648049464064,491.05851950535936
2018-08-06,486.25,486.25,471.9,477.8,450.596,350.6918702417924,498.5881297582076
2018-08-07,472.5,501.2,472.5,486.6,449.841,348.8036623406347,506.7313376593654
2018-08-08,491.0,492.0,483.0,486.3,448.754,348.05431862016553,514.1406813798344
2018-08-09,482.5,506.5,480.1,493.05,448.04400000000004,347.82727848910827,522.0927215108918
2018-08-10,493.0,494.0,484.4,488.4,447.514,349.0647600113009,528.3552399886992
2018-08-13,478.4,499.5,478.4,491.9,447.167,351.6343623781102,534.2956376218897
2018-08-14,491.5,491.5,480.55,481.35,446.856,355.3088936351361,537.9461063648638
2018-08-16,481.0,483.35,468.0,470.5,446.297,360.65538106386526,539.4446189361348
2018-08-17,475.5,479.85,462.7,467.7,445.65600000000006,367.54935395820416,539.6506460417959
2018-08-20,463.0,468.45,461.5,462.0,444.992,375.94063775537506,538.2093622446249
2018-08-21,461.5,462.95,455.05,457.05,444.26200000000006,386.53729351763565,534.6577064823643
2018-08-23,460.0,462.4,450.1,454.7,443.61800000000005,397.1979514173188,530.3570485826813
2018-08-24,454.9,457.45,445.5,447.6,442.926,408.1814267926478,524.8335732073522
2018-08-27,462.5,466.4,457.45,460.05,442.39599999999996,423.4817243729601,516.43827562704
2018-08-28,460.05,460.05,447.5,449.0,441.691,440.6212258789133,504.7337741210868
2018-08-29,450.0,453.8,446.0,448.5,441.17299999999994,441.376285499997,504.31871450000307
2018-08-30,446.0,451.05,442.5,448.3,440.837,438.2444276952369,503.85057230476303
2018-08-31,446.3,450.0,444.25,446.1,440.50800000000004,435.51841005244756,502.18658994755236
2018-09-03,450.0,450.0,442.5,447.8,440.344,433.0447898430273,501.5652101569726
2018-09-04,447.5,450.0,442.6,443.9,440.07800000000003,430.3235993240409,500.5364006759591
2018-09-05,441.0,444.9,431.0,434.35,439.755,426.0589251121883,500.4560748878118
2018-09-06,434.5,442.5,427.55,432.6,439.537,422.66028061859913,498.4547193814009
2018-09-07,432.5,469.4,427.55,461.0,440.1039999999999,423.3760432089833,495.20895679101676
2018-09-10,461.0,472.5,461.0,465.2,440.969,425.5076357275698,490.2923642724302
2018-09-11,468.8,468.8,455.0,455.9,441.64300000000003,427.2380090728192,485.3119909271808
2018-09-12,455.0,460.0,450.0,452.3,442.10400000000004,430.57203976934636,478.0179602306538
2018-09-14,455.0,467.25,454.9,466.15,442.983,432.6583421710951,474.41165782890494
2018-09-17,460.0,480.0,459.0,476.6,444.147,431.775319960102,475.9046800398979
2018-09-18,477.5,484.1,466.5,480.7,445.481,430.0663358928074,478.9136641071925
2018-09-19,472.75,480.0,466.0,467.4,446.541,429.8717952266134,479.64820477338645
2018-09-21,467.4,474.5,445.0,452.9,447.374,429.6754872541374,479.4295127458625
2018-09-24,456.5,465.25,432.75,435.95,447.612,427.3849830447329,479.845016955267
2018-09-25,436.0,440.2,419.2,421.1,447.64,422.3637819576931,482.21621804230705
2018-09-26,421.0,427.5,416.5,419.7,447.718,417.2669745455215,483.2780254544783
2018-09-27,420.0,423.0,410.1,413.2,447.714,411.5382991873675,485.4267008126324
2018-09-28,416.0,418.35,388.5,389.9,447.376,400.2619470754614,490.8430529245385
2018-10-01,397.5,413.85,394.7,401.3,447.24,393.8196830971233,492.5853169028768
2018-10-03,405.0,409.9,399.55,405.2,447.30299999999994,388.9719981315399,493.34300186846
2018-10-04,403.05,405.0,396.5,401.35,447.39599999999996,383.83560191717027,493.8343980828296
2018-10-05,402.0,405.0,395.0,396.1,447.46799999999996,378.3075593958602,494.5824406041398
2018-10-08,395.5,397.5,387.05,390.5,447.546,372.58235474486577,495.9226452551341
2018-10-09,393.0,397.05,383.5,385.1,447.42600000000004,366.3984436858675,497.3565563141326
2018-10-10,385.0,392.5,380.5,387.0,447.30600000000004,361.27973451926323,495.0752654807367
2018-10-11,387.0,395.0,377.65,383.4,447.154,356.7196576402332,491.45534235976675
2018-10-12,383.4,395.0,383.0,389.05,447.042,353.38943210605646,488.10056789394355
2018-10-15,388.95,398.9,387.55,394.95,446.039,351.29967474421886,484.455325255781
2018-10-16,395.0,410.2,395.0,402.3,444.39899999999994,351.83435749606275,477.53564250393737
2018-10-17,410.2,410.2,392.5,395.6,442.51099999999997,354.5032274042885,466.7667725957116
2018-10-19,395.45,398.5,387.6,389.9,440.7339999999999,360.04059395900003,452.149406041
2018-10-22,390.0,391.9,380.0,382.7,438.76,364.85329221543145,438.8667077845686
2018-10-23,379.2,383.5,375.5,376.55,436.735,368.1333168476317,427.95168315236833
2018-10-24,385.0,385.0,375.8,376.9,434.541,369.60589556317177,420.5741044368283
2018-10-25,375.0,376.5,370.5,371.0,432.235,368.03367674270874,417.1363232572912
2018-10-26,372.5,378.0,370.0,373.2,429.838,367.8026111092748,412.7173888907252
2018-10-29,375.0,376.65,370.0,375.1,427.57199999999995,367.6994820676793,409.01051793232074
2018-10-30,377.4,379.35,374.0,377.55,425.285,366.5450267830199,408.9299732169802
2018-10-31,377.5,382.7,375.0,380.3,423.264,366.2571336689515,407.1178663310485
2018-11-01,384.5,384.5,376.0,377.1,421.39599999999996,366.4068605894348,404.1581394105651
2018-11-02,379.5,381.9,376.75,378.3,419.60799999999995,366.61969025493255,401.64030974506744
2018-11-05,379.5,382.5,376.4,379.85,417.965,366.65846499288745,399.97653500711255
2018-11-06,380.0,388.5,380.0,383.15,416.48699999999997,366.6374281610845,399.2625718389155
2018-11-07,385.2,402.7,384.0,395.15,415.296,366.2653421565221,400.6396578434779
2018-11-09,395.15,474.0,395.0,459.95,415.543,348.776336841391,425.42366315860903
2018-11-12,467.5,469.45,440.0,447.75,415.297,343.4492044092839,437.1857955907161
2018-11-13,440.0,444.3,426.0,427.75,414.87200000000007,342.4978866196171,442.0071133803828
2018-11-14,429.25,437.5,417.5,423.15,414.365,342.02337901804225,445.3016209819578
2018-11-15,424.75,426.5,412.5,418.6,413.7710000000001,341.76111410239633,447.1938858976036
2018-11-16,420.5,424.4,410.3,412.25,413.094,341.99648240929383,448.6235175907062
2018-11-19,416.75,420.0,407.5,411.45,412.36699999999996,342.6648509000571,450.1101490999429
2018-11-20,411.5,416.5,404.25,406.45,411.61799999999994,344.07677081140355,451.07322918859643
2018-11-21,409.9,411.0,397.0,401.7,410.965,346.2404726374323,451.4245273625677
2018-11-22,399.0,404.55,398.0,398.4,410.28100000000006,348.33401359467916,451.4809864053208
2018-11-26,402.5,402.5,391.5,393.55,408.932,351.16460903765983,450.9053909623401
2018-11-27,392.0,432.5,388.5,404.95,407.72700000000003,354.4918611642578,450.7531388357422
2018-11-28,405.0,410.0,395.0,397.1,406.551,357.26377496821755,450.1812250317824
2018-11-29,401.4,404.0,395.0,396.7,405.439,359.72752919383885,449.63247080616105
2018-11-30,399.0,400.0,393.5,395.15,404.01899999999995,361.69161876392116,449.15338123607887
2018-12-03,394.5,399.5,391.0,392.55,402.338,364.0537475518992,448.33625244810077
2018-12-04,393.55,397.0,390.0,390.7,400.53799999999995,366.0596826200964,447.5703173799035
2018-12-05,392.5,392.5,385.5,387.2,398.934,367.32838081779624,447.03661918220376
2018-12-06,387.0,387.0,382.5,385.25,397.58099999999996,367.68973457926427,446.8852654207358
2018-12-07,387.5,393.5,379.5,380.85,396.47900000000004,365.560775424808,447.58422457519197
2018-12-10,376.1,379.0,373.3,374.75,395.552,367.39943691919854,437.22556308080146
2018-12-11,373.25,383.3,371.5,377.2,394.702,369.38007560038335,428.1899243996167
2018-12-12,377.0,392.0,377.0,385.1,394.14,370.0385251391392,423.26647486086085
2018-12-13,389.1,390.95,381.25,384.9,394.04,370.7782190276221,418.70178097237783
2018-12-14,389.5,391.0,381.2,383.9,393.69199999999995,371.4092182481516,414.6007817518484
2018-12-17,386.0,394.95,385.7,392.8,393.444,372.42556580770895,411.6394341922911
2018-12-18,391.9,398.0,388.85,392.3,393.263,373.7195973829537,408.4304026170463
2018-12-19,395.0,399.0,390.0,394.35,393.228,374.59044014928594,406.349559850714
2018-12-20,393.2,400.0,390.5,392.0,393.25800000000004,374.9812425758785,404.9887574241215
2018-12-21,392.2,396.4,390.0,393.05,393.417,375.16135552060445,404.2736444793956
2018-12-24,395.55,395.55,391.05,393.05,393.53799999999995,375.1623761189116,404.2226238810884
2018-12-26,387.5,394.5,387.5,390.8,393.686,376.32536252286803,401.644637477132
2018-12-27,390.0,396.1,390.0,394.25,393.79,376.5074717855044,401.1775282144957
2018-12-28,390.55,397.0,390.55,395.3,393.797,376.61054573357063,400.9344542664293
2018-12-31,395.0,412.65,395.0,403.4,393.819,375.63217547404406,402.73782452595594
2019-01-01,403.0,410.8,395.85,399.3,393.893,375.2973378975184,403.7476621024817
2019-01-02,402.0,407.0,397.9,399.95,394.094,375.01657358058435,404.9534264194157
2019-01-03,399.95,403.25,394.7,396.4,394.36800000000005,375.2728683453133,405.61713165468666
2019-01-04,400.0,414.0,390.95,407.35,394.98400000000004,374.83070764530135,408.2692923546987
2019-01-07,398.5,402.4,392.0,394.7,395.34,376.2580906551088,408.2269093448912
2019-01-08,392.85,399.4,387.5,394.75,395.815,379.52404239911954,406.9609576008805
2019-01-09,394.95,399.0,389.5,391.4,396.17900000000003,382.4369967201054,405.46800327989456
2019-01-10,389.3,394.0,387.5,387.9,396.435,382.9687333622862,405.2162666377139
2019-01-11,390.0,391.05,386.6,387.9,396.64200000000005,383.5688593248158,404.91614067518424
2019-01-14,383.9,388.9,383.9,386.25,396.76099999999997,384.12293627625576,404.59706372374427
2019-01-15,387.7,389.0,385.0,386.4,396.94699999999995,383.2144162671159,404.86558373288403
2019-01-16,386.9,392.0,385.5,387.5,397.131,382.6054524550284,404.9945475449716
2019-01-17,387.0,391.5,387.0,389.35,397.32099999999997,382.18514188386905,404.914858116131
2019-01-18,390.0,395.9,390.0,392.25,397.50300000000004,382.2042720526021,404.9207279473979
2019-01-21,388.5,393.85,387.0,388.25,397.365,381.71848640216524,404.92651359783474
2019-01-22,388.55,390.5,382.5,383.1,395.828,380.35121696686684,405.29878303313313
2019-01-23,385.25,385.25,376.5,377.1,394.415,377.82866477964905,406.4513352203509
2019-01-24,376.4,379.5,373.5,373.95,393.33899999999994,374.71776475390095,407.53223524609905
2019-01-25,374.55,379.0,369.3,371.0,392.296,371.34717353645823,408.4728264635418
2019-01-28,377.45,377.45,364.5,366.4,391.25199999999995,367.8555815150358,408.2644184849642
2019-01-29,367.5,367.5,361.6,362.95,390.26599999999996,363.87171842177116,408.61328157822874
2019-01-30,363.5,368.9,355.0,358.4,389.205,359.5494914097299,408.78050859027
2019-01-31,357.5,359.8,354.5,355.45,388.185,355.09257437081624,409.1424256291838
2019-02-01,355.5,374.0,351.5,352.75,387.20599999999996,352.06540801336644,406.70959198663354
2019-02-04,354.15,354.15,343.8,345.05,386.13899999999995,346.58323606020264,407.2267639397973
2019-02-05,349.5,349.5,333.9,337.4,385.01599999999996,340.1803873211684,407.89461267883166
2019-02-06,337.65,340.1,327.75,329.4,383.505,332.7033340306978,409.1716659693022
2019-02-07,333.95,335.9,324.05,326.3,382.089,325.6578582579471,410.0571417420528
2019-02-08,325.45,327.9,318.0,325.0,380.655,319.5319513791176,409.8930486208824
2019-02-11,329.5,333.95,325.0,329.8,379.348,315.3422814172074,408.43771858279257
2019-02-12,330.5,330.5,318.5,319.6,377.88899999999995,309.8697976045411,407.23020239545895
2019-02-13,320.45,323.0,312.5,313.35,376.34200000000004,304.19117097914784,405.4938290208522
2019-02-14,315.8,319.5,310.5,311.9,374.836,299.5895572738371,402.35044272616284
2019-02-15,313.9,331.1,309.1,312.0,373.371,296.6272613650374,397.2877386349626
2019-02-18,314.5,314.9,305.0,307.05,371.895,293.5006167081666,392.29438329183336
2019-02-19,305.75,312.0,305.7,308.9,370.578,291.3840551230365,386.9909448769635
2019-02-20,312.0,313.5,308.5,309.1,369.21600000000007,289.6954767718668,381.8795232281332
2019-02-21,316.0,347.45,316.0,333.1,368.176,291.2971012856612,376.1928987143388
2019-02-22,333.5,346.5,327.0,330.5,367.088,293.0602235419154,370.37977645808456
2019-02-25,330.6,332.45,325.0,325.6,365.92199999999997,294.5838403660426,364.77615963395743
2019-02-26,325.0,338.5,319.0,326.2,364.59,296.42525239031903,359.259747609681
2019-02-27,327.5,336.25,324.0,328.7,363.31800000000004,298.40518581278764,354.3098141872124
2019-02-28,332.5,335.0,325.0,326.4,361.959,300.52744561293497,349.282554387065
2019-03-01,328.6,337.5,327.5,335.4,360.827,302.7994538266175,345.27554617338257
2019-03-05,337.0,347.5,334.0,342.55,359.81699999999995,303.1715698325727,344.65343016742736
2019-03-06,345.0,352.0,342.55,344.7,358.85,302.31615896627505,346.238841033725
2019-03-07,348.9,348.9,337.5,339.35,357.8210000000001,301.8935319757026,347.65646802429734
2019-03-08,339.5,339.9,330.75,332.5,356.58600000000007,301.94994798841975,348.2200520115802
2019-03-11,335.9,340.5,332.55,339.2,355.46399999999994,301.81479105486756,349.77520894513236
2019-03-12,347.0,350.45,344.7,345.95,354.315,301.0203006994666,352.18469930053345
2019-03-13,349.0,349.0,337.55,339.4,353.117,301.62178217761186,353.5632178223882
2019-03-14,341.0,342.5,337.5,338.45,351.88700000000006,303.35319774698644,354.3418022530135
2019-03-15,336.9,342.5,336.05,337.05,350.7,305.67144024901694,354.5385597509831
2019-03-18,337.5,359.0,337.5,349.9,349.551,307.59993528913617,356.40006471086383
2019-03-19,353.0,357.8,351.0,354.95,348.756,310.92069377742564,357.86930622257444
2019-03-20,354.55,359.4,354.55,355.7,347.975,314.6736000348873,358.79639996511276
2019-03-22,357.5,357.5,353.5,354.0,347.227,319.8107428142804,358.14925718571965
2019-03-25,354.0,357.5,353.4,356.4,346.59700000000004,319.691332203846,360.59866779615396
2019-03-26,359.3,362.05,356.75,361.0,346.059,319.74876780260115,363.59123219739877
2019-03-27,362.5,388.5,361.0,369.8,345.73,319.95935487580766,367.80064512419233
2019-03-28,370.0,370.0,349.7,360.55,345.213,322.0927529990513,369.10224700094864
2019-03-29,360.0,360.15,352.5,353.2,344.52700000000004,324.5018351589378,369.1431648410622
2019-04-01,351.0,364.75,351.0,356.2,343.86400000000003,327.8290567501924,368.7959432498076
2019-04-02,360.9,360.9,354.0,357.55,343.17,329.48836949127053,369.3516305087294
2019-04-03,358.0,361.75,355.25,357.5,342.555,330.1993866031051,370.13561339689494
2019-04-04,357.5,359.45,354.0,355.9,342.01099999999997,330.7768114483763,370.67818855162363
2019-04-05,355.5,359.9,352.4,356.5,341.59899999999993,332.2279096357923,370.9420903642077
2019-04-08,355.5,358.0,352.55,356.8,341.2560000000001,335.5510793625346,370.0489206374654
2019-04-09,355.0,357.75,354.05,357.05,340.97700000000003,337.5979348826854,369.78706511731457
2019-04-10,352.6,358.0,352.6,357.1,340.791,338.5162615276762,369.9837384723238
2019-04-11,356.0,364.4,356.0,358.35,340.699,341.02415678485016,369.3708432151498
2019-04-12,358.45,360.15,354.05,355.25,340.6360000000001,344.253394960641,367.82160503935904
2019-04-15,358.6,358.6,352.5,353.75,340.60200000000003,349.05386672330184,364.69113327669817
2019-04-16,354.25,356.1,353.5,354.2,340.631,349.86218813277577,364.3128118672242
2019-04-18,353.5,355.0,348.5,349.9,340.728,348.9704827498028,364.6995172501972
2019-04-22,347.5,359.9,342.0,342.8,340.836,346.12533539138485,366.25466460861514
2019-04-23,344.0,346.4,339.05,339.85,341.045,343.0571322727417,367.90786772725824
2019-04-24,339.85,344.35,338.05,339.5,341.309,340.32027169576867,368.9547283042313
2019-04-25,343.5,343.5,337.5,338.75,341.584,337.89205570379943,369.1579442962005
2019-04-26,342.45,343.05,335.0,338.85,341.765,337.0148632003019,366.94013679969817
2019-04-30,336.5,339.0,332.6,333.9,342.05100000000004,334.22146425657786,367.0685357434221
2019-05-02,333.55,335.2,322.5,331.15,342.407,331.0154422621744,368.0695577378256
2019-05-03,330.5,333.5,321.7,326.4,342.69700000000006,327.14016480859783,368.9648351914022
2019-05-06,325.0,328.85,321.5,323.6,342.92900000000003,323.2880973037199,369.42190269628014
2019-05-07,325.0,328.3,322.0,323.4,343.256,320.06087103703055,369.2391289629694
2019-05-08,324.45,324.45,315.9,319.2,343.46200000000005,316.3544414666966,369.2755585333034
2019-05-09,316.1,324.75,315.5,320.3,343.686,313.5521140429999,368.4578859570001
2019-05-10,323.5,323.5,317.5,320.25,343.42900000000003,311.28906672514677,367.06593327485325
2019-05-13,318.0,320.3,313.6,314.8,343.115,308.48467736177776,365.64532263822224
2019-05-14,312.5,319.2,310.4,317.1,342.945,306.7912796371347,363.33872036286516
2019-05-15,315.6,324.5,313.25,316.35,342.74800000000005,305.75422233650374,360.1757776634963
